,num_bikes_disabled,num_ebikes_available,station_status,num_docks_available,station_id,num_docks_disabled,is_renting,num_bikes_available,is_returning,eightd_has_available_keys,legacy_id,last_reported,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,0,0,active,12,3,0,True,3,True,True,3,2020-07-28 22:21:00+00:00,True,,,2020-07-28 22:24:25,2020
1,0,0,active,8,4,0,True,11,True,False,4,2020-07-28 22:10:36+00:00,True,,,2020-07-28 22:24:25,2020
2,0,0,active,3,5,0,True,12,True,False,5,2020-07-28 22:22:51+00:00,True,,,2020-07-28 22:24:25,2020
3,0,0,active,11,6,0,True,4,True,False,6,2020-07-28 22:17:01+00:00,True,,,2020-07-28 22:24:25,2020
4,0,0,active,11,7,0,True,4,True,False,7,2020-07-28 22:09:33+00:00,True,,,2020-07-28 22:24:25,2020
5,1,0,active,16,8,0,True,2,True,False,8,2020-07-28 22:20:32+00:00,True,,,2020-07-28 22:24:25,2020
6,1,0,active,4,9,0,True,10,True,False,9,2020-07-28 22:19:07+00:00,True,,,2020-07-28 22:24:25,2020
7,1,0,active,2,10,0,True,8,True,False,10,2020-07-28 22:21:26+00:00,True,,,2020-07-28 22:24:25,2020
8,2,0,active,10,11,0,True,3,True,False,11,2020-07-28 22:20:04+00:00,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'active': True, 'dock_blocked_count': 0, 'off_dock_count': 30, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'valet_revision': 69}",2020-07-28 22:24:25,2020
9,0,0,active,7,12,0,True,11,True,True,12,2020-07-28 22:24:00+00:00,True,,,2020-07-28 22:24:25,2020
10,0,0,active,18,13,0,True,1,True,False,13,2020-07-28 22:17:36+00:00,True,,,2020-07-28 22:24:25,2020
11,0,0,active,21,14,0,True,4,True,False,14,2020-07-28 22:17:39+00:00,True,,,2020-07-28 22:24:25,2020
12,0,0,active,4,15,0,True,11,True,False,15,2020-07-28 22:07:04+00:00,True,,,2020-07-28 22:24:25,2020
13,2,0,active,7,16,0,True,10,True,True,16,2020-07-28 22:10:55+00:00,True,,,2020-07-28 22:24:25,2020
14,0,0,active,8,17,0,True,7,True,False,17,2020-07-28 21:09:56+00:00,True,,,2020-07-28 22:24:25,2020
15,0,0,active,12,19,0,True,3,True,False,19,2020-07-28 21:49:16+00:00,True,,,2020-07-28 22:24:25,2020
16,0,0,active,10,20,0,True,13,True,True,20,2020-07-28 22:05:49+00:00,True,,,2020-07-28 22:24:25,2020
17,2,0,active,10,21,0,True,6,True,True,21,2020-07-28 22:14:30+00:00,True,,,2020-07-28 22:24:25,2020
18,0,0,active,45,22,0,True,2,True,False,22,2020-07-28 22:21:42+00:00,True,,,2020-07-28 22:24:25,2020
19,2,0,active,16,23,0,True,3,True,True,23,2020-07-28 22:24:13+00:00,True,,,2020-07-28 22:24:25,2020
20,0,0,active,7,24,0,True,12,True,False,24,2020-07-28 22:11:37+00:00,True,,,2020-07-28 22:24:25,2020
