,is_renting,is_returning,legacy_id,num_ebikes_available,station_status,num_docks_available,num_bikes_disabled,is_installed,last_reported,num_docks_disabled,station_id,num_bikes_available,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,True,3,0,active,2,1,True,2020-08-13 21:37:46+00:00,0,3,12,False,,,2020-08-13 21:48:50,2020
1,True,True,4,0,active,11,0,True,2020-08-13 21:40:08+00:00,0,4,8,False,,,2020-08-13 21:48:50,2020
2,True,True,5,0,active,13,0,True,2020-08-13 21:47:55+00:00,0,5,2,False,,,2020-08-13 21:48:50,2020
3,True,True,6,0,active,11,1,True,2020-08-13 21:44:30+00:00,0,6,3,False,,,2020-08-13 21:48:50,2020
4,True,True,7,0,active,14,0,True,2020-08-13 21:41:15+00:00,0,7,1,False,,,2020-08-13 21:48:50,2020
5,True,True,8,0,active,10,0,True,2020-08-13 21:48:36+00:00,0,8,9,False,,,2020-08-13 21:48:50,2020
6,True,True,9,0,active,4,1,True,2020-08-13 21:47:10+00:00,0,9,10,False,,,2020-08-13 21:48:50,2020
7,True,True,10,0,active,6,1,True,2020-08-13 21:48:44+00:00,0,10,4,False,,,2020-08-13 21:48:50,2020
8,True,True,11,0,active,15,0,True,2020-08-13 21:45:50+00:00,0,11,0,False,"{'valet_revision': 87, 'off_dock_capacity': 50, 'dock_blocked_count': 0, 'region': 'BOS', 'active': True, 'off_dock_count': 1, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-13 21:48:50,2020
9,True,True,12,0,active,6,1,True,2020-08-13 21:47:05+00:00,0,12,11,True,,,2020-08-13 21:48:50,2020
10,True,True,13,0,active,19,0,True,2020-08-13 21:39:38+00:00,0,13,0,False,,,2020-08-13 21:48:50,2020
11,True,True,14,0,active,25,0,True,2020-08-13 21:47:18+00:00,0,14,0,False,,,2020-08-13 21:48:50,2020
12,True,True,15,0,active,6,0,True,2020-08-13 21:45:14+00:00,0,15,9,False,,,2020-08-13 21:48:50,2020
13,True,True,16,0,active,4,0,True,2020-08-13 21:44:43+00:00,0,16,15,True,,,2020-08-13 21:48:50,2020
14,True,True,17,0,active,10,1,True,2020-08-13 21:42:01+00:00,0,17,4,False,,,2020-08-13 21:48:50,2020
15,True,True,19,0,active,8,1,True,2020-08-13 21:40:27+00:00,0,19,6,False,,,2020-08-13 21:48:50,2020
16,True,True,20,0,active,11,0,True,2020-08-13 21:39:14+00:00,0,20,12,True,,,2020-08-13 21:48:50,2020
17,True,True,21,0,active,15,1,True,2020-08-13 21:42:54+00:00,0,21,2,True,,,2020-08-13 21:48:50,2020
18,True,True,22,0,active,38,0,True,2020-08-13 21:30:11+00:00,0,22,9,True,,,2020-08-13 21:48:50,2020
19,True,True,23,0,active,21,0,True,2020-08-13 21:44:44+00:00,0,23,0,False,,,2020-08-13 21:48:50,2020
20,True,True,24,0,active,1,1,True,2020-08-13 21:36:34+00:00,0,24,17,False,,,2020-08-13 21:48:50,2020
21,True,True,25,0,active,5,1,True,2020-08-13 21:37:27+00:00,0,25,9,False,,,2020-08-13 21:48:50,2020
22,True,True,26,0,active,6,0,True,2020-08-13 21:44:45+00:00,0,26,9,False,,,2020-08-13 21:48:50,2020
23,True,True,27,0,active,4,1,True,2020-08-13 21:46:50+00:00,0,27,18,False,,,2020-08-13 21:48:50,2020
24,True,True,29,0,active,8,0,True,2020-08-13 19:15:47+00:00,0,29,7,False,,,2020-08-13 21:48:50,2020
25,True,True,30,0,active,12,1,True,2020-08-13 21:42:24+00:00,0,30,2,False,,,2020-08-13 21:48:50,2020
26,True,True,31,0,active,17,0,True,2020-08-13 20:21:26+00:00,0,31,2,True,,,2020-08-13 21:48:50,2020
27,True,True,32,0,active,3,0,True,2020-08-13 21:47:37+00:00,0,32,12,False,,,2020-08-13 21:48:50,2020
28,True,True,33,0,active,20,0,True,2020-08-13 20:53:47+00:00,0,33,7,False,,,2020-08-13 21:48:50,2020
29,True,True,35,0,active,9,0,True,2020-08-13 21:43:58+00:00,0,35,14,False,,,2020-08-13 21:48:50,2020
30,True,True,36,0,active,28,0,True,2020-08-13 21:37:26+00:00,0,36,5,True,,,2020-08-13 21:48:50,2020
31,True,True,37,0,active,14,0,True,2020-08-13 21:28:33+00:00,0,37,1,True,,,2020-08-13 21:48:50,2020
32,True,True,39,0,active,7,0,True,2020-08-13 21:45:48+00:00,0,39,16,False,,,2020-08-13 21:48:50,2020
33,True,True,40,0,active,3,1,True,2020-08-13 21:46:40+00:00,0,40,15,False,,,2020-08-13 21:48:50,2020
34,True,True,41,0,active,26,0,True,2020-08-13 21:43:56+00:00,0,41,1,True,,,2020-08-13 21:48:50,2020
