,eightd_has_available_keys,num_docks_disabled,last_reported,is_installed,legacy_id,station_status,is_renting,num_bikes_available,station_id,is_returning,num_bikes_disabled,num_docks_available,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
52,False,0,2020-08-11 03:36:10+00:00,True,60,active,True,3,60,True,0,16,0,2020-08-11 08:20:25,2020
53,False,0,2020-08-11 08:16:23+00:00,True,61,active,True,2,61,True,1,16,0,2020-08-11 08:20:25,2020
54,False,0,2020-08-11 08:17:02+00:00,True,63,active,True,4,63,True,3,8,0,2020-08-11 08:20:25,2020
55,False,0,2020-08-11 02:17:45+00:00,True,64,active,True,3,64,True,0,16,0,2020-08-11 08:20:25,2020
56,False,0,2020-08-11 07:57:25+00:00,True,65,active,True,5,65,True,0,18,0,2020-08-11 08:20:25,2020
57,False,0,2020-08-11 08:01:30+00:00,True,66,active,True,14,66,True,0,1,0,2020-08-11 08:20:25,2020
58,True,0,2020-08-11 06:02:02+00:00,True,67,active,True,3,67,True,0,24,0,2020-08-11 08:20:25,2020
59,True,0,2020-08-11 03:19:42+00:00,True,68,active,True,10,68,True,0,9,0,2020-08-11 08:20:25,2020
60,True,0,2020-08-11 07:33:15+00:00,True,69,active,True,7,69,True,1,11,0,2020-08-11 08:20:25,2020
61,False,0,2020-08-11 08:02:32+00:00,True,70,active,True,20,70,True,0,3,0,2020-08-11 08:20:25,2020
62,False,0,2020-08-11 08:11:35+00:00,True,71,active,True,21,71,True,0,2,0,2020-08-11 08:20:25,2020
63,False,0,2020-08-11 00:52:03+00:00,True,72,active,True,0,72,True,0,23,0,2020-08-11 08:20:25,2020
64,False,0,2020-08-11 02:20:43+00:00,True,73,active,True,0,73,True,0,15,0,2020-08-11 08:20:25,2020
65,True,0,2020-08-11 03:26:31+00:00,True,74,active,True,2,74,True,0,17,0,2020-08-11 08:20:25,2020
66,False,0,2020-08-11 08:02:56+00:00,True,75,active,True,3,75,True,0,12,0,2020-08-11 08:20:25,2020
67,False,0,2020-08-11 06:15:42+00:00,True,76,active,True,7,76,True,0,10,0,2020-08-11 08:20:25,2020
68,False,0,2020-08-11 08:06:37+00:00,True,77,active,True,5,77,True,1,9,0,2020-08-11 08:20:25,2020
69,False,0,2020-08-11 02:41:44+00:00,True,78,active,True,2,78,True,0,17,0,2020-08-11 08:20:25,2020
70,False,0,2020-08-11 08:02:17+00:00,True,79,active,True,14,79,True,3,2,0,2020-08-11 08:20:25,2020
71,False,0,2020-08-11 05:55:09+00:00,True,80,active,True,2,80,True,0,33,0,2020-08-11 08:20:25,2020
72,False,0,2020-08-11 05:44:36+00:00,True,81,active,True,5,81,True,0,14,0,2020-08-11 08:20:25,2020
73,False,0,2020-08-11 08:06:19+00:00,True,82,active,True,1,82,True,0,14,0,2020-08-11 08:20:25,2020
74,False,0,2020-08-11 04:07:45+00:00,True,84,active,True,4,84,True,1,10,0,2020-08-11 08:20:25,2020
75,False,0,2020-08-11 02:45:23+00:00,True,85,active,True,0,85,True,0,19,0,2020-08-11 08:20:25,2020
76,False,0,2020-08-11 05:59:35+00:00,True,86,active,True,6,86,True,0,13,0,2020-08-11 08:20:25,2020
77,False,0,2020-08-11 04:02:43+00:00,True,87,active,True,12,87,True,0,3,0,2020-08-11 08:20:25,2020
78,False,0,2020-08-11 04:05:19+00:00,True,89,active,True,6,89,True,1,12,0,2020-08-11 08:20:25,2020
79,False,0,2020-08-11 03:43:15+00:00,True,90,active,True,17,90,True,1,1,0,2020-08-11 08:20:25,2020
80,False,0,2020-08-11 05:38:20+00:00,True,91,active,True,3,91,True,0,16,0,2020-08-11 08:20:25,2020
81,False,0,2020-08-11 08:02:20+00:00,True,92,active,True,9,92,True,0,10,0,2020-08-11 08:20:25,2020
82,False,0,2020-08-11 08:06:25+00:00,True,93,active,True,12,93,True,1,2,0,2020-08-11 08:20:25,2020
83,False,0,2020-08-11 03:12:29+00:00,True,94,active,True,3,94,True,0,8,0,2020-08-11 08:20:25,2020
84,False,0,2020-08-11 05:29:23+00:00,True,95,active,True,8,95,True,0,7,0,2020-08-11 08:20:25,2020
85,False,0,2020-08-11 05:01:45+00:00,True,96,active,True,18,96,True,0,1,0,2020-08-11 08:20:25,2020
86,False,0,2020-08-11 08:07:05+00:00,True,97,active,True,16,97,True,0,3,0,2020-08-11 08:20:25,2020
87,False,0,2020-08-11 04:32:37+00:00,True,98,active,True,8,98,True,0,15,0,2020-08-11 08:20:25,2020
88,False,0,2020-08-11 04:36:08+00:00,True,99,active,True,9,99,True,0,6,0,2020-08-11 08:20:25,2020
89,True,0,2020-08-11 06:49:28+00:00,True,100,active,True,14,100,True,0,11,0,2020-08-11 08:20:25,2020
90,False,0,2020-08-11 08:07:00+00:00,True,101,active,True,14,101,True,0,1,0,2020-08-11 08:20:25,2020
91,False,0,2020-08-11 03:33:19+00:00,True,102,active,True,3,102,True,0,12,0,2020-08-11 08:20:25,2020
92,False,0,2020-08-11 04:39:22+00:00,True,103,active,True,12,103,True,0,3,0,2020-08-11 08:20:25,2020
93,False,0,2020-08-11 04:03:54+00:00,True,104,active,True,8,104,True,0,11,0,2020-08-11 08:20:25,2020
94,False,0,2020-08-11 08:07:17+00:00,True,105,active,True,11,105,True,1,7,0,2020-08-11 08:20:25,2020
95,False,0,2020-08-10 23:29:51+00:00,True,106,active,True,6,106,True,1,8,0,2020-08-11 08:20:25,2020
96,False,0,2020-08-11 07:49:50+00:00,True,107,active,True,5,107,True,0,14,0,2020-08-11 08:20:25,2020
97,False,0,2020-08-11 08:06:21+00:00,True,108,active,True,3,108,True,0,14,0,2020-08-11 08:20:25,2020
98,False,0,2020-08-11 01:24:03+00:00,True,109,active,True,8,109,True,1,26,0,2020-08-11 08:20:25,2020
99,False,0,2020-08-11 08:07:28+00:00,True,110,active,True,4,110,True,0,11,0,2020-08-11 08:20:25,2020
100,False,0,2020-08-11 08:12:18+00:00,True,111,active,True,7,111,True,0,8,0,2020-08-11 08:20:25,2020
101,False,0,2020-08-11 03:55:19+00:00,True,112,active,True,10,112,True,0,5,0,2020-08-11 08:20:25,2020
102,False,0,2020-08-11 03:31:23+00:00,True,113,active,True,13,113,True,1,1,0,2020-08-11 08:20:25,2020
103,False,0,2020-08-11 06:46:32+00:00,True,114,active,True,3,114,True,0,12,0,2020-08-11 08:20:25,2020
