,is_renting,num_bikes_disabled,num_docks_disabled,station_id,is_installed,num_bikes_available,legacy_id,last_reported,num_docks_available,is_returning,station_status,num_ebikes_available,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
207,True,0,0,259,True,14,259,2020-08-08 22:38:42+00:00,1,True,active,0,False,,,2020-08-08 23:38:50,2020
208,False,0,0,260,True,12,260,2020-08-08 21:55:31+00:00,3,False,active,0,False,,,2020-08-08 23:38:50,2020
209,True,0,0,271,True,5,271,2020-08-08 21:05:14+00:00,10,True,active,0,False,,,2020-08-08 23:38:50,2020
210,True,0,0,272,True,9,272,2020-08-08 22:43:04+00:00,10,True,active,0,False,,,2020-08-08 23:38:50,2020
211,True,1,0,273,True,17,273,2020-08-08 23:18:10+00:00,22,True,active,0,False,,,2020-08-08 23:38:50,2020
212,True,0,0,279,True,16,279,2020-08-08 23:18:23+00:00,3,True,active,0,False,,,2020-08-08 23:38:50,2020
213,True,0,0,280,True,8,280,2020-08-08 22:33:47+00:00,11,True,active,0,False,,,2020-08-08 23:38:50,2020
214,True,0,0,282,True,14,282,2020-08-08 23:25:28+00:00,1,True,active,0,False,,,2020-08-08 23:38:50,2020
215,True,0,0,296,True,15,296,2020-08-08 23:31:11+00:00,8,True,active,0,False,"{'off_dock_count': 0, 'station_id': '74cb9bf6-bb53-4c70-88d2-67998b99628c', 'region': 'BOS', 'active': True, 'off_dock_capacity': 100, 'valet_revision': 12, 'dock_blocked_count': 0}",[{'id': '74cb9bf6-bb53-4c70-88d2-67998b99628c'}],2020-08-08 23:38:50,2020
216,True,1,0,318,True,2,318,2020-08-08 23:32:29+00:00,16,True,active,0,False,,,2020-08-08 23:38:50,2020
217,True,0,0,319,True,11,319,2020-08-08 23:35:13+00:00,14,True,active,0,False,,,2020-08-08 23:38:50,2020
218,True,0,0,327,True,15,327,2020-08-08 23:11:56+00:00,0,True,active,0,False,,,2020-08-08 23:38:50,2020
219,True,0,0,328,True,14,328,2020-08-08 23:24:52+00:00,1,True,active,0,False,,,2020-08-08 23:38:50,2020
220,True,0,0,329,True,8,329,2020-08-08 23:30:53+00:00,7,True,active,0,False,,,2020-08-08 23:38:50,2020
221,True,0,0,330,True,8,330,2020-08-08 23:22:25+00:00,7,True,active,0,False,,,2020-08-08 23:38:50,2020
222,True,0,0,331,True,2,331,2020-08-08 23:06:25+00:00,13,True,active,0,False,,,2020-08-08 23:38:50,2020
223,True,2,0,332,True,0,332,2020-08-08 23:29:24+00:00,13,True,active,0,False,,,2020-08-08 23:38:50,2020
224,True,0,0,333,True,25,333,2020-08-08 22:08:13+00:00,0,True,active,0,False,,,2020-08-08 23:38:50,2020
225,True,0,0,334,True,7,334,2020-08-08 22:55:13+00:00,12,True,active,0,False,,,2020-08-08 23:38:50,2020
226,True,0,0,335,True,5,335,2020-08-08 23:31:51+00:00,14,True,active,0,False,,,2020-08-08 23:38:50,2020
227,True,0,0,336,True,13,336,2020-08-08 22:52:35+00:00,2,True,active,0,False,,,2020-08-08 23:38:50,2020
228,True,0,0,337,True,14,337,2020-08-08 21:09:03+00:00,1,True,active,0,False,,,2020-08-08 23:38:50,2020
229,True,0,0,338,True,1,338,2020-08-08 23:14:08+00:00,14,True,active,0,False,,,2020-08-08 23:38:50,2020
230,True,0,0,339,True,12,339,2020-08-08 22:25:47+00:00,3,True,active,0,False,,,2020-08-08 23:38:50,2020
231,True,0,0,340,True,17,340,2020-08-08 23:33:58+00:00,2,True,active,0,False,,,2020-08-08 23:38:50,2020
232,True,0,0,341,True,5,341,2020-08-08 23:34:32+00:00,10,True,active,0,True,,,2020-08-08 23:38:50,2020
233,True,2,0,342,True,0,342,2020-08-08 23:33:29+00:00,13,True,active,0,False,,,2020-08-08 23:38:50,2020
234,True,0,0,343,True,6,343,2020-08-08 20:01:41+00:00,9,True,active,0,False,,,2020-08-08 23:38:50,2020
235,True,0,0,344,True,0,344,2020-08-08 23:29:27+00:00,19,True,active,0,False,,,2020-08-08 23:38:50,2020
236,True,0,0,345,True,11,345,2020-08-08 23:09:25+00:00,8,True,active,0,False,,,2020-08-08 23:38:50,2020
237,True,0,0,346,True,3,346,2020-08-08 23:17:55+00:00,12,True,active,0,False,,,2020-08-08 23:38:50,2020
238,True,0,0,347,True,13,347,2020-08-08 21:46:42+00:00,2,True,active,0,False,,,2020-08-08 23:38:50,2020
239,True,2,0,348,True,3,348,2020-08-08 20:53:27+00:00,10,True,active,0,False,,,2020-08-08 23:38:50,2020
240,True,0,0,349,True,5,349,2020-08-08 23:29:12+00:00,12,True,active,0,True,,,2020-08-08 23:38:50,2020
241,True,0,0,350,True,10,350,2020-08-08 19:15:00+00:00,7,True,active,0,False,,,2020-08-08 23:38:50,2020
242,True,0,0,351,True,4,351,2020-08-08 22:15:09+00:00,11,True,active,0,False,,,2020-08-08 23:38:50,2020
243,True,0,0,352,True,0,352,2020-08-08 23:30:46+00:00,15,True,active,0,False,,,2020-08-08 23:38:50,2020
244,True,0,0,353,True,6,353,2020-08-08 21:59:48+00:00,9,True,active,0,True,,,2020-08-08 23:38:50,2020
245,True,0,0,354,True,0,354,2020-08-08 15:47:20+00:00,15,True,active,0,False,,,2020-08-08 23:38:50,2020
246,True,0,0,355,True,16,355,2020-08-08 22:11:00+00:00,1,True,active,0,False,,,2020-08-08 23:38:50,2020
247,True,0,0,356,True,10,356,2020-08-08 23:37:14+00:00,13,True,active,0,False,,,2020-08-08 23:38:50,2020
248,True,0,0,357,True,11,357,2020-08-08 23:14:37+00:00,4,True,active,0,False,,,2020-08-08 23:38:50,2020
249,True,0,0,358,True,10,358,2020-08-08 23:38:06+00:00,9,True,active,0,False,,,2020-08-08 23:38:50,2020
250,True,0,0,359,True,2,359,2020-08-08 23:37:06+00:00,13,True,active,0,False,,,2020-08-08 23:38:50,2020
251,True,0,0,360,True,2,360,2020-08-08 23:08:14+00:00,13,True,active,0,False,,,2020-08-08 23:38:50,2020
252,True,0,0,361,True,5,361,2020-08-08 23:21:44+00:00,14,True,active,0,False,,,2020-08-08 23:38:50,2020
253,True,0,0,362,True,9,362,2020-08-08 23:37:30+00:00,10,True,active,0,False,,,2020-08-08 23:38:50,2020
254,True,1,0,363,True,6,363,2020-08-08 23:37:50+00:00,12,True,active,0,False,,,2020-08-08 23:38:50,2020
255,True,0,0,364,True,4,364,2020-08-08 23:37:35+00:00,15,True,active,0,False,,,2020-08-08 23:38:50,2020
256,True,0,0,365,True,6,365,2020-08-08 23:33:46+00:00,13,True,active,0,False,,,2020-08-08 23:38:50,2020
257,True,0,0,366,True,5,366,2020-08-08 23:21:28+00:00,10,True,active,0,False,,,2020-08-08 23:38:50,2020
258,True,0,0,367,True,17,367,2020-08-08 23:13:12+00:00,2,True,active,0,False,,,2020-08-08 23:38:50,2020
259,True,1,0,368,True,4,368,2020-08-08 22:25:45+00:00,10,True,active,0,False,,,2020-08-08 23:38:50,2020
260,True,2,0,369,True,10,369,2020-08-08 23:32:23+00:00,3,True,active,0,False,,,2020-08-08 23:38:50,2020
261,True,0,0,370,True,17,370,2020-08-08 23:24:43+00:00,2,True,active,0,False,,,2020-08-08 23:38:50,2020
262,True,0,0,371,True,11,371,2020-08-08 23:37:59+00:00,8,True,active,0,False,,,2020-08-08 23:38:50,2020
263,True,0,0,372,True,6,372,2020-08-08 23:35:07+00:00,13,True,active,0,False,,,2020-08-08 23:38:50,2020
