,is_renting,is_returning,last_reported,num_bikes_disabled,eightd_has_available_keys,legacy_id,station_id,num_bikes_available,is_installed,num_docks_disabled,station_status,num_docks_available,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
52,True,True,2020-08-18 23:33:13+00:00,2,False,60,60,12,True,0,active,5,0,2020-08-18 23:40:10,2020
53,True,True,2020-08-18 23:35:04+00:00,1,False,61,61,13,True,0,active,5,0,2020-08-18 23:40:10,2020
54,True,True,2020-08-18 22:58:17+00:00,0,False,63,63,14,True,0,active,1,0,2020-08-18 23:40:10,2020
55,True,True,2020-08-18 23:09:25+00:00,1,False,64,64,6,True,0,active,12,0,2020-08-18 23:40:10,2020
56,True,True,2020-08-18 22:07:36+00:00,0,False,65,65,0,True,0,active,23,0,2020-08-18 23:40:10,2020
57,True,True,2020-08-18 23:39:59+00:00,1,False,66,66,2,True,0,active,12,0,2020-08-18 23:40:10,2020
58,True,True,2020-08-18 23:37:23+00:00,0,True,67,67,3,True,0,active,24,0,2020-08-18 23:40:10,2020
59,True,True,2020-08-18 23:39:09+00:00,1,True,68,68,18,True,0,active,0,0,2020-08-18 23:40:10,2020
60,True,True,2020-08-18 23:39:13+00:00,0,True,69,69,15,True,0,active,4,0,2020-08-18 23:40:10,2020
61,True,True,2020-08-18 23:27:56+00:00,0,False,70,70,10,True,0,active,13,0,2020-08-18 23:40:10,2020
62,True,True,2020-08-18 23:40:02+00:00,0,False,71,71,19,True,0,active,4,0,2020-08-18 23:40:10,2020
63,True,True,2020-08-18 23:35:58+00:00,0,False,72,72,16,True,0,active,7,0,2020-08-18 23:40:10,2020
64,True,True,2020-08-18 23:08:55+00:00,3,False,73,73,12,True,0,active,0,0,2020-08-18 23:40:10,2020
65,True,True,2020-08-18 23:36:17+00:00,1,True,74,74,6,True,0,active,12,0,2020-08-18 23:40:10,2020
66,True,True,2020-08-18 23:36:45+00:00,1,False,75,75,9,True,0,active,5,0,2020-08-18 23:40:10,2020
67,True,True,2020-08-18 23:37:47+00:00,0,False,76,76,7,True,0,active,10,0,2020-08-18 23:40:10,2020
68,True,True,2020-08-18 21:39:23+00:00,0,False,77,77,8,True,0,active,7,0,2020-08-18 23:40:10,2020
69,True,True,2020-08-18 23:32:42+00:00,1,False,78,78,9,True,0,active,9,0,2020-08-18 23:40:10,2020
70,True,True,2020-08-18 23:30:50+00:00,1,False,79,79,14,True,0,active,4,0,2020-08-18 23:40:10,2020
71,True,True,2020-08-18 23:37:20+00:00,1,False,80,80,0,True,0,active,34,0,2020-08-18 23:40:10,2020
72,True,True,2020-08-18 23:39:13+00:00,1,False,81,81,14,True,0,active,4,0,2020-08-18 23:40:10,2020
73,True,True,2020-08-18 22:53:16+00:00,1,False,82,82,5,True,0,active,9,0,2020-08-18 23:40:10,2020
74,True,True,2020-08-18 23:36:50+00:00,0,False,84,84,7,True,0,active,8,0,2020-08-18 23:40:10,2020
75,True,True,2020-08-18 23:31:06+00:00,0,False,85,85,1,True,0,active,18,0,2020-08-18 23:40:10,2020
76,True,True,2020-08-18 23:30:08+00:00,0,False,86,86,0,True,0,active,19,0,2020-08-18 23:40:10,2020
77,True,True,2020-08-18 23:31:38+00:00,0,False,87,87,12,True,0,active,3,0,2020-08-18 23:40:10,2020
78,True,True,2020-08-18 22:36:23+00:00,0,False,89,89,11,True,0,active,8,0,2020-08-18 23:40:10,2020
79,True,True,2020-08-18 23:38:07+00:00,1,False,90,90,13,True,0,active,5,0,2020-08-18 23:40:10,2020
80,True,True,2020-08-18 23:39:41+00:00,1,False,91,91,2,True,0,active,16,0,2020-08-18 23:40:10,2020
81,True,True,2020-08-18 23:18:02+00:00,1,False,92,92,13,True,0,active,5,0,2020-08-18 23:40:10,2020
82,True,True,2020-08-18 23:22:24+00:00,2,False,93,93,10,True,0,active,3,0,2020-08-18 23:40:10,2020
83,True,True,2020-08-18 23:21:01+00:00,0,False,94,94,2,True,0,active,9,0,2020-08-18 23:40:10,2020
84,True,True,2020-08-18 23:24:44+00:00,3,False,95,95,1,True,0,active,11,0,2020-08-18 23:40:10,2020
85,True,True,2020-08-18 23:33:53+00:00,0,False,96,96,4,True,0,active,15,0,2020-08-18 23:40:10,2020
86,True,True,2020-08-18 23:38:26+00:00,2,False,97,97,5,True,0,active,12,0,2020-08-18 23:40:10,2020
87,True,True,2020-08-18 23:39:48+00:00,0,False,98,98,6,True,0,active,17,0,2020-08-18 23:40:10,2020
88,True,True,2020-08-18 23:11:31+00:00,2,False,99,99,13,True,0,active,0,0,2020-08-18 23:40:10,2020
89,True,True,2020-08-18 23:21:07+00:00,0,True,100,100,9,True,0,active,16,0,2020-08-18 23:40:10,2020
90,True,True,2020-08-18 23:11:48+00:00,0,False,101,101,6,True,0,active,9,0,2020-08-18 23:40:10,2020
91,True,True,2020-08-18 23:37:43+00:00,0,False,102,102,3,True,0,active,12,0,2020-08-18 23:40:10,2020
92,True,True,2020-08-18 23:30:50+00:00,0,False,103,103,9,True,0,active,6,0,2020-08-18 23:40:10,2020
93,True,True,2020-08-18 23:23:21+00:00,0,False,104,104,3,True,0,active,16,0,2020-08-18 23:40:10,2020
94,True,True,2020-08-18 23:31:00+00:00,0,False,105,105,10,True,0,active,9,0,2020-08-18 23:40:10,2020
95,True,True,2020-08-18 20:26:10+00:00,0,False,106,106,8,True,0,active,7,0,2020-08-18 23:40:10,2020
96,True,True,2020-08-18 23:13:58+00:00,2,False,107,107,0,True,0,active,17,0,2020-08-18 23:40:10,2020
97,True,True,2020-08-18 23:33:25+00:00,0,False,108,108,7,True,0,active,10,0,2020-08-18 23:40:10,2020
98,True,True,2020-08-18 22:32:39+00:00,2,False,109,109,2,True,0,active,31,0,2020-08-18 23:40:10,2020
99,True,True,2020-08-18 23:25:04+00:00,0,False,110,110,1,True,0,active,14,0,2020-08-18 23:40:10,2020
100,True,True,2020-08-18 22:49:12+00:00,0,False,111,111,2,True,0,active,13,0,2020-08-18 23:40:10,2020
101,True,True,2020-08-18 23:32:08+00:00,0,False,112,112,6,True,0,active,9,0,2020-08-18 23:40:10,2020
102,True,True,2020-08-18 23:27:20+00:00,1,False,113,113,1,True,0,active,13,0,2020-08-18 23:40:10,2020
103,True,True,2020-08-18 23:19:20+00:00,0,False,114,114,3,True,0,active,12,0,2020-08-18 23:40:10,2020
104,True,True,2020-08-18 23:36:58+00:00,0,False,115,115,18,True,0,active,1,0,2020-08-18 23:40:10,2020
105,True,True,2020-08-18 23:33:37+00:00,0,False,116,116,9,True,0,active,14,0,2020-08-18 23:40:10,2020
106,True,True,2020-08-18 23:39:21+00:00,1,False,117,117,4,True,0,active,14,0,2020-08-18 23:40:10,2020
107,True,True,2020-08-18 23:31:39+00:00,1,False,118,118,13,True,0,active,5,0,2020-08-18 23:40:10,2020
108,True,True,2020-08-18 23:32:42+00:00,1,False,119,119,3,True,0,active,11,0,2020-08-18 23:40:10,2020
109,True,True,2020-08-18 23:33:36+00:00,0,False,120,120,15,True,0,active,0,0,2020-08-18 23:40:10,2020
110,True,True,2020-08-18 23:18:59+00:00,2,False,121,121,1,True,0,active,14,0,2020-08-18 23:40:10,2020
111,True,True,2020-08-18 23:28:42+00:00,0,False,122,122,8,True,0,active,7,0,2020-08-18 23:40:10,2020
112,True,True,2020-08-18 21:10:49+00:00,0,False,124,124,1,True,0,active,14,0,2020-08-18 23:40:10,2020
113,True,True,2020-08-18 23:26:47+00:00,1,False,125,125,10,True,1,active,3,0,2020-08-18 23:40:10,2020
114,True,True,2020-08-18 22:22:46+00:00,1,False,126,126,11,True,0,active,3,0,2020-08-18 23:40:10,2020
115,True,True,2020-08-18 22:48:31+00:00,0,False,128,128,19,True,0,active,0,0,2020-08-18 23:40:10,2020
116,True,True,2020-08-18 23:11:17+00:00,0,False,129,129,15,True,0,active,4,0,2020-08-18 23:40:10,2020
117,True,True,2020-08-18 23:39:51+00:00,0,False,130,130,14,True,0,active,1,0,2020-08-18 23:40:10,2020
118,True,True,2020-08-18 23:39:02+00:00,0,False,131,131,13,True,0,active,5,0,2020-08-18 23:40:10,2020
119,True,True,2020-08-18 23:32:09+00:00,2,False,133,133,19,True,0,active,2,0,2020-08-18 23:40:10,2020
120,True,True,2020-08-18 23:15:23+00:00,0,False,135,135,3,True,0,active,14,0,2020-08-18 23:40:10,2020
121,True,True,2020-08-18 23:02:05+00:00,1,False,136,136,0,True,0,active,18,0,2020-08-18 23:40:10,2020
122,True,True,2020-08-18 23:39:48+00:00,0,False,137,137,10,True,0,active,5,0,2020-08-18 23:40:10,2020
123,True,True,2020-08-18 23:05:24+00:00,1,False,138,138,8,True,0,active,6,0,2020-08-18 23:40:10,2020
124,True,True,2020-08-18 23:07:56+00:00,0,False,139,139,5,True,0,active,14,0,2020-08-18 23:40:10,2020
125,True,True,2020-08-18 23:02:30+00:00,0,False,140,140,13,True,0,active,4,0,2020-08-18 23:40:10,2020
126,True,True,2020-08-18 23:09:21+00:00,0,False,141,141,7,True,0,active,8,0,2020-08-18 23:40:10,2020
127,True,True,2020-08-18 23:08:58+00:00,0,False,142,142,17,True,0,active,6,0,2020-08-18 23:40:10,2020
128,True,True,2020-08-18 23:19:20+00:00,1,False,143,143,1,True,0,active,21,0,2020-08-18 23:40:10,2020
129,True,True,2020-08-18 23:14:30+00:00,0,False,144,144,17,True,0,active,2,0,2020-08-18 23:40:10,2020
130,True,True,2020-08-18 23:36:42+00:00,1,False,145,145,13,True,0,active,5,0,2020-08-18 23:40:10,2020
131,True,True,2020-08-18 23:35:12+00:00,2,False,146,146,10,True,0,active,7,0,2020-08-18 23:40:10,2020
132,True,True,2020-08-18 23:28:43+00:00,1,True,149,149,17,True,0,active,0,0,2020-08-18 23:40:10,2020
133,True,True,2020-08-18 23:36:24+00:00,1,False,150,150,12,True,0,active,6,0,2020-08-18 23:40:10,2020
134,True,True,2020-08-18 23:26:49+00:00,0,False,151,151,18,True,0,active,1,0,2020-08-18 23:40:10,2020
135,True,True,2020-08-18 23:31:18+00:00,0,True,152,152,13,True,0,active,2,0,2020-08-18 23:40:10,2020
136,True,True,2020-08-18 23:22:50+00:00,1,False,156,156,5,True,0,active,9,0,2020-08-18 23:40:10,2020
137,True,True,2020-08-18 23:35:33+00:00,2,False,157,157,12,True,0,active,1,0,2020-08-18 23:40:10,2020
