,num_docks_available,last_reported,station_id,num_docks_disabled,is_renting,num_ebikes_available,num_bikes_available,station_status,is_installed,eightd_has_available_keys,legacy_id,num_bikes_disabled,is_returning,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
41,4,2020-08-18 21:21:19+00:00,49,0,True,0,14,active,True,False,49,0,True,,,2020-08-18 21:27:20,2020
42,7,2020-08-18 21:14:42+00:00,50,0,True,0,8,active,True,True,50,0,True,,,2020-08-18 21:27:20,2020
43,15,2020-08-18 21:26:43+00:00,51,0,True,0,0,active,True,False,51,0,True,,,2020-08-18 21:27:20,2020
44,7,2020-08-18 21:23:36+00:00,52,0,True,0,14,active,True,True,52,2,True,,,2020-08-18 21:27:20,2020
45,10,2020-08-18 21:26:52+00:00,53,0,True,0,7,active,True,False,53,2,True,,,2020-08-18 21:27:20,2020
46,2,2020-08-18 21:25:06+00:00,54,0,True,0,12,active,True,False,54,1,True,,,2020-08-18 21:27:20,2020
47,12,2020-08-18 21:22:11+00:00,55,0,True,0,3,active,True,False,55,0,True,,,2020-08-18 21:27:20,2020
48,9,2020-08-18 20:24:15+00:00,56,0,True,0,8,active,True,False,56,1,True,,,2020-08-18 21:27:20,2020
49,12,2020-08-18 21:23:41+00:00,57,0,True,0,2,active,True,True,57,0,True,,,2020-08-18 21:27:20,2020
50,11,2020-08-18 21:26:05+00:00,58,0,True,0,6,active,True,True,58,2,True,,,2020-08-18 21:27:20,2020
51,15,2020-08-18 21:26:59+00:00,59,0,True,0,4,active,True,True,59,0,True,,,2020-08-18 21:27:20,2020
52,7,2020-08-18 21:26:39+00:00,60,0,True,0,11,active,True,False,60,1,True,,,2020-08-18 21:27:20,2020
53,17,2020-08-18 21:26:18+00:00,61,0,True,0,2,active,True,False,61,0,True,,,2020-08-18 21:27:20,2020
54,4,2020-08-18 21:26:04+00:00,63,0,True,0,11,active,True,False,63,0,True,,,2020-08-18 21:27:20,2020
55,12,2020-08-18 21:23:04+00:00,64,0,True,0,7,active,True,False,64,0,True,,,2020-08-18 21:27:20,2020
56,21,2020-08-18 21:24:06+00:00,65,0,True,0,2,active,True,False,65,0,True,,,2020-08-18 21:27:20,2020
