,is_installed,last_reported,num_docks_disabled,num_bikes_disabled,num_bikes_available,station_status,is_renting,is_returning,num_ebikes_available,legacy_id,eightd_has_available_keys,station_id,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
154,True,2020-08-11 13:55:40+00:00,0,1,16,active,True,True,0,180,False,180,2,,,2020-08-11 14:17:45,2020
155,True,2020-08-11 13:20:05+00:00,0,0,9,active,True,True,0,181,False,181,10,,,2020-08-11 14:17:45,2020
156,True,2020-08-11 11:45:11+00:00,0,0,8,active,True,True,0,182,True,182,11,,,2020-08-11 14:17:45,2020
157,True,2020-08-11 13:37:04+00:00,0,1,10,active,True,True,0,183,False,183,8,,,2020-08-11 14:17:45,2020
158,True,2020-08-11 14:14:01+00:00,0,0,15,active,True,True,0,184,False,184,4,,,2020-08-11 14:17:45,2020
159,True,2020-08-11 14:12:59+00:00,0,1,6,active,True,True,0,185,False,185,8,,,2020-08-11 14:17:45,2020
160,True,2020-08-11 13:48:23+00:00,0,2,10,active,True,True,0,186,True,186,3,,,2020-08-11 14:17:45,2020
161,True,2020-08-11 13:40:30+00:00,0,0,13,active,True,True,0,187,False,187,2,,,2020-08-11 14:17:45,2020
162,True,2020-08-11 13:35:43+00:00,0,0,12,active,True,True,0,188,False,188,3,,,2020-08-11 14:17:45,2020
163,True,2020-08-11 14:15:44+00:00,0,0,16,active,True,True,0,189,True,189,7,,,2020-08-11 14:17:45,2020
164,True,2020-08-11 14:07:05+00:00,0,0,30,active,True,True,0,190,True,190,7,,,2020-08-11 14:17:45,2020
165,True,2020-08-11 12:36:14+00:00,0,0,1,active,True,True,0,191,False,191,14,,,2020-08-11 14:17:45,2020
166,True,2020-08-11 13:21:46+00:00,0,0,16,active,True,True,0,192,False,192,3,,,2020-08-11 14:17:45,2020
167,True,2020-08-11 14:11:09+00:00,0,0,6,active,True,True,0,193,True,193,9,,,2020-08-11 14:17:45,2020
168,True,2020-08-11 14:03:27+00:00,0,0,2,active,True,True,0,194,False,194,17,,,2020-08-11 14:17:45,2020
169,True,2020-08-11 14:08:41+00:00,0,1,9,active,True,True,0,195,False,195,13,,,2020-08-11 14:17:45,2020
170,True,2020-08-11 14:12:17+00:00,0,0,0,active,True,True,0,196,True,196,10,,,2020-08-11 14:17:45,2020
171,True,2020-08-11 14:06:50+00:00,0,1,3,active,True,True,0,197,False,197,11,,,2020-08-11 14:17:45,2020
