,num_bikes_available,num_docks_disabled,legacy_id,last_reported,eightd_has_available_keys,station_id,num_docks_available,is_returning,is_installed,station_status,num_ebikes_available,is_renting,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
191,4,0,219,2020-08-18 16:36:32+00:00,False,219,11,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
192,2,0,221,2020-08-18 17:04:49+00:00,False,221,16,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
193,3,0,222,2020-08-18 16:23:00+00:00,True,222,11,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
194,14,0,224,2020-08-18 17:21:41+00:00,False,224,2,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
195,11,0,225,2020-08-18 17:13:12+00:00,False,225,7,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
196,1,0,226,2020-08-18 15:43:02+00:00,False,226,13,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
197,3,0,227,2020-08-18 17:10:22+00:00,False,227,12,True,True,active,0,True,4,,,2020-08-18 17:21:50,2020
198,4,0,228,2020-08-18 17:00:31+00:00,False,228,15,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
199,3,0,232,2020-08-18 08:48:59+00:00,False,232,8,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
200,7,0,233,2020-08-18 17:10:54+00:00,False,233,7,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
201,2,0,234,2020-08-18 16:28:29+00:00,False,234,13,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
202,7,0,235,2020-08-18 17:12:25+00:00,False,235,8,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
203,6,0,236,2020-08-18 17:06:07+00:00,False,236,9,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
204,10,0,239,2020-08-18 16:19:54+00:00,False,239,5,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
205,8,0,255,2020-08-18 03:29:23+00:00,False,255,7,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
206,8,0,258,2020-08-18 11:20:18+00:00,False,258,7,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
207,11,0,259,2020-08-18 08:59:17+00:00,False,259,4,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
208,5,0,260,2020-08-18 10:37:49+00:00,False,260,10,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
209,10,0,271,2020-08-18 16:30:20+00:00,False,271,4,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
210,10,0,272,2020-08-18 16:44:29+00:00,False,272,9,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
211,20,0,273,2020-08-18 16:46:26+00:00,False,273,20,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
212,16,0,279,2020-08-18 15:50:18+00:00,False,279,3,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
213,4,0,280,2020-08-18 15:41:25+00:00,False,280,15,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
214,6,0,282,2020-08-18 17:16:17+00:00,False,282,9,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
215,13,0,296,2020-08-18 17:10:45+00:00,False,296,9,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
216,14,0,318,2020-08-18 17:16:52+00:00,False,318,5,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
217,5,0,319,2020-08-18 17:12:49+00:00,False,319,20,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
218,4,0,327,2020-08-18 16:45:55+00:00,False,327,11,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
219,9,0,328,2020-08-18 16:57:47+00:00,False,328,6,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
220,13,0,329,2020-08-18 15:27:07+00:00,False,329,1,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
221,3,0,330,2020-08-18 17:13:02+00:00,False,330,11,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
222,9,0,331,2020-08-18 17:20:51+00:00,False,331,6,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
223,0,0,332,2020-08-18 16:49:28+00:00,False,332,14,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
224,23,0,333,2020-08-18 15:01:47+00:00,False,333,2,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
225,16,0,334,2020-08-18 16:30:49+00:00,False,334,3,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
226,8,0,335,2020-08-18 17:13:44+00:00,False,335,11,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
227,4,0,336,2020-08-18 08:33:19+00:00,False,336,11,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
228,13,0,337,2020-08-18 16:03:33+00:00,False,337,2,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
229,4,0,338,2020-08-18 17:18:37+00:00,False,338,11,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
230,7,0,339,2020-08-18 15:42:46+00:00,False,339,8,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
231,18,0,340,2020-08-18 08:28:52+00:00,False,340,1,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
232,12,0,341,2020-08-18 08:32:50+00:00,True,341,3,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
233,2,0,342,2020-08-18 17:18:39+00:00,False,342,13,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
234,3,0,343,2020-08-18 11:13:56+00:00,False,343,11,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
235,5,0,344,2020-08-18 16:15:44+00:00,False,344,14,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
236,9,0,345,2020-08-18 17:13:34+00:00,False,345,8,True,True,active,0,True,2,,,2020-08-18 17:21:50,2020
237,5,0,346,2020-08-18 17:14:26+00:00,False,346,10,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
238,4,0,347,2020-08-18 12:28:24+00:00,False,347,11,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
239,3,0,348,2020-08-18 15:37:06+00:00,False,348,12,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
240,5,0,349,2020-08-18 08:32:49+00:00,False,349,12,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
241,16,0,350,2020-08-18 13:56:30+00:00,False,350,1,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
242,9,0,351,2020-08-18 14:56:00+00:00,False,351,6,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
243,4,0,352,2020-08-18 17:18:45+00:00,False,352,11,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
244,9,0,353,2020-08-18 08:34:23+00:00,True,353,6,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
245,6,0,354,2020-08-18 17:18:02+00:00,False,354,9,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
246,17,0,355,2020-08-18 12:34:40+00:00,False,355,0,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
247,9,0,356,2020-08-18 17:20:37+00:00,False,356,14,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
248,6,0,357,2020-08-18 16:00:17+00:00,False,357,9,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
249,15,0,358,2020-08-18 16:35:24+00:00,False,358,4,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
250,2,0,359,2020-08-18 17:09:04+00:00,False,359,11,True,True,active,0,True,2,,,2020-08-18 17:21:50,2020
251,4,0,360,2020-08-18 15:19:04+00:00,False,360,10,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
252,9,0,361,2020-08-18 15:53:13+00:00,False,361,10,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
253,15,0,362,2020-08-18 17:04:10+00:00,False,362,4,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
254,5,0,363,2020-08-18 17:14:25+00:00,False,363,14,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
255,7,0,364,2020-08-18 17:16:49+00:00,False,364,11,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
256,12,0,365,2020-08-18 17:07:28+00:00,False,365,7,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
257,8,0,366,2020-08-18 16:42:26+00:00,False,366,7,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
258,16,0,367,2020-08-18 16:39:50+00:00,False,367,3,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
259,5,0,368,2020-08-18 14:38:47+00:00,False,368,10,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
260,2,0,369,2020-08-18 17:08:12+00:00,False,369,13,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
261,9,0,370,2020-08-18 17:21:14+00:00,False,370,10,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
262,7,0,371,2020-08-18 16:40:54+00:00,False,371,12,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
263,8,0,372,2020-08-18 17:18:27+00:00,False,372,10,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
264,8,0,373,2020-08-18 13:27:24+00:00,False,373,7,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
265,11,0,374,2020-08-18 17:11:12+00:00,False,374,7,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
266,12,0,376,2020-08-18 17:10:59+00:00,False,376,3,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
267,7,0,377,2020-08-18 17:15:25+00:00,False,377,12,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
268,2,0,378,2020-08-18 17:21:29+00:00,False,378,17,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
269,5,0,379,2020-08-18 17:19:08+00:00,False,379,9,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
270,11,0,380,2020-08-18 17:19:09+00:00,False,380,5,True,True,active,0,True,2,,,2020-08-18 17:21:50,2020
271,4,0,381,2020-08-18 17:11:27+00:00,False,381,15,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
272,5,0,384,2020-08-18 17:06:40+00:00,True,384,14,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
273,14,1,385,2020-08-18 17:07:26+00:00,False,385,0,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
274,9,0,386,2020-08-18 17:14:59+00:00,False,386,10,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
275,15,0,387,2020-08-18 08:53:57+00:00,False,387,0,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
276,9,0,388,2020-08-18 17:03:04+00:00,False,388,2,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
277,8,0,389,2020-08-17 23:10:34+00:00,False,389,6,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
278,8,0,390,2020-08-18 15:43:58+00:00,False,390,7,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
279,14,0,391,2020-08-18 13:31:28+00:00,False,391,1,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
280,7,0,392,2020-08-18 14:01:48+00:00,False,392,8,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
281,7,0,393,2020-08-18 10:52:53+00:00,False,393,8,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
282,0,0,394,2020-08-18 08:58:30+00:00,False,394,14,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
283,11,0,395,2020-08-18 15:20:59+00:00,False,395,4,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
284,11,0,396,2020-08-18 08:58:51+00:00,False,396,4,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
285,5,0,397,2020-08-18 10:31:02+00:00,False,397,9,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
286,13,0,398,2020-08-18 17:06:38+00:00,False,398,6,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
287,10,0,399,2020-08-18 17:15:15+00:00,False,399,5,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
288,19,0,400,2020-08-18 17:07:13+00:00,False,400,8,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
289,7,0,401,2020-08-18 17:05:21+00:00,False,401,8,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
290,0,0,402,2020-08-18 17:04:53+00:00,False,402,15,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
291,4,0,403,2020-08-18 16:31:32+00:00,False,403,10,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
292,2,0,404,2020-08-18 17:18:59+00:00,False,404,14,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
293,13,0,405,2020-08-18 09:43:46+00:00,False,405,6,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
294,16,0,406,2020-08-18 17:11:02+00:00,False,406,3,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
295,1,0,407,2020-08-18 16:50:24+00:00,False,407,18,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
296,5,0,408,2020-08-18 17:14:00+00:00,False,408,10,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
297,3,0,409,2020-08-18 16:58:50+00:00,False,409,16,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
298,6,0,410,2020-08-18 13:53:29+00:00,False,410,13,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
299,4,0,411,2020-08-18 16:26:38+00:00,False,411,11,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
300,6,0,412,2020-08-18 17:17:50+00:00,False,412,13,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
301,5,0,413,2020-08-18 17:03:17+00:00,False,413,14,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
302,5,0,414,2020-08-18 17:15:18+00:00,False,414,18,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
303,9,0,415,2020-08-18 16:25:28+00:00,False,415,10,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
304,8,0,416,2020-08-18 17:17:38+00:00,False,416,4,True,True,active,0,True,3,,,2020-08-18 17:21:50,2020
305,2,0,417,2020-08-18 16:25:15+00:00,False,417,17,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
306,9,0,419,2020-08-18 17:12:48+00:00,False,419,6,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
307,0,0,420,1970-01-02 00:00:00+00:00,False,420,0,False,False,out_of_service,0,False,0,,,2020-08-18 17:21:50,1970
308,19,0,421,2020-08-17 16:27:03+00:00,False,421,0,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
309,6,0,422,2020-08-18 15:24:57+00:00,False,422,8,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
310,8,0,423,2020-08-18 16:00:59+00:00,False,423,11,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
311,2,0,424,2020-08-18 17:08:57+00:00,False,424,17,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
312,0,0,425,2020-08-18 14:02:27+00:00,False,425,16,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
313,17,0,426,2020-08-18 17:15:46+00:00,False,426,10,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
314,1,0,427,2020-08-18 14:14:07+00:00,False,427,18,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
315,7,0,428,2020-08-18 14:29:00+00:00,False,428,11,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
316,15,0,430,2020-08-18 08:58:29+00:00,False,430,4,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
317,1,0,431,2020-08-18 15:50:09+00:00,False,431,14,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
318,5,0,432,2020-08-18 17:06:34+00:00,False,432,14,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
319,3,0,433,2020-08-18 08:58:55+00:00,False,433,16,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
320,1,0,434,2020-08-17 22:58:38+00:00,False,434,18,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
321,9,0,435,2020-08-18 17:13:15+00:00,False,435,6,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
322,1,0,436,2020-08-18 16:38:30+00:00,False,436,14,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
323,1,0,437,2020-08-18 17:05:48+00:00,False,437,18,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
324,13,0,440,2020-08-18 16:38:00+00:00,False,440,4,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
325,10,0,441,2020-08-18 14:31:33+00:00,False,441,8,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
326,13,0,442,2020-08-18 15:26:51+00:00,False,442,2,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
327,7,0,443,2020-08-18 16:54:33+00:00,False,443,12,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
328,13,0,445,2020-08-18 16:59:36+00:00,False,445,6,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
329,8,0,446,2020-08-18 16:19:43+00:00,False,446,4,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
330,3,0,447,2020-08-18 15:17:20+00:00,False,447,16,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
331,7,0,448,2020-08-18 08:58:50+00:00,False,448,4,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
332,0,0,449,1970-01-02 00:00:00+00:00,False,449,0,True,False,out_of_service,0,True,0,,,2020-08-18 17:21:50,1970
333,13,0,450,2020-08-18 17:13:03+00:00,False,450,1,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
334,7,0,451,2020-08-18 16:55:41+00:00,False,451,8,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
335,1,0,452,2020-08-18 16:36:59+00:00,False,452,14,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
336,2,0,453,2020-08-18 15:57:50+00:00,False,453,12,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
337,8,0,454,2020-08-18 17:10:34+00:00,False,454,7,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
338,6,0,455,2020-08-18 12:00:19+00:00,False,455,6,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
339,2,0,456,2020-08-18 15:53:48+00:00,False,456,17,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
340,10,0,457,2020-08-18 14:03:27+00:00,False,457,1,True,True,active,0,True,0,,,2020-08-18 17:21:50,2020
341,5,0,458,2020-08-18 15:32:55+00:00,False,458,5,True,True,active,0,True,1,,,2020-08-18 17:21:50,2020
