,station_id,num_docks_available,num_docks_disabled,station_status,is_installed,legacy_id,num_bikes_disabled,is_renting,num_ebikes_available,is_returning,last_reported,eightd_has_available_keys,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
0,3,10,0,active,True,3,1,True,0,True,2020-08-22 02:09:53+00:00,False,4,2020-08-22 02:34:40,2020
1,4,2,0,active,True,4,0,True,0,True,2020-08-22 02:23:26+00:00,False,17,2020-08-22 02:34:40,2020
2,5,12,0,active,True,5,0,True,0,True,2020-08-22 02:06:27+00:00,False,3,2020-08-22 02:34:40,2020
3,6,13,0,active,True,6,0,True,0,True,2020-08-22 02:26:21+00:00,False,2,2020-08-22 02:34:40,2020
4,7,3,0,active,True,7,0,True,0,True,2020-08-22 01:38:39+00:00,False,12,2020-08-22 02:34:40,2020
5,8,4,0,active,True,8,2,True,0,True,2020-08-22 02:22:35+00:00,False,13,2020-08-22 02:34:40,2020
6,9,3,0,active,True,9,0,True,0,True,2020-08-22 02:11:17+00:00,False,12,2020-08-22 02:34:40,2020
7,10,2,0,active,True,10,0,True,0,True,2020-08-22 02:33:21+00:00,False,9,2020-08-22 02:34:40,2020
8,11,15,0,active,True,11,0,True,0,True,2020-08-22 00:09:54+00:00,False,0,2020-08-22 02:34:40,2020
9,12,11,0,active,True,12,0,True,0,True,2020-08-22 02:07:59+00:00,True,7,2020-08-22 02:34:40,2020
10,13,15,0,active,True,13,0,True,0,True,2020-08-22 02:04:44+00:00,False,4,2020-08-22 02:34:40,2020
11,14,22,0,active,True,14,2,True,0,True,2020-08-22 02:27:39+00:00,False,1,2020-08-22 02:34:40,2020
12,15,4,0,active,True,15,0,True,0,True,2020-08-22 02:01:38+00:00,False,11,2020-08-22 02:34:40,2020
13,16,3,0,active,True,16,1,True,0,True,2020-08-22 01:57:03+00:00,True,15,2020-08-22 02:34:40,2020
14,17,13,0,active,True,17,1,True,0,True,2020-08-22 02:13:34+00:00,False,1,2020-08-22 02:34:40,2020
15,19,1,0,active,True,19,0,True,0,True,2020-08-22 02:16:15+00:00,False,14,2020-08-22 02:34:40,2020
16,20,20,0,active,True,20,0,True,0,True,2020-08-22 02:20:26+00:00,True,3,2020-08-22 02:34:40,2020
17,21,16,0,active,True,21,1,True,0,True,2020-08-22 02:11:27+00:00,True,1,2020-08-22 02:34:40,2020
18,22,43,0,active,True,22,1,True,0,True,2020-08-22 02:26:07+00:00,True,3,2020-08-22 02:34:40,2020
19,23,15,0,active,True,23,0,True,0,True,2020-08-22 02:06:29+00:00,False,6,2020-08-22 02:34:40,2020
20,24,0,0,active,True,24,1,True,0,True,2020-08-22 01:42:04+00:00,False,18,2020-08-22 02:34:40,2020
21,25,3,0,active,True,25,0,True,0,True,2020-08-22 02:17:57+00:00,False,12,2020-08-22 02:34:40,2020
22,26,2,0,active,True,26,0,True,0,True,2020-08-22 02:15:51+00:00,False,13,2020-08-22 02:34:40,2020
23,27,10,0,active,True,27,0,True,0,True,2020-08-22 02:23:52+00:00,False,13,2020-08-22 02:34:40,2020
24,29,11,0,active,True,29,0,True,0,True,2020-08-21 23:24:12+00:00,False,4,2020-08-22 02:34:40,2020
25,30,9,0,active,True,30,1,True,0,True,2020-08-22 02:28:43+00:00,False,5,2020-08-22 02:34:40,2020
26,31,10,0,active,True,31,0,True,0,True,2020-08-22 02:19:21+00:00,True,9,2020-08-22 02:34:40,2020
27,32,8,0,active,True,32,2,True,0,True,2020-08-22 02:23:32+00:00,False,5,2020-08-22 02:34:40,2020
28,33,14,0,active,True,33,0,True,0,True,2020-08-22 02:16:01+00:00,True,13,2020-08-22 02:34:40,2020
29,35,19,0,active,True,35,0,True,0,True,2020-08-22 02:34:10+00:00,False,4,2020-08-22 02:34:40,2020
