,is_renting,legacy_id,num_docks_available,eightd_has_available_keys,num_bikes_available,is_returning,station_id,num_bikes_disabled,is_installed,num_docks_disabled,num_ebikes_available,station_status,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
194,True,224,5,False,11,True,224,1,True,0,0,active,2020-08-18 22:31:00+00:00,,,2020-08-18 22:38:50,2020
195,True,225,10,False,8,True,225,1,True,0,0,active,2020-08-18 22:30:28+00:00,,,2020-08-18 22:38:50,2020
196,True,226,13,False,1,True,226,1,True,0,0,active,2020-08-18 22:29:10+00:00,,,2020-08-18 22:38:50,2020
197,True,227,13,False,4,True,227,2,True,0,0,active,2020-08-18 22:25:35+00:00,,,2020-08-18 22:38:50,2020
198,True,228,12,False,7,True,228,0,True,0,0,active,2020-08-18 21:47:13+00:00,,,2020-08-18 22:38:50,2020
199,True,232,10,False,1,True,232,0,True,0,0,active,2020-08-18 22:26:22+00:00,,,2020-08-18 22:38:50,2020
200,True,233,12,False,2,True,233,1,True,0,0,active,2020-08-18 22:31:24+00:00,,,2020-08-18 22:38:50,2020
201,True,234,14,False,1,True,234,0,True,0,0,active,2020-08-18 22:32:42+00:00,,,2020-08-18 22:38:50,2020
202,True,235,9,False,6,True,235,0,True,0,0,active,2020-08-18 22:30:57+00:00,,,2020-08-18 22:38:50,2020
203,True,236,8,False,7,True,236,0,True,0,0,active,2020-08-18 22:37:25+00:00,,,2020-08-18 22:38:50,2020
204,True,239,5,False,10,True,239,0,True,0,0,active,2020-08-18 22:37:17+00:00,,,2020-08-18 22:38:50,2020
205,True,255,8,False,6,True,255,1,True,0,0,active,2020-08-18 22:20:19+00:00,,,2020-08-18 22:38:50,2020
206,True,258,8,False,7,True,258,0,True,0,0,active,2020-08-18 22:23:02+00:00,,,2020-08-18 22:38:50,2020
207,True,259,5,False,10,True,259,0,True,0,0,active,2020-08-18 17:28:18+00:00,,,2020-08-18 22:38:50,2020
208,True,260,10,False,5,True,260,0,True,0,0,active,2020-08-18 21:49:05+00:00,,,2020-08-18 22:38:50,2020
209,True,271,3,False,12,True,271,0,True,0,0,active,2020-08-18 22:02:25+00:00,,,2020-08-18 22:38:50,2020
210,True,272,7,False,12,True,272,0,True,0,0,active,2020-08-18 21:45:45+00:00,,,2020-08-18 22:38:50,2020
211,True,273,16,False,24,True,273,0,True,0,0,active,2020-08-18 22:00:59+00:00,,,2020-08-18 22:38:50,2020
212,True,279,0,False,19,True,279,0,True,0,0,active,2020-08-18 22:09:56+00:00,,,2020-08-18 22:38:50,2020
213,True,280,7,False,12,True,280,0,True,0,0,active,2020-08-18 22:24:20+00:00,,,2020-08-18 22:38:50,2020
214,True,282,4,False,11,True,282,0,True,0,0,active,2020-08-18 22:37:23+00:00,,,2020-08-18 22:38:50,2020
215,True,296,14,False,8,True,296,1,True,0,0,active,2020-08-18 22:37:55+00:00,,,2020-08-18 22:38:50,2020
216,True,318,10,False,9,True,318,0,True,0,0,active,2020-08-18 22:33:40+00:00,,,2020-08-18 22:38:50,2020
217,True,319,20,False,5,True,319,0,True,0,0,active,2020-08-18 22:32:22+00:00,,,2020-08-18 22:38:50,2020
218,True,327,12,False,3,True,327,0,True,0,0,active,2020-08-18 21:24:44+00:00,,,2020-08-18 22:38:50,2020
219,True,328,7,False,8,True,328,0,True,0,0,active,2020-08-18 22:37:30+00:00,,,2020-08-18 22:38:50,2020
220,True,329,1,False,13,True,329,1,True,0,0,active,2020-08-18 21:14:17+00:00,,,2020-08-18 22:38:50,2020
221,True,330,13,False,1,True,330,1,True,0,0,active,2020-08-18 22:26:17+00:00,,,2020-08-18 22:38:50,2020
222,True,331,5,False,10,True,331,0,True,0,0,active,2020-08-18 22:38:02+00:00,,,2020-08-18 22:38:50,2020
223,True,332,11,False,3,True,332,1,True,0,0,active,2020-08-18 22:28:34+00:00,,,2020-08-18 22:38:50,2020
224,True,333,4,False,21,True,333,0,True,0,0,active,2020-08-18 22:30:06+00:00,,,2020-08-18 22:38:50,2020
225,True,334,2,False,17,True,334,0,True,0,0,active,2020-08-18 22:37:03+00:00,,,2020-08-18 22:38:50,2020
226,True,335,15,False,4,True,335,0,True,0,0,active,2020-08-18 22:22:19+00:00,,,2020-08-18 22:38:50,2020
227,True,336,12,False,3,True,336,0,True,0,0,active,2020-08-18 21:08:08+00:00,,,2020-08-18 22:38:50,2020
228,True,337,2,False,13,True,337,0,True,0,0,active,2020-08-18 21:44:03+00:00,,,2020-08-18 22:38:50,2020
229,True,338,9,False,6,True,338,0,True,0,0,active,2020-08-18 22:38:46+00:00,,,2020-08-18 22:38:50,2020
230,True,339,7,False,8,True,339,0,True,0,0,active,2020-08-18 22:28:06+00:00,,,2020-08-18 22:38:50,2020
231,True,340,1,False,18,True,340,0,True,0,0,active,2020-08-18 19:23:25+00:00,,,2020-08-18 22:38:50,2020
232,True,341,3,True,12,True,341,0,True,0,0,active,2020-08-18 08:32:50+00:00,,,2020-08-18 22:38:50,2020
233,True,342,13,False,1,True,342,1,True,0,0,active,2020-08-18 22:38:17+00:00,,,2020-08-18 22:38:50,2020
234,True,343,10,False,4,True,343,1,True,0,0,active,2020-08-18 21:51:30+00:00,,,2020-08-18 22:38:50,2020
235,True,344,9,False,10,True,344,0,True,0,0,active,2020-08-18 22:35:38+00:00,,,2020-08-18 22:38:50,2020
