,station_id,num_docks_disabled,is_installed,is_returning,is_renting,eightd_has_available_keys,last_reported,num_bikes_available,num_ebikes_available,num_bikes_disabled,station_status,num_docks_available,legacy_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
41,49,0,True,True,True,False,2020-07-31 22:45:47+00:00,0,0,0,active,18,49,,,2020-07-31 23:22:10,2020
42,50,0,True,True,True,True,2020-07-31 23:18:05+00:00,5,0,0,active,10,50,,,2020-07-31 23:22:10,2020
43,51,0,True,True,True,False,2020-07-31 23:12:16+00:00,2,0,2,active,11,51,,,2020-07-31 23:22:10,2020
44,52,0,True,True,True,True,2020-07-31 23:21:51+00:00,14,0,1,active,8,52,,,2020-07-31 23:22:10,2020
45,53,0,True,True,True,False,2020-07-31 23:19:30+00:00,5,0,1,active,13,53,,,2020-07-31 23:22:10,2020
46,54,0,True,True,True,False,2020-07-31 23:13:28+00:00,0,0,0,active,15,54,,,2020-07-31 23:22:10,2020
47,55,0,True,True,True,False,2020-07-31 23:13:19+00:00,10,0,0,active,5,55,,,2020-07-31 23:22:10,2020
48,56,0,True,True,True,True,2020-07-31 22:10:05+00:00,8,0,0,active,10,56,,,2020-07-31 23:22:10,2020
49,57,0,True,True,True,True,2020-07-31 23:05:33+00:00,1,0,0,active,13,57,,,2020-07-31 23:22:10,2020
50,58,0,True,True,True,True,2020-07-31 23:09:33+00:00,9,0,1,active,9,58,,,2020-07-31 23:22:10,2020
51,59,0,True,True,True,False,2020-07-31 23:16:39+00:00,0,0,0,active,19,59,,,2020-07-31 23:22:10,2020
52,60,0,True,True,True,False,2020-07-31 23:19:50+00:00,5,0,2,active,12,60,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 2, 'dock_blocked_count': 0, 'off_dock_capacity': 40, 'valet_revision': 63, 'active': True, 'region': 'BOS'}",2020-07-31 23:22:10,2020
53,61,0,True,True,True,False,2020-07-31 23:16:05+00:00,15,0,0,active,4,61,,,2020-07-31 23:22:10,2020
54,63,0,True,True,True,False,2020-07-31 23:00:53+00:00,3,0,0,active,12,63,,,2020-07-31 23:22:10,2020
55,64,0,True,True,True,False,2020-07-31 22:45:16+00:00,18,0,1,active,0,64,,,2020-07-31 23:22:10,2020
56,65,0,True,True,True,False,2020-07-31 23:19:36+00:00,7,0,0,active,16,65,,,2020-07-31 23:22:10,2020
57,66,0,True,True,True,False,2020-07-31 23:10:09+00:00,0,0,1,active,14,66,,,2020-07-31 23:22:10,2020
58,67,0,True,True,True,True,2020-07-31 23:08:46+00:00,3,0,2,active,22,67,,,2020-07-31 23:22:10,2020
59,68,0,True,True,True,True,2020-07-31 23:21:28+00:00,5,0,2,active,12,68,,,2020-07-31 23:22:10,2020
60,69,0,True,True,True,True,2020-07-31 23:19:50+00:00,11,0,0,active,8,69,,,2020-07-31 23:22:10,2020
61,70,0,True,True,True,False,2020-07-31 23:20:47+00:00,20,0,2,active,1,70,,,2020-07-31 23:22:10,2020
62,71,0,True,True,True,False,2020-07-31 22:49:56+00:00,17,0,0,active,6,71,,,2020-07-31 23:22:10,2020
63,72,0,True,True,True,False,2020-07-31 23:17:36+00:00,2,0,0,active,21,72,,,2020-07-31 23:22:10,2020
64,73,0,True,True,True,False,2020-07-31 23:00:40+00:00,15,0,0,active,0,73,,,2020-07-31 23:22:10,2020
65,74,0,True,True,True,True,2020-07-31 23:20:22+00:00,15,0,1,active,3,74,,,2020-07-31 23:22:10,2020
66,75,0,True,True,True,False,2020-07-31 23:09:56+00:00,9,0,0,active,6,75,,,2020-07-31 23:22:10,2020
67,76,0,True,True,True,False,2020-07-31 23:20:39+00:00,9,0,1,active,7,76,,,2020-07-31 23:22:10,2020
68,77,0,True,True,True,False,2020-07-31 23:08:00+00:00,5,0,0,active,10,77,,,2020-07-31 23:22:10,2020
69,78,0,True,True,True,False,2020-07-31 23:20:38+00:00,15,0,1,active,3,78,,,2020-07-31 23:22:10,2020
70,79,0,True,True,True,False,2020-07-31 23:09:16+00:00,8,0,0,active,11,79,,,2020-07-31 23:22:10,2020
71,80,0,True,True,True,False,2020-07-31 23:12:02+00:00,3,0,2,active,30,80,,,2020-07-31 23:22:10,2020
72,81,0,True,True,True,False,2020-07-31 23:20:57+00:00,0,0,0,active,19,81,,,2020-07-31 23:22:10,2020
73,82,0,True,True,True,False,2020-07-31 22:37:22+00:00,5,0,0,active,10,82,,,2020-07-31 23:22:10,2020
74,84,0,True,True,True,False,2020-07-31 23:13:43+00:00,1,0,0,active,14,84,,,2020-07-31 23:22:10,2020
75,85,0,True,True,True,False,2020-07-31 23:03:48+00:00,2,0,0,active,17,85,,,2020-07-31 23:22:10,2020
76,86,0,True,True,True,False,2020-07-31 23:08:42+00:00,4,0,0,active,15,86,,,2020-07-31 23:22:10,2020
77,87,0,True,True,True,False,2020-07-31 23:19:21+00:00,5,0,1,active,9,87,,,2020-07-31 23:22:10,2020
78,89,0,True,True,True,False,2020-07-31 23:11:41+00:00,16,0,0,active,3,89,,,2020-07-31 23:22:10,2020
79,90,0,True,True,True,False,2020-07-31 23:18:43+00:00,4,0,0,active,15,90,,,2020-07-31 23:22:10,2020
80,91,0,True,True,True,False,2020-07-31 23:18:55+00:00,12,0,0,active,7,91,,,2020-07-31 23:22:10,2020
81,92,0,True,True,True,False,2020-07-31 23:20:41+00:00,11,0,0,active,8,92,,,2020-07-31 23:22:10,2020
82,93,0,True,True,True,False,2020-07-31 23:17:18+00:00,6,0,3,active,6,93,,,2020-07-31 23:22:10,2020
83,94,0,True,True,True,False,2020-07-31 23:14:12+00:00,11,0,0,active,0,94,,,2020-07-31 23:22:10,2020
84,95,0,True,True,True,False,2020-07-31 23:21:15+00:00,2,0,0,active,13,95,,,2020-07-31 23:22:10,2020
85,96,0,True,True,True,False,2020-07-31 22:50:11+00:00,9,0,0,active,10,96,,,2020-07-31 23:22:10,2020
86,97,0,True,True,True,False,2020-07-31 23:19:06+00:00,7,0,0,active,12,97,,,2020-07-31 23:22:10,2020
