,num_ebikes_available,num_bikes_available,eightd_has_available_keys,legacy_id,num_docks_disabled,station_status,is_returning,num_bikes_disabled,station_id,last_reported,is_installed,num_docks_available,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
143,0,3,True,163,0,active,True,0,163,2020-07-26 06:44:39+00:00,True,16,True,,,2020-07-26 08:27:00,2020
144,0,13,False,167,0,active,True,2,167,2020-07-26 07:18:16+00:00,True,0,True,,,2020-07-26 08:27:00,2020
145,0,10,False,169,0,active,True,0,169,2020-07-26 05:44:34+00:00,True,9,True,,,2020-07-26 08:27:00,2020
146,0,5,True,170,0,active,True,0,170,2020-07-26 08:16:17+00:00,True,9,True,,,2020-07-26 08:27:00,2020
147,0,4,True,171,0,active,True,0,171,2020-07-26 04:29:25+00:00,True,19,True,,,2020-07-26 08:27:00,2020
148,0,12,True,173,0,active,True,1,173,2020-07-26 08:12:26+00:00,True,1,True,,,2020-07-26 08:27:00,2020
149,0,11,False,174,0,active,True,0,174,2020-07-26 07:32:56+00:00,True,4,True,,,2020-07-26 08:27:00,2020
150,0,7,True,175,0,active,True,0,175,2020-07-26 05:22:31+00:00,True,10,True,,,2020-07-26 08:27:00,2020
151,0,4,False,176,0,active,True,0,176,2020-07-26 04:23:21+00:00,True,11,True,,,2020-07-26 08:27:00,2020
152,0,2,False,177,0,active,True,1,177,2020-07-26 08:11:44+00:00,True,16,True,,,2020-07-26 08:27:00,2020
153,0,8,False,178,0,active,True,2,178,2020-07-26 08:12:32+00:00,True,9,True,,,2020-07-26 08:27:00,2020
154,0,16,False,179,0,active,True,0,179,2020-07-26 08:00:54+00:00,True,9,True,,,2020-07-26 08:27:00,2020
155,0,7,False,180,0,active,True,0,180,2020-07-26 00:35:00+00:00,True,12,True,,,2020-07-26 08:27:00,2020
156,0,11,False,181,0,active,True,0,181,2020-07-26 05:52:00+00:00,True,8,True,,,2020-07-26 08:27:00,2020
157,0,3,True,182,0,active,True,0,182,2020-07-26 03:06:11+00:00,True,16,True,,,2020-07-26 08:27:00,2020
158,0,4,False,183,0,active,True,1,183,2020-07-26 06:01:53+00:00,True,14,True,,,2020-07-26 08:27:00,2020
159,0,4,False,184,0,active,False,0,184,2020-07-26 04:36:13+00:00,True,15,False,,,2020-07-26 08:27:00,2020
160,0,12,False,185,0,active,True,0,185,2020-07-26 05:23:34+00:00,True,3,True,,,2020-07-26 08:27:00,2020
161,0,1,True,186,0,active,True,2,186,2020-07-26 08:21:48+00:00,True,12,True,,,2020-07-26 08:27:00,2020
162,0,9,False,187,0,active,True,0,187,2020-07-26 02:59:20+00:00,True,6,True,,,2020-07-26 08:27:00,2020
163,0,10,False,188,0,active,True,0,188,2020-07-26 04:53:11+00:00,True,5,True,,,2020-07-26 08:27:00,2020
164,0,2,True,189,0,active,True,0,189,2020-07-26 04:25:27+00:00,True,21,True,,,2020-07-26 08:27:00,2020
165,0,19,True,190,0,active,True,2,190,2020-07-26 07:41:46+00:00,True,16,True,,,2020-07-26 08:27:00,2020
