,station_id,legacy_id,station_status,num_docks_disabled,is_renting,is_installed,num_ebikes_available,eightd_has_available_keys,last_reported,num_bikes_disabled,num_bikes_available,num_docks_available,is_returning,timestamp_of_data_read_request,year_station_last_reported
52,60,60,active,0,True,True,0,False,2020-08-14 03:45:54+00:00,0,4,15,True,2020-08-14 03:46:25,2020
53,61,61,active,0,True,True,0,False,2020-08-14 03:34:43+00:00,0,4,15,True,2020-08-14 03:46:25,2020
54,63,63,active,0,True,True,0,False,2020-08-14 02:31:08+00:00,0,4,11,True,2020-08-14 03:46:25,2020
55,64,64,active,0,True,True,0,False,2020-08-14 02:48:36+00:00,2,7,10,True,2020-08-14 03:46:25,2020
56,65,65,active,0,True,True,0,False,2020-08-14 02:21:20+00:00,1,3,19,True,2020-08-14 03:46:25,2020
57,66,66,active,0,True,True,0,False,2020-08-14 02:01:27+00:00,2,13,0,True,2020-08-14 03:46:25,2020
58,67,67,active,0,True,True,0,True,2020-08-14 03:08:13+00:00,0,1,26,True,2020-08-14 03:46:25,2020
59,68,68,active,0,True,True,0,True,2020-08-14 03:32:30+00:00,1,15,3,True,2020-08-14 03:46:25,2020
60,69,69,active,0,True,True,0,True,2020-08-14 02:46:03+00:00,0,11,8,True,2020-08-14 03:46:25,2020
61,70,70,active,0,True,True,0,False,2020-08-14 03:22:57+00:00,0,17,6,True,2020-08-14 03:46:25,2020
62,71,71,active,0,True,True,0,False,2020-08-14 03:38:57+00:00,1,12,10,True,2020-08-14 03:46:25,2020
63,72,72,active,0,True,True,0,False,2020-08-14 02:15:35+00:00,0,0,23,True,2020-08-14 03:46:25,2020
64,73,73,active,0,True,True,0,False,2020-08-14 02:59:54+00:00,1,2,12,True,2020-08-14 03:46:25,2020
65,74,74,active,0,True,True,0,True,2020-08-14 03:21:59+00:00,1,3,15,True,2020-08-14 03:46:25,2020
66,75,75,active,0,True,True,0,False,2020-08-14 03:36:47+00:00,0,3,12,True,2020-08-14 03:46:25,2020
67,76,76,active,0,True,True,0,False,2020-08-14 03:42:32+00:00,1,11,5,True,2020-08-14 03:46:25,2020
68,77,77,active,0,True,True,0,False,2020-08-14 03:04:06+00:00,1,7,7,True,2020-08-14 03:46:25,2020
69,78,78,active,0,True,True,0,False,2020-08-14 03:44:56+00:00,0,19,0,True,2020-08-14 03:46:25,2020
70,79,79,active,0,True,True,0,False,2020-08-14 03:17:15+00:00,5,13,1,True,2020-08-14 03:46:25,2020
71,80,80,active,0,True,True,0,False,2020-08-14 03:28:18+00:00,1,7,27,True,2020-08-14 03:46:25,2020
72,81,81,active,0,True,True,0,False,2020-08-14 03:39:29+00:00,2,15,2,True,2020-08-14 03:46:25,2020
73,82,82,active,0,True,True,0,False,2020-08-14 02:39:23+00:00,0,3,12,True,2020-08-14 03:46:25,2020
74,84,84,active,0,True,True,0,False,2020-08-14 03:10:36+00:00,0,3,12,True,2020-08-14 03:46:25,2020
75,85,85,active,0,True,True,0,False,2020-08-14 02:50:42+00:00,0,2,17,True,2020-08-14 03:46:25,2020
76,86,86,active,0,True,True,0,False,2020-08-14 03:44:19+00:00,0,16,3,True,2020-08-14 03:46:25,2020
77,87,87,active,0,True,True,0,False,2020-08-14 03:26:07+00:00,0,15,0,True,2020-08-14 03:46:25,2020
78,89,89,active,0,True,True,0,False,2020-08-14 02:02:47+00:00,0,10,9,True,2020-08-14 03:46:25,2020
79,90,90,active,0,True,True,0,False,2020-08-14 01:59:24+00:00,1,18,0,True,2020-08-14 03:46:25,2020
80,91,91,active,0,True,True,0,False,2020-08-14 02:59:43+00:00,0,0,19,True,2020-08-14 03:46:25,2020
81,92,92,active,0,True,True,0,False,2020-08-14 00:17:58+00:00,0,10,9,True,2020-08-14 03:46:25,2020
82,93,93,active,0,True,True,0,False,2020-08-14 00:45:30+00:00,0,14,1,True,2020-08-14 03:46:25,2020
83,94,94,active,0,True,True,0,False,2020-08-14 01:02:51+00:00,0,5,6,True,2020-08-14 03:46:25,2020
84,95,95,active,0,True,True,0,False,2020-08-14 03:46:12+00:00,1,13,1,True,2020-08-14 03:46:25,2020
85,96,96,active,0,True,True,0,False,2020-08-14 01:33:58+00:00,1,13,5,True,2020-08-14 03:46:25,2020
86,97,97,active,0,True,True,0,False,2020-08-14 03:24:46+00:00,1,7,11,True,2020-08-14 03:46:25,2020
87,98,98,active,0,True,True,0,False,2020-08-14 03:10:53+00:00,0,11,12,True,2020-08-14 03:46:25,2020
88,99,99,active,0,True,True,0,False,2020-08-14 01:44:19+00:00,0,14,1,True,2020-08-14 03:46:25,2020
89,100,100,active,0,True,True,0,True,2020-08-14 03:37:58+00:00,2,22,1,True,2020-08-14 03:46:25,2020
90,101,101,active,0,True,True,0,False,2020-08-14 00:15:33+00:00,0,15,0,True,2020-08-14 03:46:25,2020
91,102,102,active,0,True,True,0,False,2020-08-14 03:45:15+00:00,1,10,4,True,2020-08-14 03:46:25,2020
92,103,103,active,0,True,True,0,False,2020-08-14 03:43:27+00:00,0,6,9,True,2020-08-14 03:46:25,2020
93,104,104,active,0,True,True,0,False,2020-08-14 02:48:49+00:00,0,8,11,True,2020-08-14 03:46:25,2020
94,105,105,active,0,True,True,0,False,2020-08-14 03:38:10+00:00,0,6,13,True,2020-08-14 03:46:25,2020
95,106,106,active,0,True,True,0,False,2020-08-14 02:12:01+00:00,1,1,13,True,2020-08-14 03:46:25,2020
96,107,107,active,0,True,True,0,False,2020-08-14 02:33:57+00:00,0,0,19,True,2020-08-14 03:46:25,2020
97,108,108,active,0,True,True,0,False,2020-08-14 03:00:24+00:00,0,3,14,True,2020-08-14 03:46:25,2020
98,109,109,active,0,True,True,0,False,2020-08-13 22:42:01+00:00,0,0,35,True,2020-08-14 03:46:25,2020
99,110,110,active,0,True,True,0,False,2020-08-14 03:18:54+00:00,0,8,7,True,2020-08-14 03:46:25,2020
100,111,111,active,0,True,True,0,False,2020-08-13 23:56:44+00:00,0,7,8,True,2020-08-14 03:46:25,2020
101,112,112,active,0,True,True,0,False,2020-08-14 02:46:23+00:00,0,8,7,True,2020-08-14 03:46:25,2020
102,113,113,active,0,True,True,0,False,2020-08-14 01:35:19+00:00,0,10,5,True,2020-08-14 03:46:25,2020
103,114,114,active,0,True,True,0,False,2020-08-14 01:31:14+00:00,1,3,11,True,2020-08-14 03:46:25,2020
104,115,115,active,0,True,True,0,False,2020-08-14 02:51:56+00:00,3,9,7,True,2020-08-14 03:46:25,2020
105,116,116,active,0,True,True,0,False,2020-08-14 02:39:24+00:00,0,17,6,True,2020-08-14 03:46:25,2020
106,117,117,active,0,True,True,0,False,2020-08-14 02:11:44+00:00,0,3,16,True,2020-08-14 03:46:25,2020
107,118,118,active,0,True,True,0,False,2020-08-14 03:17:50+00:00,1,18,0,True,2020-08-14 03:46:25,2020
108,119,119,active,0,True,True,0,False,2020-08-14 03:37:54+00:00,0,13,2,True,2020-08-14 03:46:25,2020
109,120,120,active,0,True,True,0,False,2020-08-14 03:30:54+00:00,1,6,8,True,2020-08-14 03:46:25,2020
110,121,121,active,0,True,True,0,False,2020-08-14 03:15:29+00:00,3,12,2,True,2020-08-14 03:46:25,2020
111,122,122,active,0,True,True,0,False,2020-08-14 03:10:00+00:00,0,8,7,True,2020-08-14 03:46:25,2020
112,124,124,active,0,True,True,0,False,2020-08-14 00:34:05+00:00,1,6,8,True,2020-08-14 03:46:25,2020
113,125,125,active,0,True,True,0,False,2020-08-14 03:40:19+00:00,1,10,4,True,2020-08-14 03:46:25,2020
114,126,126,active,0,True,True,0,False,2020-08-14 03:34:17+00:00,1,5,9,True,2020-08-14 03:46:25,2020
115,128,128,active,0,True,True,0,False,2020-08-14 03:22:52+00:00,0,12,7,True,2020-08-14 03:46:25,2020
116,129,129,active,0,True,True,0,False,2020-08-14 02:17:26+00:00,0,18,1,True,2020-08-14 03:46:25,2020
117,130,130,active,0,True,True,0,False,2020-08-14 01:32:45+00:00,0,10,5,True,2020-08-14 03:46:25,2020
118,131,131,active,0,True,True,0,False,2020-08-14 03:21:07+00:00,1,15,2,True,2020-08-14 03:46:25,2020
119,133,133,active,0,True,True,0,False,2020-08-14 01:01:29+00:00,1,7,15,True,2020-08-14 03:46:25,2020
120,135,135,active,0,True,True,0,False,2020-08-13 20:55:32+00:00,0,1,16,True,2020-08-14 03:46:25,2020
121,136,136,active,0,True,True,0,False,2020-08-14 00:49:43+00:00,2,4,13,True,2020-08-14 03:46:25,2020
122,137,137,active,0,True,True,0,False,2020-08-14 03:10:41+00:00,0,6,9,True,2020-08-14 03:46:25,2020
123,138,138,active,0,True,True,0,False,2020-08-14 02:30:37+00:00,2,12,1,True,2020-08-14 03:46:25,2020
124,139,139,active,0,True,True,0,False,2020-08-14 03:34:14+00:00,1,15,3,True,2020-08-14 03:46:25,2020
125,140,140,active,0,True,True,0,False,2020-08-14 01:00:27+00:00,2,15,0,True,2020-08-14 03:46:25,2020
126,141,141,active,0,True,True,0,False,2020-08-14 03:16:58+00:00,0,13,2,True,2020-08-14 03:46:25,2020
127,142,142,active,0,True,True,0,False,2020-08-14 03:31:30+00:00,1,9,13,True,2020-08-14 03:46:25,2020
128,143,143,active,0,True,True,0,False,2020-08-14 03:27:14+00:00,1,16,6,True,2020-08-14 03:46:25,2020
129,144,144,active,0,True,True,0,False,2020-08-14 01:09:44+00:00,0,12,7,True,2020-08-14 03:46:25,2020
130,145,145,active,0,True,True,0,False,2020-08-14 00:58:11+00:00,0,19,0,True,2020-08-14 03:46:25,2020
131,146,146,active,0,True,True,0,False,2020-08-14 03:38:30+00:00,0,19,0,True,2020-08-14 03:46:25,2020
132,149,149,active,0,True,True,0,True,2020-08-14 03:35:59+00:00,1,6,11,True,2020-08-14 03:46:25,2020
133,150,150,active,0,True,True,0,False,2020-08-14 03:03:22+00:00,1,12,6,True,2020-08-14 03:46:25,2020
134,151,151,active,0,True,True,0,False,2020-08-14 03:24:49+00:00,1,2,16,True,2020-08-14 03:46:25,2020
135,152,152,active,0,True,True,0,True,2020-08-14 01:01:17+00:00,0,12,3,True,2020-08-14 03:46:25,2020
136,156,156,active,0,True,True,0,False,2020-08-14 03:19:05+00:00,0,10,5,True,2020-08-14 03:46:25,2020
137,157,157,active,0,True,True,0,False,2020-08-14 03:30:44+00:00,1,1,13,True,2020-08-14 03:46:25,2020
138,159,159,active,0,True,True,0,False,2020-08-14 01:45:05+00:00,0,6,9,True,2020-08-14 03:46:25,2020
139,160,160,active,0,True,True,0,True,2020-08-14 02:38:11+00:00,0,3,11,True,2020-08-14 03:46:25,2020
140,161,161,active,0,True,True,0,True,2020-08-14 03:34:43+00:00,2,15,6,True,2020-08-14 03:46:25,2020
141,162,162,active,0,True,True,0,False,2020-08-14 00:05:05+00:00,0,2,13,True,2020-08-14 03:46:25,2020
142,163,163,active,0,True,True,0,True,2020-08-14 03:08:16+00:00,0,8,11,True,2020-08-14 03:46:25,2020
143,167,167,active,0,True,True,0,False,2020-08-14 03:44:15+00:00,0,7,8,True,2020-08-14 03:46:25,2020
144,169,169,active,0,True,True,0,False,2020-08-14 03:11:05+00:00,0,9,10,True,2020-08-14 03:46:25,2020
