,legacy_id,is_returning,eightd_has_available_keys,last_reported,num_bikes_available,station_id,num_ebikes_available,num_docks_disabled,is_renting,num_bikes_disabled,station_status,num_docks_available,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
48,56,True,True,2020-08-06 18:22:04+00:00,6,56,0,0,True,0,active,12,True,,,2020-08-06 21:42:15,2020
49,57,True,True,2020-08-06 21:41:51+00:00,1,57,0,0,True,1,active,12,True,,,2020-08-06 21:42:15,2020
50,58,True,True,2020-08-06 21:39:08+00:00,8,58,0,0,True,1,active,10,True,,,2020-08-06 21:42:15,2020
51,59,True,True,2020-08-06 21:30:01+00:00,7,59,0,0,True,2,active,10,True,,,2020-08-06 21:42:15,2020
52,60,True,False,2020-08-06 21:41:38+00:00,14,60,0,0,True,0,active,5,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'active': True, 'region': 'BOS', 'off_dock_count': 25, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'valet_revision': 69, 'off_dock_capacity': 40}",2020-08-06 21:42:15,2020
53,61,True,False,2020-08-06 21:36:08+00:00,17,61,0,0,True,0,active,2,True,,,2020-08-06 21:42:15,2020
54,63,True,False,2020-08-06 20:59:19+00:00,3,63,0,0,True,0,active,12,True,,,2020-08-06 21:42:15,2020
55,64,True,False,2020-08-06 21:41:57+00:00,3,64,0,0,True,0,active,16,True,,,2020-08-06 21:42:15,2020
56,65,True,False,2020-08-06 21:21:56+00:00,3,65,0,0,True,1,active,19,True,,,2020-08-06 21:42:15,2020
57,66,True,False,2020-08-06 21:35:05+00:00,5,66,0,0,True,0,active,10,True,,,2020-08-06 21:42:15,2020
58,67,True,True,2020-08-06 21:31:23+00:00,7,67,0,0,True,1,active,19,True,,,2020-08-06 21:42:15,2020
59,68,True,True,2020-08-06 21:39:31+00:00,13,68,0,0,True,0,active,6,True,,,2020-08-06 21:42:15,2020
60,69,True,True,2020-08-06 21:41:40+00:00,10,69,0,0,True,1,active,8,True,,,2020-08-06 21:42:15,2020
61,70,True,False,2020-08-06 21:31:34+00:00,22,70,0,0,True,0,active,1,True,,,2020-08-06 21:42:15,2020
62,71,True,False,2020-08-06 21:37:27+00:00,17,71,0,0,True,0,active,6,True,,,2020-08-06 21:42:15,2020
63,72,True,False,2020-08-06 21:34:25+00:00,12,72,0,0,True,0,active,11,True,,,2020-08-06 21:42:15,2020
64,73,True,False,2020-08-06 21:37:38+00:00,2,73,0,0,True,1,active,12,True,,,2020-08-06 21:42:15,2020
65,74,True,True,2020-08-06 21:39:13+00:00,11,74,0,0,True,0,active,8,True,,,2020-08-06 21:42:15,2020
66,75,True,False,2020-08-06 21:19:02+00:00,14,75,0,0,True,0,active,1,True,,,2020-08-06 21:42:15,2020
67,76,True,False,2020-08-06 21:41:33+00:00,11,76,0,0,True,0,active,6,True,,,2020-08-06 21:42:15,2020
68,77,True,False,2020-08-06 20:33:56+00:00,3,77,0,0,True,0,active,12,True,,,2020-08-06 21:42:15,2020
69,78,True,False,2020-08-06 21:21:02+00:00,5,78,0,0,True,1,active,13,True,,,2020-08-06 21:42:15,2020
70,79,True,False,2020-08-06 21:27:44+00:00,7,79,0,0,True,0,active,12,True,,,2020-08-06 21:42:15,2020
71,80,True,False,2020-08-06 21:37:21+00:00,26,80,0,0,True,0,active,9,True,,,2020-08-06 21:42:15,2020
72,81,True,False,2020-08-06 21:36:27+00:00,1,81,0,0,True,1,active,17,True,,,2020-08-06 21:42:15,2020
73,82,True,False,2020-08-06 21:35:52+00:00,4,82,0,0,True,0,active,11,True,,,2020-08-06 21:42:15,2020
74,84,True,False,2020-08-06 21:19:33+00:00,7,84,0,0,True,0,active,8,True,,,2020-08-06 21:42:15,2020
75,85,True,False,2020-08-06 21:40:19+00:00,10,85,0,0,True,0,active,9,True,,,2020-08-06 21:42:15,2020
76,86,True,False,2020-08-06 21:38:00+00:00,8,86,0,0,True,1,active,10,True,,,2020-08-06 21:42:15,2020
77,87,True,False,2020-08-06 21:41:45+00:00,13,87,0,0,True,0,active,2,True,,,2020-08-06 21:42:15,2020
78,89,True,False,2020-08-06 21:41:35+00:00,12,89,0,0,True,0,active,7,True,,,2020-08-06 21:42:15,2020
79,90,True,False,2020-08-06 21:38:59+00:00,10,90,0,0,True,0,active,9,True,,,2020-08-06 21:42:15,2020
80,91,True,False,2020-08-06 21:36:11+00:00,10,91,0,0,True,0,active,9,True,,,2020-08-06 21:42:15,2020
81,92,True,False,2020-08-06 21:37:35+00:00,10,92,0,0,True,1,active,8,True,,,2020-08-06 21:42:15,2020
82,93,True,False,2020-08-06 21:28:49+00:00,13,93,0,0,True,1,active,1,True,,,2020-08-06 21:42:15,2020
83,94,True,False,2020-08-06 21:23:06+00:00,7,94,0,0,True,0,active,4,True,,,2020-08-06 21:42:15,2020
84,95,True,False,2020-08-06 21:35:40+00:00,5,95,0,0,True,0,active,10,True,,,2020-08-06 21:42:15,2020
85,96,True,False,2020-08-06 21:36:49+00:00,6,96,0,0,True,0,active,13,True,,,2020-08-06 21:42:15,2020
86,97,True,False,2020-08-06 21:40:26+00:00,4,97,0,0,True,0,active,15,True,,,2020-08-06 21:42:15,2020
87,98,True,False,2020-08-06 21:39:35+00:00,4,98,0,0,True,1,active,18,True,,,2020-08-06 21:42:15,2020
88,99,True,False,2020-08-06 21:11:03+00:00,14,99,0,0,True,0,active,1,True,,,2020-08-06 21:42:15,2020
89,100,True,True,2020-08-06 21:41:50+00:00,21,100,0,0,True,1,active,3,True,,,2020-08-06 21:42:15,2020
90,101,True,False,2020-08-06 20:49:52+00:00,12,101,0,0,True,0,active,3,True,,,2020-08-06 21:42:15,2020
91,102,True,False,2020-08-06 21:17:04+00:00,10,102,0,0,True,0,active,5,True,,,2020-08-06 21:42:15,2020
92,103,True,False,2020-08-06 21:40:29+00:00,1,103,0,0,True,0,active,14,True,,,2020-08-06 21:42:15,2020
93,104,True,False,2020-08-06 21:23:22+00:00,0,104,0,0,True,0,active,19,True,,,2020-08-06 21:42:15,2020
94,105,True,False,2020-08-06 21:38:21+00:00,5,105,0,0,True,0,active,14,True,,,2020-08-06 21:42:15,2020
95,106,True,False,2020-08-06 19:51:08+00:00,5,106,0,0,True,1,active,9,True,,,2020-08-06 21:42:15,2020
96,107,True,False,2020-08-06 21:41:05+00:00,9,107,0,0,True,0,active,10,True,,,2020-08-06 21:42:15,2020
97,108,True,False,2020-08-06 21:33:55+00:00,12,108,0,0,True,0,active,5,True,,,2020-08-06 21:42:15,2020
98,109,True,False,2020-08-06 18:32:49+00:00,8,109,0,0,True,0,active,27,True,,,2020-08-06 21:42:15,2020
99,110,True,False,2020-08-06 21:22:49+00:00,4,110,0,0,True,0,active,11,True,,,2020-08-06 21:42:15,2020
100,111,True,False,2020-08-06 20:46:20+00:00,2,111,0,0,True,0,active,13,True,,,2020-08-06 21:42:15,2020
101,112,True,False,2020-08-06 21:38:07+00:00,4,112,0,0,True,0,active,11,True,,,2020-08-06 21:42:15,2020
102,113,True,False,2020-08-06 21:18:16+00:00,7,113,0,0,True,0,active,8,True,,,2020-08-06 21:42:15,2020
103,114,True,False,2020-08-06 21:36:59+00:00,11,114,0,0,True,1,active,3,True,,,2020-08-06 21:42:15,2020
104,115,True,False,2020-08-06 21:41:22+00:00,15,115,0,0,True,1,active,3,True,,,2020-08-06 21:42:15,2020
105,116,True,False,2020-08-06 21:33:01+00:00,6,116,0,0,True,1,active,16,True,,,2020-08-06 21:42:15,2020
106,117,True,False,2020-08-06 21:19:34+00:00,18,117,0,0,True,0,active,1,True,,,2020-08-06 21:42:15,2020
107,118,True,False,2020-08-06 21:22:03+00:00,15,118,0,0,True,0,active,4,True,,,2020-08-06 21:42:15,2020
108,119,True,False,2020-08-06 21:37:21+00:00,3,119,0,0,True,1,active,11,True,,,2020-08-06 21:42:15,2020
109,120,True,False,2020-08-06 21:33:47+00:00,3,120,0,0,True,0,active,12,True,,,2020-08-06 21:42:15,2020
110,121,True,False,2020-08-06 21:41:39+00:00,3,121,0,0,True,0,active,14,True,,,2020-08-06 21:42:15,2020
111,122,True,False,2020-08-06 20:55:52+00:00,2,122,0,0,True,0,active,13,True,,,2020-08-06 21:42:15,2020
112,124,True,False,2020-08-06 20:22:30+00:00,5,124,0,0,True,0,active,10,True,,,2020-08-06 21:42:15,2020
