,eightd_has_available_keys,legacy_id,num_bikes_disabled,num_ebikes_available,num_docks_disabled,is_returning,station_status,is_renting,num_bikes_available,num_docks_available,is_installed,station_id,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,False,3,0,0,0,True,active,True,3,12,True,3,2020-08-07 02:05:35+00:00,,,2020-08-07 02:09:05,2020
1,False,4,0,0,0,True,active,True,18,1,True,4,2020-08-07 02:08:57+00:00,,,2020-08-07 02:09:05,2020
2,False,5,2,0,0,True,active,True,13,0,True,5,2020-08-07 01:52:18+00:00,,,2020-08-07 02:09:05,2020
3,False,6,1,0,0,True,active,True,3,11,True,6,2020-08-07 02:04:02+00:00,,,2020-08-07 02:09:05,2020
4,False,7,0,0,0,True,active,True,6,9,True,7,2020-08-07 01:46:39+00:00,,,2020-08-07 02:09:05,2020
5,False,8,0,0,0,True,active,True,11,8,True,8,2020-08-07 01:48:14+00:00,,,2020-08-07 02:09:05,2020
6,False,9,1,0,0,True,active,True,9,5,True,9,2020-08-07 01:50:28+00:00,,,2020-08-07 02:09:05,2020
7,False,10,0,0,0,True,active,True,7,4,True,10,2020-08-07 02:06:07+00:00,,,2020-08-07 02:09:05,2020
8,False,11,1,0,0,True,active,True,0,14,True,11,2020-08-07 01:43:03+00:00,,,2020-08-07 02:09:05,2020
9,True,12,0,0,0,True,active,True,7,11,True,12,2020-08-07 02:00:18+00:00,,,2020-08-07 02:09:05,2020
10,False,13,0,0,0,True,active,True,0,19,True,13,2020-08-07 01:27:59+00:00,,,2020-08-07 02:09:05,2020
11,False,14,2,0,0,True,active,True,0,23,True,14,2020-08-07 01:27:23+00:00,,,2020-08-07 02:09:05,2020
12,False,15,0,0,0,True,active,True,7,8,True,15,2020-08-07 01:48:19+00:00,,,2020-08-07 02:09:05,2020
13,True,16,0,0,0,True,active,True,9,10,True,16,2020-08-07 02:07:21+00:00,,,2020-08-07 02:09:05,2020
14,False,17,2,0,0,True,active,True,1,12,True,17,2020-08-07 02:03:18+00:00,,,2020-08-07 02:09:05,2020
15,False,19,0,0,0,True,active,True,9,6,True,19,2020-08-07 01:41:12+00:00,,,2020-08-07 02:09:05,2020
16,True,20,1,0,0,True,active,True,1,21,True,20,2020-08-07 02:08:50+00:00,,,2020-08-07 02:09:05,2020
17,True,21,0,0,0,True,active,True,15,3,True,21,2020-08-07 01:45:32+00:00,,,2020-08-07 02:09:05,2020
18,True,22,1,0,0,True,active,True,20,26,True,22,2020-08-07 01:29:30+00:00,,,2020-08-07 02:09:05,2020
19,True,23,0,0,0,True,active,True,17,4,True,23,2020-08-07 01:50:48+00:00,,,2020-08-07 02:09:05,2020
20,False,24,2,0,0,True,active,True,6,11,True,24,2020-08-07 02:08:21+00:00,,,2020-08-07 02:09:05,2020
21,False,25,1,0,0,True,active,True,11,3,True,25,2020-08-07 01:25:58+00:00,,,2020-08-07 02:09:05,2020
22,False,26,1,0,0,True,active,True,12,2,True,26,2020-08-07 02:05:51+00:00,,,2020-08-07 02:09:05,2020
23,False,27,0,0,0,True,active,True,12,11,True,27,2020-08-07 02:06:53+00:00,,,2020-08-07 02:09:05,2020
24,False,29,1,0,0,True,active,True,7,7,True,29,2020-08-07 00:18:47+00:00,,,2020-08-07 02:09:05,2020
25,False,30,0,0,0,True,active,True,5,10,True,30,2020-08-07 01:50:20+00:00,,,2020-08-07 02:09:05,2020
