,station_status,legacy_id,num_docks_available,num_bikes_disabled,station_id,num_docks_disabled,is_returning,is_renting,num_bikes_available,is_installed,eightd_has_available_keys,last_reported,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
145,active,170,11,0,170,0,True,True,3,True,True,2020-08-21 21:04:17+00:00,0,,,2020-08-21 21:18:25,2020
146,active,171,12,0,171,0,True,True,11,True,True,2020-08-21 18:37:40+00:00,0,,,2020-08-21 21:18:25,2020
147,active,173,3,1,173,0,True,True,10,True,True,2020-08-21 19:33:59+00:00,0,,,2020-08-21 21:18:25,2020
148,active,174,7,0,174,0,True,True,8,True,False,2020-08-21 20:35:34+00:00,0,,,2020-08-21 21:18:25,2020
149,active,175,13,0,175,0,True,True,4,True,True,2020-08-21 21:15:59+00:00,0,,,2020-08-21 21:18:25,2020
150,active,176,11,1,176,0,True,True,3,True,False,2020-08-21 21:15:21+00:00,0,,,2020-08-21 21:18:25,2020
151,active,177,6,2,177,0,True,True,11,True,False,2020-08-21 21:17:45+00:00,0,,,2020-08-21 21:18:25,2020
152,active,178,15,0,178,0,True,True,4,True,False,2020-08-21 21:14:39+00:00,0,,,2020-08-21 21:18:25,2020
153,active,179,7,0,179,0,True,True,18,True,False,2020-08-21 21:17:11+00:00,0,,,2020-08-21 21:18:25,2020
154,active,180,4,0,180,0,True,True,15,True,False,2020-08-21 20:58:28+00:00,0,,,2020-08-21 21:18:25,2020
155,active,181,18,0,181,0,True,True,1,True,False,2020-08-21 19:50:25+00:00,0,,,2020-08-21 21:18:25,2020
156,active,182,13,0,182,0,True,True,6,True,True,2020-08-21 20:50:50+00:00,0,,,2020-08-21 21:18:25,2020
157,active,183,14,0,183,0,True,True,5,True,False,2020-08-21 21:13:59+00:00,0,,,2020-08-21 21:18:25,2020
158,active,184,19,0,184,0,True,True,0,True,False,2020-08-21 21:12:20+00:00,0,,,2020-08-21 21:18:25,2020
