,station_status,num_ebikes_available,is_returning,num_docks_disabled,legacy_id,is_renting,num_bikes_disabled,last_reported,eightd_has_available_keys,station_id,is_installed,num_bikes_available,num_docks_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
82,active,0,True,0,93,True,1,2020-08-05 16:31:52+00:00,False,93,True,3,11,,,2020-08-05 17:33:40,2020
83,active,0,True,0,94,True,0,2020-08-05 17:24:20+00:00,False,94,True,1,10,,,2020-08-05 17:33:40,2020
84,active,0,True,0,95,True,0,2020-08-05 17:18:21+00:00,False,95,True,5,10,,,2020-08-05 17:33:40,2020
85,active,0,True,0,96,True,0,2020-08-05 17:07:03+00:00,False,96,True,6,13,,,2020-08-05 17:33:40,2020
86,active,0,True,0,97,True,0,2020-08-05 17:27:46+00:00,False,97,True,10,9,,,2020-08-05 17:33:40,2020
87,active,0,True,0,98,True,1,2020-08-05 17:21:03+00:00,False,98,True,2,20,,,2020-08-05 17:33:40,2020
88,active,0,True,0,99,True,0,2020-08-05 17:25:26+00:00,False,99,True,8,7,,,2020-08-05 17:33:40,2020
89,active,0,True,0,100,True,1,2020-08-05 16:51:53+00:00,True,100,True,15,9,,,2020-08-05 17:33:40,2020
90,active,0,True,0,101,True,0,2020-08-05 17:08:35+00:00,False,101,True,14,1,,,2020-08-05 17:33:40,2020
91,active,0,True,0,102,True,0,2020-08-05 17:03:39+00:00,False,102,True,13,2,,,2020-08-05 17:33:40,2020
92,active,0,True,0,103,True,0,2020-08-05 17:22:40+00:00,False,103,True,3,12,,,2020-08-05 17:33:40,2020
93,active,0,True,0,104,True,0,2020-08-05 16:45:57+00:00,False,104,True,1,18,,,2020-08-05 17:33:40,2020
94,active,0,True,0,105,True,1,2020-08-05 17:33:32+00:00,False,105,True,3,15,,,2020-08-05 17:33:40,2020
95,active,0,True,0,106,True,0,2020-08-05 17:18:29+00:00,False,106,True,2,13,,,2020-08-05 17:33:40,2020
96,active,0,True,0,107,True,0,2020-08-05 17:30:47+00:00,False,107,True,8,11,,,2020-08-05 17:33:40,2020
97,active,0,True,0,108,True,1,2020-08-05 17:03:04+00:00,False,108,True,7,9,,,2020-08-05 17:33:40,2020
98,active,0,True,0,109,True,1,2020-08-05 15:21:49+00:00,False,109,True,11,23,,,2020-08-05 17:33:40,2020
99,active,0,True,0,110,True,0,2020-08-05 17:28:21+00:00,False,110,True,3,12,,,2020-08-05 17:33:40,2020
100,active,0,True,0,111,True,0,2020-08-05 16:19:55+00:00,False,111,True,4,11,,,2020-08-05 17:33:40,2020
101,active,0,True,0,112,True,0,2020-08-05 17:20:13+00:00,False,112,True,7,8,,,2020-08-05 17:33:40,2020
102,active,0,True,0,113,True,1,2020-08-05 17:11:35+00:00,False,113,True,11,3,,,2020-08-05 17:33:40,2020
103,active,0,True,0,114,True,0,2020-08-05 17:12:17+00:00,False,114,True,10,5,,,2020-08-05 17:33:40,2020
104,active,0,True,0,115,True,1,2020-08-05 16:46:27+00:00,False,115,True,18,0,,,2020-08-05 17:33:40,2020
105,active,0,True,0,116,True,0,2020-08-05 17:27:45+00:00,False,116,True,7,16,,,2020-08-05 17:33:40,2020
106,active,0,True,0,117,True,0,2020-08-05 17:25:54+00:00,False,117,True,10,9,,,2020-08-05 17:33:40,2020
107,active,0,True,0,118,True,0,2020-08-05 16:40:05+00:00,False,118,True,17,2,,,2020-08-05 17:33:40,2020
108,active,0,True,0,119,True,0,2020-08-05 17:22:43+00:00,False,119,True,6,9,,,2020-08-05 17:33:40,2020
109,active,0,True,0,120,True,2,2020-08-05 17:24:14+00:00,False,120,True,7,6,,,2020-08-05 17:33:40,2020
110,active,0,True,0,121,True,0,2020-08-05 17:32:56+00:00,False,121,True,7,10,,,2020-08-05 17:33:40,2020
111,active,0,True,0,122,True,0,2020-08-05 16:41:41+00:00,False,122,True,5,10,,,2020-08-05 17:33:40,2020
112,active,0,True,0,124,True,0,2020-08-05 16:20:37+00:00,False,124,True,1,14,,,2020-08-05 17:33:40,2020
113,active,0,True,0,125,True,1,2020-08-05 16:26:37+00:00,False,125,True,6,8,,,2020-08-05 17:33:40,2020
114,active,0,True,0,126,True,0,2020-08-05 15:17:19+00:00,False,126,True,3,12,,,2020-08-05 17:33:40,2020
115,active,0,True,0,128,True,0,2020-08-05 16:44:38+00:00,False,128,True,10,9,,,2020-08-05 17:33:40,2020
116,active,0,True,0,129,True,1,2020-08-05 17:33:22+00:00,False,129,True,14,4,,,2020-08-05 17:33:40,2020
117,active,0,True,0,130,True,0,2020-08-05 15:41:32+00:00,False,130,True,11,4,,,2020-08-05 17:33:40,2020
118,active,0,True,0,131,True,0,2020-08-05 17:19:41+00:00,False,131,True,13,5,,,2020-08-05 17:33:40,2020
119,active,0,True,0,133,True,1,2020-08-05 17:33:01+00:00,False,133,True,9,13,,,2020-08-05 17:33:40,2020
120,active,0,True,0,135,True,0,2020-08-05 17:25:30+00:00,False,135,True,13,4,,,2020-08-05 17:33:40,2020
121,active,0,True,0,136,True,1,2020-08-05 17:03:55+00:00,False,136,True,10,8,,,2020-08-05 17:33:40,2020
122,active,0,True,0,137,True,0,2020-08-05 17:33:11+00:00,False,137,True,3,12,,,2020-08-05 17:33:40,2020
123,active,0,True,0,138,True,1,2020-08-05 17:24:43+00:00,False,138,True,8,6,,,2020-08-05 17:33:40,2020
124,active,0,True,0,139,True,0,2020-08-05 17:27:02+00:00,False,139,True,2,17,,,2020-08-05 17:33:40,2020
125,active,0,True,0,140,True,0,2020-08-05 17:24:03+00:00,False,140,True,12,5,,,2020-08-05 17:33:40,2020
126,active,0,True,0,141,True,2,2020-08-05 17:30:46+00:00,False,141,True,7,6,,,2020-08-05 17:33:40,2020
127,active,0,True,0,142,True,2,2020-08-05 17:12:39+00:00,False,142,True,12,9,,,2020-08-05 17:33:40,2020
128,active,0,True,0,143,True,1,2020-08-05 15:15:31+00:00,False,143,True,13,9,,,2020-08-05 17:33:40,2020
129,active,0,True,0,144,True,0,2020-08-05 17:00:32+00:00,False,144,True,2,17,,,2020-08-05 17:33:40,2020
130,active,0,True,0,145,True,0,2020-08-05 15:45:41+00:00,False,145,True,3,16,,,2020-08-05 17:33:40,2020
131,active,0,True,0,146,True,2,2020-08-05 17:28:06+00:00,False,146,True,8,9,,,2020-08-05 17:33:40,2020
132,active,0,True,0,149,True,1,2020-08-05 17:17:01+00:00,True,149,True,5,12,,,2020-08-05 17:33:40,2020
133,active,0,True,0,150,True,0,2020-08-05 16:21:57+00:00,False,150,True,2,17,,,2020-08-05 17:33:40,2020
134,active,0,True,0,151,True,0,2020-08-05 17:32:53+00:00,False,151,True,11,8,,,2020-08-05 17:33:40,2020
135,active,0,True,0,152,True,0,2020-08-05 17:32:42+00:00,True,152,True,9,6,,,2020-08-05 17:33:40,2020
136,active,0,True,0,156,True,0,2020-08-05 16:28:46+00:00,False,156,True,3,12,,,2020-08-05 17:33:40,2020
137,active,0,True,0,157,True,1,2020-08-05 17:33:13+00:00,False,157,True,12,2,,,2020-08-05 17:33:40,2020
138,active,0,True,0,159,True,1,2020-08-05 16:56:06+00:00,False,159,True,2,12,,,2020-08-05 17:33:40,2020
139,active,0,True,0,160,True,0,2020-08-05 17:15:42+00:00,True,160,True,12,2,,,2020-08-05 17:33:40,2020
140,active,0,True,0,161,True,0,2020-08-05 17:33:17+00:00,True,161,True,5,18,,,2020-08-05 17:33:40,2020
141,active,0,True,0,162,True,0,2020-08-05 16:35:19+00:00,False,162,True,3,12,,,2020-08-05 17:33:40,2020
142,active,0,True,0,163,True,0,2020-08-05 17:00:33+00:00,True,163,True,11,8,,,2020-08-05 17:33:40,2020
143,active,0,True,0,167,True,1,2020-08-05 17:17:19+00:00,False,167,True,3,11,,,2020-08-05 17:33:40,2020
144,active,0,True,0,169,True,0,2020-08-05 16:59:27+00:00,False,169,True,11,8,,,2020-08-05 17:33:40,2020
145,active,0,True,0,170,True,0,2020-08-05 16:34:31+00:00,True,170,True,0,14,,,2020-08-05 17:33:40,2020
146,active,0,True,0,171,True,0,2020-08-05 16:56:26+00:00,True,171,True,5,18,,,2020-08-05 17:33:40,2020
147,active,0,True,0,173,True,0,2020-08-05 17:13:34+00:00,True,173,True,12,2,,,2020-08-05 17:33:40,2020
148,active,0,True,0,174,True,1,2020-08-05 17:18:57+00:00,False,174,True,8,6,,,2020-08-05 17:33:40,2020
149,active,0,True,0,175,True,0,2020-08-05 13:47:33+00:00,True,175,True,0,17,,,2020-08-05 17:33:40,2020
150,active,0,True,0,176,True,0,2020-08-05 17:01:26+00:00,False,176,True,5,10,,,2020-08-05 17:33:40,2020
151,active,0,True,0,177,True,0,2020-08-05 17:28:52+00:00,False,177,True,10,9,,,2020-08-05 17:33:40,2020
152,active,0,True,0,178,True,1,2020-08-05 17:30:41+00:00,False,178,True,12,6,,,2020-08-05 17:33:40,2020
153,active,0,True,0,179,True,0,2020-08-05 17:31:32+00:00,False,179,True,13,12,,,2020-08-05 17:33:40,2020
154,active,0,True,0,180,True,0,2020-08-05 17:32:57+00:00,False,180,True,16,3,,,2020-08-05 17:33:40,2020
155,active,0,True,0,181,True,0,2020-08-05 16:21:46+00:00,False,181,True,15,4,,,2020-08-05 17:33:40,2020
156,active,0,True,0,182,True,0,2020-08-05 16:58:42+00:00,True,182,True,7,12,,,2020-08-05 17:33:40,2020
157,active,0,True,0,183,True,0,2020-08-05 17:32:03+00:00,False,183,True,8,11,,,2020-08-05 17:33:40,2020
158,active,0,True,0,184,True,0,2020-08-05 17:06:55+00:00,False,184,True,10,9,,,2020-08-05 17:33:40,2020
159,active,0,True,0,185,True,1,2020-08-05 17:11:42+00:00,False,185,True,7,7,,,2020-08-05 17:33:40,2020
160,active,0,True,0,186,True,0,2020-08-05 17:33:15+00:00,True,186,True,12,3,,,2020-08-05 17:33:40,2020
161,active,0,True,0,187,True,0,2020-08-05 15:19:46+00:00,False,187,True,13,2,,,2020-08-05 17:33:40,2020
162,active,0,True,0,188,True,0,2020-08-05 15:51:08+00:00,False,188,True,5,10,,,2020-08-05 17:33:40,2020
163,active,0,True,0,189,True,1,2020-08-05 17:33:08+00:00,False,189,True,4,18,,,2020-08-05 17:33:40,2020
164,active,0,True,0,190,True,1,2020-08-05 17:26:46+00:00,True,190,True,14,22,,,2020-08-05 17:33:40,2020
