,num_docks_available,station_id,num_bikes_disabled,num_docks_disabled,last_reported,legacy_id,station_status,is_returning,num_ebikes_available,is_installed,num_bikes_available,is_renting,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
0,6,3,1,0,2020-08-12 19:01:54+00:00,3,active,True,0,True,8,True,False,2020-08-12 19:15:20,2020
1,10,4,0,0,2020-08-12 19:10:33+00:00,4,active,True,0,True,9,True,False,2020-08-12 19:15:20,2020
2,5,5,0,0,2020-08-12 18:58:58+00:00,5,active,True,0,True,10,True,False,2020-08-12 19:15:20,2020
3,5,6,2,0,2020-08-12 19:01:31+00:00,6,active,True,0,True,8,True,False,2020-08-12 19:15:20,2020
4,4,7,1,0,2020-08-12 19:12:44+00:00,7,active,True,0,True,10,True,False,2020-08-12 19:15:20,2020
5,10,8,0,0,2020-08-12 19:10:52+00:00,8,active,True,0,True,9,True,False,2020-08-12 19:15:20,2020
6,8,9,1,0,2020-08-12 19:00:09+00:00,9,active,True,0,True,6,True,False,2020-08-12 19:15:20,2020
7,4,10,0,0,2020-08-12 19:00:10+00:00,10,active,True,0,True,7,True,False,2020-08-12 19:15:20,2020
8,1,11,1,0,2020-08-12 19:14:25+00:00,11,active,True,0,True,13,True,False,2020-08-12 19:15:20,2020
9,2,12,0,0,2020-08-12 19:06:32+00:00,12,active,True,0,True,16,True,True,2020-08-12 19:15:20,2020
10,15,13,0,0,2020-08-12 19:11:56+00:00,13,active,True,0,True,4,True,False,2020-08-12 19:15:20,2020
11,11,14,0,0,2020-08-12 19:11:27+00:00,14,active,True,0,True,14,True,False,2020-08-12 19:15:20,2020
12,6,15,0,0,2020-08-12 17:38:40+00:00,15,active,True,0,True,9,True,False,2020-08-12 19:15:20,2020
13,16,16,0,0,2020-08-12 19:04:33+00:00,16,active,True,0,True,3,True,True,2020-08-12 19:15:20,2020
14,14,17,1,0,2020-08-12 19:09:48+00:00,17,active,True,0,True,0,True,False,2020-08-12 19:15:20,2020
15,12,19,0,0,2020-08-12 19:15:03+00:00,19,active,True,0,True,3,True,False,2020-08-12 19:15:20,2020
16,12,20,0,0,2020-08-12 19:14:27+00:00,20,active,True,0,True,11,True,True,2020-08-12 19:15:20,2020
17,5,21,0,0,2020-08-12 19:14:39+00:00,21,active,True,0,True,13,True,True,2020-08-12 19:15:20,2020
18,36,22,1,0,2020-08-12 19:11:53+00:00,22,active,True,0,True,10,True,True,2020-08-12 19:15:20,2020
19,5,23,0,0,2020-08-12 19:04:15+00:00,23,active,True,0,True,16,True,False,2020-08-12 19:15:20,2020
20,7,24,1,0,2020-08-12 18:10:27+00:00,24,active,True,0,True,11,True,False,2020-08-12 19:15:20,2020
21,14,25,1,0,2020-08-12 18:48:01+00:00,25,active,True,0,True,0,True,False,2020-08-12 19:15:20,2020
22,2,26,0,0,2020-08-12 18:47:09+00:00,26,active,True,0,True,13,True,False,2020-08-12 19:15:20,2020
23,9,27,1,0,2020-08-12 18:51:01+00:00,27,active,True,0,True,13,True,False,2020-08-12 19:15:20,2020
24,4,29,0,0,2020-08-12 17:50:54+00:00,29,active,True,0,True,11,True,False,2020-08-12 19:15:20,2020
25,4,30,0,0,2020-08-12 19:05:06+00:00,30,active,True,0,True,11,True,False,2020-08-12 19:15:20,2020
26,13,31,0,0,2020-08-12 18:41:47+00:00,31,active,True,0,True,6,True,True,2020-08-12 19:15:20,2020
27,2,32,0,0,2020-08-12 19:11:44+00:00,32,active,True,0,True,13,True,False,2020-08-12 19:15:20,2020
28,19,33,0,0,2020-08-12 19:06:54+00:00,33,active,True,0,True,8,True,False,2020-08-12 19:15:20,2020
29,4,35,0,0,2020-08-12 19:07:54+00:00,35,active,True,0,True,19,True,False,2020-08-12 19:15:20,2020
30,24,36,0,0,2020-08-12 19:08:09+00:00,36,active,True,0,True,9,True,True,2020-08-12 19:15:20,2020
31,15,37,0,0,2020-08-12 18:30:37+00:00,37,active,True,0,True,0,True,True,2020-08-12 19:15:20,2020
32,10,39,2,0,2020-08-12 19:09:50+00:00,39,active,True,0,True,11,True,False,2020-08-12 19:15:20,2020
33,11,40,1,0,2020-08-12 19:10:53+00:00,40,active,True,0,True,7,True,False,2020-08-12 19:15:20,2020
34,18,41,0,0,2020-08-12 19:13:52+00:00,41,active,True,0,True,9,True,True,2020-08-12 19:15:20,2020
35,7,42,0,0,2020-08-12 19:12:33+00:00,42,active,True,0,True,16,True,False,2020-08-12 19:15:20,2020
36,0,43,0,0,2020-08-12 18:40:11+00:00,43,active,True,0,True,15,True,True,2020-08-12 19:15:20,2020
37,16,44,0,0,2020-08-12 19:10:48+00:00,44,active,True,0,True,7,True,False,2020-08-12 19:15:20,2020
38,11,46,2,0,2020-08-12 19:07:00+00:00,46,active,True,0,True,6,True,False,2020-08-12 19:15:20,2020
39,15,47,0,0,2020-08-12 19:04:42+00:00,47,active,True,0,True,4,True,True,2020-08-12 19:15:20,2020
40,10,48,0,0,2020-08-12 19:12:01+00:00,48,active,True,0,True,9,True,False,2020-08-12 19:15:20,2020
41,1,49,0,0,2020-08-12 18:55:24+00:00,49,active,True,0,True,17,True,False,2020-08-12 19:15:20,2020
42,1,50,0,0,2020-08-12 19:09:43+00:00,50,active,True,0,True,14,True,True,2020-08-12 19:15:20,2020
43,8,51,0,0,2020-08-12 19:14:10+00:00,51,active,True,0,True,7,True,False,2020-08-12 19:15:20,2020
44,9,52,0,0,2020-08-12 19:12:23+00:00,52,active,True,0,True,14,True,True,2020-08-12 19:15:20,2020
45,6,53,0,0,2020-08-12 19:07:06+00:00,53,active,True,0,True,13,True,False,2020-08-12 19:15:20,2020
46,12,54,0,0,2020-08-12 18:59:25+00:00,54,active,True,0,True,3,True,False,2020-08-12 19:15:20,2020
47,11,55,0,0,2020-08-12 19:07:25+00:00,55,active,True,0,True,4,True,False,2020-08-12 19:15:20,2020
48,9,56,1,0,2020-08-12 19:14:54+00:00,56,active,True,0,True,8,True,True,2020-08-12 19:15:20,2020
49,4,57,0,0,2020-08-12 18:20:45+00:00,57,active,True,0,True,10,True,True,2020-08-12 19:15:20,2020
50,8,58,2,0,2020-08-12 19:09:56+00:00,58,active,True,0,True,9,True,True,2020-08-12 19:15:20,2020
51,13,59,0,0,2020-08-12 18:07:03+00:00,59,active,True,0,True,6,True,True,2020-08-12 19:15:20,2020
52,11,60,0,0,2020-08-12 19:15:16+00:00,60,active,True,0,True,8,True,False,2020-08-12 19:15:20,2020
53,2,61,2,0,2020-08-12 19:13:40+00:00,61,active,True,0,True,15,True,False,2020-08-12 19:15:20,2020
54,13,63,0,0,2020-08-12 18:31:36+00:00,63,active,True,0,True,2,True,False,2020-08-12 19:15:20,2020
55,13,64,0,0,2020-08-12 18:41:20+00:00,64,active,True,0,True,6,True,False,2020-08-12 19:15:20,2020
56,22,65,0,0,2020-08-12 18:57:19+00:00,65,active,True,0,True,1,True,False,2020-08-12 19:15:20,2020
57,13,66,0,0,2020-08-12 19:12:12+00:00,66,active,True,0,True,2,True,False,2020-08-12 19:15:20,2020
58,17,67,0,0,2020-08-12 19:03:39+00:00,67,active,True,0,True,10,True,True,2020-08-12 19:15:20,2020
59,4,68,0,0,2020-08-12 18:59:13+00:00,68,active,True,0,True,15,True,True,2020-08-12 19:15:20,2020
60,17,69,0,0,2020-08-12 18:45:32+00:00,69,active,True,0,True,2,True,True,2020-08-12 19:15:20,2020
61,5,70,1,0,2020-08-12 17:41:34+00:00,70,active,True,0,True,17,True,False,2020-08-12 19:15:20,2020
62,5,71,0,0,2020-08-12 18:58:38+00:00,71,active,True,0,True,18,True,False,2020-08-12 19:15:20,2020
63,10,72,0,0,2020-08-12 19:09:44+00:00,72,active,True,0,True,13,True,False,2020-08-12 19:15:20,2020
64,2,73,1,0,2020-08-12 19:00:52+00:00,73,active,True,0,True,12,True,False,2020-08-12 19:15:20,2020
65,8,74,1,0,2020-08-12 19:09:14+00:00,74,active,True,0,True,10,True,True,2020-08-12 19:15:20,2020
66,13,75,0,0,2020-08-12 19:07:49+00:00,75,active,True,0,True,2,True,False,2020-08-12 19:15:20,2020
67,2,76,0,0,2020-08-12 19:07:27+00:00,76,active,True,0,True,15,True,False,2020-08-12 19:15:20,2020
68,5,77,1,0,2020-08-12 18:57:51+00:00,77,active,True,0,True,9,True,False,2020-08-12 19:15:20,2020
69,8,78,0,0,2020-08-12 19:12:17+00:00,78,active,True,0,True,11,True,False,2020-08-12 19:15:20,2020
70,14,79,1,0,2020-08-12 19:13:44+00:00,79,active,True,0,True,4,True,False,2020-08-12 19:15:20,2020
71,1,80,0,0,2020-08-12 19:11:00+00:00,80,active,True,0,True,34,True,False,2020-08-12 19:15:20,2020
72,2,81,0,0,2020-08-12 19:14:50+00:00,81,active,True,0,True,17,True,False,2020-08-12 19:15:20,2020
73,9,82,0,0,2020-08-12 19:05:05+00:00,82,active,True,0,True,6,True,False,2020-08-12 19:15:20,2020
74,6,84,0,0,2020-08-12 19:14:39+00:00,84,active,True,0,True,9,True,False,2020-08-12 19:15:20,2020
75,2,85,1,0,2020-08-12 19:14:29+00:00,85,active,True,0,True,16,True,False,2020-08-12 19:15:20,2020
76,12,86,0,0,2020-08-12 18:26:49+00:00,86,active,True,0,True,7,True,False,2020-08-12 19:15:20,2020
77,9,87,0,0,2020-08-12 18:59:41+00:00,87,active,True,0,True,6,True,False,2020-08-12 19:15:20,2020
78,15,89,0,0,2020-08-12 18:22:34+00:00,89,active,True,0,True,4,True,False,2020-08-12 19:15:20,2020
79,6,90,1,0,2020-08-12 19:05:07+00:00,90,active,True,0,True,12,True,False,2020-08-12 19:15:20,2020
80,4,91,0,0,2020-08-12 19:02:50+00:00,91,active,True,0,True,15,True,False,2020-08-12 19:15:20,2020
81,10,92,1,0,2020-08-12 18:07:58+00:00,92,active,True,0,True,8,True,False,2020-08-12 19:15:20,2020
82,2,93,2,0,2020-08-12 19:12:31+00:00,93,active,True,0,True,11,True,False,2020-08-12 19:15:20,2020
83,9,94,0,0,2020-08-12 18:49:39+00:00,94,active,True,0,True,2,True,False,2020-08-12 19:15:20,2020
84,14,95,0,0,2020-08-12 18:43:41+00:00,95,active,True,0,True,1,True,False,2020-08-12 19:15:20,2020
85,14,96,0,0,2020-08-12 19:07:43+00:00,96,active,True,0,True,5,True,False,2020-08-12 19:15:20,2020
86,12,97,1,0,2020-08-12 18:25:07+00:00,97,active,True,0,True,6,True,False,2020-08-12 19:15:20,2020
87,6,98,0,0,2020-08-12 19:14:44+00:00,98,active,True,0,True,17,True,False,2020-08-12 19:15:20,2020
88,9,99,0,0,2020-08-12 17:26:10+00:00,99,active,True,0,True,6,True,False,2020-08-12 19:15:20,2020
89,3,100,0,0,2020-08-12 18:00:47+00:00,100,active,True,0,True,22,True,True,2020-08-12 19:15:20,2020
90,6,101,0,0,2020-08-12 17:19:54+00:00,101,active,True,0,True,9,True,False,2020-08-12 19:15:20,2020
91,14,102,0,0,2020-08-12 18:10:46+00:00,102,active,True,0,True,1,True,False,2020-08-12 19:15:20,2020
92,14,103,0,0,2020-08-12 18:39:07+00:00,103,active,True,0,True,1,True,False,2020-08-12 19:15:20,2020
