,num_docks_disabled,is_renting,station_status,num_bikes_available,num_ebikes_available,station_id,num_docks_available,eightd_has_available_keys,last_reported,is_installed,is_returning,num_bikes_disabled,legacy_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,0,True,active,2,0,3,13,False,2020-08-07 05:10:57+00:00,True,True,0,3,,,2020-08-07 08:27:10,2020
1,0,True,active,17,0,4,2,False,2020-08-07 07:07:42+00:00,True,True,0,4,,,2020-08-07 08:27:10,2020
2,0,True,active,13,0,5,0,False,2020-08-07 08:24:04+00:00,True,True,2,5,,,2020-08-07 08:27:10,2020
3,0,True,active,11,0,6,3,False,2020-08-07 08:19:26+00:00,True,True,1,6,,,2020-08-07 08:27:10,2020
4,0,True,active,3,0,7,12,False,2020-08-07 08:09:03+00:00,True,True,0,7,,,2020-08-07 08:27:10,2020
5,0,True,active,12,0,8,6,False,2020-08-07 08:19:23+00:00,True,True,1,8,,,2020-08-07 08:27:10,2020
6,0,True,active,14,0,9,0,False,2020-08-07 06:54:19+00:00,True,True,1,9,,,2020-08-07 08:27:10,2020
7,0,True,active,0,0,10,11,False,2020-08-07 04:27:36+00:00,True,True,0,10,,,2020-08-07 08:27:10,2020
8,0,True,active,0,0,11,14,False,2020-08-07 01:43:03+00:00,True,True,1,11,,,2020-08-07 08:27:10,2020
9,0,True,active,4,0,12,14,True,2020-08-07 07:29:05+00:00,True,True,0,12,,,2020-08-07 08:27:10,2020
10,0,True,active,0,0,13,19,False,2020-08-07 01:27:59+00:00,True,True,0,13,,,2020-08-07 08:27:10,2020
11,0,True,active,0,0,14,25,False,2020-08-07 06:03:10+00:00,True,True,0,14,,,2020-08-07 08:27:10,2020
12,0,True,active,14,0,15,1,False,2020-08-07 08:14:06+00:00,True,True,0,15,,,2020-08-07 08:27:10,2020
13,0,True,active,10,0,16,9,True,2020-08-07 06:58:37+00:00,True,True,0,16,,,2020-08-07 08:27:10,2020
14,0,True,active,4,0,17,10,False,2020-08-07 05:35:11+00:00,True,True,1,17,,,2020-08-07 08:27:10,2020
15,0,True,active,9,0,19,6,False,2020-08-07 04:47:22+00:00,True,True,0,19,,,2020-08-07 08:27:10,2020
16,0,True,active,1,0,20,22,True,2020-08-07 06:15:29+00:00,True,True,0,20,,,2020-08-07 08:27:10,2020
17,0,True,active,17,0,21,1,True,2020-08-07 05:04:37+00:00,True,True,0,21,,,2020-08-07 08:27:10,2020
18,0,True,active,12,0,22,34,True,2020-08-07 05:12:24+00:00,True,True,1,22,,,2020-08-07 08:27:10,2020
19,0,True,active,13,0,23,8,True,2020-08-07 03:39:03+00:00,True,True,0,23,,,2020-08-07 08:27:10,2020
20,0,True,active,0,0,24,17,False,2020-08-07 05:43:27+00:00,True,True,2,24,,,2020-08-07 08:27:10,2020
