,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
0,3,0,0,0,15,0,True,True,True,2020-03-13 00:42:53+00:00,True,2020-03-13 07:54:15,2020
1,4,17,0,0,2,0,True,True,True,2020-03-13 05:27:11+00:00,False,2020-03-13 07:54:15,2020
2,5,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-13 07:54:15,1970
3,6,3,0,0,12,0,True,True,True,2020-03-13 04:45:41+00:00,False,2020-03-13 07:54:15,2020
4,7,2,0,0,13,0,True,True,True,2020-03-13 02:51:58+00:00,False,2020-03-13 07:54:15,2020
5,8,11,0,1,7,0,True,True,True,2020-03-13 04:37:01+00:00,False,2020-03-13 07:54:15,2020
6,9,6,0,1,8,0,True,True,True,2020-03-13 05:01:09+00:00,False,2020-03-13 07:54:15,2020
7,10,5,0,0,6,0,True,True,True,2020-03-13 04:05:08+00:00,False,2020-03-13 07:54:15,2020
8,11,0,0,0,15,0,True,True,True,2020-03-13 05:22:29+00:00,False,2020-03-13 07:54:15,2020
9,12,2,0,0,16,0,True,True,True,2020-03-13 02:44:27+00:00,True,2020-03-13 07:54:15,2020
10,13,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-13 07:54:15,1970
11,14,0,0,0,25,0,True,True,True,2020-03-13 02:02:58+00:00,False,2020-03-13 07:54:15,2020
12,15,15,0,0,0,0,True,True,True,2020-03-13 01:56:35+00:00,False,2020-03-13 07:54:15,2020
13,16,14,0,0,5,0,True,True,True,2020-03-13 05:25:26+00:00,True,2020-03-13 07:54:15,2020
14,17,6,0,0,9,0,True,True,True,2020-03-13 03:16:22+00:00,False,2020-03-13 07:54:15,2020
15,19,8,0,2,5,0,True,True,True,2020-03-13 06:02:00+00:00,False,2020-03-13 07:54:15,2020
16,20,16,0,0,7,0,True,True,True,2020-03-13 01:51:18+00:00,True,2020-03-13 07:54:15,2020
17,21,1,0,1,16,0,True,True,True,2020-03-13 05:39:33+00:00,True,2020-03-13 07:54:15,2020
18,22,39,0,0,8,0,True,True,True,2020-03-13 03:47:52+00:00,True,2020-03-13 07:54:15,2020
19,23,0,0,0,21,0,True,True,True,2020-03-13 01:37:08+00:00,True,2020-03-13 07:54:15,2020
20,24,17,0,0,2,0,True,True,True,2020-03-13 06:38:41+00:00,False,2020-03-13 07:54:15,2020
21,25,10,0,0,5,0,True,True,True,2020-03-13 06:31:25+00:00,False,2020-03-13 07:54:15,2020
22,26,6,0,0,9,0,True,True,True,2020-03-13 02:55:50+00:00,False,2020-03-13 07:54:15,2020
23,27,14,0,0,9,0,True,True,True,2020-03-13 02:49:47+00:00,False,2020-03-13 07:54:15,2020
24,29,5,0,0,10,0,True,True,True,2020-03-13 02:34:21+00:00,False,2020-03-13 07:54:15,2020
25,30,0,0,0,15,0,True,True,True,2020-03-13 05:53:24+00:00,False,2020-03-13 07:54:15,2020
26,31,4,0,1,14,0,True,True,True,2020-03-13 00:46:55+00:00,False,2020-03-13 07:54:15,2020
27,32,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-13 07:54:15,1970
28,33,0,0,11,0,16,True,True,True,2020-03-13 07:50:25+00:00,True,2020-03-13 07:54:15,2020
29,35,0,0,0,3,0,False,False,False,2019-11-18 21:05:37+00:00,False,2020-03-13 07:54:15,2019
30,36,7,0,0,26,0,True,True,True,2020-03-13 01:52:30+00:00,True,2020-03-13 07:54:15,2020
31,37,1,0,1,13,0,True,True,True,2020-03-13 01:41:21+00:00,True,2020-03-13 07:54:15,2020
32,39,8,0,0,15,0,True,True,True,2020-03-13 03:51:24+00:00,False,2020-03-13 07:54:15,2020
33,40,3,0,0,16,0,True,True,True,2020-03-13 02:59:04+00:00,False,2020-03-13 07:54:15,2020
34,41,23,0,1,3,0,True,True,True,2020-03-13 06:12:09+00:00,True,2020-03-13 07:54:15,2020
35,42,21,0,2,0,0,True,True,True,2020-03-13 00:46:51+00:00,False,2020-03-13 07:54:15,2020
36,43,8,0,0,7,0,True,True,True,2020-03-12 23:58:29+00:00,False,2020-03-13 07:54:15,2020
37,44,9,0,0,14,0,True,True,True,2020-03-13 05:00:54+00:00,False,2020-03-13 07:54:15,2020
38,46,16,0,2,1,0,True,True,True,2020-03-13 03:37:26+00:00,False,2020-03-13 07:54:15,2020
39,47,9,0,0,10,0,True,True,True,2020-03-13 06:39:26+00:00,True,2020-03-13 07:54:15,2020
40,48,0,0,0,3,0,False,False,False,2020-03-04 17:50:43+00:00,False,2020-03-13 07:54:15,2020
41,49,7,0,0,11,0,True,True,True,2020-03-13 01:12:29+00:00,False,2020-03-13 07:54:15,2020
42,50,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,True,2020-03-13 07:54:15,1970
43,51,7,0,1,7,0,True,True,True,2020-03-13 02:49:18+00:00,False,2020-03-13 07:54:15,2020
44,52,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,True,2020-03-13 07:54:15,1970
45,53,0,0,0,3,0,False,False,False,2020-03-04 20:56:41+00:00,False,2020-03-13 07:54:15,2020
46,54,3,0,0,12,0,True,True,True,2020-03-13 04:21:23+00:00,False,2020-03-13 07:54:15,2020
47,55,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-13 07:54:15,1970
48,56,4,0,0,14,0,True,True,True,2020-03-13 01:33:35+00:00,False,2020-03-13 07:54:15,2020
49,57,10,0,0,4,0,True,True,True,2020-03-13 05:38:16+00:00,True,2020-03-13 07:54:15,2020
