,num_ebikes_available,station_id,legacy_id,num_docks_available,eightd_has_available_keys,is_returning,num_bikes_disabled,last_reported,is_renting,is_installed,num_docks_disabled,station_status,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
48,0,56,56,6,True,True,0,2020-07-29 18:31:43+00:00,True,True,0,active,12,,,2020-07-29 18:45:20,2020
49,0,57,57,12,True,True,0,2020-07-29 18:43:43+00:00,True,True,0,active,2,,,2020-07-29 18:45:20,2020
50,0,58,58,14,True,True,1,2020-07-29 18:45:14+00:00,True,True,0,active,4,,,2020-07-29 18:45:20,2020
51,0,59,59,10,True,True,0,2020-07-29 18:39:31+00:00,True,True,0,active,9,,,2020-07-29 18:45:20,2020
52,0,60,60,18,False,True,0,2020-07-29 18:40:10+00:00,True,True,0,active,1,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 40, 'valet_revision': 61, 'off_dock_count': 28, 'active': True, 'dock_blocked_count': 0}",2020-07-29 18:45:20,2020
53,0,61,61,5,False,True,1,2020-07-29 18:42:10+00:00,True,True,0,active,13,,,2020-07-29 18:45:20,2020
54,0,63,63,2,False,True,0,2020-07-29 18:02:50+00:00,True,True,0,active,13,,,2020-07-29 18:45:20,2020
55,0,64,64,2,False,True,1,2020-07-29 18:43:11+00:00,True,True,0,active,16,,,2020-07-29 18:45:20,2020
56,0,65,65,13,False,True,1,2020-07-29 18:03:19+00:00,True,True,0,active,9,,,2020-07-29 18:45:20,2020
57,0,66,66,14,False,True,0,2020-07-29 18:33:22+00:00,True,True,0,active,1,,,2020-07-29 18:45:20,2020
58,0,67,67,16,True,True,2,2020-07-29 18:38:22+00:00,True,True,0,active,9,,,2020-07-29 18:45:20,2020
59,0,68,68,13,True,True,1,2020-07-29 18:44:54+00:00,True,True,0,active,5,,,2020-07-29 18:45:20,2020
60,0,69,69,17,True,True,1,2020-07-29 18:31:02+00:00,True,True,0,active,1,,,2020-07-29 18:45:20,2020
61,0,70,70,19,False,True,0,2020-07-29 18:03:07+00:00,True,True,0,active,4,,,2020-07-29 18:45:20,2020
62,0,71,71,7,False,True,0,2020-07-29 16:53:42+00:00,True,True,0,active,16,,,2020-07-29 18:45:20,2020
63,0,72,72,12,False,True,0,2020-07-29 18:29:17+00:00,True,True,0,active,11,,,2020-07-29 18:45:20,2020
64,0,73,73,7,False,True,1,2020-07-29 18:35:49+00:00,True,True,0,active,7,,,2020-07-29 18:45:20,2020
65,0,74,74,7,True,True,2,2020-07-29 18:44:42+00:00,True,True,0,active,10,,,2020-07-29 18:45:20,2020
66,0,75,75,8,False,True,0,2020-07-29 18:35:15+00:00,True,True,0,active,7,,,2020-07-29 18:45:20,2020
67,0,76,76,11,False,True,0,2020-07-29 18:25:20+00:00,True,True,0,active,6,,,2020-07-29 18:45:20,2020
68,0,77,77,10,False,True,0,2020-07-29 18:30:57+00:00,True,True,0,active,5,,,2020-07-29 18:45:20,2020
69,0,78,78,9,False,True,0,2020-07-29 18:23:39+00:00,True,True,0,active,10,,,2020-07-29 18:45:20,2020
