,is_renting,num_bikes_disabled,station_id,last_reported,num_ebikes_available,num_docks_disabled,is_returning,legacy_id,num_docks_available,station_status,eightd_has_available_keys,num_bikes_available,is_installed,timestamp_of_data_read_request,year_station_last_reported
178,True,0,205,2020-08-12 23:01:00+00:00,0,0,True,205,10,active,False,5,True,2020-08-12 23:20:25,2020
179,True,1,206,2020-08-12 23:12:08+00:00,0,0,True,206,22,active,True,0,True,2020-08-12 23:20:25,2020
180,True,1,208,2020-08-12 23:18:26+00:00,0,0,True,208,11,active,True,3,True,2020-08-12 23:20:25,2020
181,True,0,209,2020-08-12 19:30:28+00:00,0,0,True,209,11,active,False,4,True,2020-08-12 23:20:25,2020
182,True,0,210,2020-08-12 21:31:14+00:00,0,0,True,210,14,active,False,1,True,2020-08-12 23:20:25,2020
183,True,0,211,2020-08-12 22:50:46+00:00,0,0,True,211,15,active,False,4,True,2020-08-12 23:20:25,2020
184,True,0,212,2020-08-12 22:45:08+00:00,0,0,True,212,5,active,False,28,True,2020-08-12 23:20:25,2020
185,True,0,213,2020-08-12 22:29:57+00:00,0,0,True,213,12,active,True,4,True,2020-08-12 23:20:25,2020
186,True,0,214,2020-08-12 22:22:55+00:00,0,0,True,214,14,active,False,1,True,2020-08-12 23:20:25,2020
187,True,1,215,2020-08-12 22:49:23+00:00,0,0,True,215,7,active,False,7,True,2020-08-12 23:20:25,2020
188,True,1,216,2020-08-12 21:12:33+00:00,0,0,True,216,0,active,False,18,True,2020-08-12 23:20:25,2020
189,True,0,217,2020-08-12 22:01:22+00:00,0,0,True,217,5,active,False,14,True,2020-08-12 23:20:25,2020
190,True,0,218,2020-08-12 23:19:49+00:00,0,0,True,218,0,active,False,15,True,2020-08-12 23:20:25,2020
191,True,1,219,2020-08-12 22:24:22+00:00,0,0,True,219,8,active,False,6,True,2020-08-12 23:20:25,2020
192,True,0,221,2020-08-12 23:19:40+00:00,0,0,True,221,11,active,False,8,True,2020-08-12 23:20:25,2020
193,True,0,222,2020-08-12 22:38:09+00:00,0,0,True,222,11,active,True,3,True,2020-08-12 23:20:25,2020
194,True,2,224,2020-08-12 23:05:08+00:00,0,0,True,224,1,active,False,14,True,2020-08-12 23:20:25,2020
195,True,0,225,2020-08-12 23:13:34+00:00,0,0,True,225,14,active,False,5,True,2020-08-12 23:20:25,2020
196,True,0,226,2020-08-12 23:15:38+00:00,0,0,True,226,14,active,False,1,True,2020-08-12 23:20:25,2020
197,True,3,227,2020-08-12 23:15:55+00:00,0,0,True,227,7,active,False,9,True,2020-08-12 23:20:25,2020
198,True,1,228,2020-08-12 23:13:29+00:00,0,0,True,228,18,active,False,0,True,2020-08-12 23:20:25,2020
199,True,0,232,2020-08-12 23:16:57+00:00,0,0,True,232,2,active,False,9,True,2020-08-12 23:20:25,2020
200,False,0,233,2020-08-12 18:16:55+00:00,0,0,False,233,9,active,False,6,True,2020-08-12 23:20:25,2020
201,True,0,234,2020-08-12 22:27:28+00:00,0,0,True,234,14,active,False,1,True,2020-08-12 23:20:25,2020
202,True,0,235,2020-08-12 22:29:13+00:00,0,0,True,235,10,active,False,5,True,2020-08-12 23:20:25,2020
203,True,0,236,2020-08-12 23:08:31+00:00,0,0,True,236,5,active,False,10,True,2020-08-12 23:20:25,2020
204,True,0,239,2020-08-12 23:06:08+00:00,0,0,True,239,8,active,False,7,True,2020-08-12 23:20:25,2020
205,True,0,255,2020-08-12 21:50:25+00:00,0,0,True,255,6,active,False,9,True,2020-08-12 23:20:25,2020
206,True,0,258,2020-08-12 08:54:13+00:00,0,0,True,258,5,active,False,10,True,2020-08-12 23:20:25,2020
207,True,0,259,2020-08-12 08:53:25+00:00,0,0,True,259,0,active,False,15,True,2020-08-12 23:20:25,2020
208,False,0,260,2020-08-12 20:35:39+00:00,0,0,False,260,3,active,False,12,True,2020-08-12 23:20:25,2020
209,True,0,271,2020-08-12 22:03:53+00:00,0,0,True,271,11,active,False,4,True,2020-08-12 23:20:25,2020
210,True,1,272,2020-08-12 20:00:47+00:00,0,0,True,272,12,active,False,6,True,2020-08-12 23:20:25,2020
211,True,0,273,2020-08-12 23:12:35+00:00,0,0,True,273,24,active,False,16,True,2020-08-12 23:20:25,2020
212,True,0,279,2020-08-12 22:54:11+00:00,0,0,True,279,1,active,False,18,True,2020-08-12 23:20:25,2020
213,True,0,280,2020-08-12 22:59:25+00:00,0,0,True,280,11,active,False,8,True,2020-08-12 23:20:25,2020
214,True,1,282,2020-08-12 22:45:46+00:00,0,0,True,282,7,active,False,7,True,2020-08-12 23:20:25,2020
215,True,0,296,2020-08-12 23:11:07+00:00,0,0,True,296,18,active,False,5,True,2020-08-12 23:20:25,2020
216,True,0,318,2020-08-12 23:09:54+00:00,0,0,True,318,14,active,False,5,True,2020-08-12 23:20:25,2020
217,True,0,319,2020-08-12 22:09:02+00:00,0,0,True,319,24,active,False,1,True,2020-08-12 23:20:25,2020
218,True,0,327,2020-08-12 23:14:26+00:00,0,0,True,327,10,active,False,5,True,2020-08-12 23:20:25,2020
219,True,1,328,2020-08-12 23:20:05+00:00,0,0,True,328,5,active,False,9,True,2020-08-12 23:20:25,2020
220,True,0,329,2020-08-12 22:03:48+00:00,0,0,True,329,8,active,False,7,True,2020-08-12 23:20:25,2020
221,True,0,330,2020-08-12 23:19:16+00:00,0,0,True,330,5,active,False,10,True,2020-08-12 23:20:25,2020
222,True,0,331,2020-08-12 23:17:50+00:00,0,0,True,331,15,active,False,0,True,2020-08-12 23:20:25,2020
223,True,1,332,2020-08-12 23:14:08+00:00,0,0,True,332,8,active,False,6,True,2020-08-12 23:20:25,2020
224,True,0,333,2020-08-12 20:44:25+00:00,0,0,True,333,4,active,False,21,True,2020-08-12 23:20:25,2020
225,True,2,334,2020-08-12 22:49:23+00:00,0,0,True,334,3,active,False,14,True,2020-08-12 23:20:25,2020
226,True,0,335,2020-08-12 23:17:33+00:00,0,0,True,335,11,active,False,8,True,2020-08-12 23:20:25,2020
227,True,0,336,2020-08-12 22:58:54+00:00,0,0,True,336,10,active,False,5,True,2020-08-12 23:20:25,2020
228,True,0,337,2020-08-12 22:00:39+00:00,0,0,True,337,0,active,False,15,True,2020-08-12 23:20:25,2020
229,True,1,338,2020-08-12 23:20:00+00:00,0,0,True,338,7,active,False,7,True,2020-08-12 23:20:25,2020
230,True,0,339,2020-08-12 22:36:05+00:00,0,0,True,339,1,active,False,14,True,2020-08-12 23:20:25,2020
231,True,0,340,2020-08-12 08:52:43+00:00,0,0,True,340,1,active,False,18,True,2020-08-12 23:20:25,2020
232,True,1,341,2020-08-12 20:57:28+00:00,0,0,True,341,6,active,True,8,True,2020-08-12 23:20:25,2020
233,True,0,342,2020-08-12 23:20:09+00:00,0,0,True,342,8,active,False,7,True,2020-08-12 23:20:25,2020
234,True,0,343,2020-08-12 16:19:17+00:00,0,0,True,343,11,active,False,4,True,2020-08-12 23:20:25,2020
235,True,0,344,2020-08-12 23:06:07+00:00,0,0,True,344,13,active,False,6,True,2020-08-12 23:20:25,2020
236,True,0,345,2020-08-12 22:14:07+00:00,0,0,True,345,19,active,False,0,True,2020-08-12 23:20:25,2020
