,is_returning,num_bikes_available,station_status,eightd_has_available_keys,num_docks_disabled,station_id,num_bikes_disabled,num_docks_available,is_renting,legacy_id,num_ebikes_available,last_reported,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
117,True,12,active,False,0,130,0,3,True,130,0,2020-08-13 21:44:18+00:00,True,,,2020-08-13 22:19:30,2020
118,True,7,active,False,0,131,2,9,True,131,0,2020-08-13 22:18:22+00:00,True,,,2020-08-13 22:19:30,2020
119,True,6,active,False,0,133,0,17,True,133,0,2020-08-13 22:18:13+00:00,True,,,2020-08-13 22:19:30,2020
120,True,1,active,False,0,135,0,16,True,135,0,2020-08-13 20:55:32+00:00,True,,,2020-08-13 22:19:30,2020
121,True,6,active,False,0,136,1,12,True,136,0,2020-08-13 22:01:48+00:00,True,,,2020-08-13 22:19:30,2020
122,True,7,active,False,0,137,0,8,True,137,0,2020-08-13 21:56:45+00:00,True,,,2020-08-13 22:19:30,2020
123,True,10,active,False,0,138,2,3,True,138,0,2020-08-13 22:10:30+00:00,True,,,2020-08-13 22:19:30,2020
124,True,3,active,False,0,139,1,15,True,139,0,2020-08-13 22:17:14+00:00,True,,,2020-08-13 22:19:30,2020
125,True,15,active,False,0,140,0,2,True,140,0,2020-08-13 22:19:08+00:00,True,,,2020-08-13 22:19:30,2020
126,True,12,active,False,0,141,0,3,True,141,0,2020-08-13 22:14:16+00:00,True,,,2020-08-13 22:19:30,2020
127,True,12,active,False,0,142,1,10,True,142,0,2020-08-13 21:50:10+00:00,True,,,2020-08-13 22:19:30,2020
128,True,13,active,False,0,143,1,9,True,143,0,2020-08-13 21:33:59+00:00,True,,,2020-08-13 22:19:30,2020
129,True,8,active,False,0,144,0,11,True,144,0,2020-08-13 21:26:43+00:00,True,,,2020-08-13 22:19:30,2020
130,True,17,active,False,0,145,0,2,True,145,0,2020-08-13 20:23:39+00:00,True,,,2020-08-13 22:19:30,2020
131,True,2,active,False,0,146,1,16,True,146,0,2020-08-13 22:17:17+00:00,True,,,2020-08-13 22:19:30,2020
132,True,5,active,True,0,149,1,12,True,149,0,2020-08-13 22:06:11+00:00,True,,,2020-08-13 22:19:30,2020
133,True,8,active,False,0,150,1,10,True,150,0,2020-08-13 21:24:38+00:00,True,,,2020-08-13 22:19:30,2020
134,True,8,active,False,0,151,1,10,True,151,0,2020-08-13 21:41:50+00:00,True,,,2020-08-13 22:19:30,2020
135,True,9,active,True,0,152,0,6,True,152,0,2020-08-13 21:51:22+00:00,True,,,2020-08-13 22:19:30,2020
136,True,7,active,False,0,156,0,8,True,156,0,2020-08-13 21:23:33+00:00,True,,,2020-08-13 22:19:30,2020
137,True,8,active,False,0,157,1,6,True,157,0,2020-08-13 22:19:24+00:00,True,,,2020-08-13 22:19:30,2020
138,True,9,active,False,0,159,0,6,True,159,0,2020-08-13 21:59:28+00:00,True,,,2020-08-13 22:19:30,2020
139,True,13,active,True,0,160,0,1,True,160,0,2020-08-13 22:09:46+00:00,True,,,2020-08-13 22:19:30,2020
140,True,13,active,True,0,161,2,8,True,161,0,2020-08-13 22:15:11+00:00,True,,,2020-08-13 22:19:30,2020
141,True,3,active,False,0,162,0,12,True,162,0,2020-08-13 21:13:06+00:00,True,,,2020-08-13 22:19:30,2020
142,True,12,active,True,0,163,0,7,True,163,0,2020-08-13 22:09:25+00:00,True,,,2020-08-13 22:19:30,2020
143,True,1,active,False,0,167,0,14,True,167,0,2020-08-13 22:00:48+00:00,True,,,2020-08-13 22:19:30,2020
144,True,6,active,False,0,169,0,13,True,169,0,2020-08-13 21:28:23+00:00,True,,,2020-08-13 22:19:30,2020
145,True,5,active,True,0,170,0,9,True,170,0,2020-08-13 22:08:56+00:00,True,,,2020-08-13 22:19:30,2020
146,True,9,active,True,0,171,0,14,True,171,0,2020-08-13 20:44:08+00:00,True,,,2020-08-13 22:19:30,2020
147,True,13,active,True,0,173,0,1,True,173,0,2020-08-13 21:59:40+00:00,True,,,2020-08-13 22:19:30,2020
148,True,6,active,False,0,174,1,8,True,174,0,2020-08-13 21:50:07+00:00,True,,,2020-08-13 22:19:30,2020
149,True,2,active,True,0,175,2,13,True,175,0,2020-08-13 22:15:28+00:00,True,,,2020-08-13 22:19:30,2020
150,True,13,active,False,0,176,0,2,True,176,0,2020-08-13 21:39:24+00:00,True,,,2020-08-13 22:19:30,2020
151,True,0,active,False,0,177,0,19,True,177,0,2020-08-13 22:06:51+00:00,True,,,2020-08-13 22:19:30,2020
152,True,0,active,False,0,178,0,19,True,178,0,2020-08-13 22:14:54+00:00,True,,,2020-08-13 22:19:30,2020
153,True,13,active,False,0,179,0,12,True,179,0,2020-08-13 22:11:34+00:00,True,,,2020-08-13 22:19:30,2020
154,True,9,active,False,0,180,0,10,True,180,0,2020-08-13 22:10:31+00:00,True,,,2020-08-13 22:19:30,2020
155,True,8,active,False,0,181,0,11,True,181,0,2020-08-13 22:16:00+00:00,True,,,2020-08-13 22:19:30,2020
156,True,1,active,True,0,182,0,18,True,182,0,2020-08-13 21:49:50+00:00,True,,,2020-08-13 22:19:30,2020
157,True,8,active,False,0,183,1,10,True,183,0,2020-08-13 22:18:40+00:00,True,,,2020-08-13 22:19:30,2020
