,num_docks_disabled,legacy_id,num_docks_available,is_renting,num_bikes_available,eightd_has_available_keys,is_returning,num_bikes_disabled,last_reported,station_id,num_ebikes_available,station_status,is_installed,timestamp_of_data_read_request,year_station_last_reported
0,0,3,14,True,1,False,True,0,2020-08-11 03:20:54+00:00,3,0,active,True,2020-08-11 03:44:40,2020
1,0,4,9,True,10,False,True,0,2020-08-11 03:34:49+00:00,4,0,active,True,2020-08-11 03:44:40,2020
2,0,5,8,True,7,False,True,0,2020-08-11 03:30:33+00:00,5,0,active,True,2020-08-11 03:44:40,2020
3,0,6,8,True,5,False,True,2,2020-08-11 03:18:36+00:00,6,0,active,True,2020-08-11 03:44:40,2020
4,0,7,3,True,12,False,True,0,2020-08-11 03:15:54+00:00,7,0,active,True,2020-08-11 03:44:40,2020
5,0,8,0,True,17,False,True,2,2020-08-11 01:41:34+00:00,8,0,active,True,2020-08-11 03:44:40,2020
6,0,9,2,True,13,False,True,0,2020-08-11 02:56:54+00:00,9,0,active,True,2020-08-11 03:44:40,2020
7,0,10,5,True,6,False,True,0,2020-08-11 02:49:09+00:00,10,0,active,True,2020-08-11 03:44:40,2020
8,0,11,15,True,0,False,True,0,2020-08-11 03:05:54+00:00,11,0,active,True,2020-08-11 03:44:40,2020
9,0,12,5,True,12,True,True,1,2020-08-11 03:41:22+00:00,12,0,active,True,2020-08-11 03:44:40,2020
10,0,13,19,True,0,False,True,0,2020-08-11 03:28:59+00:00,13,0,active,True,2020-08-11 03:44:40,2020
11,0,14,25,True,0,False,True,0,2020-08-11 03:42:22+00:00,14,0,active,True,2020-08-11 03:44:40,2020
12,0,15,0,True,15,False,True,0,2020-08-10 23:44:01+00:00,15,0,active,True,2020-08-11 03:44:40,2020
13,0,16,13,True,6,True,True,0,2020-08-11 02:09:05+00:00,16,0,active,True,2020-08-11 03:44:40,2020
14,0,17,8,True,6,False,True,1,2020-08-11 01:59:29+00:00,17,0,active,True,2020-08-11 03:44:40,2020
15,0,19,6,True,9,False,True,0,2020-08-11 01:39:14+00:00,19,0,active,True,2020-08-11 03:44:40,2020
16,0,20,12,True,9,True,True,2,2020-08-11 03:41:34+00:00,20,0,active,True,2020-08-11 03:44:40,2020
17,0,21,12,True,6,True,True,0,2020-08-11 03:29:47+00:00,21,0,active,True,2020-08-11 03:44:40,2020
18,0,22,39,True,6,True,True,2,2020-08-11 03:31:17+00:00,22,0,active,True,2020-08-11 03:44:40,2020
19,0,23,20,True,0,False,True,1,2020-08-11 00:51:13+00:00,23,0,active,True,2020-08-11 03:44:40,2020
20,0,24,18,True,0,False,True,1,2020-08-11 02:35:45+00:00,24,0,active,True,2020-08-11 03:44:40,2020
21,0,25,3,True,10,False,True,2,2020-08-11 03:30:40+00:00,25,0,active,True,2020-08-11 03:44:40,2020
22,0,26,6,True,8,False,True,1,2020-08-11 02:13:05+00:00,26,0,active,True,2020-08-11 03:44:40,2020
