,num_bikes_available,is_installed,is_returning,station_status,legacy_id,last_reported,is_renting,num_ebikes_available,station_id,num_docks_disabled,num_bikes_disabled,num_docks_available,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
154,17,True,True,active,180,2020-08-10 20:29:42+00:00,True,0,180,0,0,2,False,,,2020-08-10 21:26:40,2020
155,5,True,True,active,181,2020-08-10 20:14:15+00:00,True,0,181,0,0,14,False,,,2020-08-10 21:26:40,2020
156,4,True,True,active,182,2020-08-10 21:06:10+00:00,True,0,182,0,0,15,True,,,2020-08-10 21:26:40,2020
157,2,True,True,active,183,2020-08-10 21:22:28+00:00,True,0,183,0,0,17,False,,,2020-08-10 21:26:40,2020
158,4,True,True,active,184,2020-08-10 21:15:00+00:00,True,0,184,0,0,15,False,,,2020-08-10 21:26:40,2020
159,2,True,True,active,185,2020-08-10 21:03:30+00:00,True,0,185,0,1,12,False,,,2020-08-10 21:26:40,2020
160,11,True,True,active,186,2020-08-10 21:25:46+00:00,True,0,186,0,2,2,True,,,2020-08-10 21:26:40,2020
161,9,True,True,active,187,2020-08-10 21:04:10+00:00,True,0,187,0,0,6,False,,,2020-08-10 21:26:40,2020
162,6,True,True,active,188,2020-08-10 15:42:08+00:00,True,0,188,0,0,9,False,,,2020-08-10 21:26:40,2020
163,11,True,True,active,189,2020-08-10 21:24:21+00:00,True,0,189,0,0,12,True,,,2020-08-10 21:26:40,2020
164,15,True,True,active,190,2020-08-10 21:18:22+00:00,True,0,190,0,1,21,True,,,2020-08-10 21:26:40,2020
165,1,True,True,active,191,2020-08-10 21:13:31+00:00,True,0,191,0,0,14,False,,,2020-08-10 21:26:40,2020
166,7,True,True,active,192,2020-08-10 21:21:56+00:00,True,0,192,0,0,12,False,,,2020-08-10 21:26:40,2020
167,9,True,True,active,193,2020-08-10 21:25:37+00:00,True,0,193,0,0,6,True,,,2020-08-10 21:26:40,2020
168,2,True,True,active,194,2020-08-10 21:18:17+00:00,True,0,194,0,0,17,False,,,2020-08-10 21:26:40,2020
169,8,True,True,active,195,2020-08-10 21:26:17+00:00,True,0,195,0,1,14,False,,,2020-08-10 21:26:40,2020
170,2,True,True,active,196,2020-08-10 20:49:32+00:00,True,0,196,0,0,8,True,,,2020-08-10 21:26:40,2020
171,0,True,True,active,197,2020-08-10 20:26:28+00:00,True,0,197,0,0,15,False,,,2020-08-10 21:26:40,2020
172,1,True,True,active,199,2020-08-10 20:37:22+00:00,True,0,199,0,0,14,False,,,2020-08-10 21:26:40,2020
173,9,True,True,active,200,2020-08-10 18:31:48+00:00,True,0,200,0,2,8,False,,,2020-08-10 21:26:40,2020
174,2,True,True,active,201,2020-08-10 18:33:21+00:00,True,0,201,0,0,13,False,,,2020-08-10 21:26:40,2020
175,5,True,True,active,202,2020-08-10 14:34:46+00:00,True,0,202,0,0,10,False,,,2020-08-10 21:26:40,2020
176,2,True,True,active,203,2020-08-10 08:40:54+00:00,True,0,203,0,1,12,False,,,2020-08-10 21:26:40,2020
177,2,True,True,active,204,2020-08-10 20:22:41+00:00,True,0,204,0,0,13,False,,,2020-08-10 21:26:40,2020
178,3,True,True,active,205,2020-08-10 21:15:05+00:00,True,0,205,0,0,12,False,,,2020-08-10 21:26:40,2020
179,10,True,True,active,206,2020-08-10 20:51:30+00:00,True,0,206,0,0,13,True,,,2020-08-10 21:26:40,2020
180,2,True,True,active,208,2020-08-10 21:12:10+00:00,True,0,208,0,0,13,True,,,2020-08-10 21:26:40,2020
181,9,True,True,active,209,2020-08-10 21:01:28+00:00,True,0,209,0,0,6,False,,,2020-08-10 21:26:40,2020
182,1,True,True,active,210,2020-08-10 20:59:09+00:00,True,0,210,0,0,14,False,,,2020-08-10 21:26:40,2020
