,num_bikes_available,last_reported,is_returning,legacy_id,num_bikes_disabled,station_status,num_docks_disabled,num_ebikes_available,station_id,is_installed,is_renting,eightd_has_available_keys,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,1,2020-08-01 01:54:54+00:00,True,3,0,active,0,0,3,True,True,False,14,,,2020-08-01 02:36:35,2020
1,2,2020-08-01 02:35:20+00:00,True,4,0,active,0,0,4,True,True,False,17,,,2020-08-01 02:36:35,2020
2,2,2020-08-01 02:35:51+00:00,True,5,0,active,0,0,5,True,True,False,13,,,2020-08-01 02:36:35,2020
3,0,2020-08-01 02:25:51+00:00,True,6,0,active,0,0,6,True,True,False,15,,,2020-08-01 02:36:35,2020
4,9,2020-08-01 02:26:01+00:00,True,7,0,active,0,0,7,True,True,False,6,,,2020-08-01 02:36:35,2020
5,10,2020-08-01 02:36:00+00:00,True,8,2,active,0,0,8,True,True,False,7,,,2020-08-01 02:36:35,2020
6,11,2020-08-01 02:34:39+00:00,True,9,0,active,0,0,9,True,True,False,4,,,2020-08-01 02:36:35,2020
7,5,2020-08-01 02:36:16+00:00,True,10,1,active,0,0,10,True,True,False,5,,,2020-08-01 02:36:35,2020
8,1,2020-08-01 02:11:56+00:00,True,11,1,active,0,0,11,True,True,False,13,"{'off_dock_capacity': 50, 'valet_revision': 75, 'off_dock_count': 20, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'active': True, 'dock_blocked_count': 0}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-01 02:36:35,2020
9,0,2020-08-01 02:11:44+00:00,True,12,2,active,0,0,12,True,True,True,16,,,2020-08-01 02:36:35,2020
10,5,2020-08-01 02:23:17+00:00,True,13,0,active,0,0,13,True,True,False,14,,,2020-08-01 02:36:35,2020
11,0,2020-08-01 02:04:01+00:00,True,14,0,active,0,0,14,True,True,False,25,,,2020-08-01 02:36:35,2020
12,10,2020-08-01 02:27:55+00:00,True,15,2,active,0,0,15,True,True,False,3,,,2020-08-01 02:36:35,2020
13,10,2020-08-01 02:31:13+00:00,True,16,2,active,0,0,16,True,True,True,7,,,2020-08-01 02:36:35,2020
14,3,2020-08-01 02:36:13+00:00,True,17,0,active,0,0,17,True,True,False,12,,,2020-08-01 02:36:35,2020
15,13,2020-08-01 01:51:14+00:00,True,19,0,active,0,0,19,True,True,False,2,,,2020-08-01 02:36:35,2020
16,5,2020-08-01 02:35:53+00:00,True,20,0,active,0,0,20,True,True,True,18,,,2020-08-01 02:36:35,2020
