,num_bikes_available,legacy_id,station_status,num_ebikes_available,station_id,is_installed,num_bikes_disabled,last_reported,is_renting,num_docks_disabled,is_returning,num_docks_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,0,3,active,0,3,True,0,2020-08-01 03:22:32+00:00,True,0,True,15,False,,,2020-08-01 05:20:00,2020
1,0,4,active,0,4,True,0,2020-08-01 03:24:46+00:00,True,0,True,19,False,,,2020-08-01 05:20:00,2020
2,4,5,active,0,5,True,0,2020-08-01 04:25:54+00:00,True,0,True,11,False,,,2020-08-01 05:20:00,2020
3,2,6,active,0,6,True,0,2020-08-01 05:18:44+00:00,True,0,True,13,False,,,2020-08-01 05:20:00,2020
4,4,7,active,0,7,True,0,2020-08-01 04:29:25+00:00,True,0,True,11,False,,,2020-08-01 05:20:00,2020
5,11,8,active,0,8,True,2,2020-08-01 05:19:06+00:00,True,0,True,6,False,,,2020-08-01 05:20:00,2020
6,15,9,active,0,9,True,0,2020-08-01 04:26:08+00:00,True,0,True,0,False,,,2020-08-01 05:20:00,2020
7,3,10,active,0,10,True,1,2020-08-01 04:54:40+00:00,True,0,True,7,False,,,2020-08-01 05:20:00,2020
8,1,11,active,0,11,True,1,2020-08-01 04:43:46+00:00,True,0,True,13,False,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'valet_revision': 75, 'off_dock_count': 20, 'off_dock_capacity': 50, 'dock_blocked_count': 0}",2020-08-01 05:20:00,2020
9,2,12,active,0,12,True,2,2020-08-01 05:11:14+00:00,True,0,True,14,True,,,2020-08-01 05:20:00,2020
10,7,13,active,0,13,True,0,2020-08-01 04:32:14+00:00,True,0,True,12,False,,,2020-08-01 05:20:00,2020
11,0,14,active,0,14,True,0,2020-08-01 04:49:20+00:00,True,0,True,25,False,,,2020-08-01 05:20:00,2020
12,14,15,active,0,15,True,1,2020-08-01 04:09:16+00:00,True,0,True,0,False,,,2020-08-01 05:20:00,2020
13,13,16,active,0,16,True,2,2020-08-01 05:04:09+00:00,True,0,True,4,True,,,2020-08-01 05:20:00,2020
14,3,17,active,0,17,True,0,2020-08-01 04:38:48+00:00,True,0,True,12,False,,,2020-08-01 05:20:00,2020
15,14,19,active,0,19,True,0,2020-08-01 02:59:01+00:00,True,0,True,1,False,,,2020-08-01 05:20:00,2020
16,1,20,active,0,20,True,0,2020-08-01 05:14:33+00:00,True,0,True,22,True,,,2020-08-01 05:20:00,2020
17,5,21,active,0,21,True,0,2020-08-01 05:14:28+00:00,True,0,True,13,True,,,2020-08-01 05:20:00,2020
18,20,22,active,0,22,True,2,2020-08-01 04:54:23+00:00,True,0,True,25,True,,,2020-08-01 05:20:00,2020
19,7,23,active,0,23,True,0,2020-08-01 04:22:19+00:00,True,0,True,14,True,,,2020-08-01 05:20:00,2020
20,1,24,active,0,24,True,0,2020-08-01 05:19:26+00:00,True,0,True,18,False,,,2020-08-01 05:20:00,2020
21,12,25,active,0,25,True,1,2020-08-01 03:37:03+00:00,True,0,True,2,False,,,2020-08-01 05:20:00,2020
22,8,26,active,0,26,True,0,2020-08-01 04:15:29+00:00,True,0,True,7,False,,,2020-08-01 05:20:00,2020
23,14,27,active,0,27,True,2,2020-08-01 05:18:02+00:00,True,0,True,7,False,,,2020-08-01 05:20:00,2020
24,7,29,active,0,29,True,0,2020-08-01 03:29:31+00:00,True,0,True,8,False,,,2020-08-01 05:20:00,2020
25,5,30,active,0,30,True,1,2020-08-01 04:37:25+00:00,True,0,True,9,False,,,2020-08-01 05:20:00,2020
26,10,31,active,0,31,True,0,2020-08-01 05:14:09+00:00,True,0,True,9,True,,,2020-08-01 05:20:00,2020
27,2,32,active,0,32,True,3,2020-08-01 05:17:06+00:00,True,0,True,10,False,,,2020-08-01 05:20:00,2020
28,17,33,active,0,33,True,0,2020-08-01 05:11:53+00:00,True,0,True,10,False,,,2020-08-01 05:20:00,2020
29,2,35,active,0,35,True,2,2020-08-01 03:31:30+00:00,True,0,True,19,False,,,2020-08-01 05:20:00,2020
30,0,36,active,0,36,True,0,2020-08-01 05:09:09+00:00,True,0,True,33,True,,,2020-08-01 05:20:00,2020
31,2,37,active,0,37,True,0,2020-08-01 02:07:20+00:00,True,0,True,13,True,,,2020-08-01 05:20:00,2020
32,17,39,active,0,39,True,1,2020-08-01 04:48:47+00:00,True,0,True,5,False,,,2020-08-01 05:20:00,2020
33,12,40,active,0,40,True,1,2020-08-01 04:30:38+00:00,True,0,True,6,False,,,2020-08-01 05:20:00,2020
34,25,41,active,0,41,True,1,2020-08-01 04:46:38+00:00,True,0,True,1,True,,,2020-08-01 05:20:00,2020
35,20,42,active,0,42,True,0,2020-08-01 03:48:28+00:00,True,0,True,3,False,,,2020-08-01 05:20:00,2020
36,2,43,active,0,43,True,4,2020-08-01 04:59:22+00:00,True,0,True,9,True,,,2020-08-01 05:20:00,2020
37,0,44,active,0,44,True,0,2020-08-01 04:10:27+00:00,True,0,True,23,False,,,2020-08-01 05:20:00,2020
38,11,46,active,0,46,True,0,2020-08-01 05:03:20+00:00,True,0,True,8,False,,,2020-08-01 05:20:00,2020
39,5,47,active,0,47,True,0,2020-08-01 05:10:25+00:00,True,0,True,14,True,,,2020-08-01 05:20:00,2020
40,5,48,active,0,48,True,0,2020-08-01 04:00:41+00:00,True,0,True,14,False,,,2020-08-01 05:20:00,2020
41,2,49,active,0,49,True,0,2020-08-01 04:39:36+00:00,True,0,True,16,False,,,2020-08-01 05:20:00,2020
42,0,50,active,0,50,True,0,2020-08-01 02:07:44+00:00,True,0,True,15,True,,,2020-08-01 05:20:00,2020
43,5,51,active,0,51,True,1,2020-08-01 04:08:30+00:00,True,0,True,9,False,,,2020-08-01 05:20:00,2020
44,1,52,active,0,52,True,2,2020-08-01 04:25:45+00:00,True,0,True,20,True,,,2020-08-01 05:20:00,2020
45,12,53,active,0,53,True,2,2020-08-01 05:05:01+00:00,True,0,True,5,False,,,2020-08-01 05:20:00,2020
46,9,54,active,0,54,True,0,2020-08-01 05:19:49+00:00,True,0,True,6,False,,,2020-08-01 05:20:00,2020
47,2,55,active,0,55,True,1,2020-08-01 05:15:16+00:00,True,0,True,12,False,,,2020-08-01 05:20:00,2020
48,10,56,active,0,56,True,0,2020-08-01 02:55:40+00:00,True,0,True,8,True,,,2020-08-01 05:20:00,2020
49,12,57,active,0,57,True,0,2020-08-01 05:15:33+00:00,True,0,True,2,True,,,2020-08-01 05:20:00,2020
50,3,58,active,0,58,True,0,2020-08-01 05:07:05+00:00,True,0,True,16,True,,,2020-08-01 05:20:00,2020
51,8,59,active,0,59,True,0,2020-08-01 03:18:33+00:00,True,0,True,11,False,,,2020-08-01 05:20:00,2020
52,8,60,active,0,60,True,2,2020-08-01 05:19:55+00:00,True,0,True,9,False,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'valet_revision': 63, 'off_dock_count': 2, 'off_dock_capacity': 40, 'dock_blocked_count': 0}",2020-08-01 05:20:00,2020
53,4,61,active,0,61,True,0,2020-08-01 05:00:39+00:00,True,0,True,15,False,,,2020-08-01 05:20:00,2020
54,3,63,active,0,63,True,0,2020-08-01 03:12:05+00:00,True,0,True,12,False,,,2020-08-01 05:20:00,2020
55,1,64,active,0,64,True,1,2020-08-01 04:40:06+00:00,True,0,True,17,False,,,2020-08-01 05:20:00,2020
56,21,65,active,0,65,True,0,2020-08-01 04:17:10+00:00,True,0,True,2,False,,,2020-08-01 05:20:00,2020
57,14,66,active,0,66,True,1,2020-08-01 04:59:25+00:00,True,0,True,0,False,,,2020-08-01 05:20:00,2020
