,is_returning,num_bikes_available,is_installed,is_renting,station_status,num_docks_disabled,num_bikes_disabled,legacy_id,num_docks_available,last_reported,num_ebikes_available,station_id,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
81,True,12,True,True,active,0,1,92,6,2020-07-29 00:51:31+00:00,0,92,False,,,2020-07-29 06:44:15,2020
82,True,6,True,True,active,0,1,93,8,2020-07-29 06:34:34+00:00,0,93,False,,,2020-07-29 06:44:15,2020
83,True,9,True,True,active,0,0,94,2,2020-07-29 04:49:08+00:00,0,94,False,,,2020-07-29 06:44:15,2020
84,True,8,True,True,active,0,3,95,4,2020-07-29 03:25:54+00:00,0,95,False,,,2020-07-29 06:44:15,2020
85,True,6,True,True,active,0,0,96,13,2020-07-29 02:26:49+00:00,0,96,False,,,2020-07-29 06:44:15,2020
86,True,5,True,True,active,0,0,97,14,2020-07-29 05:29:35+00:00,0,97,False,,,2020-07-29 06:44:15,2020
87,True,19,True,True,active,0,0,98,3,2020-07-29 03:06:05+00:00,0,98,False,,,2020-07-29 06:44:15,2020
88,True,11,True,True,active,0,0,99,4,2020-07-29 03:16:07+00:00,0,99,False,,,2020-07-29 06:44:15,2020
89,True,21,True,True,active,0,1,100,3,2020-07-29 06:26:08+00:00,0,100,True,,,2020-07-29 06:44:15,2020
90,True,1,True,True,active,0,0,101,14,2020-07-28 23:46:49+00:00,0,101,False,,,2020-07-29 06:44:15,2020
91,True,6,True,True,active,0,0,102,9,2020-07-29 03:49:53+00:00,0,102,False,,,2020-07-29 06:44:15,2020
92,True,5,True,True,active,0,0,103,10,2020-07-29 04:33:56+00:00,0,103,False,,,2020-07-29 06:44:15,2020
93,True,8,True,True,active,0,1,104,10,2020-07-29 04:14:41+00:00,0,104,False,,,2020-07-29 06:44:15,2020
94,True,13,True,True,active,0,3,105,3,2020-07-29 04:54:31+00:00,0,105,False,,,2020-07-29 06:44:15,2020
95,True,11,True,True,active,0,0,106,4,2020-07-29 02:34:53+00:00,0,106,False,,,2020-07-29 06:44:15,2020
96,True,0,True,True,active,0,1,107,18,2020-07-29 04:22:47+00:00,0,107,False,,,2020-07-29 06:44:15,2020
97,True,8,True,True,active,0,0,108,9,2020-07-29 04:08:18+00:00,0,108,False,,,2020-07-29 06:44:15,2020
98,True,22,True,True,active,0,2,109,11,2020-07-28 21:11:31+00:00,0,109,False,,,2020-07-29 06:44:15,2020
99,True,1,True,True,active,0,0,110,14,2020-07-29 02:57:24+00:00,0,110,False,,,2020-07-29 06:44:15,2020
100,True,3,True,True,active,0,0,111,12,2020-07-29 06:30:54+00:00,0,111,False,,,2020-07-29 06:44:15,2020
101,True,8,True,True,active,0,0,112,7,2020-07-29 00:58:28+00:00,0,112,False,,,2020-07-29 06:44:15,2020
102,True,9,True,True,active,0,0,113,6,2020-07-29 03:11:55+00:00,0,113,False,,,2020-07-29 06:44:15,2020
