,num_ebikes_available,station_id,num_docks_available,num_bikes_disabled,num_docks_disabled,legacy_id,is_renting,eightd_has_available_keys,station_status,num_bikes_available,is_returning,is_installed,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
41,0,49,17,0,0,49,True,False,active,1,True,True,2020-08-01 00:11:07+00:00,,,2020-08-01 00:23:25,2020
42,0,50,8,0,0,50,True,True,active,7,True,True,2020-08-01 00:03:09+00:00,,,2020-08-01 00:23:25,2020
43,0,51,10,2,0,51,True,False,active,3,True,True,2020-08-01 00:15:22+00:00,,,2020-08-01 00:23:25,2020
44,0,52,12,1,0,52,True,True,active,10,True,True,2020-08-01 00:22:45+00:00,,,2020-08-01 00:23:25,2020
45,0,53,13,1,0,53,True,False,active,5,True,True,2020-08-01 00:23:18+00:00,,,2020-08-01 00:23:25,2020
46,0,54,9,0,0,54,True,False,active,6,True,True,2020-08-01 00:19:07+00:00,,,2020-08-01 00:23:25,2020
47,0,55,9,0,0,55,True,False,active,6,True,True,2020-08-01 00:22:54+00:00,,,2020-08-01 00:23:25,2020
48,0,56,10,0,0,56,True,True,active,8,True,True,2020-07-31 23:54:23+00:00,,,2020-08-01 00:23:25,2020
49,0,57,10,0,0,57,True,True,active,4,True,True,2020-08-01 00:22:01+00:00,,,2020-08-01 00:23:25,2020
50,0,58,6,0,0,58,True,True,active,13,True,True,2020-08-01 00:16:25+00:00,,,2020-08-01 00:23:25,2020
51,0,59,9,0,0,59,True,False,active,10,True,True,2020-08-01 00:14:35+00:00,,,2020-08-01 00:23:25,2020
52,0,60,9,2,0,60,True,False,active,8,True,True,2020-08-01 00:22:40+00:00,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 63, 'region': 'BOS', 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'off_dock_count': 2, 'active': True, 'off_dock_capacity': 40}",2020-08-01 00:23:25,2020
53,0,61,5,0,0,61,True,False,active,14,True,True,2020-08-01 00:19:16+00:00,,,2020-08-01 00:23:25,2020
54,0,63,14,0,0,63,True,False,active,1,True,True,2020-07-31 23:36:54+00:00,,,2020-08-01 00:23:25,2020
55,0,64,1,1,0,64,True,False,active,17,True,True,2020-08-01 00:17:53+00:00,,,2020-08-01 00:23:25,2020
56,0,65,10,0,0,65,True,False,active,13,True,True,2020-07-31 23:34:41+00:00,,,2020-08-01 00:23:25,2020
57,0,66,11,1,0,66,True,False,active,3,True,True,2020-08-01 00:15:05+00:00,,,2020-08-01 00:23:25,2020
58,0,67,22,3,0,67,True,True,active,2,True,True,2020-08-01 00:20:32+00:00,,,2020-08-01 00:23:25,2020
59,0,68,15,0,0,68,True,True,active,4,True,True,2020-08-01 00:22:49+00:00,,,2020-08-01 00:23:25,2020
60,0,69,10,0,0,69,True,True,active,9,True,True,2020-08-01 00:20:17+00:00,,,2020-08-01 00:23:25,2020
61,0,70,3,2,0,70,True,False,active,18,True,True,2020-07-31 23:43:05+00:00,,,2020-08-01 00:23:25,2020
62,0,71,2,0,0,71,True,False,active,21,True,True,2020-08-01 00:01:14+00:00,,,2020-08-01 00:23:25,2020
63,0,72,21,0,0,72,True,False,active,2,True,True,2020-07-31 23:52:25+00:00,,,2020-08-01 00:23:25,2020
64,0,73,2,0,0,73,True,False,active,13,True,True,2020-08-01 00:19:31+00:00,,,2020-08-01 00:23:25,2020
65,0,74,0,1,0,74,True,True,active,18,True,True,2020-08-01 00:14:40+00:00,,,2020-08-01 00:23:25,2020
66,0,75,12,0,0,75,True,False,active,3,True,True,2020-08-01 00:20:13+00:00,,,2020-08-01 00:23:25,2020
67,0,76,2,1,0,76,True,False,active,14,True,True,2020-08-01 00:20:48+00:00,,,2020-08-01 00:23:25,2020
68,0,77,4,0,0,77,True,False,active,11,True,True,2020-08-01 00:17:46+00:00,,,2020-08-01 00:23:25,2020
69,0,78,0,1,0,78,True,False,active,18,True,True,2020-07-31 23:48:17+00:00,,,2020-08-01 00:23:25,2020
70,0,79,9,0,0,79,True,False,active,10,True,True,2020-07-31 23:55:52+00:00,,,2020-08-01 00:23:25,2020
71,0,80,33,2,0,80,True,False,active,0,True,True,2020-08-01 00:06:00+00:00,,,2020-08-01 00:23:25,2020
72,0,81,18,0,0,81,True,False,active,1,True,True,2020-08-01 00:16:27+00:00,,,2020-08-01 00:23:25,2020
73,0,82,9,0,0,82,True,False,active,6,True,True,2020-07-31 23:34:40+00:00,,,2020-08-01 00:23:25,2020
74,0,84,13,0,0,84,True,False,active,2,True,True,2020-08-01 00:16:55+00:00,,,2020-08-01 00:23:25,2020
75,0,85,19,0,0,85,True,False,active,0,True,True,2020-08-01 00:16:04+00:00,,,2020-08-01 00:23:25,2020
76,0,86,18,0,0,86,True,False,active,1,True,True,2020-08-01 00:12:02+00:00,,,2020-08-01 00:23:25,2020
77,0,87,3,1,0,87,True,False,active,11,True,True,2020-08-01 00:22:49+00:00,,,2020-08-01 00:23:25,2020
78,0,89,1,0,0,89,True,False,active,18,True,True,2020-07-31 23:51:38+00:00,,,2020-08-01 00:23:25,2020
79,0,90,17,0,0,90,True,False,active,2,True,True,2020-08-01 00:20:58+00:00,,,2020-08-01 00:23:25,2020
80,0,91,17,0,0,91,True,False,active,2,True,True,2020-08-01 00:14:57+00:00,,,2020-08-01 00:23:25,2020
81,0,92,7,0,0,92,True,False,active,12,True,True,2020-07-31 23:47:39+00:00,,,2020-08-01 00:23:25,2020
82,0,93,5,3,0,93,True,False,active,7,True,True,2020-07-31 23:54:10+00:00,,,2020-08-01 00:23:25,2020
83,0,94,2,0,0,94,True,False,active,9,True,True,2020-07-31 23:55:01+00:00,,,2020-08-01 00:23:25,2020
84,0,95,13,0,0,95,True,False,active,2,True,True,2020-08-01 00:12:19+00:00,,,2020-08-01 00:23:25,2020
85,0,96,10,0,0,96,True,False,active,9,True,True,2020-07-31 23:48:17+00:00,,,2020-08-01 00:23:25,2020
86,0,97,11,0,0,97,True,False,active,8,True,True,2020-08-01 00:13:02+00:00,,,2020-08-01 00:23:25,2020
87,0,98,20,1,0,98,True,False,active,1,True,True,2020-07-31 23:25:59+00:00,,,2020-08-01 00:23:25,2020
88,0,99,11,1,0,99,True,False,active,3,True,True,2020-08-01 00:02:43+00:00,,,2020-08-01 00:23:25,2020
89,0,100,13,1,0,100,True,True,active,11,True,True,2020-08-01 00:20:50+00:00,,,2020-08-01 00:23:25,2020
90,0,101,12,0,0,101,True,False,active,3,True,True,2020-07-31 23:13:38+00:00,,,2020-08-01 00:23:25,2020
91,0,102,6,0,0,102,True,False,active,9,True,True,2020-08-01 00:02:49+00:00,,,2020-08-01 00:23:25,2020
92,0,103,14,1,0,103,True,False,active,0,True,True,2020-08-01 00:18:29+00:00,,,2020-08-01 00:23:25,2020
93,0,104,0,0,0,104,True,False,active,19,True,True,2020-07-31 23:56:56+00:00,,,2020-08-01 00:23:25,2020
94,0,105,3,0,0,105,True,False,active,16,True,True,2020-08-01 00:21:18+00:00,,,2020-08-01 00:23:25,2020
95,0,106,11,1,0,106,True,False,active,3,True,True,2020-07-31 22:45:41+00:00,,,2020-08-01 00:23:25,2020
96,0,107,18,0,0,107,True,False,active,1,True,True,2020-08-01 00:18:43+00:00,,,2020-08-01 00:23:25,2020
97,0,108,7,0,0,108,True,False,active,10,True,True,2020-08-01 00:11:35+00:00,,,2020-08-01 00:23:25,2020
98,0,109,9,2,0,109,True,False,active,24,True,True,2020-08-01 00:13:19+00:00,,,2020-08-01 00:23:25,2020
99,0,110,5,2,0,110,True,False,active,8,True,True,2020-07-31 23:53:03+00:00,,,2020-08-01 00:23:25,2020
100,0,111,14,0,0,111,True,False,active,1,True,True,2020-07-31 23:04:28+00:00,,,2020-08-01 00:23:25,2020
101,0,112,11,0,0,112,True,False,active,4,True,True,2020-07-31 23:52:53+00:00,,,2020-08-01 00:23:25,2020
