,num_bikes_available,last_reported,is_renting,num_docks_available,legacy_id,num_docks_disabled,station_status,eightd_has_available_keys,station_id,num_bikes_disabled,num_ebikes_available,is_returning,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,11,2020-07-31 18:23:54+00:00,True,4,3,0,active,True,3,0,0,True,True,,,2020-07-31 18:26:05,2020
1,5,2020-07-31 18:23:49+00:00,True,14,4,0,active,False,4,0,0,True,True,,,2020-07-31 18:26:05,2020
2,5,2020-07-31 18:06:52+00:00,True,10,5,0,active,False,5,0,0,True,True,,,2020-07-31 18:26:05,2020
3,1,2020-07-31 18:11:24+00:00,True,14,6,0,active,False,6,0,0,True,True,,,2020-07-31 18:26:05,2020
4,13,2020-07-31 16:49:52+00:00,True,1,7,0,active,False,7,1,0,True,True,,,2020-07-31 18:26:05,2020
5,2,2020-07-31 18:23:53+00:00,True,15,8,0,active,False,8,2,0,True,True,,,2020-07-31 18:26:05,2020
6,14,2020-07-31 18:11:48+00:00,True,1,9,0,active,False,9,0,0,True,True,,,2020-07-31 18:26:05,2020
7,9,2020-07-31 17:39:29+00:00,True,2,10,0,active,False,10,0,0,True,True,,,2020-07-31 18:26:05,2020
8,15,2020-07-31 18:17:51+00:00,True,0,11,0,active,False,11,0,0,True,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_count': 67, 'dock_blocked_count': 0, 'off_dock_capacity': 50, 'active': True, 'region': 'BOS', 'valet_revision': 75, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",2020-07-31 18:26:05,2020
9,7,2020-07-31 18:19:38+00:00,True,9,12,0,active,True,12,2,0,True,True,,,2020-07-31 18:26:05,2020
10,7,2020-07-31 18:13:47+00:00,True,12,13,0,active,False,13,0,0,True,True,,,2020-07-31 18:26:05,2020
11,24,2020-07-31 18:24:08+00:00,True,0,14,0,active,False,14,1,0,True,True,,,2020-07-31 18:26:05,2020
12,8,2020-07-31 18:20:34+00:00,True,6,15,0,active,False,15,1,0,True,True,,,2020-07-31 18:26:05,2020
13,4,2020-07-31 18:23:46+00:00,True,13,16,0,active,True,16,2,0,True,True,,,2020-07-31 18:26:05,2020
14,7,2020-07-31 18:13:54+00:00,True,8,17,0,active,False,17,0,0,True,True,,,2020-07-31 18:26:05,2020
15,4,2020-07-31 18:15:49+00:00,True,11,19,0,active,False,19,0,0,True,True,,,2020-07-31 18:26:05,2020
16,16,2020-07-31 18:10:12+00:00,True,7,20,0,active,True,20,0,0,True,True,,,2020-07-31 18:26:05,2020
17,3,2020-07-31 18:16:47+00:00,True,14,21,0,active,True,21,1,0,True,True,,,2020-07-31 18:26:05,2020
18,9,2020-07-31 17:49:16+00:00,True,37,22,0,active,True,22,1,0,True,True,,,2020-07-31 18:26:05,2020
19,8,2020-07-31 18:21:11+00:00,True,13,23,0,active,True,23,0,0,True,True,,,2020-07-31 18:26:05,2020
20,15,2020-07-31 17:55:25+00:00,True,4,24,0,active,False,24,0,0,True,True,,,2020-07-31 18:26:05,2020
21,6,2020-07-31 18:02:40+00:00,True,7,25,0,active,False,25,2,0,True,True,,,2020-07-31 18:26:05,2020
22,3,2020-07-31 18:13:22+00:00,True,9,26,0,active,False,26,3,0,True,True,,,2020-07-31 18:26:05,2020
23,1,2020-07-31 18:25:16+00:00,True,20,27,0,active,False,27,2,0,True,True,,,2020-07-31 18:26:05,2020
24,8,2020-07-31 16:37:02+00:00,True,7,29,0,active,False,29,0,0,True,True,,,2020-07-31 18:26:05,2020
25,11,2020-07-31 18:25:01+00:00,True,3,30,0,active,False,30,1,0,True,True,,,2020-07-31 18:26:05,2020
26,17,2020-07-31 17:22:57+00:00,True,2,31,0,active,True,31,0,0,True,True,,,2020-07-31 18:26:05,2020
27,6,2020-07-31 18:21:50+00:00,True,7,32,0,active,False,32,2,0,True,True,,,2020-07-31 18:26:05,2020
28,19,2020-07-31 18:24:48+00:00,True,8,33,0,active,False,33,0,0,True,True,,,2020-07-31 18:26:05,2020
29,14,2020-07-31 18:21:45+00:00,True,7,35,0,active,False,35,2,0,True,True,,,2020-07-31 18:26:05,2020
30,7,2020-07-31 18:11:53+00:00,True,26,36,0,active,True,36,0,0,True,True,,,2020-07-31 18:26:05,2020
31,0,2020-07-31 17:59:24+00:00,True,15,37,0,active,True,37,0,0,True,True,,,2020-07-31 18:26:05,2020
32,18,2020-07-31 18:11:27+00:00,True,4,39,0,active,False,39,1,0,True,True,,,2020-07-31 18:26:05,2020
33,12,2020-07-31 18:18:31+00:00,True,7,40,0,active,False,40,0,0,True,True,,,2020-07-31 18:26:05,2020
34,4,2020-07-31 18:17:51+00:00,True,22,41,0,active,True,41,1,0,True,True,,,2020-07-31 18:26:05,2020
35,9,2020-07-31 18:15:41+00:00,True,13,42,0,active,False,42,1,0,True,True,,,2020-07-31 18:26:05,2020
36,8,2020-07-31 17:50:13+00:00,True,7,43,0,active,True,43,0,0,True,True,,,2020-07-31 18:26:05,2020
37,19,2020-07-31 18:21:07+00:00,True,4,44,0,active,False,44,0,0,True,True,,,2020-07-31 18:26:05,2020
38,1,2020-07-31 18:14:45+00:00,True,18,46,0,active,False,46,0,0,True,True,,,2020-07-31 18:26:05,2020
39,9,2020-07-31 18:03:55+00:00,True,10,47,0,active,True,47,0,0,True,True,,,2020-07-31 18:26:05,2020
40,9,2020-07-31 18:19:45+00:00,True,9,48,0,active,False,48,1,0,True,True,,,2020-07-31 18:26:05,2020
41,4,2020-07-31 18:09:48+00:00,True,14,49,0,active,False,49,0,0,True,True,,,2020-07-31 18:26:05,2020
42,9,2020-07-31 17:35:25+00:00,True,6,50,0,active,True,50,0,0,True,True,,,2020-07-31 18:26:05,2020
43,6,2020-07-31 18:12:23+00:00,True,8,51,0,active,False,51,1,0,True,True,,,2020-07-31 18:26:05,2020
44,9,2020-07-31 18:22:26+00:00,True,13,52,0,active,True,52,1,0,True,True,,,2020-07-31 18:26:05,2020
45,4,2020-07-31 18:23:12+00:00,True,14,53,0,active,False,53,1,0,True,True,,,2020-07-31 18:26:05,2020
46,3,2020-07-31 18:25:30+00:00,True,12,54,0,active,False,54,0,0,True,True,,,2020-07-31 18:26:05,2020
47,8,2020-07-31 17:59:23+00:00,True,7,55,0,active,False,55,0,0,True,True,,,2020-07-31 18:26:05,2020
48,9,2020-07-31 18:22:25+00:00,True,9,56,0,active,True,56,0,0,True,True,,,2020-07-31 18:26:05,2020
49,4,2020-07-31 18:25:33+00:00,True,10,57,0,active,True,57,0,0,True,True,,,2020-07-31 18:26:05,2020
50,5,2020-07-31 18:20:37+00:00,True,14,58,0,active,True,58,0,0,True,True,,,2020-07-31 18:26:05,2020
51,12,2020-07-31 18:23:04+00:00,True,7,59,0,active,True,59,0,0,True,True,,,2020-07-31 18:26:05,2020
52,3,2020-07-31 18:14:52+00:00,True,15,60,0,active,False,60,1,0,True,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_count': 19, 'dock_blocked_count': 0, 'off_dock_capacity': 40, 'active': True, 'region': 'BOS', 'valet_revision': 63, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}",2020-07-31 18:26:05,2020
53,15,2020-07-31 18:21:29+00:00,True,4,61,0,active,False,61,0,0,True,True,,,2020-07-31 18:26:05,2020
54,7,2020-07-31 18:13:46+00:00,True,8,63,0,active,False,63,0,0,True,True,,,2020-07-31 18:26:05,2020
55,15,2020-07-31 18:23:23+00:00,True,3,64,0,active,False,64,1,0,True,True,,,2020-07-31 18:26:05,2020
