,is_renting,num_bikes_available,eightd_has_available_keys,station_status,num_bikes_disabled,last_reported,legacy_id,is_returning,num_ebikes_available,num_docks_disabled,num_docks_available,station_id,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
48,True,15,True,active,0,2020-07-27 16:30:00+00:00,56,True,0,0,3,56,True,,,2020-07-27 16:52:55,2020
49,True,9,True,active,0,2020-07-27 16:51:55+00:00,57,True,0,0,5,57,True,,,2020-07-27 16:52:55,2020
50,True,12,True,active,1,2020-07-27 16:51:17+00:00,58,True,0,0,6,58,True,,,2020-07-27 16:52:55,2020
51,True,5,True,active,0,2020-07-27 16:14:55+00:00,59,True,0,0,14,59,True,,,2020-07-27 16:52:55,2020
52,True,8,False,active,0,2020-07-27 16:46:23+00:00,60,True,0,0,11,60,True,"{'dock_blocked_count': 0, 'active': True, 'region': 'BOS', 'off_dock_capacity': 40, 'valet_revision': 57, 'off_dock_count': 43, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-27 16:52:55,2020
53,True,8,False,active,0,2020-07-27 16:50:50+00:00,61,True,0,0,11,61,True,,,2020-07-27 16:52:55,2020
54,True,15,False,active,0,2020-07-27 16:14:51+00:00,63,True,0,0,0,63,True,,,2020-07-27 16:52:55,2020
55,True,12,False,active,1,2020-07-27 16:41:21+00:00,64,True,0,0,6,64,True,,,2020-07-27 16:52:55,2020
56,True,3,False,active,2,2020-07-27 15:31:40+00:00,65,True,0,0,18,65,True,,,2020-07-27 16:52:55,2020
57,True,2,False,active,0,2020-07-27 16:39:45+00:00,66,True,0,0,13,66,True,,,2020-07-27 16:52:55,2020
58,True,14,True,active,1,2020-07-27 16:40:30+00:00,67,True,0,0,12,67,True,,,2020-07-27 16:52:55,2020
59,True,8,True,active,1,2020-07-27 16:48:19+00:00,68,True,0,0,10,68,True,,,2020-07-27 16:52:55,2020
60,True,4,True,active,2,2020-07-27 16:51:05+00:00,69,True,0,0,13,69,True,,,2020-07-27 16:52:55,2020
61,True,11,False,active,0,2020-07-27 16:51:47+00:00,70,True,0,0,12,70,True,,,2020-07-27 16:52:55,2020
62,True,6,False,active,0,2020-07-27 15:40:43+00:00,71,True,0,0,17,71,True,,,2020-07-27 16:52:55,2020
63,True,13,False,active,0,2020-07-27 16:51:37+00:00,72,True,0,0,10,72,True,,,2020-07-27 16:52:55,2020
64,True,12,False,active,1,2020-07-27 16:44:56+00:00,73,True,0,0,2,73,True,,,2020-07-27 16:52:55,2020
65,True,13,True,active,0,2020-07-27 16:50:50+00:00,74,True,0,0,6,74,True,,,2020-07-27 16:52:55,2020
66,True,1,False,active,0,2020-07-27 16:22:48+00:00,75,True,0,0,14,75,True,,,2020-07-27 16:52:55,2020
67,True,11,False,active,0,2020-07-27 16:49:23+00:00,76,True,0,0,6,76,True,,,2020-07-27 16:52:55,2020
68,True,3,False,active,2,2020-07-27 15:04:24+00:00,77,True,0,0,10,77,True,,,2020-07-27 16:52:55,2020
69,True,11,False,active,2,2020-07-27 16:52:46+00:00,78,True,0,0,6,78,True,,,2020-07-27 16:52:55,2020
70,True,8,False,active,0,2020-07-27 16:43:34+00:00,79,True,0,0,11,79,True,,,2020-07-27 16:52:55,2020
71,True,27,False,active,1,2020-07-27 16:49:56+00:00,80,True,0,0,7,80,True,,,2020-07-27 16:52:55,2020
72,True,1,False,active,1,2020-07-27 16:35:18+00:00,81,True,0,0,17,81,True,,,2020-07-27 16:52:55,2020
73,True,3,False,active,0,2020-07-27 14:51:09+00:00,82,True,0,0,12,82,True,,,2020-07-27 16:52:55,2020
74,True,5,False,active,0,2020-07-27 16:34:09+00:00,84,True,0,0,10,84,True,,,2020-07-27 16:52:55,2020
75,True,17,False,active,0,2020-07-27 16:47:23+00:00,85,True,0,0,2,85,True,,,2020-07-27 16:52:55,2020
76,True,13,False,active,0,2020-07-27 16:37:14+00:00,86,True,0,0,6,86,True,,,2020-07-27 16:52:55,2020
77,True,5,False,active,0,2020-07-27 16:36:03+00:00,87,True,0,0,10,87,True,,,2020-07-27 16:52:55,2020
78,True,6,False,active,1,2020-07-27 16:38:34+00:00,89,True,0,0,12,89,True,,,2020-07-27 16:52:55,2020
79,True,8,False,active,0,2020-07-27 16:35:13+00:00,90,True,0,0,11,90,True,,,2020-07-27 16:52:55,2020
80,True,15,False,active,0,2020-07-27 16:51:43+00:00,91,True,0,0,4,91,True,,,2020-07-27 16:52:55,2020
81,True,15,False,active,1,2020-07-27 13:03:48+00:00,92,True,0,0,3,92,True,,,2020-07-27 16:52:55,2020
82,True,12,False,active,1,2020-07-27 16:46:22+00:00,93,True,0,0,2,93,True,,,2020-07-27 16:52:55,2020
83,True,8,False,active,0,2020-07-27 15:35:33+00:00,94,True,0,0,3,94,True,,,2020-07-27 16:52:55,2020
84,True,2,False,active,0,2020-07-27 15:28:44+00:00,95,True,0,0,13,95,True,,,2020-07-27 16:52:55,2020
85,True,1,False,active,0,2020-07-27 15:51:37+00:00,96,True,0,0,18,96,True,,,2020-07-27 16:52:55,2020
86,True,4,False,active,0,2020-07-27 16:51:55+00:00,97,True,0,0,15,97,True,,,2020-07-27 16:52:55,2020
87,True,8,False,active,0,2020-07-27 16:29:37+00:00,98,True,0,0,14,98,True,,,2020-07-27 16:52:55,2020
88,True,7,False,active,0,2020-07-27 15:57:23+00:00,99,True,0,0,8,99,True,,,2020-07-27 16:52:55,2020
89,True,15,True,active,1,2020-07-27 16:52:09+00:00,100,True,0,0,9,100,True,,,2020-07-27 16:52:55,2020
90,True,2,False,active,0,2020-07-27 16:22:07+00:00,101,True,0,0,13,101,True,,,2020-07-27 16:52:55,2020
91,True,3,False,active,2,2020-07-27 15:06:51+00:00,102,True,0,0,10,102,True,,,2020-07-27 16:52:55,2020
