,last_reported,num_docks_available,station_id,num_ebikes_available,legacy_id,station_status,num_docks_disabled,num_bikes_available,is_renting,is_installed,eightd_has_available_keys,num_bikes_disabled,is_returning,timestamp_of_data_read_request,year_station_last_reported
0,2020-08-19 04:56:39+00:00,10,3,0,3,active,0,4,True,True,False,1,True,2020-08-19 05:17:00,2020
1,2020-08-19 04:05:31+00:00,1,4,0,4,active,0,18,True,True,False,0,True,2020-08-19 05:17:00,2020
2,2020-08-19 05:14:11+00:00,11,5,0,5,active,0,1,True,True,False,3,True,2020-08-19 05:17:00,2020
3,2020-08-19 04:03:13+00:00,0,6,0,6,active,0,14,True,True,False,1,True,2020-08-19 05:17:00,2020
4,2020-08-19 04:47:32+00:00,8,7,0,7,active,0,6,True,True,False,1,True,2020-08-19 05:17:00,2020
5,2020-08-19 03:03:17+00:00,0,8,0,8,active,0,15,True,True,False,4,True,2020-08-19 05:17:00,2020
6,2020-08-19 05:01:26+00:00,10,9,0,9,active,0,4,True,True,False,1,True,2020-08-19 05:17:00,2020
7,2020-08-19 04:38:02+00:00,8,10,0,10,active,0,3,True,True,False,0,True,2020-08-19 05:17:00,2020
8,2020-08-19 04:48:13+00:00,14,11,0,11,active,0,1,True,True,False,0,True,2020-08-19 05:17:00,2020
9,2020-08-19 02:58:21+00:00,12,12,0,12,active,0,6,True,True,False,0,True,2020-08-19 05:17:00,2020
10,2020-08-19 03:26:40+00:00,17,13,0,13,active,0,1,True,True,False,1,True,2020-08-19 05:17:00,2020
11,2020-08-19 04:53:34+00:00,25,14,0,14,active,0,0,True,True,False,0,True,2020-08-19 05:17:00,2020
12,2020-08-19 01:23:40+00:00,2,15,0,15,active,0,12,True,True,False,1,True,2020-08-19 05:17:00,2020
13,2020-08-19 02:10:52+00:00,10,16,0,16,active,0,8,True,True,True,1,True,2020-08-19 05:17:00,2020
14,2020-08-19 04:12:36+00:00,11,17,0,17,active,0,3,True,True,False,1,True,2020-08-19 05:17:00,2020
15,2020-08-19 02:25:38+00:00,6,19,0,19,active,0,9,True,True,False,0,True,2020-08-19 05:17:00,2020
16,2020-08-19 04:27:16+00:00,15,20,0,20,active,0,8,True,True,True,0,True,2020-08-19 05:17:00,2020
17,2020-08-19 02:46:33+00:00,14,21,0,21,active,0,4,True,True,True,0,True,2020-08-19 05:17:00,2020
18,2020-08-19 04:42:42+00:00,44,22,0,22,active,0,2,True,True,True,1,True,2020-08-19 05:17:00,2020
19,2020-08-19 02:47:38+00:00,18,23,0,23,active,0,3,True,True,False,0,True,2020-08-19 05:17:00,2020
20,2020-08-19 04:37:52+00:00,11,24,0,24,active,0,7,True,True,False,1,True,2020-08-19 05:17:00,2020
21,2020-08-19 02:44:35+00:00,0,25,0,25,active,0,15,True,True,False,0,True,2020-08-19 05:17:00,2020
22,2020-08-19 02:06:30+00:00,3,26,0,26,active,0,12,True,True,False,0,True,2020-08-19 05:17:00,2020
23,2020-08-19 04:05:00+00:00,0,27,0,27,active,0,23,True,True,False,0,True,2020-08-19 05:17:00,2020
24,2020-08-18 23:25:24+00:00,10,29,0,29,active,0,4,True,True,False,1,True,2020-08-19 05:17:00,2020
25,2020-08-19 04:39:00+00:00,13,30,0,30,active,0,2,True,True,False,0,True,2020-08-19 05:17:00,2020
26,2020-08-19 02:03:22+00:00,19,31,0,31,active,0,0,True,True,True,0,True,2020-08-19 05:17:00,2020
27,2020-08-19 05:07:47+00:00,9,32,0,32,active,0,5,True,True,False,1,True,2020-08-19 05:17:00,2020
28,2020-08-19 03:54:26+00:00,0,33,0,33,active,0,26,True,True,False,1,True,2020-08-19 05:17:00,2020
29,2020-08-19 02:01:28+00:00,22,35,0,35,active,0,1,True,True,False,0,True,2020-08-19 05:17:00,2020
30,2020-08-19 03:41:46+00:00,12,36,0,36,active,0,19,True,True,True,2,True,2020-08-19 05:17:00,2020
31,2020-08-19 04:11:53+00:00,2,37,0,37,active,0,13,True,True,True,0,True,2020-08-19 05:17:00,2020
32,2020-08-19 04:55:08+00:00,16,39,0,39,active,0,7,True,True,False,0,True,2020-08-19 05:17:00,2020
33,2020-08-19 04:29:25+00:00,6,40,0,40,active,0,13,True,True,False,0,True,2020-08-19 05:17:00,2020
34,2020-08-19 05:02:23+00:00,3,41,0,41,active,0,23,True,True,True,1,True,2020-08-19 05:17:00,2020
35,2020-08-19 04:53:31+00:00,18,42,0,42,active,0,4,True,True,False,1,True,2020-08-19 05:17:00,2020
36,2020-08-19 00:47:38+00:00,12,43,0,43,active,0,3,True,True,True,0,True,2020-08-19 05:17:00,2020
37,2020-08-19 04:41:55+00:00,12,44,0,44,active,0,11,True,True,False,0,True,2020-08-19 05:17:00,2020
38,2020-08-19 04:56:11+00:00,7,46,0,46,active,0,12,True,True,False,0,True,2020-08-19 05:17:00,2020
39,2020-08-19 04:29:19+00:00,0,47,0,47,active,0,19,True,True,True,0,True,2020-08-19 05:17:00,2020
40,2020-08-19 00:10:07+00:00,15,48,0,48,active,0,4,True,True,False,0,True,2020-08-19 05:17:00,2020
41,2020-08-19 04:23:57+00:00,3,49,0,49,active,0,15,True,True,False,0,True,2020-08-19 05:17:00,2020
42,2020-08-19 02:11:07+00:00,2,50,0,50,active,0,12,True,True,True,1,True,2020-08-19 05:17:00,2020
43,2020-08-19 04:29:20+00:00,9,51,0,51,active,0,6,True,True,False,0,True,2020-08-19 05:17:00,2020
44,2020-08-19 04:35:35+00:00,13,52,0,52,active,0,8,True,True,True,2,True,2020-08-19 05:17:00,2020
45,2020-08-19 05:06:10+00:00,13,53,0,53,active,0,3,True,True,False,3,True,2020-08-19 05:17:00,2020
46,2020-08-19 04:34:37+00:00,3,54,0,54,active,0,11,True,True,False,1,True,2020-08-19 05:17:00,2020
47,2020-08-19 04:58:21+00:00,9,55,0,55,active,0,6,True,True,False,0,True,2020-08-19 05:17:00,2020
48,2020-08-19 01:28:31+00:00,10,56,0,56,active,0,7,True,True,False,1,True,2020-08-19 05:17:00,2020
49,2020-08-19 03:54:35+00:00,1,57,0,57,active,0,13,True,True,True,0,True,2020-08-19 05:17:00,2020
50,2020-08-19 04:49:19+00:00,5,58,0,58,active,0,12,True,True,True,2,True,2020-08-19 05:17:00,2020
51,2020-08-19 01:58:11+00:00,19,59,0,59,active,0,0,True,True,True,0,True,2020-08-19 05:17:00,2020
52,2020-08-19 04:35:13+00:00,14,60,0,60,active,0,3,True,True,False,2,True,2020-08-19 05:17:00,2020
53,2020-08-19 04:47:59+00:00,18,61,0,61,active,0,1,True,True,False,0,True,2020-08-19 05:17:00,2020
54,2020-08-19 00:24:41+00:00,0,63,0,63,active,0,15,True,True,False,0,True,2020-08-19 05:17:00,2020
55,2020-08-19 02:38:19+00:00,14,64,0,64,active,0,4,True,True,False,1,True,2020-08-19 05:17:00,2020
56,2020-08-19 04:10:08+00:00,22,65,0,65,active,0,1,True,True,False,0,True,2020-08-19 05:17:00,2020
57,2020-08-19 04:58:14+00:00,1,66,0,66,active,0,13,True,True,False,1,True,2020-08-19 05:17:00,2020
58,2020-08-19 04:28:36+00:00,27,67,0,67,active,0,0,True,True,True,0,True,2020-08-19 05:17:00,2020
59,2020-08-19 04:57:23+00:00,2,68,0,68,active,0,17,True,True,True,0,True,2020-08-19 05:17:00,2020
60,2020-08-19 03:46:31+00:00,2,69,0,69,active,0,17,True,True,True,0,True,2020-08-19 05:17:00,2020
61,2020-08-19 02:03:27+00:00,21,70,0,70,active,0,2,True,True,False,0,True,2020-08-19 05:17:00,2020
62,2020-08-19 04:01:29+00:00,10,71,0,71,active,0,13,True,True,False,0,True,2020-08-19 05:17:00,2020
63,2020-08-19 02:36:59+00:00,9,72,0,72,active,0,13,True,True,False,1,True,2020-08-19 05:17:00,2020
64,2020-08-19 03:22:35+00:00,3,73,0,73,active,0,9,True,True,False,3,True,2020-08-19 05:17:00,2020
65,2020-08-19 04:50:37+00:00,9,74,0,74,active,0,9,True,True,False,1,True,2020-08-19 05:17:00,2020
66,2020-08-19 05:02:38+00:00,3,75,0,75,active,0,11,True,True,False,1,True,2020-08-19 05:17:00,2020
67,2020-08-19 04:23:03+00:00,0,76,0,76,active,0,16,True,True,False,1,True,2020-08-19 05:17:00,2020
68,2020-08-19 04:27:21+00:00,8,77,0,77,active,0,7,True,True,False,0,True,2020-08-19 05:17:00,2020
69,2020-08-19 05:05:02+00:00,4,78,0,78,active,0,15,True,True,False,0,True,2020-08-19 05:17:00,2020
70,2020-08-19 04:15:06+00:00,1,79,0,79,active,0,16,True,True,False,2,True,2020-08-19 05:17:00,2020
71,2020-08-19 01:58:59+00:00,35,80,0,80,active,0,0,True,True,False,0,True,2020-08-19 05:17:00,2020
72,2020-08-19 04:20:42+00:00,17,81,0,81,active,0,1,True,True,False,1,True,2020-08-19 05:17:00,2020
73,2020-08-19 04:25:37+00:00,7,82,0,82,active,0,7,True,True,False,1,True,2020-08-19 05:17:00,2020
74,2020-08-19 04:19:24+00:00,3,84,0,84,active,0,11,True,True,False,1,True,2020-08-19 05:17:00,2020
75,2020-08-19 02:57:23+00:00,19,85,0,85,active,0,0,True,True,False,0,True,2020-08-19 05:17:00,2020
76,2020-08-19 04:38:21+00:00,5,86,0,86,active,0,14,True,True,False,0,True,2020-08-19 05:17:00,2020
77,2020-08-19 04:03:15+00:00,3,87,0,87,active,0,11,True,True,False,1,True,2020-08-19 05:17:00,2020
78,2020-08-19 03:42:23+00:00,10,89,0,89,active,0,9,True,True,False,0,True,2020-08-19 05:17:00,2020
79,2020-08-19 04:07:14+00:00,7,90,0,90,active,0,12,True,True,False,0,True,2020-08-19 05:17:00,2020
80,2020-08-19 05:05:11+00:00,17,91,0,91,active,0,1,True,True,False,1,True,2020-08-19 05:17:00,2020
81,2020-08-19 00:24:51+00:00,0,92,0,92,active,0,18,True,True,False,1,True,2020-08-19 05:17:00,2020
82,2020-08-19 01:20:38+00:00,2,93,0,93,active,0,11,True,True,False,2,True,2020-08-19 05:17:00,2020
83,2020-08-19 04:21:14+00:00,10,94,0,94,active,0,0,True,True,False,1,True,2020-08-19 05:17:00,2020
