,num_bikes_available,legacy_id,station_status,num_ebikes_available,station_id,is_installed,num_bikes_disabled,last_reported,is_renting,eightd_active_station_services,num_docks_disabled,is_returning,valet,num_docks_available,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
41,5,48,active,0,48,True,0,2020-08-02 02:51:11+00:00,True,,0,True,,14,False,2020-08-02 04:18:45,2020
42,2,49,active,0,49,True,0,2020-08-02 03:36:52+00:00,True,,0,True,,16,False,2020-08-02 04:18:45,2020
43,2,50,active,0,50,True,0,2020-08-02 03:19:35+00:00,True,,0,True,,13,False,2020-08-02 04:18:45,2020
44,10,51,active,0,51,True,0,2020-08-02 03:08:25+00:00,True,,0,True,,5,False,2020-08-02 04:18:45,2020
45,1,52,active,0,52,True,1,2020-08-02 03:48:13+00:00,True,,0,True,,21,True,2020-08-02 04:18:45,2020
46,7,53,active,0,53,True,1,2020-08-02 04:14:34+00:00,True,,0,True,,11,False,2020-08-02 04:18:45,2020
47,12,54,active,0,54,True,1,2020-08-02 03:50:04+00:00,True,,0,True,,2,False,2020-08-02 04:18:45,2020
48,9,55,active,0,55,True,0,2020-08-02 04:13:07+00:00,True,,0,True,,6,False,2020-08-02 04:18:45,2020
49,12,56,active,0,56,True,0,2020-08-02 02:12:57+00:00,True,,0,True,,6,True,2020-08-02 04:18:45,2020
50,2,57,active,0,57,True,0,2020-08-02 04:10:02+00:00,True,,0,True,,12,True,2020-08-02 04:18:45,2020
51,12,58,active,0,58,True,0,2020-08-02 04:14:47+00:00,True,,0,True,,7,True,2020-08-02 04:18:45,2020
52,12,59,active,0,59,True,0,2020-08-02 03:57:51+00:00,True,,0,True,,7,True,2020-08-02 04:18:45,2020
53,4,60,active,0,60,True,2,2020-08-02 04:10:53+00:00,True,,0,True,,13,False,2020-08-02 04:18:45,2020
54,0,61,active,0,61,True,0,2020-08-02 02:44:42+00:00,True,,0,True,,19,False,2020-08-02 04:18:45,2020
55,3,63,active,0,63,True,0,2020-08-02 03:14:21+00:00,True,,0,True,,12,False,2020-08-02 04:18:45,2020
56,0,64,active,0,64,True,1,2020-08-02 04:17:00+00:00,True,,0,True,,18,False,2020-08-02 04:18:45,2020
57,23,65,active,0,65,True,0,2020-08-01 20:25:07+00:00,True,,0,True,,0,False,2020-08-02 04:18:45,2020
58,6,66,active,0,66,True,1,2020-08-02 04:12:10+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
59,2,67,active,0,67,True,2,2020-08-02 04:00:46+00:00,True,,0,True,,23,True,2020-08-02 04:18:45,2020
60,9,68,active,0,68,True,0,2020-08-02 04:09:31+00:00,True,,0,True,,10,True,2020-08-02 04:18:45,2020
61,11,69,active,0,69,True,1,2020-08-02 03:31:40+00:00,True,,0,True,,7,True,2020-08-02 04:18:45,2020
62,1,70,active,0,70,True,1,2020-08-02 04:15:02+00:00,True,,0,True,,21,False,2020-08-02 04:18:45,2020
63,16,71,active,0,71,True,2,2020-08-02 03:46:46+00:00,True,,0,True,,5,False,2020-08-02 04:18:45,2020
64,1,72,active,0,72,True,0,2020-08-02 04:08:28+00:00,True,,0,True,,22,False,2020-08-02 04:18:45,2020
65,6,73,active,0,73,True,0,2020-08-02 04:13:39+00:00,True,,0,True,,9,False,2020-08-02 04:18:45,2020
66,4,74,active,0,74,True,2,2020-08-02 03:17:26+00:00,True,,0,True,,13,True,2020-08-02 04:18:45,2020
67,4,75,active,0,75,True,1,2020-08-02 03:40:31+00:00,True,,0,True,,10,False,2020-08-02 04:18:45,2020
68,6,76,active,0,76,True,0,2020-08-02 04:12:21+00:00,True,,0,True,,11,False,2020-08-02 04:18:45,2020
69,8,77,active,0,77,True,1,2020-08-02 01:31:40+00:00,True,,0,True,,6,False,2020-08-02 04:18:45,2020
70,12,78,active,0,78,True,1,2020-08-02 03:14:40+00:00,True,,0,True,,6,False,2020-08-02 04:18:45,2020
71,12,79,active,0,79,True,0,2020-08-02 03:24:59+00:00,True,,0,True,,7,False,2020-08-02 04:18:45,2020
72,0,80,active,0,80,True,1,2020-08-02 02:01:33+00:00,True,,0,True,,34,False,2020-08-02 04:18:45,2020
73,18,81,active,0,81,True,0,2020-08-02 04:18:34+00:00,True,,0,True,,1,False,2020-08-02 04:18:45,2020
74,3,82,active,0,82,True,0,2020-08-02 04:11:39+00:00,True,,0,True,,12,False,2020-08-02 04:18:45,2020
75,6,84,active,0,84,True,0,2020-08-02 02:51:17+00:00,True,,0,True,,9,False,2020-08-02 04:18:45,2020
76,1,85,active,0,85,True,0,2020-08-02 03:27:10+00:00,True,,0,True,,18,False,2020-08-02 04:18:45,2020
77,18,86,active,0,86,True,0,2020-08-02 03:18:30+00:00,True,,0,True,,1,False,2020-08-02 04:18:45,2020
78,9,87,active,0,87,True,1,2020-08-02 03:41:41+00:00,True,,0,True,,5,False,2020-08-02 04:18:45,2020
79,12,89,active,0,89,True,0,2020-08-02 03:36:04+00:00,True,,0,True,,7,False,2020-08-02 04:18:45,2020
80,11,90,active,0,90,True,0,2020-08-02 03:43:49+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
81,4,91,active,0,91,True,1,2020-08-02 04:18:30+00:00,True,,0,True,,14,False,2020-08-02 04:18:45,2020
82,15,92,active,0,92,True,0,2020-08-02 04:11:59+00:00,True,,0,True,,4,False,2020-08-02 04:18:45,2020
