,num_docks_available,is_returning,is_renting,last_reported,eightd_has_available_keys,num_docks_disabled,legacy_id,num_bikes_available,num_ebikes_available,is_installed,station_status,station_id,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
0,14,True,True,2020-08-13 00:19:25+00:00,False,0,3,0,0,True,active,3,1,2020-08-13 00:42:20,2020
1,7,True,True,2020-08-13 00:25:29+00:00,False,0,4,12,0,True,active,4,0,2020-08-13 00:42:20,2020
2,9,True,True,2020-08-13 00:42:14+00:00,False,0,5,6,0,True,active,5,0,2020-08-13 00:42:20,2020
3,9,True,True,2020-08-13 00:38:54+00:00,False,0,6,5,0,True,active,6,1,2020-08-13 00:42:20,2020
4,7,True,True,2020-08-13 00:27:21+00:00,False,0,7,8,0,True,active,7,0,2020-08-13 00:42:20,2020
5,3,True,True,2020-08-13 00:41:43+00:00,False,0,8,16,0,True,active,8,0,2020-08-13 00:42:20,2020
6,4,True,True,2020-08-13 00:21:30+00:00,False,0,9,10,0,True,active,9,1,2020-08-13 00:42:20,2020
7,7,True,True,2020-08-13 00:40:54+00:00,False,0,10,4,0,True,active,10,0,2020-08-13 00:42:20,2020
8,14,True,True,2020-08-13 00:02:11+00:00,False,0,11,0,0,True,active,11,1,2020-08-13 00:42:20,2020
9,2,True,True,2020-08-13 00:38:07+00:00,True,0,12,16,0,True,active,12,0,2020-08-13 00:42:20,2020
10,12,True,True,2020-08-13 00:39:33+00:00,False,0,13,6,0,True,active,13,1,2020-08-13 00:42:20,2020
11,24,True,True,2020-08-13 00:37:42+00:00,False,0,14,1,0,True,active,14,0,2020-08-13 00:42:20,2020
12,2,True,True,2020-08-13 00:41:02+00:00,False,0,15,13,0,True,active,15,0,2020-08-13 00:42:20,2020
13,6,True,True,2020-08-13 00:40:06+00:00,True,0,16,13,0,True,active,16,0,2020-08-13 00:42:20,2020
14,13,True,True,2020-08-13 00:33:54+00:00,False,0,17,1,0,True,active,17,1,2020-08-13 00:42:20,2020
15,9,True,True,2020-08-13 00:23:29+00:00,False,0,19,6,0,True,active,19,0,2020-08-13 00:42:20,2020
16,9,True,True,2020-08-13 00:36:43+00:00,True,0,20,14,0,True,active,20,0,2020-08-13 00:42:20,2020
17,8,True,True,2020-08-13 00:36:01+00:00,True,0,21,10,0,True,active,21,0,2020-08-13 00:42:20,2020
18,42,True,True,2020-08-13 00:40:18+00:00,True,0,22,5,0,True,active,22,0,2020-08-13 00:42:20,2020
19,17,True,True,2020-08-13 00:41:49+00:00,False,0,23,4,0,True,active,23,0,2020-08-13 00:42:20,2020
20,3,True,True,2020-08-13 00:29:48+00:00,False,0,24,14,0,True,active,24,2,2020-08-13 00:42:20,2020
21,2,True,True,2020-08-13 00:32:59+00:00,False,0,25,12,0,True,active,25,1,2020-08-13 00:42:20,2020
22,6,True,True,2020-08-13 00:36:32+00:00,False,0,26,9,0,True,active,26,0,2020-08-13 00:42:20,2020
23,14,True,True,2020-08-13 00:32:41+00:00,False,0,27,7,0,True,active,27,2,2020-08-13 00:42:20,2020
24,8,True,True,2020-08-12 23:26:05+00:00,False,0,29,7,0,True,active,29,0,2020-08-13 00:42:20,2020
25,15,True,True,2020-08-13 00:17:00+00:00,False,0,30,0,0,True,active,30,0,2020-08-13 00:42:20,2020
26,15,True,True,2020-08-12 21:43:33+00:00,True,0,31,4,0,True,active,31,0,2020-08-13 00:42:20,2020
27,15,True,True,2020-08-13 00:42:17+00:00,False,0,32,0,0,True,active,32,0,2020-08-13 00:42:20,2020
28,17,True,True,2020-08-13 00:20:25+00:00,False,0,33,10,0,True,active,33,0,2020-08-13 00:42:20,2020
29,15,True,True,2020-08-12 23:44:46+00:00,False,0,35,8,0,True,active,35,0,2020-08-13 00:42:20,2020
30,28,True,True,2020-08-13 00:15:45+00:00,True,0,36,4,0,True,active,36,1,2020-08-13 00:42:20,2020
