,legacy_id,num_bikes_disabled,station_status,is_returning,num_ebikes_available,station_id,num_bikes_available,eightd_has_available_keys,is_installed,num_docks_available,last_reported,num_docks_disabled,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
57,66,0,active,True,0,66,1,False,True,14,2020-07-28 16:23:35+00:00,0,True,,,2020-07-28 16:37:25,2020
58,67,3,active,True,0,67,12,True,True,12,2020-07-28 16:36:17+00:00,0,True,,,2020-07-28 16:37:25,2020
59,68,0,active,True,0,68,10,True,True,9,2020-07-28 16:32:57+00:00,0,True,,,2020-07-28 16:37:25,2020
60,69,1,active,True,0,69,5,True,True,13,2020-07-28 16:32:57+00:00,0,True,,,2020-07-28 16:37:25,2020
61,70,0,active,True,0,70,12,False,True,11,2020-07-28 16:27:33+00:00,0,True,,,2020-07-28 16:37:25,2020
62,71,0,active,True,0,71,11,False,True,12,2020-07-28 16:24:30+00:00,0,True,,,2020-07-28 16:37:25,2020
63,72,0,active,True,0,72,6,False,True,17,2020-07-28 16:09:11+00:00,0,True,,,2020-07-28 16:37:25,2020
64,73,0,active,True,0,73,9,False,True,6,2020-07-28 16:35:10+00:00,0,True,,,2020-07-28 16:37:25,2020
65,74,4,active,True,0,74,12,True,True,3,2020-07-28 16:28:48+00:00,0,True,,,2020-07-28 16:37:25,2020
66,75,1,active,True,0,75,0,False,True,14,2020-07-28 15:58:08+00:00,0,True,,,2020-07-28 16:37:25,2020
67,76,0,active,True,0,76,3,False,True,14,2020-07-28 16:31:24+00:00,0,True,,,2020-07-28 16:37:25,2020
68,77,0,active,True,0,77,1,False,True,14,2020-07-28 16:23:41+00:00,0,True,,,2020-07-28 16:37:25,2020
69,78,1,active,True,0,78,9,False,True,9,2020-07-28 16:28:46+00:00,0,True,,,2020-07-28 16:37:25,2020
70,79,1,active,True,0,79,10,False,True,8,2020-07-28 16:37:08+00:00,0,True,,,2020-07-28 16:37:25,2020
71,80,0,active,True,0,80,26,False,True,9,2020-07-28 16:33:54+00:00,0,True,,,2020-07-28 16:37:25,2020
72,81,0,active,True,0,81,3,False,True,16,2020-07-28 16:18:06+00:00,0,True,,,2020-07-28 16:37:25,2020
73,82,0,active,True,0,82,6,False,True,9,2020-07-28 16:13:45+00:00,0,True,,,2020-07-28 16:37:25,2020
74,84,1,active,True,0,84,4,False,True,10,2020-07-28 16:21:25+00:00,0,True,,,2020-07-28 16:37:25,2020
75,85,0,active,True,0,85,16,False,True,3,2020-07-28 16:21:03+00:00,0,True,,,2020-07-28 16:37:25,2020
76,86,0,active,True,0,86,7,False,True,12,2020-07-28 15:49:00+00:00,0,True,,,2020-07-28 16:37:25,2020
77,87,0,active,True,0,87,4,False,True,11,2020-07-28 16:14:48+00:00,0,True,,,2020-07-28 16:37:25,2020
78,89,1,active,True,0,89,5,False,True,13,2020-07-28 16:26:38+00:00,0,True,,,2020-07-28 16:37:25,2020
79,90,0,active,True,0,90,11,False,True,8,2020-07-28 16:29:57+00:00,0,True,,,2020-07-28 16:37:25,2020
80,91,0,active,True,0,91,7,False,True,12,2020-07-28 16:33:50+00:00,0,True,,,2020-07-28 16:37:25,2020
81,92,1,active,True,0,92,14,False,True,4,2020-07-28 13:05:08+00:00,0,True,,,2020-07-28 16:37:25,2020
82,93,1,active,True,0,93,4,False,True,10,2020-07-28 15:50:59+00:00,0,True,,,2020-07-28 16:37:25,2020
83,94,0,active,True,0,94,11,False,True,0,2020-07-28 14:24:10+00:00,0,True,,,2020-07-28 16:37:25,2020
84,95,0,active,True,0,95,10,False,True,5,2020-07-28 16:32:30+00:00,0,True,,,2020-07-28 16:37:25,2020
85,96,0,active,True,0,96,1,False,True,18,2020-07-28 16:25:37+00:00,0,True,,,2020-07-28 16:37:25,2020
86,97,0,active,True,0,97,1,False,True,18,2020-07-28 15:14:55+00:00,0,True,,,2020-07-28 16:37:25,2020
87,98,0,active,True,0,98,5,False,True,17,2020-07-28 16:18:44+00:00,0,True,,,2020-07-28 16:37:25,2020
88,99,0,active,True,0,99,8,False,True,7,2020-07-28 14:31:27+00:00,0,True,,,2020-07-28 16:37:25,2020
89,100,2,active,True,0,100,14,True,True,9,2020-07-28 16:29:52+00:00,0,True,,,2020-07-28 16:37:25,2020
90,101,0,active,True,0,101,0,False,True,15,2020-07-28 16:27:21+00:00,0,True,,,2020-07-28 16:37:25,2020
91,102,0,active,True,0,102,0,False,True,15,2020-07-28 16:28:30+00:00,0,True,,,2020-07-28 16:37:25,2020
92,103,0,active,True,0,103,5,False,True,10,2020-07-28 16:30:01+00:00,0,True,,,2020-07-28 16:37:25,2020
93,104,0,active,True,0,104,9,False,True,10,2020-07-28 15:53:00+00:00,0,True,,,2020-07-28 16:37:25,2020
94,105,0,active,True,0,105,16,False,True,3,2020-07-28 16:21:35+00:00,0,True,,,2020-07-28 16:37:25,2020
95,106,0,active,True,0,106,9,False,True,6,2020-07-28 12:53:25+00:00,0,True,,,2020-07-28 16:37:25,2020
96,107,0,active,True,0,107,11,False,True,8,2020-07-28 16:35:02+00:00,0,True,,,2020-07-28 16:37:25,2020
97,108,0,active,True,0,108,7,False,True,10,2020-07-28 16:20:28+00:00,0,True,,,2020-07-28 16:37:25,2020
98,109,2,active,True,0,109,21,False,True,12,2020-07-28 15:59:57+00:00,0,True,,,2020-07-28 16:37:25,2020
99,110,4,active,True,0,110,4,False,True,7,2020-07-28 16:37:04+00:00,0,True,,,2020-07-28 16:37:25,2020
100,111,0,active,True,0,111,3,False,True,12,2020-07-28 16:34:31+00:00,0,True,,,2020-07-28 16:37:25,2020
101,112,0,active,True,0,112,9,False,True,6,2020-07-28 14:48:55+00:00,0,True,,,2020-07-28 16:37:25,2020
102,113,0,active,True,0,113,2,False,True,13,2020-07-28 13:56:57+00:00,0,True,,,2020-07-28 16:37:25,2020
103,114,0,active,True,0,114,3,False,True,12,2020-07-28 16:21:03+00:00,0,True,,,2020-07-28 16:37:25,2020
104,115,0,active,True,0,115,7,False,True,12,2020-07-28 16:24:03+00:00,0,True,,,2020-07-28 16:37:25,2020
105,116,0,active,True,0,116,10,False,True,13,2020-07-28 16:34:26+00:00,0,True,,,2020-07-28 16:37:25,2020
106,117,0,active,True,0,117,15,False,True,4,2020-07-28 16:29:13+00:00,0,True,,,2020-07-28 16:37:25,2020
107,118,0,active,True,0,118,13,False,True,6,2020-07-28 15:35:31+00:00,0,True,,,2020-07-28 16:37:25,2020
108,119,0,active,True,0,119,7,False,True,8,2020-07-28 15:48:18+00:00,0,True,,,2020-07-28 16:37:25,2020
109,120,0,active,True,0,120,9,False,True,6,2020-07-28 16:34:06+00:00,0,True,,,2020-07-28 16:37:25,2020
110,121,1,active,True,0,121,1,False,True,15,2020-07-28 16:12:41+00:00,0,True,,,2020-07-28 16:37:25,2020
111,122,0,active,True,0,122,10,False,True,5,2020-07-28 16:36:41+00:00,0,True,,,2020-07-28 16:37:25,2020
112,124,0,active,True,0,124,0,False,True,15,2020-07-28 16:20:53+00:00,0,True,,,2020-07-28 16:37:25,2020
113,125,0,active,True,0,125,0,False,True,15,2020-07-28 15:56:15+00:00,0,True,,,2020-07-28 16:37:25,2020
114,126,0,active,True,0,126,1,False,True,14,2020-07-28 14:46:07+00:00,0,True,,,2020-07-28 16:37:25,2020
115,128,1,active,True,0,128,8,False,True,10,2020-07-28 15:47:32+00:00,0,True,,,2020-07-28 16:37:25,2020
116,129,0,active,True,0,129,8,False,True,11,2020-07-28 15:44:34+00:00,0,True,,,2020-07-28 16:37:25,2020
117,130,0,active,True,0,130,6,False,True,9,2020-07-28 16:24:12+00:00,0,True,,,2020-07-28 16:37:25,2020
118,131,1,active,True,0,131,9,False,True,8,2020-07-28 16:31:21+00:00,0,True,,,2020-07-28 16:37:25,2020
119,133,1,active,True,0,133,1,False,True,21,2020-07-28 15:18:49+00:00,0,True,,,2020-07-28 16:37:25,2020
120,135,1,active,True,0,135,8,False,True,8,2020-07-28 15:44:56+00:00,0,True,,,2020-07-28 16:37:25,2020
121,136,1,active,True,0,136,17,False,True,1,2020-07-28 14:15:37+00:00,0,True,,,2020-07-28 16:37:25,2020
122,137,0,active,True,0,137,2,False,True,13,2020-07-28 15:42:00+00:00,0,True,,,2020-07-28 16:37:25,2020
123,138,1,active,True,0,138,8,False,True,6,2020-07-28 16:13:27+00:00,0,True,,,2020-07-28 16:37:25,2020
124,139,1,active,True,0,139,4,False,True,14,2020-07-28 16:34:18+00:00,0,True,,,2020-07-28 16:37:25,2020
125,140,1,active,True,0,140,6,False,True,10,2020-07-28 16:35:31+00:00,0,True,,,2020-07-28 16:37:25,2020
126,141,1,active,True,0,141,7,False,True,7,2020-07-28 16:30:43+00:00,0,True,,,2020-07-28 16:37:25,2020
127,142,1,active,True,0,142,19,False,True,3,2020-07-28 14:19:46+00:00,0,True,,,2020-07-28 16:37:25,2020
128,143,1,active,True,0,143,10,False,True,12,2020-07-28 16:12:05+00:00,0,True,,,2020-07-28 16:37:25,2020
129,144,0,active,True,0,144,9,False,True,10,2020-07-28 13:10:27+00:00,0,True,,,2020-07-28 16:37:25,2020
130,145,0,active,True,0,145,4,False,True,15,2020-07-28 14:30:18+00:00,0,True,,,2020-07-28 16:37:25,2020
131,146,0,active,True,0,146,8,False,True,11,2020-07-28 16:36:55+00:00,0,True,,,2020-07-28 16:37:25,2020
