,is_returning,is_renting,is_installed,eightd_has_available_keys,station_status,last_reported,legacy_id,num_ebikes_available,num_bikes_available,num_docks_available,num_bikes_disabled,station_id,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
126,True,True,True,False,active,2020-07-28 15:59:26+00:00,141,0,9,5,1,141,0,,,2020-07-28 16:04:50,2020
127,True,True,True,False,active,2020-07-28 14:19:46+00:00,142,0,19,3,1,142,0,,,2020-07-28 16:04:50,2020
128,True,True,True,False,active,2020-07-28 15:49:16+00:00,143,0,12,10,1,143,0,,,2020-07-28 16:04:50,2020
129,True,True,True,False,active,2020-07-28 13:10:27+00:00,144,0,9,10,0,144,0,,,2020-07-28 16:04:50,2020
130,True,True,True,False,active,2020-07-28 14:30:18+00:00,145,0,4,15,0,145,0,,,2020-07-28 16:04:50,2020
131,True,True,True,False,active,2020-07-28 15:42:19+00:00,146,0,7,12,0,146,0,,,2020-07-28 16:04:50,2020
132,True,True,True,True,active,2020-07-28 16:03:17+00:00,149,0,1,17,0,149,0,,,2020-07-28 16:04:50,2020
133,True,True,True,False,active,2020-07-28 16:03:47+00:00,150,0,14,5,0,150,0,,,2020-07-28 16:04:50,2020
134,True,True,True,False,active,2020-07-28 16:01:37+00:00,151,0,11,8,0,151,0,,,2020-07-28 16:04:50,2020
135,True,True,True,True,active,2020-07-28 15:52:23+00:00,152,0,10,5,0,152,0,,,2020-07-28 16:04:50,2020
136,True,True,True,False,active,2020-07-28 14:55:57+00:00,156,0,1,14,0,156,0,,,2020-07-28 16:04:50,2020
137,True,True,True,False,active,2020-07-28 16:04:17+00:00,157,0,10,2,3,157,0,,,2020-07-28 16:04:50,2020
138,True,True,True,False,active,2020-07-28 14:24:15+00:00,159,0,0,14,1,159,0,,,2020-07-28 16:04:50,2020
139,True,True,True,True,active,2020-07-28 15:04:59+00:00,160,0,0,13,1,160,0,,,2020-07-28 16:04:50,2020
140,True,True,True,True,active,2020-07-28 15:56:02+00:00,161,0,14,7,2,161,0,,,2020-07-28 16:04:50,2020
141,True,True,True,False,active,2020-07-28 08:36:06+00:00,162,0,9,6,0,162,0,,,2020-07-28 16:04:50,2020
142,True,True,True,True,active,2020-07-28 15:50:59+00:00,163,0,6,13,0,163,0,,,2020-07-28 16:04:50,2020
143,True,True,True,False,active,2020-07-28 14:23:05+00:00,167,0,9,4,2,167,0,,,2020-07-28 16:04:50,2020
144,True,True,True,False,active,2020-07-28 15:32:43+00:00,169,0,7,11,1,169,0,,,2020-07-28 16:04:50,2020
145,True,True,True,True,active,2020-07-28 08:49:07+00:00,170,0,0,14,0,170,0,,,2020-07-28 16:04:50,2020
146,True,True,True,True,active,2020-07-28 14:39:05+00:00,171,0,1,21,1,171,0,,,2020-07-28 16:04:50,2020
147,True,True,True,True,active,2020-07-28 15:05:57+00:00,173,0,9,4,1,173,0,,,2020-07-28 16:04:50,2020
148,True,True,True,False,active,2020-07-28 12:16:20+00:00,174,0,7,8,0,174,0,,,2020-07-28 16:04:50,2020
149,True,True,True,True,active,2020-07-28 16:02:59+00:00,175,0,0,17,0,175,0,,,2020-07-28 16:04:50,2020
150,True,True,True,False,active,2020-07-28 15:27:56+00:00,176,0,13,2,0,176,0,,,2020-07-28 16:04:50,2020
151,True,True,True,False,active,2020-07-28 16:02:04+00:00,177,0,4,15,0,177,0,,,2020-07-28 16:04:50,2020
152,True,True,True,False,active,2020-07-28 16:02:05+00:00,178,0,8,11,0,178,0,,,2020-07-28 16:04:50,2020
153,True,True,True,False,active,2020-07-28 15:42:12+00:00,179,0,10,15,0,179,0,,,2020-07-28 16:04:50,2020
154,True,True,True,False,active,2020-07-28 14:58:07+00:00,180,0,10,9,0,180,0,,,2020-07-28 16:04:50,2020
155,True,True,True,False,active,2020-07-28 13:02:24+00:00,181,0,8,11,0,181,0,,,2020-07-28 16:04:50,2020
156,True,True,True,True,active,2020-07-28 13:08:31+00:00,182,0,6,13,0,182,0,,,2020-07-28 16:04:50,2020
157,True,True,True,False,active,2020-07-28 14:44:43+00:00,183,0,5,14,0,183,0,,,2020-07-28 16:04:50,2020
158,True,True,True,False,active,2020-07-28 15:48:38+00:00,184,0,11,8,0,184,0,,,2020-07-28 16:04:50,2020
