,is_returning,station_status,num_bikes_available,num_docks_disabled,legacy_id,eightd_has_available_keys,is_installed,num_docks_available,is_renting,last_reported,station_id,num_ebikes_available,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
212,True,active,18,0,279,False,True,1,True,2020-08-10 19:01:15+00:00,279,0,0,,,2020-08-10 19:24:10,2020
213,True,active,8,0,280,False,True,11,True,2020-08-10 19:14:42+00:00,280,0,0,,,2020-08-10 19:24:10,2020
214,True,active,5,0,282,False,True,8,True,2020-08-10 19:14:07+00:00,282,0,2,,,2020-08-10 19:24:10,2020
215,True,active,7,0,296,False,True,16,True,2020-08-10 19:19:22+00:00,296,0,0,,,2020-08-10 19:24:10,2020
216,True,active,13,0,318,False,True,6,True,2020-08-10 19:20:08+00:00,318,0,0,,,2020-08-10 19:24:10,2020
217,True,active,6,0,319,False,True,19,True,2020-08-10 18:58:52+00:00,319,0,0,,,2020-08-10 19:24:10,2020
218,True,active,12,0,327,False,True,3,True,2020-08-10 18:36:22+00:00,327,0,0,,,2020-08-10 19:24:10,2020
219,True,active,4,0,328,False,True,11,True,2020-08-10 18:43:22+00:00,328,0,0,,,2020-08-10 19:24:10,2020
220,True,active,3,0,329,False,True,12,True,2020-08-10 18:03:34+00:00,329,0,0,,,2020-08-10 19:24:10,2020
221,True,active,11,0,330,False,True,4,True,2020-08-10 18:35:58+00:00,330,0,0,,,2020-08-10 19:24:10,2020
222,True,active,8,0,331,False,True,7,True,2020-08-10 19:20:25+00:00,331,0,0,,,2020-08-10 19:24:10,2020
223,True,active,3,0,332,False,True,12,True,2020-08-10 19:13:25+00:00,332,0,0,,,2020-08-10 19:24:10,2020
224,True,active,21,0,333,False,True,4,True,2020-08-10 18:07:08+00:00,333,0,0,,,2020-08-10 19:24:10,2020
225,True,active,19,0,334,False,True,0,True,2020-08-10 19:01:05+00:00,334,0,0,,,2020-08-10 19:24:10,2020
226,True,active,16,0,335,False,True,3,True,2020-08-10 18:43:25+00:00,335,0,0,,,2020-08-10 19:24:10,2020
