,num_bikes_available,valet,last_reported,is_returning,legacy_id,num_bikes_disabled,station_status,num_docks_disabled,num_ebikes_available,station_id,is_installed,is_renting,eightd_has_available_keys,num_docks_available,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,21,"{'off_dock_capacity': 0, 'valet_revision': 3, 'off_dock_count': 15, 'station_id': '74cb9bf6-bb53-4c70-88d2-67998b99628c', 'region': 'BOS', 'active': True, 'dock_blocked_count': 0}",2020-08-01 21:29:47+00:00,True,296,0,active,0,0,296,True,True,False,2,[{'id': 'e4cf42bb-42a8-4a72-9a2f-5f76a12e7a7a'}],2020-08-01 21:30:20,2020
1,1,,2020-08-01 20:38:11+00:00,True,3,0,active,0,0,3,True,True,True,14,,2020-08-01 21:30:20,2020
2,0,,2020-08-01 21:01:21+00:00,True,4,0,active,0,0,4,True,True,False,19,,2020-08-01 21:30:20,2020
3,1,,2020-08-01 21:29:18+00:00,True,5,0,active,0,0,5,True,True,False,14,,2020-08-01 21:30:20,2020
4,0,,2020-08-01 20:36:31+00:00,True,6,0,active,0,0,6,True,True,False,15,,2020-08-01 21:30:20,2020
5,8,,2020-08-01 21:21:35+00:00,True,7,0,active,0,0,7,True,True,False,7,,2020-08-01 21:30:20,2020
6,2,,2020-08-01 21:20:02+00:00,True,8,2,active,0,0,8,True,True,False,15,,2020-08-01 21:30:20,2020
7,4,,2020-08-01 21:21:04+00:00,True,9,0,active,0,0,9,True,True,False,11,,2020-08-01 21:30:20,2020
8,0,,2020-08-01 21:30:10+00:00,True,10,1,active,0,0,10,True,True,False,10,,2020-08-01 21:30:20,2020
9,4,,2020-08-01 21:22:26+00:00,True,11,2,active,0,0,11,True,True,False,9,,2020-08-01 21:30:20,2020
10,0,,2020-08-01 21:23:29+00:00,True,12,2,active,0,0,12,True,True,True,16,,2020-08-01 21:30:20,2020
11,15,,2020-08-01 21:17:20+00:00,True,13,0,active,0,0,13,True,True,False,4,,2020-08-01 21:30:20,2020
12,11,,2020-08-01 21:27:19+00:00,True,14,1,active,0,0,14,True,True,False,13,,2020-08-01 21:30:20,2020
13,4,,2020-08-01 21:19:30+00:00,True,15,1,active,0,0,15,True,True,False,10,,2020-08-01 21:30:20,2020
14,15,,2020-08-01 21:22:21+00:00,True,16,1,active,0,0,16,True,True,True,3,,2020-08-01 21:30:20,2020
15,2,,2020-08-01 21:24:24+00:00,True,17,0,active,0,0,17,True,True,False,13,,2020-08-01 21:30:20,2020
16,6,,2020-08-01 21:07:27+00:00,True,19,0,active,0,0,19,True,True,False,9,,2020-08-01 21:30:20,2020
17,15,,2020-08-01 21:29:55+00:00,True,20,0,active,0,0,20,True,True,True,8,,2020-08-01 21:30:20,2020
18,3,,2020-08-01 21:27:11+00:00,True,21,0,active,0,0,21,True,True,True,15,,2020-08-01 21:30:20,2020
19,10,,2020-08-01 21:27:38+00:00,True,22,2,active,0,0,22,True,True,True,35,,2020-08-01 21:30:20,2020
20,3,,2020-08-01 21:23:42+00:00,True,23,0,active,0,0,23,True,True,True,18,,2020-08-01 21:30:20,2020
21,4,,2020-08-01 21:18:46+00:00,True,24,1,active,0,0,24,True,True,False,14,,2020-08-01 21:30:20,2020
22,1,,2020-08-01 21:27:30+00:00,True,25,1,active,0,0,25,True,True,False,13,,2020-08-01 21:30:20,2020
23,5,,2020-08-01 21:30:05+00:00,True,26,0,active,0,0,26,True,True,False,10,,2020-08-01 21:30:20,2020
24,5,,2020-08-01 21:13:55+00:00,True,27,4,active,0,0,27,True,True,False,14,,2020-08-01 21:30:20,2020
25,7,,2020-08-01 17:57:42+00:00,True,29,0,active,0,0,29,True,True,False,8,,2020-08-01 21:30:20,2020
26,0,,2020-08-01 21:29:46+00:00,True,30,2,active,0,0,30,True,True,False,13,,2020-08-01 21:30:20,2020
27,13,,2020-08-01 20:45:06+00:00,True,31,2,active,0,0,31,True,True,True,4,,2020-08-01 21:30:20,2020
28,4,,2020-08-01 21:25:17+00:00,True,32,3,active,0,0,32,True,True,False,8,,2020-08-01 21:30:20,2020
29,12,,2020-08-01 21:22:21+00:00,True,33,1,active,0,0,33,True,True,False,14,,2020-08-01 21:30:20,2020
30,4,,2020-08-01 21:27:25+00:00,True,35,0,active,0,0,35,True,True,False,19,,2020-08-01 21:30:20,2020
31,19,,2020-08-01 21:13:36+00:00,True,36,0,active,0,0,36,True,True,True,14,,2020-08-01 21:30:20,2020
32,5,,2020-08-01 20:55:08+00:00,True,37,0,active,0,0,37,True,True,True,10,,2020-08-01 21:30:20,2020
33,6,,2020-08-01 21:09:58+00:00,True,39,0,active,0,0,39,True,True,False,17,,2020-08-01 21:30:20,2020
34,6,,2020-08-01 21:23:15+00:00,True,40,0,active,0,0,40,True,True,False,13,,2020-08-01 21:30:20,2020
35,17,,2020-08-01 21:26:49+00:00,True,41,2,active,0,0,41,True,True,True,8,,2020-08-01 21:30:20,2020
36,6,,2020-08-01 21:18:04+00:00,True,42,0,active,0,0,42,True,True,False,17,,2020-08-01 21:30:20,2020
37,0,,2020-08-01 21:12:54+00:00,True,43,4,active,0,0,43,True,True,True,11,,2020-08-01 21:30:20,2020
38,13,,2020-08-01 21:24:25+00:00,True,44,0,active,0,0,44,True,True,False,10,,2020-08-01 21:30:20,2020
39,0,,2020-08-01 21:28:24+00:00,True,46,1,active,0,0,46,True,True,False,18,,2020-08-01 21:30:20,2020
40,4,,2020-08-01 21:26:46+00:00,True,47,0,active,0,0,47,True,True,True,15,,2020-08-01 21:30:20,2020
41,4,,2020-08-01 21:29:56+00:00,True,48,0,active,0,0,48,True,True,False,15,,2020-08-01 21:30:20,2020
42,0,,2020-08-01 20:39:58+00:00,True,49,0,active,0,0,49,True,True,False,18,,2020-08-01 21:30:20,2020
43,6,,2020-08-01 21:26:29+00:00,True,50,0,active,0,0,50,True,True,False,9,,2020-08-01 21:30:20,2020
44,5,,2020-08-01 21:14:10+00:00,True,51,0,active,0,0,51,True,True,False,10,,2020-08-01 21:30:20,2020
45,5,,2020-08-01 21:28:42+00:00,True,52,1,active,0,0,52,True,True,True,17,,2020-08-01 21:30:20,2020
46,17,,2020-08-01 21:24:47+00:00,True,53,1,active,0,0,53,True,True,False,1,,2020-08-01 21:30:20,2020
47,5,,2020-08-01 21:28:57+00:00,True,54,0,active,0,0,54,True,True,False,10,,2020-08-01 21:30:20,2020
48,4,,2020-08-01 21:27:22+00:00,True,55,0,active,0,0,55,True,True,False,11,,2020-08-01 21:30:20,2020
49,11,,2020-08-01 21:25:17+00:00,True,56,0,active,0,0,56,True,True,True,7,,2020-08-01 21:30:20,2020
50,2,,2020-08-01 21:22:36+00:00,True,57,0,active,0,0,57,True,True,True,12,,2020-08-01 21:30:20,2020
51,19,,2020-08-01 21:27:52+00:00,True,58,0,active,0,0,58,True,True,True,0,,2020-08-01 21:30:20,2020
52,0,,2020-08-01 21:23:52+00:00,True,59,0,active,0,0,59,True,True,True,19,,2020-08-01 21:30:20,2020
53,7,,2020-08-01 21:29:52+00:00,True,60,2,active,0,0,60,True,True,False,10,,2020-08-01 21:30:20,2020
