,num_docks_available,station_id,station_status,num_bikes_disabled,num_docks_disabled,is_returning,last_reported,eightd_has_available_keys,is_installed,legacy_id,is_renting,num_ebikes_available,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
52,4,60,active,1,0,True,2020-07-30 03:01:18+00:00,False,True,60,True,0,14,2020-07-30 03:05:55,2020
53,10,61,active,0,0,True,2020-07-30 03:02:54+00:00,False,True,61,True,0,9,2020-07-30 03:05:55,2020
54,0,63,active,0,0,True,2020-07-30 02:05:50+00:00,False,True,63,True,0,15,2020-07-30 03:05:55,2020
55,13,64,active,2,0,True,2020-07-30 02:57:32+00:00,False,True,64,True,0,4,2020-07-30 03:05:55,2020
56,14,65,active,1,0,True,2020-07-30 02:12:21+00:00,False,True,65,True,0,8,2020-07-30 03:05:55,2020
57,0,66,active,0,0,True,2020-07-30 02:34:20+00:00,False,True,66,True,0,15,2020-07-30 03:05:55,2020
58,18,67,active,0,0,True,2020-07-30 02:45:18+00:00,True,True,67,True,0,9,2020-07-30 03:05:55,2020
59,14,68,active,1,0,True,2020-07-30 02:59:34+00:00,True,True,68,True,0,4,2020-07-30 03:05:55,2020
60,11,69,active,1,0,True,2020-07-30 02:50:35+00:00,True,True,69,True,0,7,2020-07-30 03:05:55,2020
61,21,70,active,0,0,True,2020-07-30 01:13:39+00:00,False,True,70,True,0,2,2020-07-30 03:05:55,2020
62,2,71,active,0,0,True,2020-07-30 03:00:48+00:00,False,True,71,True,0,21,2020-07-30 03:05:55,2020
63,21,72,active,1,0,True,2020-07-30 02:14:23+00:00,False,True,72,True,0,1,2020-07-30 03:05:55,2020
64,8,73,active,1,0,True,2020-07-30 02:59:11+00:00,False,True,73,True,0,6,2020-07-30 03:05:55,2020
65,4,74,active,1,0,True,2020-07-30 02:50:47+00:00,True,True,74,True,0,14,2020-07-30 03:05:55,2020
66,15,75,active,0,0,True,2020-07-30 02:31:35+00:00,False,True,75,True,0,0,2020-07-30 03:05:55,2020
67,10,76,active,1,0,True,2020-07-30 02:29:40+00:00,False,True,76,True,0,6,2020-07-30 03:05:55,2020
68,4,77,active,0,0,True,2020-07-30 01:23:21+00:00,False,True,77,True,0,11,2020-07-30 03:05:55,2020
69,1,78,active,0,0,True,2020-07-30 02:30:03+00:00,False,True,78,True,0,18,2020-07-30 03:05:55,2020
70,5,79,active,1,0,True,2020-07-30 01:35:06+00:00,False,True,79,True,0,13,2020-07-30 03:05:55,2020
71,28,80,active,1,0,True,2020-07-30 02:07:57+00:00,False,True,80,True,0,6,2020-07-30 03:05:55,2020
72,12,81,active,0,0,True,2020-07-30 02:41:57+00:00,False,True,81,True,0,7,2020-07-30 03:05:55,2020
73,14,82,active,0,0,False,2020-07-30 01:21:58+00:00,False,True,82,False,0,1,2020-07-30 03:05:55,2020
74,5,84,active,1,0,True,2020-07-30 02:51:08+00:00,False,True,84,True,0,9,2020-07-30 03:05:55,2020
75,18,85,active,1,0,True,2020-07-30 02:09:24+00:00,False,True,85,True,0,0,2020-07-30 03:05:55,2020
76,9,86,active,1,0,True,2020-07-30 02:28:55+00:00,False,True,86,True,0,9,2020-07-30 03:05:55,2020
77,10,87,active,1,0,True,2020-07-30 03:05:05+00:00,False,True,87,True,0,4,2020-07-30 03:05:55,2020
78,5,89,active,0,0,True,2020-07-30 02:17:49+00:00,False,True,89,True,0,14,2020-07-30 03:05:55,2020
79,5,90,active,2,0,True,2020-07-30 03:01:16+00:00,False,True,90,True,0,12,2020-07-30 03:05:55,2020
80,15,91,active,2,0,True,2020-07-30 02:56:33+00:00,False,True,91,True,0,2,2020-07-30 03:05:55,2020
81,9,92,active,1,0,True,2020-07-30 00:56:35+00:00,False,True,92,True,0,9,2020-07-30 03:05:55,2020
82,6,93,active,2,0,True,2020-07-30 02:33:02+00:00,False,True,93,True,0,7,2020-07-30 03:05:55,2020
83,4,94,active,0,0,True,2020-07-30 03:04:16+00:00,False,True,94,True,0,7,2020-07-30 03:05:55,2020
84,1,95,active,2,0,True,2020-07-30 02:52:39+00:00,False,True,95,True,0,12,2020-07-30 03:05:55,2020
85,10,96,active,2,0,True,2020-07-30 01:51:42+00:00,False,True,96,True,0,7,2020-07-30 03:05:55,2020
86,16,97,active,1,0,True,2020-07-30 02:56:13+00:00,False,True,97,True,0,2,2020-07-30 03:05:55,2020
87,12,98,active,0,0,True,2020-07-30 03:00:20+00:00,False,True,98,True,0,10,2020-07-30 03:05:55,2020
88,4,99,active,0,0,True,2020-07-30 02:35:34+00:00,False,True,99,True,0,11,2020-07-30 03:05:55,2020
89,9,100,active,1,0,True,2020-07-30 02:55:58+00:00,True,True,100,True,0,15,2020-07-30 03:05:55,2020
90,13,101,active,0,0,True,2020-07-30 01:50:13+00:00,False,True,101,True,0,2,2020-07-30 03:05:55,2020
91,7,102,active,0,0,True,2020-07-30 02:25:49+00:00,False,True,102,True,0,8,2020-07-30 03:05:55,2020
92,7,103,active,1,0,True,2020-07-30 02:54:41+00:00,False,True,103,True,0,7,2020-07-30 03:05:55,2020
93,5,104,active,1,0,True,2020-07-30 02:56:55+00:00,False,True,104,True,0,13,2020-07-30 03:05:55,2020
94,4,105,active,0,0,True,2020-07-30 02:25:25+00:00,False,True,105,True,0,15,2020-07-30 03:05:55,2020
95,4,106,active,0,0,True,2020-07-29 12:13:40+00:00,False,True,106,True,0,11,2020-07-30 03:05:55,2020
96,8,107,active,1,0,True,2020-07-30 02:54:51+00:00,False,True,107,True,0,10,2020-07-30 03:05:55,2020
97,4,108,active,0,0,True,2020-07-30 02:50:22+00:00,False,True,108,True,0,13,2020-07-30 03:05:55,2020
98,9,109,active,2,0,True,2020-07-30 02:56:59+00:00,False,True,109,True,0,24,2020-07-30 03:05:55,2020
99,7,110,active,0,0,True,2020-07-30 03:03:14+00:00,False,True,110,True,0,8,2020-07-30 03:05:55,2020
100,11,111,active,0,0,True,2020-07-30 00:04:11+00:00,False,True,111,True,0,4,2020-07-30 03:05:55,2020
101,9,112,active,0,0,True,2020-07-30 01:00:19+00:00,False,True,112,True,0,6,2020-07-30 03:05:55,2020
102,0,113,active,0,0,True,2020-07-30 02:01:25+00:00,False,True,113,True,0,15,2020-07-30 03:05:55,2020
103,12,114,active,0,0,True,2020-07-30 02:35:49+00:00,False,True,114,True,0,3,2020-07-30 03:05:55,2020
104,6,115,active,0,0,True,2020-07-30 02:27:04+00:00,False,True,115,True,0,13,2020-07-30 03:05:55,2020
105,9,116,active,0,0,True,2020-07-30 03:02:08+00:00,False,True,116,True,0,14,2020-07-30 03:05:55,2020
106,0,117,active,0,0,True,2020-07-30 01:38:33+00:00,False,True,117,True,0,19,2020-07-30 03:05:55,2020
107,10,118,active,0,0,True,2020-07-30 02:46:28+00:00,False,True,118,True,0,9,2020-07-30 03:05:55,2020
108,4,119,active,0,0,True,2020-07-30 03:05:40+00:00,False,True,119,True,0,11,2020-07-30 03:05:55,2020
