,legacy_id,num_docks_available,is_renting,is_returning,is_installed,station_status,num_ebikes_available,station_id,eightd_has_available_keys,num_docks_disabled,num_bikes_available,last_reported,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
45,53,7,True,True,True,active,0,53,False,0,8,2020-08-13 01:40:32+00:00,4,2020-08-13 01:43:35,2020
46,54,10,True,True,True,active,0,54,False,0,5,2020-08-13 01:37:20+00:00,0,2020-08-13 01:43:35,2020
47,55,3,True,True,True,active,0,55,False,0,11,2020-08-13 01:43:03+00:00,1,2020-08-13 01:43:35,2020
48,56,13,True,True,True,active,0,56,True,0,4,2020-08-13 01:39:19+00:00,1,2020-08-13 01:43:35,2020
49,57,0,True,True,True,active,0,57,True,0,13,2020-08-13 01:35:37+00:00,1,2020-08-13 01:43:35,2020
50,58,10,True,True,True,active,0,58,True,0,8,2020-08-13 01:42:49+00:00,1,2020-08-13 01:43:35,2020
51,59,17,True,True,True,active,0,59,True,0,2,2020-08-13 00:05:57+00:00,0,2020-08-13 01:43:35,2020
52,60,11,True,True,True,active,0,60,False,0,8,2020-08-13 01:40:30+00:00,0,2020-08-13 01:43:35,2020
53,61,15,True,True,True,active,0,61,False,0,4,2020-08-13 01:39:49+00:00,0,2020-08-13 01:43:35,2020
54,63,11,True,True,True,active,0,63,False,0,4,2020-08-13 01:20:12+00:00,0,2020-08-13 01:43:35,2020
55,64,4,True,True,True,active,0,64,False,0,15,2020-08-13 01:28:09+00:00,0,2020-08-13 01:43:35,2020
56,65,21,True,True,True,active,0,65,False,0,2,2020-08-13 01:20:26+00:00,0,2020-08-13 01:43:35,2020
57,66,1,True,True,True,active,0,66,False,0,13,2020-08-13 01:39:13+00:00,1,2020-08-13 01:43:35,2020
58,67,26,True,True,True,active,0,67,True,0,1,2020-08-13 01:37:38+00:00,0,2020-08-13 01:43:35,2020
59,68,6,True,True,True,active,0,68,True,0,11,2020-08-13 01:39:29+00:00,2,2020-08-13 01:43:35,2020
60,69,11,True,True,True,active,0,69,True,0,8,2020-08-13 01:07:35+00:00,0,2020-08-13 01:43:35,2020
61,70,6,True,True,True,active,0,70,False,0,17,2020-08-13 01:24:36+00:00,0,2020-08-13 01:43:35,2020
62,71,0,True,True,True,active,0,71,False,0,23,2020-08-13 00:43:02+00:00,0,2020-08-13 01:43:35,2020
63,72,18,True,True,True,active,0,72,False,0,5,2020-08-13 01:41:07+00:00,0,2020-08-13 01:43:35,2020
64,73,12,True,True,True,active,0,73,False,0,2,2020-08-13 01:21:14+00:00,1,2020-08-13 01:43:35,2020
65,74,3,True,True,True,active,0,74,True,0,14,2020-08-13 01:29:40+00:00,2,2020-08-13 01:43:35,2020
66,75,4,True,True,True,active,0,75,False,0,11,2020-08-13 01:23:39+00:00,0,2020-08-13 01:43:35,2020
67,76,0,True,True,True,active,0,76,False,0,17,2020-08-13 01:37:15+00:00,0,2020-08-13 01:43:35,2020
68,77,0,True,True,True,active,0,77,False,0,14,2020-08-13 01:35:36+00:00,1,2020-08-13 01:43:35,2020
69,78,5,True,True,True,active,0,78,False,0,14,2020-08-13 01:36:03+00:00,0,2020-08-13 01:43:35,2020
70,79,7,True,True,True,active,0,79,False,0,10,2020-08-13 01:32:14+00:00,2,2020-08-13 01:43:35,2020
71,80,35,True,True,True,active,0,80,False,0,0,2020-08-12 23:58:46+00:00,0,2020-08-13 01:43:35,2020
72,81,9,True,True,True,active,0,81,False,0,9,2020-08-13 01:42:01+00:00,1,2020-08-13 01:43:35,2020
73,82,14,True,True,True,active,0,82,False,0,1,2020-08-13 01:01:26+00:00,0,2020-08-13 01:43:35,2020
74,84,12,True,True,True,active,0,84,False,0,3,2020-08-13 00:02:32+00:00,0,2020-08-13 01:43:35,2020
75,85,19,True,True,True,active,0,85,False,0,0,2020-08-13 00:20:27+00:00,0,2020-08-13 01:43:35,2020
76,86,15,True,True,True,active,0,86,False,0,4,2020-08-13 01:32:15+00:00,0,2020-08-13 01:43:35,2020
77,87,0,True,True,True,active,0,87,False,0,15,2020-08-13 01:26:24+00:00,0,2020-08-13 01:43:35,2020
78,89,7,True,True,True,active,0,89,False,0,12,2020-08-13 01:34:50+00:00,0,2020-08-13 01:43:35,2020
79,90,8,True,True,True,active,0,90,False,0,11,2020-08-13 00:56:48+00:00,0,2020-08-13 01:43:35,2020
80,91,16,True,True,True,active,0,91,False,0,3,2020-08-13 01:40:26+00:00,0,2020-08-13 01:43:35,2020
