,num_bikes_available,num_ebikes_available,num_docks_available,num_docks_disabled,is_renting,eightd_has_available_keys,legacy_id,is_returning,station_status,last_reported,num_bikes_disabled,station_id,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,3,0,12,0,True,True,3,True,active,2020-07-31 14:58:07+00:00,0,3,True,,,2020-07-31 15:12:05,2020
1,9,0,10,0,True,False,4,True,active,2020-07-31 14:53:13+00:00,0,4,True,,,2020-07-31 15:12:05,2020
2,5,0,10,0,True,False,5,True,active,2020-07-31 15:09:36+00:00,0,5,True,,,2020-07-31 15:12:05,2020
3,14,0,1,0,True,False,6,True,active,2020-07-31 15:09:57+00:00,0,6,True,,,2020-07-31 15:12:05,2020
4,13,0,1,0,True,False,7,True,active,2020-07-31 14:41:05+00:00,1,7,True,,,2020-07-31 15:12:05,2020
5,3,0,14,0,True,False,8,True,active,2020-07-31 14:54:52+00:00,2,8,True,,,2020-07-31 15:12:05,2020
6,14,0,1,0,True,False,9,True,active,2020-07-31 14:17:03+00:00,0,9,True,,,2020-07-31 15:12:05,2020
7,10,0,1,0,True,False,10,True,active,2020-07-31 14:29:52+00:00,0,10,True,,,2020-07-31 15:12:05,2020
8,12,0,3,0,True,False,11,True,active,2020-07-31 14:51:26+00:00,0,11,True,"{'dock_blocked_count': 0, 'off_dock_count': 67, 'active': True, 'valet_revision': 75, 'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-07-31 15:12:05,2020
9,3,0,12,0,True,True,12,True,active,2020-07-31 14:45:49+00:00,3,12,True,,,2020-07-31 15:12:05,2020
10,11,0,8,0,True,False,13,True,active,2020-07-31 14:56:29+00:00,0,13,True,,,2020-07-31 15:12:05,2020
11,15,0,10,0,True,False,14,True,active,2020-07-31 15:08:09+00:00,0,14,True,,,2020-07-31 15:12:05,2020
12,8,0,5,0,True,False,15,True,active,2020-07-31 14:45:09+00:00,2,15,True,,,2020-07-31 15:12:05,2020
13,0,0,17,0,True,True,16,True,active,2020-07-31 14:53:01+00:00,2,16,True,,,2020-07-31 15:12:05,2020
14,7,0,8,0,True,False,17,True,active,2020-07-31 15:06:52+00:00,0,17,True,,,2020-07-31 15:12:05,2020
15,4,0,11,0,True,False,19,True,active,2020-07-31 14:58:52+00:00,0,19,True,,,2020-07-31 15:12:05,2020
16,17,0,6,0,True,True,20,True,active,2020-07-31 15:01:08+00:00,0,20,True,,,2020-07-31 15:12:05,2020
17,10,0,8,0,True,True,21,True,active,2020-07-31 14:59:09+00:00,0,21,True,,,2020-07-31 15:12:05,2020
18,8,0,38,0,True,True,22,True,active,2020-07-31 15:01:59+00:00,1,22,True,,,2020-07-31 15:12:05,2020
19,11,0,10,0,True,True,23,True,active,2020-07-31 15:07:45+00:00,0,23,True,,,2020-07-31 15:12:05,2020
20,10,0,9,0,True,False,24,True,active,2020-07-31 13:55:29+00:00,0,24,True,,,2020-07-31 15:12:05,2020
21,10,0,3,0,True,False,25,True,active,2020-07-31 14:53:30+00:00,2,25,True,,,2020-07-31 15:12:05,2020
22,0,0,12,0,True,False,26,True,active,2020-07-31 14:29:36+00:00,3,26,True,,,2020-07-31 15:12:05,2020
