,num_ebikes_available,is_installed,num_bikes_available,station_status,is_returning,num_docks_available,num_docks_disabled,eightd_has_available_keys,is_renting,num_bikes_disabled,station_id,last_reported,legacy_id,timestamp_of_data_read_request,year_station_last_reported
52,0,True,2,active,True,17,0,False,True,0,60,2020-08-14 02:30:50+00:00,60,2020-08-14 02:34:50,2020
53,0,True,4,active,True,15,0,False,True,0,61,2020-08-14 02:24:14+00:00,61,2020-08-14 02:34:50,2020
54,0,True,4,active,True,11,0,False,True,0,63,2020-08-14 02:31:08+00:00,63,2020-08-14 02:34:50,2020
55,0,True,10,active,True,7,0,False,True,2,64,2020-08-14 02:24:14+00:00,64,2020-08-14 02:34:50,2020
56,0,True,3,active,True,19,0,False,True,1,65,2020-08-14 02:21:20+00:00,65,2020-08-14 02:34:50,2020
57,0,True,13,active,True,0,0,False,True,2,66,2020-08-14 02:01:27+00:00,66,2020-08-14 02:34:50,2020
58,0,True,0,active,True,27,0,True,True,0,67,2020-08-14 02:07:21+00:00,67,2020-08-14 02:34:50,2020
59,0,True,15,active,True,3,0,True,True,1,68,2020-08-14 02:30:41+00:00,68,2020-08-14 02:34:50,2020
60,0,True,13,active,True,6,0,True,True,0,69,2020-08-14 02:32:59+00:00,69,2020-08-14 02:34:50,2020
61,0,True,18,active,True,5,0,False,True,0,70,2020-08-14 01:49:54+00:00,70,2020-08-14 02:34:50,2020
62,0,True,13,active,True,9,0,False,True,1,71,2020-08-14 02:25:44+00:00,71,2020-08-14 02:34:50,2020
63,0,True,0,active,True,23,0,False,True,0,72,2020-08-14 02:15:35+00:00,72,2020-08-14 02:34:50,2020
64,0,True,0,active,True,14,0,False,True,1,73,2020-08-14 02:21:20+00:00,73,2020-08-14 02:34:50,2020
65,0,True,9,active,True,9,0,True,True,1,74,2020-08-14 02:24:24+00:00,74,2020-08-14 02:34:50,2020
66,0,True,5,active,True,10,0,False,True,0,75,2020-08-14 02:22:37+00:00,75,2020-08-14 02:34:50,2020
67,0,True,8,active,True,8,0,False,True,1,76,2020-08-14 02:29:58+00:00,76,2020-08-14 02:34:50,2020
68,0,True,8,active,True,6,0,False,True,1,77,2020-08-14 01:10:13+00:00,77,2020-08-14 02:34:50,2020
69,0,True,19,active,True,0,0,False,True,0,78,2020-08-14 01:35:43+00:00,78,2020-08-14 02:34:50,2020
70,0,True,12,active,True,2,0,False,True,5,79,2020-08-14 01:53:31+00:00,79,2020-08-14 02:34:50,2020
71,0,True,9,active,True,25,0,False,True,1,80,2020-08-14 02:08:04+00:00,80,2020-08-14 02:34:50,2020
72,0,True,16,active,True,0,0,False,True,3,81,2020-08-14 02:28:36+00:00,81,2020-08-14 02:34:50,2020
73,0,True,2,active,True,13,0,False,True,0,82,2020-08-14 02:03:43+00:00,82,2020-08-14 02:34:50,2020
74,0,True,4,active,True,11,0,False,True,0,84,2020-08-14 00:54:47+00:00,84,2020-08-14 02:34:50,2020
75,0,True,3,active,True,16,0,False,True,0,85,2020-08-14 02:10:07+00:00,85,2020-08-14 02:34:50,2020
76,0,True,16,active,True,3,0,False,True,0,86,2020-08-14 01:54:44+00:00,86,2020-08-14 02:34:50,2020
77,0,True,14,active,True,1,0,False,True,0,87,2020-08-14 02:17:07+00:00,87,2020-08-14 02:34:50,2020
78,0,True,10,active,True,9,0,False,True,0,89,2020-08-14 02:02:47+00:00,89,2020-08-14 02:34:50,2020
79,0,True,18,active,True,0,0,False,True,1,90,2020-08-14 01:59:24+00:00,90,2020-08-14 02:34:50,2020
80,0,True,0,active,True,19,0,False,True,0,91,2020-08-14 01:53:44+00:00,91,2020-08-14 02:34:50,2020
81,0,True,10,active,True,9,0,False,True,0,92,2020-08-14 00:17:58+00:00,92,2020-08-14 02:34:50,2020
82,0,True,14,active,True,1,0,False,True,0,93,2020-08-14 00:45:30+00:00,93,2020-08-14 02:34:50,2020
83,0,True,5,active,True,6,0,False,True,0,94,2020-08-14 01:02:51+00:00,94,2020-08-14 02:34:50,2020
84,0,True,10,active,True,4,0,False,True,1,95,2020-08-14 02:18:00+00:00,95,2020-08-14 02:34:50,2020
85,0,True,13,active,True,5,0,False,True,1,96,2020-08-14 01:33:58+00:00,96,2020-08-14 02:34:50,2020
86,0,True,8,active,True,10,0,False,True,1,97,2020-08-14 02:28:46+00:00,97,2020-08-14 02:34:50,2020
87,0,True,12,active,True,11,0,False,True,0,98,2020-08-14 01:56:58+00:00,98,2020-08-14 02:34:50,2020
88,0,True,14,active,True,1,0,False,True,0,99,2020-08-14 01:44:19+00:00,99,2020-08-14 02:34:50,2020
89,0,True,23,active,True,0,0,True,True,2,100,2020-08-14 02:25:08+00:00,100,2020-08-14 02:34:50,2020
90,0,True,15,active,True,0,0,False,True,0,101,2020-08-14 00:15:33+00:00,101,2020-08-14 02:34:50,2020
91,0,True,11,active,True,3,0,False,True,1,102,2020-08-14 02:14:04+00:00,102,2020-08-14 02:34:50,2020
92,0,True,0,active,True,15,0,False,True,0,103,2020-08-14 02:32:25+00:00,103,2020-08-14 02:34:50,2020
93,0,True,9,active,True,10,0,False,True,0,104,2020-08-14 00:43:34+00:00,104,2020-08-14 02:34:50,2020
94,0,True,5,active,True,14,0,False,True,0,105,2020-08-14 02:17:17+00:00,105,2020-08-14 02:34:50,2020
95,0,True,1,active,True,13,0,False,True,1,106,2020-08-14 02:12:01+00:00,106,2020-08-14 02:34:50,2020
96,0,True,0,active,True,19,0,False,True,0,107,2020-08-14 02:33:57+00:00,107,2020-08-14 02:34:50,2020
97,0,True,4,active,True,13,0,False,True,0,108,2020-08-14 02:22:25+00:00,108,2020-08-14 02:34:50,2020
98,0,True,0,active,True,35,0,False,True,0,109,2020-08-13 22:42:01+00:00,109,2020-08-14 02:34:50,2020
99,0,True,5,active,True,10,0,False,True,0,110,2020-08-14 02:31:43+00:00,110,2020-08-14 02:34:50,2020
100,0,True,7,active,True,8,0,False,True,0,111,2020-08-13 23:56:44+00:00,111,2020-08-14 02:34:50,2020
101,0,True,10,active,True,5,0,False,True,0,112,2020-08-13 23:03:36+00:00,112,2020-08-14 02:34:50,2020
102,0,True,10,active,True,5,0,False,True,0,113,2020-08-14 01:35:19+00:00,113,2020-08-14 02:34:50,2020
103,0,True,3,active,True,11,0,False,True,1,114,2020-08-14 01:31:14+00:00,114,2020-08-14 02:34:50,2020
104,0,True,10,active,True,6,0,False,True,3,115,2020-08-14 01:52:33+00:00,115,2020-08-14 02:34:50,2020
105,0,True,16,active,True,7,0,False,True,0,116,2020-08-14 01:58:36+00:00,116,2020-08-14 02:34:50,2020
106,0,True,3,active,True,16,0,False,True,0,117,2020-08-14 02:11:44+00:00,117,2020-08-14 02:34:50,2020
107,0,True,17,active,True,1,0,False,True,1,118,2020-08-14 02:21:41+00:00,118,2020-08-14 02:34:50,2020
108,0,True,11,active,True,4,0,False,True,0,119,2020-08-14 02:25:36+00:00,119,2020-08-14 02:34:50,2020
109,0,True,7,active,True,7,0,False,True,1,120,2020-08-14 01:58:07+00:00,120,2020-08-14 02:34:50,2020
110,0,True,12,active,True,2,0,False,True,3,121,2020-08-14 02:33:33+00:00,121,2020-08-14 02:34:50,2020
111,0,True,10,active,True,5,0,False,True,0,122,2020-08-14 01:13:25+00:00,122,2020-08-14 02:34:50,2020
112,0,True,6,active,True,8,0,False,True,1,124,2020-08-14 00:34:05+00:00,124,2020-08-14 02:34:50,2020
113,0,True,9,active,True,5,0,False,True,1,125,2020-08-14 02:09:30+00:00,125,2020-08-14 02:34:50,2020
114,0,True,6,active,True,8,0,False,True,1,126,2020-08-13 23:34:21+00:00,126,2020-08-14 02:34:50,2020
