,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
136,152,11,0,0,4,0,True,True,True,2020-03-18 23:54:23+00:00,False,2020-03-19 00:24:32,2020
137,156,2,0,1,12,0,True,True,True,2020-03-18 19:44:34+00:00,False,2020-03-19 00:24:32,2020
138,157,6,0,0,9,0,True,True,True,2020-03-18 22:05:03+00:00,False,2020-03-19 00:24:32,2020
139,159,10,0,0,5,0,True,True,True,2020-03-18 20:47:57+00:00,False,2020-03-19 00:24:32,2020
140,160,7,0,0,7,0,True,True,True,2020-03-18 21:49:00+00:00,True,2020-03-19 00:24:32,2020
141,161,13,0,0,10,0,True,True,True,2020-03-19 00:09:41+00:00,True,2020-03-19 00:24:32,2020
142,162,1,0,1,13,0,True,True,True,2020-03-18 19:03:36+00:00,False,2020-03-19 00:24:32,2020
143,163,12,0,0,7,0,True,True,True,2020-03-18 22:09:18+00:00,True,2020-03-19 00:24:32,2020
144,167,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-19 00:24:32,1970
145,169,7,0,1,11,0,True,True,True,2020-03-18 22:28:52+00:00,False,2020-03-19 00:24:32,2020
146,170,7,0,0,7,0,True,True,True,2020-03-18 23:56:10+00:00,True,2020-03-19 00:24:32,2020
147,171,5,0,0,18,0,True,True,True,2020-03-18 21:07:22+00:00,True,2020-03-19 00:24:32,2020
148,173,12,0,1,1,0,True,True,True,2020-03-18 21:49:50+00:00,True,2020-03-19 00:24:32,2020
149,174,9,0,1,5,0,True,True,True,2020-03-18 23:42:24+00:00,False,2020-03-19 00:24:32,2020
150,175,4,0,0,13,0,True,True,True,2020-03-18 22:25:04+00:00,True,2020-03-19 00:24:32,2020
151,176,11,0,0,4,0,True,True,True,2020-03-19 00:13:43+00:00,False,2020-03-19 00:24:32,2020
152,177,14,0,1,4,0,True,True,True,2020-03-18 23:19:23+00:00,False,2020-03-19 00:24:32,2020
153,178,10,0,0,9,0,True,True,True,2020-03-19 00:18:48+00:00,False,2020-03-19 00:24:32,2020
154,179,14,0,0,11,0,True,True,True,2020-03-19 00:01:51+00:00,False,2020-03-19 00:24:32,2020
