,is_renting,last_reported,station_status,is_installed,station_id,num_bikes_disabled,num_docks_available,eightd_has_available_keys,legacy_id,is_returning,num_docks_disabled,num_bikes_available,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
88,True,2020-08-04 20:58:21+00:00,active,True,99,0,9,False,99,True,0,6,0,,,2020-08-04 21:07:00,2020
89,True,2020-08-04 20:30:15+00:00,active,True,100,1,4,True,100,True,0,20,0,,,2020-08-04 21:07:00,2020
90,True,2020-08-04 20:45:06+00:00,active,True,101,0,1,False,101,True,0,14,0,,,2020-08-04 21:07:00,2020
91,True,2020-08-04 20:31:57+00:00,active,True,102,1,4,False,102,True,0,10,0,,,2020-08-04 21:07:00,2020
92,True,2020-08-04 20:31:45+00:00,active,True,103,0,15,False,103,True,0,0,0,,,2020-08-04 21:07:00,2020
93,True,2020-08-04 19:29:00+00:00,active,True,104,0,15,False,104,True,0,4,0,,,2020-08-04 21:07:00,2020
94,True,2020-08-04 20:36:09+00:00,active,True,105,0,17,False,105,True,0,2,0,,,2020-08-04 21:07:00,2020
95,True,2020-08-04 18:02:03+00:00,active,True,106,0,13,False,106,True,0,2,0,,,2020-08-04 21:07:00,2020
96,True,2020-08-04 21:05:12+00:00,active,True,107,0,11,False,107,True,0,8,0,,,2020-08-04 21:07:00,2020
97,True,2020-08-04 20:30:02+00:00,active,True,108,1,7,False,108,True,0,9,0,,,2020-08-04 21:07:00,2020
98,True,2020-08-04 18:13:59+00:00,active,True,109,2,22,False,109,True,0,11,0,,,2020-08-04 21:07:00,2020
99,True,2020-08-04 20:26:41+00:00,active,True,110,0,5,False,110,True,0,10,0,,,2020-08-04 21:07:00,2020
100,True,2020-08-04 19:14:24+00:00,active,True,111,0,14,False,111,True,0,1,0,,,2020-08-04 21:07:00,2020
101,True,2020-08-04 20:28:06+00:00,active,True,112,0,5,False,112,True,0,10,0,,,2020-08-04 21:07:00,2020
102,True,2020-08-04 20:54:06+00:00,active,True,113,0,3,False,113,True,0,12,0,,,2020-08-04 21:07:00,2020
103,True,2020-08-04 18:12:28+00:00,active,True,114,0,4,False,114,True,0,11,0,,,2020-08-04 21:07:00,2020
104,True,2020-08-04 19:55:02+00:00,active,True,115,0,4,False,115,True,0,15,0,,,2020-08-04 21:07:00,2020
105,True,2020-08-04 21:06:31+00:00,active,True,116,0,3,False,116,True,0,20,0,,,2020-08-04 21:07:00,2020
106,True,2020-08-04 20:16:29+00:00,active,True,117,0,13,False,117,True,0,6,0,,,2020-08-04 21:07:00,2020
107,True,2020-08-04 20:18:46+00:00,active,True,118,0,3,False,118,True,0,16,0,,,2020-08-04 21:07:00,2020
108,True,2020-08-04 21:01:50+00:00,active,True,119,0,10,False,119,True,0,5,0,,,2020-08-04 21:07:00,2020
109,True,2020-08-04 21:02:14+00:00,active,True,120,0,9,False,120,True,0,6,0,,,2020-08-04 21:07:00,2020
110,True,2020-08-04 20:57:53+00:00,active,True,121,0,15,False,121,True,0,2,0,,,2020-08-04 21:07:00,2020
111,True,2020-08-04 20:58:42+00:00,active,True,122,1,9,False,122,True,0,5,0,,,2020-08-04 21:07:00,2020
112,True,2020-08-04 21:00:19+00:00,active,True,124,0,14,False,124,True,0,1,0,,,2020-08-04 21:07:00,2020
113,True,2020-08-04 20:43:42+00:00,active,True,125,0,11,False,125,True,0,4,0,,,2020-08-04 21:07:00,2020
114,True,2020-08-04 19:26:30+00:00,active,True,126,0,13,False,126,True,0,2,0,,,2020-08-04 21:07:00,2020
115,True,2020-08-04 20:41:06+00:00,active,True,128,0,5,False,128,True,0,14,0,,,2020-08-04 21:07:00,2020
116,True,2020-08-04 20:31:53+00:00,active,True,129,0,5,False,129,True,0,14,0,,,2020-08-04 21:07:00,2020
117,True,2020-08-04 17:43:37+00:00,active,True,130,0,2,False,130,True,0,13,0,,,2020-08-04 21:07:00,2020
118,True,2020-08-04 20:52:28+00:00,active,True,131,0,8,False,131,True,0,10,0,,,2020-08-04 21:07:00,2020
119,True,2020-08-04 20:08:53+00:00,active,True,133,1,12,False,133,True,0,10,0,,,2020-08-04 21:07:00,2020
120,True,2020-08-04 18:45:12+00:00,active,True,135,0,5,False,135,True,0,12,0,,,2020-08-04 21:07:00,2020
121,True,2020-08-04 20:53:44+00:00,active,True,136,1,5,False,136,True,0,13,0,,,2020-08-04 21:07:00,2020
122,True,2020-08-04 19:35:22+00:00,active,True,137,0,10,False,137,True,0,5,0,,,2020-08-04 21:07:00,2020
123,True,2020-08-04 20:57:15+00:00,active,True,138,1,2,False,138,True,0,12,0,,,2020-08-04 21:07:00,2020
124,True,2020-08-04 21:03:02+00:00,active,True,139,0,13,False,139,True,0,6,0,,,2020-08-04 21:07:00,2020
125,True,2020-08-04 19:38:28+00:00,active,True,140,0,0,False,140,True,0,17,0,,,2020-08-04 21:07:00,2020
126,True,2020-08-04 20:44:51+00:00,active,True,141,1,7,False,141,True,0,7,0,,,2020-08-04 21:07:00,2020
127,True,2020-08-04 20:47:08+00:00,active,True,142,2,11,False,142,True,0,10,0,,,2020-08-04 21:07:00,2020
