,num_docks_available,num_ebikes_available,station_id,num_docks_disabled,station_status,legacy_id,num_bikes_disabled,eightd_has_available_keys,is_installed,num_bikes_available,is_renting,is_returning,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,5,0,3,0,active,3,0,True,True,10,True,True,2020-07-31 19:45:20+00:00,,,2020-07-31 19:58:00,2020
1,14,0,4,0,active,4,0,False,True,5,True,True,2020-07-31 19:53:23+00:00,,,2020-07-31 19:58:00,2020
2,6,0,5,0,active,5,0,False,True,9,True,True,2020-07-31 19:43:21+00:00,,,2020-07-31 19:58:00,2020
3,12,0,6,0,active,6,0,False,True,3,True,True,2020-07-31 19:17:43+00:00,,,2020-07-31 19:58:00,2020
4,1,0,7,0,active,7,1,False,True,13,True,True,2020-07-31 19:55:46+00:00,,,2020-07-31 19:58:00,2020
5,12,0,8,0,active,8,2,False,True,5,True,True,2020-07-31 19:54:36+00:00,,,2020-07-31 19:58:00,2020
6,2,0,9,0,active,9,0,False,True,13,True,True,2020-07-31 19:25:49+00:00,,,2020-07-31 19:58:00,2020
7,0,0,10,0,active,10,0,False,True,11,True,True,2020-07-31 18:57:16+00:00,,,2020-07-31 19:58:00,2020
8,11,0,11,0,active,11,2,False,True,2,True,True,2020-07-31 19:57:39+00:00,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 75, 'active': True, 'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 67, 'dock_blocked_count': 0, 'region': 'BOS'}",2020-07-31 19:58:00,2020
9,13,0,12,0,active,12,2,True,True,3,True,True,2020-07-31 19:49:29+00:00,,,2020-07-31 19:58:00,2020
10,13,0,13,0,active,13,0,False,True,6,True,True,2020-07-31 19:47:56+00:00,,,2020-07-31 19:58:00,2020
11,4,0,14,0,active,14,1,False,True,20,True,True,2020-07-31 19:55:32+00:00,,,2020-07-31 19:58:00,2020
12,8,0,15,0,active,15,1,False,True,6,True,True,2020-07-31 19:49:56+00:00,,,2020-07-31 19:58:00,2020
13,12,0,16,0,active,16,1,True,True,6,True,True,2020-07-31 19:57:00+00:00,,,2020-07-31 19:58:00,2020
14,2,0,17,0,active,17,0,False,True,13,True,True,2020-07-31 19:53:09+00:00,,,2020-07-31 19:58:00,2020
15,15,0,19,0,active,19,0,False,True,0,True,True,2020-07-31 19:34:24+00:00,,,2020-07-31 19:58:00,2020
16,10,0,20,0,active,20,0,True,True,13,True,True,2020-07-31 19:39:57+00:00,,,2020-07-31 19:58:00,2020
17,13,0,21,0,active,21,0,True,True,5,True,True,2020-07-31 19:45:27+00:00,,,2020-07-31 19:58:00,2020
18,38,0,22,0,active,22,1,True,True,8,True,True,2020-07-31 19:36:12+00:00,,,2020-07-31 19:58:00,2020
19,3,0,23,0,active,23,0,True,True,18,True,True,2020-07-31 19:54:23+00:00,,,2020-07-31 19:58:00,2020
20,7,0,24,0,active,24,0,False,True,12,True,True,2020-07-31 19:51:35+00:00,,,2020-07-31 19:58:00,2020
21,8,0,25,0,active,25,2,False,True,5,True,True,2020-07-31 19:29:30+00:00,,,2020-07-31 19:58:00,2020
22,5,0,26,0,active,26,4,False,True,6,True,True,2020-07-31 19:33:01+00:00,,,2020-07-31 19:58:00,2020
23,14,0,27,0,active,27,2,False,True,7,True,True,2020-07-31 19:46:44+00:00,,,2020-07-31 19:58:00,2020
24,7,0,29,0,active,29,0,False,True,8,True,True,2020-07-31 16:37:02+00:00,,,2020-07-31 19:58:00,2020
25,8,0,30,0,active,30,1,False,True,6,True,True,2020-07-31 19:55:28+00:00,,,2020-07-31 19:58:00,2020
26,0,0,31,0,active,31,0,True,True,19,True,True,2020-07-31 19:19:38+00:00,,,2020-07-31 19:58:00,2020
27,2,0,32,0,active,32,2,False,True,11,True,True,2020-07-31 19:53:21+00:00,,,2020-07-31 19:58:00,2020
28,4,0,33,0,active,33,0,False,True,23,True,True,2020-07-31 19:46:31+00:00,,,2020-07-31 19:58:00,2020
29,14,0,35,0,active,35,1,False,True,8,True,True,2020-07-31 19:51:47+00:00,,,2020-07-31 19:58:00,2020
30,26,0,36,0,active,36,0,True,True,7,True,True,2020-07-31 19:43:01+00:00,,,2020-07-31 19:58:00,2020
31,15,0,37,0,active,37,0,True,True,0,True,True,2020-07-31 17:59:24+00:00,,,2020-07-31 19:58:00,2020
32,9,0,39,0,active,39,2,False,True,12,True,True,2020-07-31 19:55:10+00:00,,,2020-07-31 19:58:00,2020
33,11,0,40,0,active,40,1,False,True,7,True,True,2020-07-31 19:48:49+00:00,,,2020-07-31 19:58:00,2020
34,15,0,41,0,active,41,1,True,True,11,True,True,2020-07-31 19:56:01+00:00,,,2020-07-31 19:58:00,2020
35,11,0,42,0,active,42,1,False,True,11,True,True,2020-07-31 19:46:05+00:00,,,2020-07-31 19:58:00,2020
36,11,0,43,0,active,43,0,True,True,4,True,True,2020-07-31 19:53:48+00:00,,,2020-07-31 19:58:00,2020
