,station_id,num_docks_available,num_docks_disabled,station_status,is_installed,legacy_id,num_bikes_disabled,is_renting,num_ebikes_available,is_returning,last_reported,eightd_has_available_keys,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
137,157,0,0,active,True,157,1,True,0,True,2020-08-22 00:44:48+00:00,False,14,2020-08-22 01:13:00,2020
138,159,11,0,active,True,159,1,True,0,True,2020-08-22 00:32:57+00:00,False,3,2020-08-22 01:13:00,2020
139,160,8,0,active,True,160,0,True,0,True,2020-08-22 00:43:49+00:00,True,6,2020-08-22 01:13:00,2020
140,161,6,0,active,True,161,0,True,0,True,2020-08-22 00:58:48+00:00,True,17,2020-08-22 01:13:00,2020
141,162,10,0,active,True,162,0,True,0,True,2020-08-21 20:15:52+00:00,False,5,2020-08-22 01:13:00,2020
142,163,10,0,active,True,163,1,True,0,True,2020-08-22 01:03:29+00:00,True,8,2020-08-22 01:13:00,2020
143,167,3,0,active,True,167,0,True,0,True,2020-08-22 00:26:23+00:00,False,12,2020-08-22 01:13:00,2020
144,169,14,0,active,True,169,0,True,0,True,2020-08-22 00:33:52+00:00,False,5,2020-08-22 01:13:00,2020
145,170,8,0,active,True,170,0,True,0,True,2020-08-21 23:05:17+00:00,True,6,2020-08-22 01:13:00,2020
146,171,11,0,active,True,171,0,True,0,True,2020-08-22 00:26:01+00:00,True,12,2020-08-22 01:13:00,2020
147,173,2,0,active,True,173,1,True,0,True,2020-08-21 23:54:29+00:00,True,11,2020-08-22 01:13:00,2020
148,174,8,0,active,True,174,0,True,0,True,2020-08-22 01:11:16+00:00,False,7,2020-08-22 01:13:00,2020
149,175,11,0,active,True,175,0,True,0,True,2020-08-22 00:38:57+00:00,True,6,2020-08-22 01:13:00,2020
150,176,2,0,active,True,176,2,True,0,True,2020-08-22 00:45:22+00:00,False,11,2020-08-22 01:13:00,2020
151,177,11,0,active,True,177,0,True,0,True,2020-08-22 01:12:48+00:00,False,8,2020-08-22 01:13:00,2020
152,178,7,0,active,True,178,1,True,0,True,2020-08-22 01:10:51+00:00,False,11,2020-08-22 01:13:00,2020
153,179,13,0,active,True,179,0,True,0,True,2020-08-22 01:10:26+00:00,False,12,2020-08-22 01:13:00,2020
154,180,8,0,active,True,180,0,True,0,True,2020-08-22 01:01:08+00:00,False,11,2020-08-22 01:13:00,2020
155,181,13,0,active,True,181,0,True,0,True,2020-08-22 01:05:36+00:00,False,6,2020-08-22 01:13:00,2020
156,182,16,0,active,True,182,0,True,0,True,2020-08-22 00:41:58+00:00,True,3,2020-08-22 01:13:00,2020
157,183,18,0,active,True,183,0,True,0,True,2020-08-21 23:03:43+00:00,False,1,2020-08-22 01:13:00,2020
158,184,16,0,active,True,184,0,True,0,True,2020-08-22 00:56:11+00:00,False,3,2020-08-22 01:13:00,2020
159,185,10,0,active,True,185,0,True,0,True,2020-08-22 01:10:02+00:00,False,5,2020-08-22 01:13:00,2020
160,186,0,0,active,True,186,0,True,0,True,2020-08-22 00:54:15+00:00,True,15,2020-08-22 01:13:00,2020
161,187,12,0,active,True,187,1,True,0,True,2020-08-22 00:37:03+00:00,False,2,2020-08-22 01:13:00,2020
162,188,3,0,active,True,188,0,True,0,True,2020-08-22 00:39:36+00:00,False,12,2020-08-22 01:13:00,2020
163,189,20,0,active,True,189,0,True,0,True,2020-08-22 00:12:58+00:00,True,3,2020-08-22 01:13:00,2020
164,190,19,0,active,True,190,1,True,0,True,2020-08-22 01:00:47+00:00,True,17,2020-08-22 01:13:00,2020
165,191,14,0,active,True,191,0,True,0,True,2020-08-22 00:15:03+00:00,False,1,2020-08-22 01:13:00,2020
166,192,14,0,active,True,192,0,True,0,True,2020-08-22 01:05:48+00:00,False,5,2020-08-22 01:13:00,2020
167,193,11,0,active,True,193,0,True,0,True,2020-08-22 01:07:18+00:00,True,4,2020-08-22 01:13:00,2020
168,194,14,0,active,True,194,0,True,0,True,2020-08-21 23:33:30+00:00,False,5,2020-08-22 01:13:00,2020
169,195,14,0,active,True,195,0,True,0,True,2020-08-22 01:11:26+00:00,False,9,2020-08-22 01:13:00,2020
170,196,4,0,active,True,196,0,True,0,True,2020-08-21 23:31:49+00:00,False,6,2020-08-22 01:13:00,2020
171,197,4,0,active,True,197,0,True,0,True,2020-08-21 23:35:23+00:00,False,11,2020-08-22 01:13:00,2020
172,199,4,0,active,True,199,0,True,0,True,2020-08-21 23:38:51+00:00,False,11,2020-08-22 01:13:00,2020
173,200,8,0,active,True,200,0,True,0,True,2020-08-22 00:01:15+00:00,False,11,2020-08-22 01:13:00,2020
174,201,13,0,active,True,201,0,True,0,True,2020-08-21 22:44:20+00:00,False,2,2020-08-22 01:13:00,2020
175,202,13,0,active,True,202,0,True,0,True,2020-08-22 00:04:05+00:00,False,2,2020-08-22 01:13:00,2020
176,203,9,0,active,True,203,0,True,0,True,2020-08-21 12:45:21+00:00,False,6,2020-08-22 01:13:00,2020
177,204,15,0,active,True,204,0,True,0,True,2020-08-21 23:07:05+00:00,False,0,2020-08-22 01:13:00,2020
178,205,12,0,active,True,205,0,True,0,True,2020-08-21 22:54:25+00:00,False,3,2020-08-22 01:13:00,2020
179,206,23,0,active,True,206,0,True,0,True,2020-08-22 01:10:59+00:00,False,0,2020-08-22 01:13:00,2020
180,208,1,0,active,True,208,0,True,0,True,2020-08-21 23:39:43+00:00,True,14,2020-08-22 01:13:00,2020
181,209,9,0,active,True,209,1,True,0,True,2020-08-22 00:39:16+00:00,False,5,2020-08-22 01:13:00,2020
182,210,15,0,active,True,210,0,True,0,True,2020-08-21 22:22:28+00:00,False,0,2020-08-22 01:13:00,2020
183,211,5,0,active,True,211,0,True,0,True,2020-08-22 00:47:43+00:00,False,14,2020-08-22 01:13:00,2020
184,212,27,0,active,True,212,2,True,0,True,2020-08-22 01:10:53+00:00,False,4,2020-08-22 01:13:00,2020
185,213,10,0,active,True,213,0,True,0,True,2020-08-21 19:55:09+00:00,True,6,2020-08-22 01:13:00,2020
186,214,13,0,active,True,214,0,True,0,True,2020-08-22 00:52:04+00:00,False,2,2020-08-22 01:13:00,2020
187,215,9,0,active,True,215,1,True,0,True,2020-08-22 01:02:30+00:00,False,5,2020-08-22 01:13:00,2020
188,216,6,0,active,True,216,0,True,0,True,2020-08-21 23:55:44+00:00,False,13,2020-08-22 01:13:00,2020
189,217,12,0,active,True,217,1,True,0,True,2020-08-22 00:23:42+00:00,False,6,2020-08-22 01:13:00,2020
190,218,1,0,active,True,218,0,True,0,True,2020-08-22 01:12:14+00:00,False,14,2020-08-22 01:13:00,2020
191,219,9,0,active,True,219,0,True,0,True,2020-08-21 20:06:41+00:00,False,6,2020-08-22 01:13:00,2020
192,221,19,0,active,True,221,0,True,0,True,2020-08-22 00:53:47+00:00,False,0,2020-08-22 01:13:00,2020
193,222,7,0,active,True,222,1,True,0,True,2020-08-22 01:12:50+00:00,True,6,2020-08-22 01:13:00,2020
194,224,10,0,active,True,224,1,True,0,True,2020-08-22 00:44:29+00:00,False,6,2020-08-22 01:13:00,2020
195,225,6,0,active,True,225,1,True,0,True,2020-08-22 01:12:37+00:00,False,12,2020-08-22 01:13:00,2020
196,226,11,0,active,True,226,1,True,0,True,2020-08-22 01:11:35+00:00,False,3,2020-08-22 01:13:00,2020
197,227,6,0,active,True,227,2,True,0,True,2020-08-22 00:53:30+00:00,False,11,2020-08-22 01:13:00,2020
198,228,11,0,active,True,228,0,True,0,True,2020-08-22 00:57:37+00:00,False,8,2020-08-22 01:13:00,2020
199,232,10,0,active,True,232,0,True,0,True,2020-08-21 21:57:05+00:00,False,1,2020-08-22 01:13:00,2020
200,233,12,0,active,True,233,0,True,0,True,2020-08-22 00:45:17+00:00,False,3,2020-08-22 01:13:00,2020
201,234,14,0,active,True,234,0,True,0,True,2020-08-21 23:56:05+00:00,False,1,2020-08-22 01:13:00,2020
202,235,7,0,active,True,235,0,True,0,True,2020-08-22 01:06:27+00:00,False,8,2020-08-22 01:13:00,2020
203,236,1,0,active,True,236,0,True,0,True,2020-08-22 01:00:41+00:00,False,14,2020-08-22 01:13:00,2020
204,239,12,0,active,True,239,0,True,0,True,2020-08-22 00:45:29+00:00,False,3,2020-08-22 01:13:00,2020
205,255,10,0,active,True,255,0,True,0,True,2020-08-21 18:57:17+00:00,False,5,2020-08-22 01:13:00,2020
206,258,1,0,active,True,258,0,True,0,True,2020-08-22 00:58:28+00:00,False,14,2020-08-22 01:13:00,2020
207,259,6,0,active,True,259,0,True,0,True,2020-08-21 23:59:00+00:00,False,9,2020-08-22 01:13:00,2020
208,260,11,0,active,True,260,0,True,0,True,2020-08-21 23:00:46+00:00,False,4,2020-08-22 01:13:00,2020
209,271,10,0,active,True,271,0,True,0,True,2020-08-21 23:49:57+00:00,False,5,2020-08-22 01:13:00,2020
210,272,12,0,active,True,272,0,True,0,True,2020-08-22 00:11:20+00:00,False,7,2020-08-22 01:13:00,2020
211,273,18,0,active,True,273,0,True,0,True,2020-08-22 01:12:22+00:00,False,22,2020-08-22 01:13:00,2020
212,279,0,0,active,True,279,0,True,0,True,2020-08-21 22:09:37+00:00,False,19,2020-08-22 01:13:00,2020
213,280,5,0,active,True,280,0,True,0,True,2020-08-21 23:18:55+00:00,False,14,2020-08-22 01:13:00,2020
214,282,4,0,active,True,282,1,True,0,True,2020-08-22 00:28:16+00:00,False,10,2020-08-22 01:13:00,2020
215,296,20,0,active,True,296,1,True,0,True,2020-08-22 00:57:39+00:00,False,2,2020-08-22 01:13:00,2020
216,318,18,0,active,True,318,0,True,0,True,2020-08-22 00:59:11+00:00,False,1,2020-08-22 01:13:00,2020
217,319,23,0,active,True,319,0,True,0,True,2020-08-22 00:41:05+00:00,False,2,2020-08-22 01:13:00,2020
218,327,11,0,active,True,327,1,True,0,True,2020-08-22 01:04:44+00:00,False,3,2020-08-22 01:13:00,2020
