,is_returning,num_bikes_available,last_reported,num_docks_available,num_ebikes_available,num_docks_disabled,is_installed,is_renting,eightd_has_available_keys,station_status,num_bikes_disabled,legacy_id,station_id,timestamp_of_data_read_request,year_station_last_reported
52,True,8,2020-08-22 01:28:10+00:00,11,0,0,True,True,False,active,0,60,60,2020-08-22 01:33:30,2020
53,True,7,2020-08-22 01:28:21+00:00,12,0,0,True,True,False,active,0,61,61,2020-08-22 01:33:30,2020
54,True,11,2020-08-22 01:20:12+00:00,4,0,0,True,True,False,active,0,63,63,2020-08-22 01:33:30,2020
55,True,10,2020-08-22 01:32:52+00:00,9,0,0,True,True,False,active,0,64,64,2020-08-22 01:33:30,2020
56,True,9,2020-08-22 01:30:45+00:00,14,0,0,True,True,False,active,0,65,65,2020-08-22 01:33:30,2020
57,True,7,2020-08-22 01:26:42+00:00,8,0,0,True,True,False,active,0,66,66,2020-08-22 01:33:30,2020
58,True,4,2020-08-22 01:19:21+00:00,21,0,0,True,True,True,active,2,67,67,2020-08-22 01:33:30,2020
59,True,17,2020-08-22 01:31:55+00:00,0,0,0,True,True,True,active,2,68,68,2020-08-22 01:33:30,2020
60,True,9,2020-08-22 01:16:11+00:00,10,0,0,True,True,True,active,0,69,69,2020-08-22 01:33:30,2020
61,True,22,2020-08-22 00:41:39+00:00,1,0,0,True,True,False,active,0,70,70,2020-08-22 01:33:30,2020
62,True,14,2020-08-22 01:00:01+00:00,9,0,0,True,True,False,active,0,71,71,2020-08-22 01:33:30,2020
63,True,8,2020-08-22 00:31:07+00:00,15,0,0,True,True,False,active,0,72,72,2020-08-22 01:33:30,2020
64,True,12,2020-08-22 01:15:47+00:00,3,0,0,True,True,False,active,0,73,73,2020-08-22 01:33:30,2020
65,True,7,2020-08-22 01:30:27+00:00,8,0,0,True,True,True,active,4,74,74,2020-08-22 01:33:30,2020
66,True,9,2020-08-22 01:32:57+00:00,6,0,0,True,True,False,active,0,75,75,2020-08-22 01:33:30,2020
67,True,17,2020-08-22 00:54:14+00:00,0,0,0,True,True,False,active,0,76,76,2020-08-22 01:33:30,2020
68,True,3,2020-08-22 01:31:23+00:00,12,0,0,True,True,False,active,0,77,77,2020-08-22 01:33:30,2020
69,True,12,2020-08-22 01:23:05+00:00,7,0,0,True,True,False,active,0,78,78,2020-08-22 01:33:30,2020
70,True,11,2020-08-22 01:25:51+00:00,8,0,0,True,True,False,active,0,79,79,2020-08-22 01:33:30,2020
71,True,0,2020-08-22 01:28:53+00:00,35,0,0,True,True,False,active,0,80,80,2020-08-22 01:33:30,2020
72,True,1,2020-08-22 01:30:33+00:00,17,0,0,True,True,False,active,1,81,81,2020-08-22 01:33:30,2020
73,True,3,2020-08-22 00:52:01+00:00,12,0,0,True,True,False,active,0,82,82,2020-08-22 01:33:30,2020
