,num_docks_disabled,legacy_id,last_reported,eightd_has_available_keys,is_installed,num_ebikes_available,is_returning,is_renting,num_bikes_available,num_docks_available,num_bikes_disabled,station_status,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
126,0,140,2020-07-26 03:10:33+00:00,False,True,0,True,True,12,5,0,active,140,,,2020-07-26 03:10:40,2020
127,0,141,2020-07-26 02:44:16+00:00,False,True,0,True,True,12,3,0,active,141,,,2020-07-26 03:10:40,2020
128,0,142,2020-07-26 00:03:23+00:00,False,True,0,True,True,15,8,0,active,142,,,2020-07-26 03:10:40,2020
129,0,143,2020-07-26 02:49:15+00:00,False,True,0,True,True,2,20,1,active,143,,,2020-07-26 03:10:40,2020
130,0,144,2020-07-26 00:53:26+00:00,False,True,0,True,True,10,9,0,active,144,,,2020-07-26 03:10:40,2020
131,0,145,2020-07-25 23:47:57+00:00,False,True,0,True,True,8,10,1,active,145,,,2020-07-26 03:10:40,2020
132,0,146,2020-07-26 02:49:40+00:00,False,True,0,True,True,10,7,2,active,146,,,2020-07-26 03:10:40,2020
133,0,149,2020-07-26 01:33:26+00:00,True,True,0,True,True,16,0,2,active,149,,,2020-07-26 03:10:40,2020
134,0,150,2020-07-26 01:55:37+00:00,False,True,0,True,True,19,0,0,active,150,,,2020-07-26 03:10:40,2020
135,0,151,2020-07-26 02:26:16+00:00,False,True,0,True,True,4,14,1,active,151,,,2020-07-26 03:10:40,2020
136,0,152,2020-07-26 00:31:41+00:00,True,True,0,True,True,5,10,0,active,152,,,2020-07-26 03:10:40,2020
137,0,156,2020-07-26 00:58:32+00:00,False,True,0,True,True,8,7,0,active,156,,,2020-07-26 03:10:40,2020
138,0,157,2020-07-26 02:47:00+00:00,False,True,0,True,True,1,13,1,active,157,,,2020-07-26 03:10:40,2020
139,0,159,2020-07-26 02:51:58+00:00,False,True,0,True,True,1,13,1,active,159,,,2020-07-26 03:10:40,2020
140,0,160,2020-07-26 03:07:37+00:00,True,True,0,True,True,2,12,0,active,160,,,2020-07-26 03:10:40,2020
141,0,161,2020-07-26 02:38:44+00:00,True,True,0,True,True,21,1,1,active,161,,,2020-07-26 03:10:40,2020
142,0,162,2020-07-26 01:33:49+00:00,False,True,0,True,True,7,7,1,active,162,,,2020-07-26 03:10:40,2020
143,0,163,2020-07-26 02:21:12+00:00,True,True,0,True,True,5,14,0,active,163,,,2020-07-26 03:10:40,2020
144,0,167,2020-07-26 03:03:43+00:00,False,True,0,True,True,11,2,2,active,167,,,2020-07-26 03:10:40,2020
145,0,169,2020-07-26 01:41:43+00:00,False,True,0,True,True,8,11,0,active,169,,,2020-07-26 03:10:40,2020
146,0,170,2020-07-26 01:01:25+00:00,True,True,0,True,True,5,9,0,active,170,,,2020-07-26 03:10:40,2020
147,0,171,2020-07-26 02:27:24+00:00,True,True,0,True,True,3,20,0,active,171,,,2020-07-26 03:10:40,2020
148,0,173,2020-07-26 01:27:40+00:00,True,True,0,True,True,11,2,1,active,173,,,2020-07-26 03:10:40,2020
149,0,174,2020-07-25 23:27:02+00:00,False,True,0,True,True,6,9,0,active,174,,,2020-07-26 03:10:40,2020
150,0,175,2020-07-26 02:57:57+00:00,True,True,0,True,True,4,13,0,active,175,,,2020-07-26 03:10:40,2020
151,0,176,2020-07-26 03:03:32+00:00,False,True,0,True,True,1,14,0,active,176,,,2020-07-26 03:10:40,2020
152,0,177,2020-07-26 02:37:58+00:00,False,True,0,True,True,6,12,1,active,177,,,2020-07-26 03:10:40,2020
153,0,178,2020-07-26 03:07:58+00:00,False,True,0,True,True,3,14,2,active,178,,,2020-07-26 03:10:40,2020
154,0,179,2020-07-26 02:59:07+00:00,False,True,0,True,True,13,12,0,active,179,,,2020-07-26 03:10:40,2020
155,0,180,2020-07-26 00:35:00+00:00,False,True,0,True,True,7,12,0,active,180,,,2020-07-26 03:10:40,2020
156,0,181,2020-07-26 02:54:27+00:00,False,True,0,True,True,10,9,0,active,181,,,2020-07-26 03:10:40,2020
157,0,182,2020-07-26 03:06:11+00:00,True,True,0,True,True,3,16,0,active,182,,,2020-07-26 03:10:40,2020
158,0,183,2020-07-26 02:59:22+00:00,False,True,0,True,True,3,15,1,active,183,,,2020-07-26 03:10:40,2020
159,0,184,2020-07-26 03:08:59+00:00,False,True,0,True,True,3,16,0,active,184,,,2020-07-26 03:10:40,2020
160,0,185,2020-07-26 03:08:19+00:00,False,True,0,True,True,5,10,0,active,185,,,2020-07-26 03:10:40,2020
161,0,186,2020-07-26 03:00:40+00:00,True,True,0,True,True,2,11,2,active,186,,,2020-07-26 03:10:40,2020
162,0,187,2020-07-26 02:59:20+00:00,False,True,0,True,True,9,6,0,active,187,,,2020-07-26 03:10:40,2020
163,0,188,2020-07-26 02:32:06+00:00,False,True,0,True,True,10,5,0,active,188,,,2020-07-26 03:10:40,2020
164,0,189,2020-07-26 03:08:25+00:00,True,True,0,True,True,2,21,0,active,189,,,2020-07-26 03:10:40,2020
165,0,190,2020-07-26 03:07:20+00:00,True,True,0,True,True,17,18,2,active,190,,,2020-07-26 03:10:40,2020
166,0,191,2020-07-26 02:27:00+00:00,False,True,0,True,True,3,12,0,active,191,,,2020-07-26 03:10:40,2020
