,num_docks_available,is_renting,last_reported,num_bikes_available,legacy_id,station_id,num_ebikes_available,num_docks_disabled,eightd_has_available_keys,num_bikes_disabled,is_installed,is_returning,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
63,15,True,2020-07-30 17:16:38+00:00,8,72,72,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
64,4,True,2020-07-30 17:14:53+00:00,10,73,73,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
65,5,True,2020-07-30 17:31:48+00:00,13,74,74,0,0,True,1,True,True,active,,,2020-07-30 17:35:50,2020
66,5,True,2020-07-30 16:36:58+00:00,10,75,75,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
67,13,True,2020-07-30 17:33:02+00:00,4,76,76,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
68,12,True,2020-07-30 16:43:27+00:00,3,77,77,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
69,2,True,2020-07-30 17:03:39+00:00,17,78,78,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
70,16,True,2020-07-30 15:57:35+00:00,3,79,79,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
71,0,True,2020-07-30 17:20:20+00:00,35,80,80,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
72,10,True,2020-07-30 17:27:44+00:00,9,81,81,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
73,15,True,2020-07-30 17:10:07+00:00,0,82,82,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
74,2,True,2020-07-30 17:17:07+00:00,13,84,84,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
75,1,True,2020-07-30 17:03:06+00:00,18,85,85,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
76,11,True,2020-07-30 17:21:02+00:00,8,86,86,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
77,11,True,2020-07-30 17:31:55+00:00,3,87,87,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
78,3,True,2020-07-30 17:13:11+00:00,16,89,89,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
79,12,True,2020-07-30 16:28:40+00:00,7,90,90,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
80,4,True,2020-07-30 17:24:55+00:00,13,91,91,0,0,False,2,True,True,active,,,2020-07-30 17:35:50,2020
81,7,True,2020-07-30 12:41:43+00:00,11,92,92,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
82,7,True,2020-07-30 17:29:48+00:00,6,93,93,0,0,False,2,True,True,active,,,2020-07-30 17:35:50,2020
83,5,True,2020-07-30 16:45:02+00:00,6,94,94,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
84,3,True,2020-07-30 17:22:53+00:00,11,95,95,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
85,15,True,2020-07-30 16:58:10+00:00,4,96,96,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
86,18,True,2020-07-30 17:29:20+00:00,0,97,97,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
87,18,True,2020-07-30 17:17:05+00:00,4,98,98,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
88,7,True,2020-07-30 16:44:26+00:00,8,99,99,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
89,11,True,2020-07-30 17:25:18+00:00,12,100,100,0,0,True,2,True,True,active,,,2020-07-30 17:35:50,2020
90,14,True,2020-07-30 17:24:12+00:00,1,101,101,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
91,10,True,2020-07-30 17:18:18+00:00,5,102,102,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
92,7,True,2020-07-30 17:33:01+00:00,7,103,103,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
93,7,True,2020-07-30 15:25:51+00:00,11,104,104,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
94,15,True,2020-07-30 17:34:38+00:00,4,105,105,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
95,8,True,2020-07-30 12:55:09+00:00,7,106,106,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
96,0,True,2020-07-30 17:20:21+00:00,18,107,107,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
97,5,True,2020-07-30 17:28:55+00:00,12,108,108,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
98,7,True,2020-07-30 14:43:54+00:00,26,109,109,0,0,False,2,True,True,active,,,2020-07-30 17:35:50,2020
99,5,True,2020-07-30 16:46:08+00:00,10,110,110,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
100,13,True,2020-07-30 16:28:44+00:00,2,111,111,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
101,6,True,2020-07-30 16:56:40+00:00,9,112,112,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
102,3,True,2020-07-30 17:29:46+00:00,11,113,113,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
103,13,True,2020-07-30 13:27:43+00:00,2,114,114,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
104,10,True,2020-07-30 17:30:03+00:00,9,115,115,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
105,20,True,2020-07-30 17:08:21+00:00,3,116,116,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
106,0,True,2020-07-30 13:25:46+00:00,19,117,117,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
107,15,True,2020-07-30 17:19:29+00:00,4,118,118,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
108,11,True,2020-07-30 17:24:47+00:00,4,119,119,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
109,7,True,2020-07-30 17:34:49+00:00,6,120,120,0,0,False,2,True,True,active,,,2020-07-30 17:35:50,2020
110,16,True,2020-07-30 17:11:37+00:00,0,121,121,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
111,13,True,2020-07-30 17:27:01+00:00,2,122,122,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
112,9,True,2020-07-30 17:04:54+00:00,6,124,124,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
113,14,True,2020-07-30 17:35:34+00:00,1,125,125,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
114,14,True,2020-07-30 13:51:56+00:00,1,126,126,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
115,5,True,2020-07-30 17:03:01+00:00,13,128,128,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
116,13,True,2020-07-30 15:37:37+00:00,6,129,129,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
117,5,True,2020-07-30 08:51:09+00:00,10,130,130,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
118,5,True,2020-07-30 17:22:49+00:00,11,131,131,0,0,False,2,True,True,active,,,2020-07-30 17:35:50,2020
119,15,True,2020-07-30 17:09:09+00:00,8,133,133,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
120,9,True,2020-07-30 16:37:31+00:00,8,135,135,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
121,4,True,2020-07-30 17:04:29+00:00,15,136,136,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
122,5,True,2020-07-30 14:55:58+00:00,10,137,137,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
123,4,True,2020-07-30 17:06:48+00:00,11,138,138,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
124,11,True,2020-07-30 17:35:46+00:00,7,139,139,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
125,10,True,2020-07-30 17:13:29+00:00,7,140,140,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
126,11,True,2020-07-30 17:09:41+00:00,4,141,141,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
127,5,True,2020-07-30 17:20:07+00:00,17,142,142,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
128,19,True,2020-07-30 17:23:34+00:00,4,143,143,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
