,station_id,num_bikes_disabled,eightd_has_available_keys,is_renting,station_status,legacy_id,last_reported,is_installed,num_ebikes_available,num_docks_disabled,num_docks_available,num_bikes_available,is_returning,timestamp_of_data_read_request,year_station_last_reported
52,60,1,False,True,active,60,2020-08-22 00:21:41+00:00,True,0,0,4,14,True,2020-08-22 00:22:00,2020
53,61,0,False,True,active,61,2020-08-22 00:03:59+00:00,True,0,0,12,7,True,2020-08-22 00:22:00,2020
54,63,0,False,True,active,63,2020-08-22 00:20:50+00:00,True,0,0,6,9,True,2020-08-22 00:22:00,2020
55,64,1,False,True,active,64,2020-08-22 00:13:50+00:00,True,0,0,1,17,True,2020-08-22 00:22:00,2020
56,65,0,False,True,active,65,2020-08-21 23:19:59+00:00,True,0,0,10,13,True,2020-08-22 00:22:00,2020
57,66,0,False,True,active,66,2020-08-22 00:18:06+00:00,True,0,0,9,6,True,2020-08-22 00:22:00,2020
58,67,1,True,True,active,67,2020-08-22 00:17:49+00:00,True,0,0,19,7,True,2020-08-22 00:22:00,2020
59,68,2,True,True,active,68,2020-08-22 00:18:12+00:00,True,0,0,0,17,True,2020-08-22 00:22:00,2020
60,69,0,True,True,active,69,2020-08-22 00:16:41+00:00,True,0,0,7,12,True,2020-08-22 00:22:00,2020
61,70,0,False,True,active,70,2020-08-22 00:02:27+00:00,True,0,0,0,23,True,2020-08-22 00:22:00,2020
62,71,0,False,True,active,71,2020-08-22 00:13:46+00:00,True,0,0,11,12,True,2020-08-22 00:22:00,2020
63,72,0,False,True,active,72,2020-08-21 23:57:50+00:00,True,0,0,17,6,True,2020-08-22 00:22:00,2020
64,73,0,False,True,active,73,2020-08-22 00:10:27+00:00,True,0,0,2,13,True,2020-08-22 00:22:00,2020
65,74,3,True,True,active,74,2020-08-22 00:20:41+00:00,True,0,0,3,13,True,2020-08-22 00:22:00,2020
66,75,0,False,True,active,75,2020-08-22 00:12:15+00:00,True,0,0,5,10,True,2020-08-22 00:22:00,2020
67,76,0,False,True,active,76,2020-08-21 23:50:54+00:00,True,0,0,7,10,True,2020-08-22 00:22:00,2020
68,77,0,False,True,active,77,2020-08-21 23:24:42+00:00,True,0,0,13,2,True,2020-08-22 00:22:00,2020
69,78,0,False,True,active,78,2020-08-22 00:19:24+00:00,True,0,0,10,9,True,2020-08-22 00:22:00,2020
70,79,0,False,True,active,79,2020-08-22 00:13:26+00:00,True,0,0,11,8,True,2020-08-22 00:22:00,2020
71,80,1,False,True,active,80,2020-08-21 23:08:58+00:00,True,0,0,34,0,True,2020-08-22 00:22:00,2020
72,81,1,False,True,active,81,2020-08-22 00:16:57+00:00,True,0,0,17,1,True,2020-08-22 00:22:00,2020
73,82,0,False,True,active,82,2020-08-21 23:24:08+00:00,True,0,0,14,1,True,2020-08-22 00:22:00,2020
74,84,1,False,True,active,84,2020-08-22 00:11:21+00:00,True,0,0,4,10,True,2020-08-22 00:22:00,2020
75,85,0,False,True,active,85,2020-08-22 00:20:24+00:00,True,0,0,18,1,True,2020-08-22 00:22:00,2020
76,86,0,False,True,active,86,2020-08-22 00:17:51+00:00,True,0,0,5,14,True,2020-08-22 00:22:00,2020
77,87,0,False,True,active,87,2020-08-22 00:06:16+00:00,True,0,0,9,6,True,2020-08-22 00:22:00,2020
78,89,0,False,True,active,89,2020-08-22 00:07:49+00:00,True,0,0,10,9,True,2020-08-22 00:22:00,2020
79,90,0,False,True,active,90,2020-08-22 00:19:17+00:00,True,0,0,18,1,True,2020-08-22 00:22:00,2020
80,91,1,False,True,active,91,2020-08-22 00:19:28+00:00,True,0,0,8,10,True,2020-08-22 00:22:00,2020
81,92,1,False,True,active,92,2020-08-21 21:04:11+00:00,True,0,0,11,7,True,2020-08-22 00:22:00,2020
82,93,0,False,True,active,93,2020-08-21 23:45:46+00:00,True,0,0,10,5,True,2020-08-22 00:22:00,2020
83,94,1,False,True,active,94,2020-08-21 23:36:53+00:00,True,0,0,2,8,True,2020-08-22 00:22:00,2020
84,95,0,False,True,active,95,2020-08-21 23:38:55+00:00,True,0,0,7,8,True,2020-08-22 00:22:00,2020
85,96,1,False,True,active,96,2020-08-22 00:11:00+00:00,True,0,0,14,4,True,2020-08-22 00:22:00,2020
86,97,1,False,True,active,97,2020-08-22 00:01:32+00:00,True,0,0,17,1,True,2020-08-22 00:22:00,2020
87,98,1,False,True,active,98,2020-08-22 00:12:46+00:00,True,0,0,17,5,True,2020-08-22 00:22:00,2020
88,99,0,False,True,active,99,2020-08-22 00:19:56+00:00,True,0,0,1,14,True,2020-08-22 00:22:00,2020
89,100,0,True,True,active,100,2020-08-22 00:17:21+00:00,True,0,0,11,14,True,2020-08-22 00:22:00,2020
90,101,0,False,True,active,101,2020-08-21 22:15:21+00:00,True,0,0,12,3,True,2020-08-22 00:22:00,2020
91,102,0,False,True,active,102,2020-08-22 00:21:00+00:00,True,0,0,11,4,True,2020-08-22 00:22:00,2020
92,103,0,False,True,active,103,2020-08-22 00:19:10+00:00,True,0,0,6,9,True,2020-08-22 00:22:00,2020
93,104,0,False,True,active,104,2020-08-22 00:12:20+00:00,True,0,0,12,7,True,2020-08-22 00:22:00,2020
94,105,1,False,True,active,105,2020-08-22 00:14:59+00:00,True,0,0,12,6,True,2020-08-22 00:22:00,2020
95,106,0,False,True,active,106,2020-08-21 23:30:26+00:00,True,0,0,14,1,True,2020-08-22 00:22:00,2020
96,107,0,False,True,active,107,2020-08-22 00:20:29+00:00,True,0,0,18,1,True,2020-08-22 00:22:00,2020
97,108,0,False,True,active,108,2020-08-21 23:21:54+00:00,True,0,0,17,0,True,2020-08-22 00:22:00,2020
98,109,0,False,True,active,109,2020-08-22 00:11:18+00:00,True,0,0,33,2,True,2020-08-22 00:22:00,2020
99,110,0,False,True,active,110,2020-08-22 00:16:54+00:00,True,0,0,12,3,True,2020-08-22 00:22:00,2020
100,111,0,False,True,active,111,2020-08-21 23:08:55+00:00,True,0,0,8,7,True,2020-08-22 00:22:00,2020
101,112,0,False,True,active,112,2020-08-21 23:35:17+00:00,True,0,0,7,8,True,2020-08-22 00:22:00,2020
102,113,0,False,True,active,113,2020-08-22 00:10:24+00:00,True,0,0,10,5,True,2020-08-22 00:22:00,2020
103,114,0,False,True,active,114,2020-08-21 23:09:24+00:00,True,0,0,8,7,True,2020-08-22 00:22:00,2020
104,115,1,False,True,active,115,2020-08-22 00:08:39+00:00,True,0,0,9,9,True,2020-08-22 00:22:00,2020
105,116,0,False,True,active,116,2020-08-22 00:14:53+00:00,True,0,0,9,14,True,2020-08-22 00:22:00,2020
106,117,0,False,True,active,117,2020-08-21 23:45:31+00:00,True,0,0,8,11,True,2020-08-22 00:22:00,2020
107,118,1,False,True,active,118,2020-08-22 00:08:04+00:00,True,0,0,5,13,True,2020-08-22 00:22:00,2020
108,119,0,False,True,active,119,2020-08-22 00:20:09+00:00,True,0,0,12,3,True,2020-08-22 00:22:00,2020
109,120,2,False,True,active,120,2020-08-21 23:57:25+00:00,True,0,0,9,4,True,2020-08-22 00:22:00,2020
110,121,0,False,True,active,121,2020-08-22 00:20:26+00:00,True,0,0,15,2,True,2020-08-22 00:22:00,2020
111,122,0,False,True,active,122,2020-08-22 00:17:31+00:00,True,0,0,7,8,True,2020-08-22 00:22:00,2020
112,124,0,False,True,active,124,2020-08-21 23:56:19+00:00,True,0,0,11,4,True,2020-08-22 00:22:00,2020
113,125,2,False,True,active,125,2020-08-22 00:05:21+00:00,True,0,0,4,9,True,2020-08-22 00:22:00,2020
114,126,1,False,True,active,126,2020-08-21 19:54:04+00:00,True,0,0,4,10,True,2020-08-22 00:22:00,2020
115,128,0,False,True,active,128,2020-08-21 23:08:05+00:00,True,0,0,17,2,True,2020-08-22 00:22:00,2020
116,129,0,False,True,active,129,2020-08-22 00:20:00+00:00,True,0,0,10,9,True,2020-08-22 00:22:00,2020
117,130,0,False,True,active,130,2020-08-21 21:49:07+00:00,True,0,0,7,8,True,2020-08-22 00:22:00,2020
118,131,0,False,True,active,131,2020-08-22 00:19:16+00:00,True,0,0,4,14,True,2020-08-22 00:22:00,2020
119,133,1,False,True,active,133,2020-08-22 00:05:54+00:00,True,0,0,14,8,True,2020-08-22 00:22:00,2020
120,135,0,False,True,active,135,2020-08-21 22:43:50+00:00,True,0,0,17,0,True,2020-08-22 00:22:00,2020
121,136,0,False,True,active,136,2020-08-21 22:23:29+00:00,True,0,0,19,0,True,2020-08-22 00:22:00,2020
122,137,0,False,True,active,137,2020-08-22 00:14:27+00:00,True,0,0,8,7,True,2020-08-22 00:22:00,2020
123,138,1,False,True,active,138,2020-08-21 23:49:31+00:00,True,0,0,8,6,True,2020-08-22 00:22:00,2020
124,139,0,False,True,active,139,2020-08-22 00:15:40+00:00,True,0,0,18,1,True,2020-08-22 00:22:00,2020
125,140,0,False,True,active,140,2020-08-21 22:11:58+00:00,True,0,0,0,17,True,2020-08-22 00:22:00,2020
126,141,0,False,True,active,141,2020-08-22 00:05:46+00:00,True,0,0,11,4,True,2020-08-22 00:22:00,2020
127,142,0,False,True,active,142,2020-08-22 00:15:29+00:00,True,0,0,9,14,True,2020-08-22 00:22:00,2020
128,143,0,False,True,active,143,2020-08-22 00:15:02+00:00,True,0,0,8,15,True,2020-08-22 00:22:00,2020
129,144,0,False,True,active,144,2020-08-21 23:49:11+00:00,True,0,0,8,11,True,2020-08-22 00:22:00,2020
130,145,0,False,True,active,145,2020-08-21 23:45:01+00:00,True,0,0,1,18,True,2020-08-22 00:22:00,2020
131,146,0,False,True,active,146,2020-08-22 00:01:29+00:00,True,0,0,13,6,True,2020-08-22 00:22:00,2020
132,149,1,True,True,active,149,2020-08-22 00:12:36+00:00,True,0,0,6,11,True,2020-08-22 00:22:00,2020
133,150,1,False,True,active,150,2020-08-22 00:20:01+00:00,True,0,0,7,11,True,2020-08-22 00:22:00,2020
134,151,0,False,True,active,151,2020-08-22 00:21:50+00:00,True,0,0,10,9,True,2020-08-22 00:22:00,2020
135,152,0,True,True,active,152,2020-08-22 00:12:04+00:00,True,0,0,8,7,True,2020-08-22 00:22:00,2020
136,156,0,False,True,active,156,2020-08-21 23:35:15+00:00,True,0,0,9,6,True,2020-08-22 00:22:00,2020
137,157,1,False,True,active,157,2020-08-22 00:16:36+00:00,True,0,0,3,11,True,2020-08-22 00:22:00,2020
138,159,1,False,True,active,159,2020-08-21 23:45:21+00:00,True,0,0,11,3,True,2020-08-22 00:22:00,2020
139,160,0,True,True,active,160,2020-08-22 00:10:10+00:00,True,0,0,6,8,True,2020-08-22 00:22:00,2020
140,161,0,True,True,active,161,2020-08-22 00:06:32+00:00,True,0,0,3,20,True,2020-08-22 00:22:00,2020
141,162,0,False,True,active,162,2020-08-21 20:15:52+00:00,True,0,0,10,5,True,2020-08-22 00:22:00,2020
142,163,1,True,True,active,163,2020-08-22 00:18:18+00:00,True,0,0,9,9,True,2020-08-22 00:22:00,2020
143,167,0,False,True,active,167,2020-08-22 00:11:02+00:00,True,0,0,5,10,True,2020-08-22 00:22:00,2020
144,169,0,False,True,active,169,2020-08-21 23:34:31+00:00,True,0,0,16,3,True,2020-08-22 00:22:00,2020
145,170,0,True,True,active,170,2020-08-21 23:05:17+00:00,True,0,0,8,6,True,2020-08-22 00:22:00,2020
146,171,0,True,True,active,171,2020-08-21 23:01:42+00:00,True,0,0,12,11,True,2020-08-22 00:22:00,2020
147,173,1,True,True,active,173,2020-08-21 23:54:29+00:00,True,0,0,2,11,True,2020-08-22 00:22:00,2020
148,174,0,False,True,active,174,2020-08-22 00:16:34+00:00,True,0,0,8,7,True,2020-08-22 00:22:00,2020
149,175,0,True,True,active,175,2020-08-21 23:55:43+00:00,True,0,0,12,5,True,2020-08-22 00:22:00,2020
150,176,2,False,True,active,176,2020-08-22 00:05:19+00:00,True,0,0,5,8,True,2020-08-22 00:22:00,2020
151,177,0,False,True,active,177,2020-08-22 00:04:26+00:00,True,0,0,12,7,True,2020-08-22 00:22:00,2020
152,178,1,False,True,active,178,2020-08-22 00:17:02+00:00,True,0,0,4,14,True,2020-08-22 00:22:00,2020
153,179,0,False,True,active,179,2020-08-22 00:20:39+00:00,True,0,0,19,6,True,2020-08-22 00:22:00,2020
154,180,0,False,True,active,180,2020-08-22 00:04:24+00:00,True,0,0,6,13,True,2020-08-22 00:22:00,2020
155,181,0,False,True,active,181,2020-08-21 23:51:10+00:00,True,0,0,17,2,True,2020-08-22 00:22:00,2020
