,num_docks_available,num_bikes_available,eightd_has_available_keys,num_ebikes_available,is_installed,is_renting,legacy_id,num_docks_disabled,is_returning,last_reported,num_bikes_disabled,station_status,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,9,6,True,0,True,True,3,0,True,2020-07-31 21:48:26+00:00,0,active,3,,,2020-07-31 22:00:35,2020
1,16,3,False,0,True,True,4,0,True,2020-07-31 21:52:31+00:00,0,active,4,,,2020-07-31 22:00:35,2020
2,11,4,False,0,True,True,5,0,True,2020-07-31 22:00:07+00:00,0,active,5,,,2020-07-31 22:00:35,2020
3,14,1,False,0,True,True,6,0,True,2020-07-31 21:59:36+00:00,0,active,6,,,2020-07-31 22:00:35,2020
4,6,9,False,0,True,True,7,0,True,2020-07-31 21:59:05+00:00,0,active,7,,,2020-07-31 22:00:35,2020
5,15,2,False,0,True,True,8,0,True,2020-07-31 21:54:58+00:00,2,active,8,,,2020-07-31 22:00:35,2020
6,3,12,False,0,True,True,9,0,True,2020-07-31 21:59:03+00:00,0,active,9,,,2020-07-31 22:00:35,2020
7,0,11,False,0,True,True,10,0,True,2020-07-31 21:29:06+00:00,0,active,10,,,2020-07-31 22:00:35,2020
8,7,8,False,0,True,True,11,0,True,2020-07-31 21:58:22+00:00,0,active,11,"{'active': True, 'off_dock_capacity': 50, 'off_dock_count': 34, 'dock_blocked_count': 0, 'valet_revision': 75, 'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-07-31 22:00:35,2020
9,16,0,True,0,True,True,12,0,True,2020-07-31 21:56:48+00:00,2,active,12,,,2020-07-31 22:00:35,2020
10,16,3,False,0,True,True,13,0,True,2020-07-31 21:58:01+00:00,0,active,13,,,2020-07-31 22:00:35,2020
11,20,5,False,0,True,True,14,0,True,2020-07-31 21:56:42+00:00,0,active,14,,,2020-07-31 22:00:35,2020
12,6,8,False,0,True,True,15,0,True,2020-07-31 21:49:28+00:00,1,active,15,,,2020-07-31 22:00:35,2020
13,9,8,True,0,True,True,16,0,True,2020-07-31 21:54:25+00:00,2,active,16,,,2020-07-31 22:00:35,2020
