,last_reported,station_status,num_docks_disabled,legacy_id,eightd_has_available_keys,station_id,num_bikes_available,num_docks_available,num_bikes_disabled,num_ebikes_available,is_returning,is_installed,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,2020-08-06 02:04:58+00:00,active,0,3,False,3,0,15,0,0,True,True,True,,,2020-08-06 07:44:40,2020
1,2020-08-06 07:15:35+00:00,active,0,4,False,4,17,2,0,0,True,True,True,,,2020-08-06 07:44:40,2020
2,2020-08-06 06:26:27+00:00,active,0,5,False,5,12,3,0,0,True,True,True,,,2020-08-06 07:44:40,2020
3,2020-08-06 06:55:57+00:00,active,0,6,False,6,10,4,1,0,True,True,True,,,2020-08-06 07:44:40,2020
4,2020-08-06 03:00:25+00:00,active,0,7,False,7,2,13,0,0,True,True,True,,,2020-08-06 07:44:40,2020
5,2020-08-06 05:16:46+00:00,active,0,8,False,8,13,6,0,0,True,True,True,,,2020-08-06 07:44:40,2020
6,2020-08-06 04:24:42+00:00,active,0,9,False,9,14,1,0,0,True,True,True,,,2020-08-06 07:44:40,2020
7,2020-08-06 05:23:02+00:00,active,0,10,False,10,2,9,0,0,True,True,True,,,2020-08-06 07:44:40,2020
8,2020-08-06 05:40:04+00:00,active,0,11,False,11,0,15,0,0,True,True,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'dock_blocked_count': 0, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'active': True, 'valet_revision': 79, 'region': 'BOS', 'off_dock_count': 3}",2020-08-06 07:44:40,2020
9,2020-08-06 07:18:03+00:00,active,0,12,True,12,14,4,0,0,True,True,True,,,2020-08-06 07:44:40,2020
10,2020-08-06 07:34:00+00:00,active,0,13,False,13,1,18,0,0,True,True,True,,,2020-08-06 07:44:40,2020
11,2020-08-06 02:38:23+00:00,active,0,14,False,14,0,25,0,0,True,True,True,,,2020-08-06 07:44:40,2020
12,2020-08-06 04:21:34+00:00,active,0,15,False,15,10,5,0,0,True,True,True,,,2020-08-06 07:44:40,2020
13,2020-08-06 06:50:11+00:00,active,0,16,True,16,5,14,0,0,True,True,True,,,2020-08-06 07:44:40,2020
14,2020-08-06 04:14:29+00:00,active,0,17,False,17,2,13,0,0,True,True,True,,,2020-08-06 07:44:40,2020
15,2020-08-06 03:36:27+00:00,active,0,19,False,19,6,9,0,0,True,True,True,,,2020-08-06 07:44:40,2020
16,2020-08-06 05:24:37+00:00,active,0,20,True,20,7,16,0,0,True,True,True,,,2020-08-06 07:44:40,2020
17,2020-08-06 07:10:06+00:00,active,0,21,True,21,0,18,0,0,True,True,True,,,2020-08-06 07:44:40,2020
18,2020-08-06 04:51:16+00:00,active,0,22,True,22,3,42,2,0,True,True,True,,,2020-08-06 07:44:40,2020
19,2020-08-06 03:39:01+00:00,active,0,23,True,23,11,10,0,0,True,True,True,,,2020-08-06 07:44:40,2020
