,legacy_id,is_returning,eightd_has_available_keys,last_reported,num_bikes_available,station_id,num_ebikes_available,num_docks_disabled,is_renting,num_bikes_disabled,station_status,num_docks_available,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,3,True,False,2020-08-06 22:06:12+00:00,9,3,0,0,True,0,active,6,True,,,2020-08-06 22:13:05,2020
1,4,True,False,2020-08-06 22:04:02+00:00,11,4,0,0,True,0,active,8,True,,,2020-08-06 22:13:05,2020
2,5,True,False,2020-08-06 22:11:32+00:00,7,5,0,0,True,1,active,7,True,,,2020-08-06 22:13:05,2020
3,6,True,False,2020-08-06 22:09:29+00:00,1,6,0,0,True,1,active,13,True,,,2020-08-06 22:13:05,2020
4,7,True,False,2020-08-06 21:58:52+00:00,6,7,0,0,True,0,active,9,True,,,2020-08-06 22:13:05,2020
5,8,True,False,2020-08-06 22:00:57+00:00,8,8,0,0,True,0,active,11,True,,,2020-08-06 22:13:05,2020
6,9,True,False,2020-08-06 22:11:43+00:00,6,9,0,0,True,1,active,8,True,,,2020-08-06 22:13:05,2020
7,10,True,False,2020-08-06 21:49:38+00:00,7,10,0,0,True,0,active,4,True,,,2020-08-06 22:13:05,2020
8,11,True,False,2020-08-06 22:11:48+00:00,6,11,0,0,True,1,active,8,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'active': True, 'region': 'BOS', 'off_dock_count': 3, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'valet_revision': 79, 'off_dock_capacity': 50}",2020-08-06 22:13:05,2020
9,12,True,True,2020-08-06 22:06:41+00:00,16,12,0,0,True,0,active,2,True,,,2020-08-06 22:13:05,2020
10,13,True,False,2020-08-06 22:08:46+00:00,0,13,0,0,True,0,active,19,True,,,2020-08-06 22:13:05,2020
11,14,True,False,2020-08-06 21:52:57+00:00,0,14,0,0,True,1,active,24,True,,,2020-08-06 22:13:05,2020
12,15,True,False,2020-08-06 21:22:23+00:00,10,15,0,0,True,1,active,4,True,,,2020-08-06 22:13:05,2020
13,16,True,True,2020-08-06 21:58:46+00:00,10,16,0,0,True,0,active,9,True,,,2020-08-06 22:13:05,2020
14,17,True,False,2020-08-06 22:09:22+00:00,3,17,0,0,True,0,active,12,True,,,2020-08-06 22:13:05,2020
15,19,True,False,2020-08-06 21:53:09+00:00,0,19,0,0,True,0,active,15,True,,,2020-08-06 22:13:05,2020
16,20,True,True,2020-08-06 21:51:02+00:00,13,20,0,0,True,1,active,9,True,,,2020-08-06 22:13:05,2020
17,21,True,True,2020-08-06 22:09:09+00:00,2,21,0,0,True,0,active,16,True,,,2020-08-06 22:13:05,2020
18,22,True,True,2020-08-06 22:08:39+00:00,2,22,0,0,True,1,active,44,True,,,2020-08-06 22:13:05,2020
19,23,True,True,2020-08-06 22:10:16+00:00,14,23,0,0,True,0,active,7,True,,,2020-08-06 22:13:05,2020
20,24,True,False,2020-08-06 22:09:42+00:00,15,24,0,0,True,2,active,2,True,,,2020-08-06 22:13:05,2020
21,25,True,False,2020-08-06 21:59:59+00:00,2,25,0,0,True,1,active,12,True,,,2020-08-06 22:13:05,2020
22,26,True,False,2020-08-06 22:07:43+00:00,2,26,0,0,True,1,active,12,True,,,2020-08-06 22:13:05,2020
23,27,True,False,2020-08-06 22:00:02+00:00,7,27,0,0,True,1,active,15,True,,,2020-08-06 22:13:05,2020
24,29,True,False,2020-08-06 21:31:21+00:00,10,29,0,0,True,1,active,4,True,,,2020-08-06 22:13:05,2020
25,30,True,False,2020-08-06 21:30:39+00:00,0,30,0,0,True,0,active,15,True,,,2020-08-06 22:13:05,2020
26,31,True,True,2020-08-06 21:54:08+00:00,9,31,0,0,True,0,active,10,True,,,2020-08-06 22:13:05,2020
27,32,True,False,2020-08-06 22:10:38+00:00,1,32,0,0,True,0,active,14,True,,,2020-08-06 22:13:05,2020
28,33,True,False,2020-08-06 22:01:34+00:00,17,33,0,0,True,0,active,10,True,,,2020-08-06 22:13:05,2020
29,35,True,False,2020-08-06 22:09:28+00:00,6,35,0,0,True,0,active,17,True,,,2020-08-06 22:13:05,2020
30,36,True,True,2020-08-06 22:11:33+00:00,29,36,0,0,True,1,active,3,True,,,2020-08-06 22:13:05,2020
