,is_returning,legacy_id,is_renting,num_docks_available,is_installed,last_reported,num_bikes_disabled,eightd_has_available_keys,station_id,num_docks_disabled,station_status,num_ebikes_available,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,3,True,14,True,2020-08-15 16:52:42+00:00,0,False,3,0,active,0,1,,,2020-08-15 16:53:20,2020
1,True,4,True,9,True,2020-08-15 16:51:54+00:00,0,False,4,0,active,0,10,,,2020-08-15 16:53:20,2020
2,True,5,True,5,True,2020-08-15 16:17:03+00:00,1,False,5,0,active,0,9,,,2020-08-15 16:53:20,2020
3,True,6,True,4,True,2020-08-15 16:47:25+00:00,2,False,6,0,active,0,9,,,2020-08-15 16:53:20,2020
4,True,7,True,9,True,2020-08-15 15:39:28+00:00,0,False,7,0,active,0,6,,,2020-08-15 16:53:20,2020
5,True,8,True,17,True,2020-08-15 16:27:14+00:00,1,False,8,0,active,0,1,,,2020-08-15 16:53:20,2020
6,True,9,True,2,True,2020-08-15 16:53:05+00:00,1,False,9,0,active,0,12,,,2020-08-15 16:53:20,2020
7,True,10,True,5,True,2020-08-15 16:38:40+00:00,0,False,10,0,active,0,6,,,2020-08-15 16:53:20,2020
8,True,11,True,5,True,2020-08-15 16:40:47+00:00,0,False,11,0,active,0,10,,,2020-08-15 16:53:20,2020
9,True,12,True,6,True,2020-08-15 16:50:29+00:00,0,True,12,0,active,0,12,,,2020-08-15 16:53:20,2020
10,True,13,True,7,True,2020-08-15 16:43:20+00:00,0,False,13,0,active,0,12,,,2020-08-15 16:53:20,2020
11,True,14,True,9,True,2020-08-15 16:49:15+00:00,1,False,14,0,active,0,15,,,2020-08-15 16:53:20,2020
12,True,15,True,6,True,2020-08-15 16:51:51+00:00,1,False,15,0,active,0,8,,,2020-08-15 16:53:20,2020
13,True,16,True,0,True,2020-08-15 16:43:31+00:00,0,True,16,0,active,0,19,,,2020-08-15 16:53:20,2020
14,True,17,True,14,True,2020-08-15 16:50:49+00:00,1,False,17,0,active,0,0,,,2020-08-15 16:53:20,2020
15,True,19,True,13,True,2020-08-15 16:52:40+00:00,0,False,19,0,active,0,2,,,2020-08-15 16:53:20,2020
16,True,20,True,15,True,2020-08-15 16:30:46+00:00,0,True,20,0,active,0,8,,,2020-08-15 16:53:20,2020
17,True,21,True,13,True,2020-08-15 16:42:42+00:00,0,True,21,0,active,0,5,,,2020-08-15 16:53:20,2020
18,True,22,True,16,True,2020-08-15 15:35:28+00:00,1,True,22,0,active,0,30,,,2020-08-15 16:53:20,2020
19,True,23,True,19,True,2020-08-15 14:43:22+00:00,1,False,23,0,active,0,1,,,2020-08-15 16:53:20,2020
20,True,24,True,10,True,2020-08-15 16:51:19+00:00,1,False,24,0,active,0,8,,,2020-08-15 16:53:20,2020
21,True,25,True,10,True,2020-08-15 16:28:37+00:00,1,False,25,0,active,0,4,,,2020-08-15 16:53:20,2020
22,True,26,True,3,True,2020-08-15 16:36:51+00:00,1,False,26,0,active,0,11,,,2020-08-15 16:53:20,2020
23,True,27,True,19,True,2020-08-15 16:49:32+00:00,0,False,27,0,active,0,4,,,2020-08-15 16:53:20,2020
24,True,29,True,11,True,2020-08-15 16:08:49+00:00,0,False,29,0,active,0,4,,,2020-08-15 16:53:20,2020
25,True,30,True,10,True,2020-08-15 16:43:44+00:00,2,False,30,0,active,0,3,,,2020-08-15 16:53:20,2020
26,True,31,True,3,True,2020-08-15 16:21:18+00:00,0,True,31,0,active,0,16,,,2020-08-15 16:53:20,2020
27,True,32,True,6,True,2020-08-15 16:52:59+00:00,1,False,32,0,active,0,8,,,2020-08-15 16:53:20,2020
28,True,33,True,5,True,2020-08-15 16:46:45+00:00,0,False,33,0,active,0,22,,,2020-08-15 16:53:20,2020
29,True,35,True,16,True,2020-08-15 16:34:25+00:00,1,False,35,0,active,0,6,,,2020-08-15 16:53:20,2020
30,True,36,True,14,True,2020-08-15 16:49:39+00:00,1,True,36,0,active,0,18,,,2020-08-15 16:53:20,2020
31,True,37,True,10,True,2020-08-15 14:24:41+00:00,0,True,37,0,active,0,5,,,2020-08-15 16:53:20,2020
32,True,39,True,8,True,2020-08-15 16:48:25+00:00,0,False,39,0,active,0,15,,,2020-08-15 16:53:20,2020
33,True,40,True,19,True,2020-08-15 16:38:41+00:00,0,False,40,0,active,0,0,,,2020-08-15 16:53:20,2020
34,True,41,True,18,True,2020-08-15 16:50:23+00:00,0,True,41,0,active,0,9,,,2020-08-15 16:53:20,2020
35,True,42,True,23,True,2020-08-15 16:42:25+00:00,0,False,42,0,active,0,0,,,2020-08-15 16:53:20,2020
36,True,43,True,14,True,2020-08-15 16:48:47+00:00,0,True,43,0,active,0,1,,,2020-08-15 16:53:20,2020
37,True,44,True,23,True,2020-08-15 13:57:00+00:00,0,False,44,0,active,0,0,,,2020-08-15 16:53:20,2020
38,True,46,True,14,True,2020-08-15 16:52:45+00:00,2,False,46,0,active,0,3,,,2020-08-15 16:53:20,2020
39,True,47,True,16,True,2020-08-15 16:47:10+00:00,0,True,47,0,active,0,3,,,2020-08-15 16:53:20,2020
40,True,48,True,17,True,2020-08-15 16:15:38+00:00,1,False,48,0,active,0,1,,,2020-08-15 16:53:20,2020
41,True,49,True,10,True,2020-08-15 16:52:30+00:00,0,False,49,0,active,0,8,,,2020-08-15 16:53:20,2020
42,True,50,True,15,True,2020-08-15 16:33:45+00:00,0,True,50,0,active,0,0,,,2020-08-15 16:53:20,2020
43,True,51,True,6,True,2020-08-15 16:22:02+00:00,0,False,51,0,active,0,9,,,2020-08-15 16:53:20,2020
44,True,52,True,0,True,2020-08-15 16:43:55+00:00,2,True,52,0,active,0,21,,,2020-08-15 16:53:20,2020
45,True,53,True,13,True,2020-08-15 16:52:02+00:00,2,False,53,0,active,0,4,,,2020-08-15 16:53:20,2020
46,True,54,True,13,True,2020-08-15 16:12:59+00:00,1,False,54,0,active,0,1,,,2020-08-15 16:53:20,2020
47,True,55,True,13,True,2020-08-15 16:50:46+00:00,1,False,55,0,active,0,1,,,2020-08-15 16:53:20,2020
48,True,56,True,3,True,2020-08-15 15:23:54+00:00,0,False,56,0,active,0,15,,,2020-08-15 16:53:20,2020
49,True,57,True,14,True,2020-08-15 16:22:14+00:00,0,True,57,0,active,0,0,,,2020-08-15 16:53:20,2020
50,True,58,True,15,True,2020-08-15 16:46:45+00:00,2,True,58,0,active,0,2,,,2020-08-15 16:53:20,2020
51,True,59,True,10,True,2020-08-15 16:48:33+00:00,2,True,59,0,active,0,7,,,2020-08-15 16:53:20,2020
52,True,60,True,5,True,2020-08-15 16:46:47+00:00,1,False,60,0,active,0,13,,,2020-08-15 16:53:20,2020
53,True,61,True,0,True,2020-08-15 16:51:06+00:00,0,False,61,0,active,0,19,,,2020-08-15 16:53:20,2020
54,True,63,True,7,True,2020-08-15 13:08:18+00:00,0,False,63,0,active,0,8,,,2020-08-15 16:53:20,2020
55,True,64,True,16,True,2020-08-15 16:47:48+00:00,0,False,64,0,active,0,3,,,2020-08-15 16:53:20,2020
