,is_returning,num_bikes_available,station_status,eightd_has_available_keys,num_docks_disabled,station_id,num_bikes_disabled,num_docks_available,is_renting,legacy_id,num_ebikes_available,last_reported,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,10,active,False,0,3,0,5,True,3,0,2020-08-13 14:51:43+00:00,True,,,2020-08-13 15:09:55,2020
1,True,11,active,False,0,4,0,8,True,4,0,2020-08-13 14:59:01+00:00,True,,,2020-08-13 15:09:55,2020
2,True,7,active,False,0,5,0,8,True,5,0,2020-08-13 14:54:31+00:00,True,,,2020-08-13 15:09:55,2020
3,True,4,active,False,0,6,2,9,True,6,0,2020-08-13 14:58:05+00:00,True,,,2020-08-13 15:09:55,2020
4,True,2,active,False,0,7,0,13,True,7,0,2020-08-13 14:03:43+00:00,True,,,2020-08-13 15:09:55,2020
5,True,9,active,False,0,8,0,10,True,8,0,2020-08-13 14:54:26+00:00,True,,,2020-08-13 15:09:55,2020
6,True,13,active,False,0,9,1,1,True,9,0,2020-08-13 14:58:49+00:00,True,,,2020-08-13 15:09:55,2020
7,True,5,active,False,0,10,0,6,True,10,0,2020-08-13 14:48:03+00:00,True,,,2020-08-13 15:09:55,2020
8,True,5,active,False,0,11,1,9,True,11,0,2020-08-13 15:08:54+00:00,True,,,2020-08-13 15:09:55,2020
9,True,10,active,True,0,12,1,7,True,12,0,2020-08-13 14:55:27+00:00,True,,,2020-08-13 15:09:55,2020
10,True,19,active,False,0,13,0,0,True,13,0,2020-08-13 14:50:09+00:00,True,,,2020-08-13 15:09:55,2020
11,True,17,active,False,0,14,0,8,True,14,0,2020-08-13 14:56:18+00:00,True,,,2020-08-13 15:09:55,2020
12,True,8,active,False,0,15,0,7,True,15,0,2020-08-13 14:45:58+00:00,True,,,2020-08-13 15:09:55,2020
13,True,11,active,True,0,16,0,8,True,16,0,2020-08-13 14:43:01+00:00,True,,,2020-08-13 15:09:55,2020
14,True,1,active,False,0,17,1,13,True,17,0,2020-08-13 14:52:23+00:00,True,,,2020-08-13 15:09:55,2020
15,True,3,active,False,0,19,1,11,True,19,0,2020-08-13 14:19:09+00:00,True,,,2020-08-13 15:09:55,2020
16,True,10,active,True,0,20,0,13,True,20,0,2020-08-13 13:47:07+00:00,True,,,2020-08-13 15:09:55,2020
17,True,3,active,True,0,21,0,15,True,21,0,2020-08-13 14:32:34+00:00,True,,,2020-08-13 15:09:55,2020
18,True,10,active,True,0,22,1,36,True,22,0,2020-08-13 14:54:57+00:00,True,,,2020-08-13 15:09:55,2020
19,True,13,active,False,0,23,0,8,True,23,0,2020-08-13 15:09:18+00:00,True,,,2020-08-13 15:09:55,2020
20,True,14,active,False,0,24,1,4,True,24,0,2020-08-13 13:28:42+00:00,True,,,2020-08-13 15:09:55,2020
21,True,9,active,False,0,25,1,5,True,25,0,2020-08-13 15:01:35+00:00,True,,,2020-08-13 15:09:55,2020
22,True,11,active,False,0,26,0,4,True,26,0,2020-08-13 15:06:24+00:00,True,,,2020-08-13 15:09:55,2020
23,True,16,active,False,0,27,0,7,True,27,0,2020-08-13 14:57:32+00:00,True,,,2020-08-13 15:09:55,2020
24,True,9,active,False,0,29,0,6,True,29,0,2020-08-13 12:43:37+00:00,True,,,2020-08-13 15:09:55,2020
25,True,13,active,False,0,30,1,1,True,30,0,2020-08-13 15:02:17+00:00,True,,,2020-08-13 15:09:55,2020
26,True,6,active,True,0,31,0,13,True,31,0,2020-08-13 14:59:24+00:00,True,,,2020-08-13 15:09:55,2020
27,True,13,active,False,0,32,1,1,True,32,0,2020-08-13 14:43:27+00:00,True,,,2020-08-13 15:09:55,2020
28,True,8,active,False,0,33,0,19,True,33,0,2020-08-13 13:43:08+00:00,True,,,2020-08-13 15:09:55,2020
29,True,15,active,False,0,35,2,6,True,35,0,2020-08-13 15:06:12+00:00,True,,,2020-08-13 15:09:55,2020
30,True,9,active,True,0,36,0,24,True,36,0,2020-08-13 14:52:26+00:00,True,,,2020-08-13 15:09:55,2020
31,True,2,active,True,0,37,0,13,True,37,0,2020-08-13 14:09:27+00:00,True,,,2020-08-13 15:09:55,2020
32,True,22,active,False,0,39,1,0,True,39,0,2020-08-13 15:05:12+00:00,True,,,2020-08-13 15:09:55,2020
33,True,6,active,False,0,40,2,11,True,40,0,2020-08-13 15:00:06+00:00,True,,,2020-08-13 15:09:55,2020
34,True,8,active,True,0,41,0,19,True,41,0,2020-08-13 15:04:33+00:00,True,,,2020-08-13 15:09:55,2020
35,True,18,active,False,0,42,0,5,True,42,0,2020-08-13 15:02:53+00:00,True,,,2020-08-13 15:09:55,2020
36,True,13,active,True,0,43,0,2,True,43,0,2020-08-13 13:49:41+00:00,True,,,2020-08-13 15:09:55,2020
37,True,5,active,False,0,44,0,18,True,44,0,2020-08-13 14:48:17+00:00,True,,,2020-08-13 15:09:55,2020
38,True,4,active,False,0,46,0,15,True,46,0,2020-08-13 15:04:22+00:00,True,,,2020-08-13 15:09:55,2020
39,True,2,active,True,0,47,0,17,True,47,0,2020-08-13 15:02:03+00:00,True,,,2020-08-13 15:09:55,2020
40,True,10,active,False,0,48,0,9,True,48,0,2020-08-13 13:26:27+00:00,True,,,2020-08-13 15:09:55,2020
41,True,10,active,False,0,49,0,8,True,49,0,2020-08-13 14:59:40+00:00,True,,,2020-08-13 15:09:55,2020
42,True,7,active,True,0,50,0,8,True,50,0,2020-08-13 14:40:53+00:00,True,,,2020-08-13 15:09:55,2020
43,True,5,active,False,0,51,0,10,True,51,0,2020-08-13 15:05:03+00:00,True,,,2020-08-13 15:09:55,2020
44,True,16,active,True,0,52,0,7,True,52,0,2020-08-13 14:46:46+00:00,True,,,2020-08-13 15:09:55,2020
45,True,8,active,False,0,53,0,11,True,53,0,2020-08-13 15:08:03+00:00,True,,,2020-08-13 15:09:55,2020
46,True,11,active,False,0,54,0,4,True,54,0,2020-08-13 14:59:18+00:00,True,,,2020-08-13 15:09:55,2020
47,True,10,active,False,0,55,0,5,True,55,0,2020-08-13 14:56:20+00:00,True,,,2020-08-13 15:09:55,2020
48,True,3,active,True,0,56,1,14,True,56,0,2020-08-13 13:59:29+00:00,True,,,2020-08-13 15:09:55,2020
49,True,1,active,True,0,57,1,12,True,57,0,2020-08-13 14:59:05+00:00,True,,,2020-08-13 15:09:55,2020
50,True,6,active,True,0,58,1,12,True,58,0,2020-08-13 14:55:55+00:00,True,,,2020-08-13 15:09:55,2020
51,True,6,active,True,0,59,0,13,True,59,0,2020-08-13 14:12:25+00:00,True,,,2020-08-13 15:09:55,2020
52,True,4,active,False,0,60,0,15,True,60,0,2020-08-13 14:55:10+00:00,True,"{'off_dock_capacity': 40, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 29, 'active': True, 'dock_blocked_count': 0, 'region': 'BOS', 'valet_revision': 75}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-08-13 15:09:55,2020
53,True,16,active,False,0,61,0,3,True,61,0,2020-08-13 14:51:36+00:00,True,,,2020-08-13 15:09:55,2020
54,True,4,active,False,0,63,0,11,True,63,0,2020-08-13 14:33:45+00:00,True,,,2020-08-13 15:09:55,2020
55,True,15,active,False,0,64,2,2,True,64,0,2020-08-13 15:06:55+00:00,True,,,2020-08-13 15:09:55,2020
56,True,5,active,False,0,65,0,18,True,65,0,2020-08-13 13:47:19+00:00,True,,,2020-08-13 15:09:55,2020
57,True,3,active,False,0,66,1,11,True,66,0,2020-08-13 14:44:55+00:00,True,,,2020-08-13 15:09:55,2020
58,True,11,active,True,0,67,0,16,True,67,0,2020-08-13 14:51:55+00:00,True,,,2020-08-13 15:09:55,2020
59,True,6,active,True,0,68,2,11,True,68,0,2020-08-13 15:05:37+00:00,True,,,2020-08-13 15:09:55,2020
