,legacy_id,eightd_has_available_keys,num_docks_disabled,is_installed,num_docks_available,last_reported,is_renting,num_bikes_available,is_returning,num_bikes_disabled,station_status,station_id,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
62,71,False,0,True,1,2020-07-30 19:06:30+00:00,True,22,True,0,active,71,0,,,2020-07-30 19:07:45,2020
63,72,False,0,True,12,2020-07-30 19:07:10+00:00,True,11,True,0,active,72,0,,,2020-07-30 19:07:45,2020
64,73,False,0,True,8,2020-07-30 18:33:51+00:00,True,7,True,0,active,73,0,,,2020-07-30 19:07:45,2020
65,74,True,0,True,7,2020-07-30 19:02:59+00:00,True,11,True,1,active,74,0,,,2020-07-30 19:07:45,2020
66,75,False,0,True,3,2020-07-30 18:54:26+00:00,True,11,True,1,active,75,0,,,2020-07-30 19:07:45,2020
67,76,False,0,True,15,2020-07-30 19:02:04+00:00,True,2,True,0,active,76,0,,,2020-07-30 19:07:45,2020
68,77,False,0,True,13,2020-07-30 19:07:31+00:00,True,2,True,0,active,77,0,,,2020-07-30 19:07:45,2020
69,78,False,0,True,4,2020-07-30 18:29:42+00:00,True,15,True,0,active,78,0,,,2020-07-30 19:07:45,2020
70,79,False,0,True,19,2020-07-30 19:03:06+00:00,True,0,True,0,active,79,0,,,2020-07-30 19:07:45,2020
71,80,False,0,True,2,2020-07-30 19:05:20+00:00,True,33,True,0,active,80,0,,,2020-07-30 19:07:45,2020
72,81,False,0,True,12,2020-07-30 18:51:38+00:00,True,7,True,0,active,81,0,,,2020-07-30 19:07:45,2020
73,82,False,0,True,15,2020-07-30 17:10:07+00:00,True,0,True,0,active,82,0,,,2020-07-30 19:07:45,2020
74,84,False,0,True,3,2020-07-30 19:00:55+00:00,True,12,True,0,active,84,0,,,2020-07-30 19:07:45,2020
75,85,False,0,True,2,2020-07-30 19:03:55+00:00,True,17,True,0,active,85,0,,,2020-07-30 19:07:45,2020
76,86,False,0,True,13,2020-07-30 18:25:58+00:00,True,6,True,0,active,86,0,,,2020-07-30 19:07:45,2020
77,87,False,0,True,12,2020-07-30 17:54:14+00:00,True,2,True,1,active,87,0,,,2020-07-30 19:07:45,2020
