,station_status,station_id,eightd_has_available_keys,is_returning,is_installed,last_reported,num_bikes_available,num_bikes_disabled,num_ebikes_available,is_renting,num_docks_available,num_docks_disabled,legacy_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
48,active,56,True,True,True,2020-08-13 20:02:38+00:00,3,1,0,True,14,0,56,,,2020-08-13 20:16:50,2020
49,active,57,True,True,True,2020-08-13 20:01:36+00:00,5,1,0,True,8,0,57,,,2020-08-13 20:16:50,2020
50,active,58,True,True,True,2020-08-13 20:05:54+00:00,8,1,0,True,10,0,58,,,2020-08-13 20:16:50,2020
51,active,59,True,True,True,2020-08-13 19:59:49+00:00,7,0,0,True,12,0,59,,,2020-08-13 20:16:50,2020
52,active,60,False,True,True,2020-08-13 20:15:37+00:00,14,0,0,True,5,0,60,,,2020-08-13 20:16:50,2020
53,active,61,False,True,True,2020-08-13 20:13:17+00:00,10,2,0,True,7,0,61,,,2020-08-13 20:16:50,2020
54,active,63,False,True,True,2020-08-13 18:06:42+00:00,4,0,0,True,11,0,63,,,2020-08-13 20:16:50,2020
55,active,64,False,True,True,2020-08-13 19:28:29+00:00,10,1,0,True,8,0,64,,,2020-08-13 20:16:50,2020
56,active,65,False,True,True,2020-08-13 17:39:01+00:00,5,0,0,True,18,0,65,,,2020-08-13 20:16:50,2020
57,active,66,False,True,True,2020-08-13 20:07:42+00:00,5,1,0,True,9,0,66,,,2020-08-13 20:16:50,2020
58,active,67,True,True,True,2020-08-13 20:09:11+00:00,15,2,0,True,10,0,67,,,2020-08-13 20:16:50,2020
59,active,68,True,True,True,2020-08-13 20:08:59+00:00,13,1,0,True,5,0,68,,,2020-08-13 20:16:50,2020
60,active,69,True,True,True,2020-08-13 20:14:02+00:00,9,0,0,True,10,0,69,,,2020-08-13 20:16:50,2020
61,active,70,False,True,True,2020-08-13 20:15:45+00:00,15,0,0,True,8,0,70,,,2020-08-13 20:16:50,2020
62,active,71,False,True,True,2020-08-13 20:15:30+00:00,16,0,0,True,7,0,71,,,2020-08-13 20:16:50,2020
63,active,72,False,True,True,2020-08-13 20:10:27+00:00,18,0,0,True,5,0,72,,,2020-08-13 20:16:50,2020
64,active,73,False,True,True,2020-08-13 20:12:39+00:00,2,1,0,True,12,0,73,,,2020-08-13 20:16:50,2020
65,active,74,True,True,True,2020-08-13 19:55:40+00:00,11,1,0,True,7,0,74,,,2020-08-13 20:16:50,2020
66,active,75,False,True,True,2020-08-13 20:06:43+00:00,7,0,0,True,8,0,75,,,2020-08-13 20:16:50,2020
67,active,76,False,True,True,2020-08-13 20:16:22+00:00,3,1,0,True,13,0,76,,,2020-08-13 20:16:50,2020
68,active,77,False,True,True,2020-08-13 19:24:05+00:00,2,1,0,True,12,0,77,,,2020-08-13 20:16:50,2020
69,active,78,False,True,True,2020-08-13 20:16:05+00:00,9,0,0,True,10,0,78,,,2020-08-13 20:16:50,2020
70,active,79,False,True,True,2020-08-13 20:01:56+00:00,7,2,0,True,10,0,79,,,2020-08-13 20:16:50,2020
71,active,80,False,True,True,2020-08-13 20:13:34+00:00,32,2,0,True,1,0,80,,,2020-08-13 20:16:50,2020
72,active,81,False,True,True,2020-08-13 20:13:12+00:00,15,3,0,True,1,0,81,,,2020-08-13 20:16:50,2020
73,active,82,False,True,True,2020-08-13 19:48:26+00:00,0,0,0,True,15,0,82,,,2020-08-13 20:16:50,2020
74,active,84,False,True,True,2020-08-13 19:45:31+00:00,12,1,0,True,2,0,84,,,2020-08-13 20:16:50,2020
75,active,85,False,True,True,2020-08-13 20:11:35+00:00,12,0,0,True,7,0,85,,,2020-08-13 20:16:50,2020
76,active,86,False,True,True,2020-08-13 20:15:31+00:00,12,0,0,True,7,0,86,,,2020-08-13 20:16:50,2020
77,active,87,False,True,True,2020-08-13 20:08:15+00:00,7,0,0,True,8,0,87,,,2020-08-13 20:16:50,2020
78,active,89,False,True,True,2020-08-13 20:11:58+00:00,9,0,0,True,10,0,89,,,2020-08-13 20:16:50,2020
