,station_id,last_reported,num_ebikes_available,num_bikes_disabled,legacy_id,num_bikes_available,num_docks_available,is_installed,num_docks_disabled,station_status,eightd_has_available_keys,is_renting,is_returning,timestamp_of_data_read_request,year_station_last_reported
0,3,2020-08-12 21:58:20+00:00,0,1,3,5,9,True,0,active,False,True,True,2020-08-12 22:08:55,2020
1,4,2020-08-12 22:08:01+00:00,0,0,4,7,12,True,0,active,False,True,True,2020-08-12 22:08:55,2020
2,5,2020-08-12 22:05:38+00:00,0,0,5,2,13,True,0,active,False,True,True,2020-08-12 22:08:55,2020
3,6,2020-08-12 22:01:17+00:00,0,1,6,0,14,True,0,active,False,True,True,2020-08-12 22:08:55,2020
4,7,2020-08-12 21:47:45+00:00,0,1,7,10,4,True,0,active,False,True,True,2020-08-12 22:08:55,2020
5,8,2020-08-12 22:03:59+00:00,0,0,8,9,10,True,0,active,False,True,True,2020-08-12 22:08:55,2020
6,9,2020-08-12 22:02:20+00:00,0,1,9,5,9,True,0,active,False,True,True,2020-08-12 22:08:55,2020
7,10,2020-08-12 22:03:17+00:00,0,0,10,1,10,True,0,active,False,True,True,2020-08-12 22:08:55,2020
8,11,2020-08-12 22:07:57+00:00,0,1,11,12,2,True,0,active,False,True,True,2020-08-12 22:08:55,2020
9,12,2020-08-12 22:04:12+00:00,0,0,12,15,3,True,0,active,True,True,True,2020-08-12 22:08:55,2020
10,13,2020-08-12 22:01:13+00:00,0,1,13,3,15,True,0,active,False,True,True,2020-08-12 22:08:55,2020
11,14,2020-08-12 22:08:31+00:00,0,1,14,5,19,True,0,active,False,True,True,2020-08-12 22:08:55,2020
12,15,2020-08-12 21:49:41+00:00,0,0,15,13,2,True,0,active,False,True,True,2020-08-12 22:08:55,2020
13,16,2020-08-12 21:40:46+00:00,0,0,16,8,11,True,0,active,True,True,True,2020-08-12 22:08:55,2020
14,17,2020-08-12 22:05:14+00:00,0,1,17,2,12,True,0,active,False,True,True,2020-08-12 22:08:55,2020
15,19,2020-08-12 21:37:44+00:00,0,0,19,7,8,True,0,active,False,True,True,2020-08-12 22:08:55,2020
16,20,2020-08-12 22:02:42+00:00,0,0,20,18,5,True,0,active,True,True,True,2020-08-12 22:08:55,2020
17,21,2020-08-12 22:08:23+00:00,0,0,21,16,2,True,0,active,True,True,True,2020-08-12 22:08:55,2020
18,22,2020-08-12 22:06:31+00:00,0,0,22,13,34,True,0,active,True,True,True,2020-08-12 22:08:55,2020
19,23,2020-08-12 22:07:02+00:00,0,0,23,11,10,True,0,active,False,True,True,2020-08-12 22:08:55,2020
20,24,2020-08-12 21:22:53+00:00,0,1,24,8,10,True,0,active,False,True,True,2020-08-12 22:08:55,2020
21,25,2020-08-12 22:03:01+00:00,0,1,25,7,7,True,0,active,False,True,True,2020-08-12 22:08:55,2020
