,station_id,legacy_id,station_status,num_docks_disabled,is_renting,is_installed,num_ebikes_available,eightd_has_available_keys,last_reported,num_bikes_disabled,num_bikes_available,num_docks_available,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,3,3,active,0,True,True,0,False,2020-08-13 23:47:40+00:00,1,0,14,True,,,2020-08-14 00:32:15,2020
1,4,4,active,0,True,True,0,False,2020-08-14 00:25:30+00:00,0,14,5,True,,,2020-08-14 00:32:15,2020
2,5,5,active,0,True,True,0,False,2020-08-14 00:27:12+00:00,0,1,14,True,,,2020-08-14 00:32:15,2020
3,6,6,active,0,True,True,0,False,2020-08-14 00:24:21+00:00,1,0,14,True,,,2020-08-14 00:32:15,2020
4,7,7,active,0,True,True,0,False,2020-08-14 00:29:16+00:00,0,7,8,True,,,2020-08-14 00:32:15,2020
5,8,8,active,0,True,True,0,False,2020-08-14 00:28:41+00:00,0,10,9,True,,,2020-08-14 00:32:15,2020
6,9,9,active,0,True,True,0,False,2020-08-14 00:20:49+00:00,1,10,4,True,,,2020-08-14 00:32:15,2020
7,10,10,active,0,True,True,0,False,2020-08-14 00:31:50+00:00,1,3,7,True,,,2020-08-14 00:32:15,2020
8,11,11,active,0,True,True,0,False,2020-08-14 00:23:39+00:00,0,0,15,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'off_dock_capacity': 50, 'off_dock_count': 0, 'valet_revision': 87, 'dock_blocked_count': 0, 'active': True}",2020-08-14 00:32:15,2020
9,12,12,active,0,True,True,0,True,2020-08-14 00:25:06+00:00,0,13,5,True,,,2020-08-14 00:32:15,2020
10,13,13,active,0,True,True,0,False,2020-08-14 00:30:18+00:00,0,2,17,True,,,2020-08-14 00:32:15,2020
11,14,14,active,0,True,True,0,False,2020-08-13 23:54:25+00:00,0,0,25,True,,,2020-08-14 00:32:15,2020
12,15,15,active,0,True,True,0,False,2020-08-14 00:31:17+00:00,0,14,1,True,,,2020-08-14 00:32:15,2020
13,16,16,active,0,True,True,0,True,2020-08-14 00:03:52+00:00,0,17,2,True,,,2020-08-14 00:32:15,2020
