,num_bikes_available,is_installed,last_reported,station_id,eightd_has_available_keys,station_status,num_docks_available,num_ebikes_available,num_bikes_disabled,is_returning,legacy_id,is_renting,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,11,True,2020-08-04 20:11:12+00:00,3,True,active,4,0,0,True,3,True,0,,,2020-08-04 20:16:00,2020
1,7,True,2020-08-04 19:58:43+00:00,4,False,active,11,0,1,True,4,True,0,,,2020-08-04 20:16:00,2020
2,7,True,2020-08-04 20:10:14+00:00,5,False,active,8,0,0,True,5,True,0,,,2020-08-04 20:16:00,2020
3,8,True,2020-08-04 20:11:20+00:00,6,False,active,6,0,1,True,6,True,0,,,2020-08-04 20:16:00,2020
4,10,True,2020-08-04 20:08:57+00:00,7,False,active,5,0,0,True,7,True,0,,,2020-08-04 20:16:00,2020
5,3,True,2020-08-04 20:06:13+00:00,8,False,active,16,0,0,True,8,True,0,,,2020-08-04 20:16:00,2020
6,9,True,2020-08-04 20:11:52+00:00,9,False,active,6,0,0,True,9,True,0,,,2020-08-04 20:16:00,2020
7,4,True,2020-08-04 19:57:52+00:00,10,False,active,6,0,1,True,10,True,0,,,2020-08-04 20:16:00,2020
8,7,True,2020-08-04 20:15:17+00:00,11,False,active,8,0,0,True,11,True,0,"{'dock_blocked_count': 0, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 77, 'region': 'BOS', 'off_dock_capacity': 50, 'active': True, 'off_dock_count': 31}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-04 20:16:00,2020
9,8,True,2020-08-04 20:04:41+00:00,12,True,active,10,0,0,True,12,True,0,,,2020-08-04 20:16:00,2020
10,6,True,2020-08-04 20:15:33+00:00,13,False,active,13,0,0,True,13,True,0,,,2020-08-04 20:16:00,2020
11,19,True,2020-08-04 20:07:25+00:00,14,False,active,4,0,2,True,14,True,0,,,2020-08-04 20:16:00,2020
12,9,True,2020-08-04 16:45:29+00:00,15,False,active,6,0,0,True,15,True,0,,,2020-08-04 20:16:00,2020
13,6,True,2020-08-04 19:42:49+00:00,16,True,active,13,0,0,True,16,True,0,,,2020-08-04 20:16:00,2020
14,3,True,2020-08-04 19:54:12+00:00,17,False,active,10,0,2,True,17,True,0,,,2020-08-04 20:16:00,2020
15,9,True,2020-08-04 19:52:49+00:00,19,False,active,4,0,2,True,19,True,0,,,2020-08-04 20:16:00,2020
16,14,True,2020-08-04 20:14:40+00:00,20,True,active,8,0,1,True,20,True,0,,,2020-08-04 20:16:00,2020
17,0,True,2020-08-04 18:20:12+00:00,21,True,active,18,0,0,True,21,True,0,,,2020-08-04 20:16:00,2020
18,5,True,2020-08-04 19:51:33+00:00,22,True,active,41,0,1,True,22,True,0,,,2020-08-04 20:16:00,2020
19,8,True,2020-08-04 20:03:37+00:00,23,True,active,11,0,2,True,23,True,0,,,2020-08-04 20:16:00,2020
20,6,True,2020-08-04 19:53:18+00:00,24,False,active,12,0,1,True,24,True,0,,,2020-08-04 20:16:00,2020
21,3,True,2020-08-04 20:14:40+00:00,25,False,active,12,0,0,True,25,True,0,,,2020-08-04 20:16:00,2020
22,5,True,2020-08-04 20:09:51+00:00,26,False,active,9,0,1,True,26,True,0,,,2020-08-04 20:16:00,2020
