,is_returning,num_bikes_available,station_status,eightd_has_available_keys,num_docks_disabled,station_id,num_bikes_disabled,num_docks_available,is_renting,legacy_id,num_ebikes_available,last_reported,is_installed,timestamp_of_data_read_request,year_station_last_reported
0,True,0,active,False,0,3,0,15,True,3,0,2020-08-13 05:29:06+00:00,True,2020-08-13 05:38:40,2020
1,True,19,active,False,0,4,0,0,True,4,0,2020-08-13 03:53:52+00:00,True,2020-08-13 05:38:40,2020
2,True,5,active,False,0,5,0,10,True,5,0,2020-08-13 04:57:56+00:00,True,2020-08-13 05:38:40,2020
3,True,2,active,False,0,6,1,12,True,6,0,2020-08-13 04:51:58+00:00,True,2020-08-13 05:38:40,2020
4,True,0,active,False,0,7,0,15,True,7,0,2020-08-13 04:04:59+00:00,True,2020-08-13 05:38:40,2020
5,True,16,active,False,0,8,0,3,True,8,0,2020-08-13 05:29:26+00:00,True,2020-08-13 05:38:40,2020
6,True,14,active,False,0,9,1,0,True,9,0,2020-08-13 03:58:51+00:00,True,2020-08-13 05:38:40,2020
7,True,3,active,False,0,10,0,8,True,10,0,2020-08-13 03:15:42+00:00,True,2020-08-13 05:38:40,2020
8,True,0,active,False,0,11,2,13,True,11,0,2020-08-13 04:41:00+00:00,True,2020-08-13 05:38:40,2020
9,True,13,active,True,0,12,0,5,True,12,0,2020-08-13 05:00:35+00:00,True,2020-08-13 05:38:40,2020
10,True,3,active,False,0,13,0,16,True,13,0,2020-08-13 04:34:37+00:00,True,2020-08-13 05:38:40,2020
11,True,0,active,False,0,14,0,25,True,14,0,2020-08-13 04:17:08+00:00,True,2020-08-13 05:38:40,2020
12,True,13,active,False,0,15,0,2,True,15,0,2020-08-13 03:58:02+00:00,True,2020-08-13 05:38:40,2020
13,True,11,active,True,0,16,0,8,True,16,0,2020-08-13 03:16:22+00:00,True,2020-08-13 05:38:40,2020
14,True,2,active,False,0,17,1,12,True,17,0,2020-08-13 03:59:04+00:00,True,2020-08-13 05:38:40,2020
15,True,8,active,False,0,19,1,6,True,19,0,2020-08-13 04:46:24+00:00,True,2020-08-13 05:38:40,2020
16,True,14,active,True,0,20,0,9,True,20,0,2020-08-13 04:18:40+00:00,True,2020-08-13 05:38:40,2020
17,True,9,active,True,0,21,0,9,True,21,0,2020-08-13 03:15:22+00:00,True,2020-08-13 05:38:40,2020
18,True,3,active,True,0,22,0,44,True,22,0,2020-08-13 04:25:17+00:00,True,2020-08-13 05:38:40,2020
19,True,0,active,False,0,23,0,21,True,23,0,2020-08-13 03:17:16+00:00,True,2020-08-13 05:38:40,2020
20,True,10,active,False,0,24,1,8,True,24,0,2020-08-13 04:47:46+00:00,True,2020-08-13 05:38:40,2020
21,True,14,active,False,0,25,1,0,True,25,0,2020-08-13 03:21:54+00:00,True,2020-08-13 05:38:40,2020
22,True,12,active,False,0,26,0,3,True,26,0,2020-08-13 04:47:31+00:00,True,2020-08-13 05:38:40,2020
23,True,21,active,False,0,27,1,1,True,27,0,2020-08-13 05:15:08+00:00,True,2020-08-13 05:38:40,2020
24,True,7,active,False,0,29,0,8,True,29,0,2020-08-13 03:16:26+00:00,True,2020-08-13 05:38:40,2020
25,True,5,active,False,0,30,1,9,True,30,0,2020-08-13 05:09:44+00:00,True,2020-08-13 05:38:40,2020
26,True,2,active,True,0,31,0,17,True,31,0,2020-08-13 03:16:23+00:00,True,2020-08-13 05:38:40,2020
27,True,3,active,False,0,32,0,12,True,32,0,2020-08-13 05:03:59+00:00,True,2020-08-13 05:38:40,2020
28,True,10,active,False,0,33,0,17,True,33,0,2020-08-13 04:27:11+00:00,True,2020-08-13 05:38:40,2020
29,True,8,active,False,0,35,0,15,True,35,0,2020-08-13 05:19:01+00:00,True,2020-08-13 05:38:40,2020
30,True,2,active,True,0,36,0,31,True,36,0,2020-08-13 04:56:59+00:00,True,2020-08-13 05:38:40,2020
31,True,5,active,True,0,37,0,10,True,37,0,2020-08-13 03:39:24+00:00,True,2020-08-13 05:38:40,2020
32,True,20,active,False,0,39,0,3,True,39,0,2020-08-13 04:53:24+00:00,True,2020-08-13 05:38:40,2020
33,True,12,active,False,0,40,2,5,True,40,0,2020-08-13 03:16:48+00:00,True,2020-08-13 05:38:40,2020
34,True,27,active,True,0,41,0,0,True,41,0,2020-08-13 05:05:51+00:00,True,2020-08-13 05:38:40,2020
35,True,12,active,False,0,42,1,10,True,42,0,2020-08-13 03:15:35+00:00,True,2020-08-13 05:38:40,2020
36,True,10,active,True,0,43,0,5,True,43,0,2020-08-13 04:22:39+00:00,True,2020-08-13 05:38:40,2020
37,True,4,active,False,0,44,0,19,True,44,0,2020-08-13 04:27:32+00:00,True,2020-08-13 05:38:40,2020
38,True,13,active,False,0,46,0,6,True,46,0,2020-08-13 05:28:28+00:00,True,2020-08-13 05:38:40,2020
39,True,14,active,True,0,47,0,5,True,47,0,2020-08-13 04:56:08+00:00,True,2020-08-13 05:38:40,2020
40,True,0,active,False,0,48,0,19,True,48,0,2020-08-13 04:03:53+00:00,True,2020-08-13 05:38:40,2020
41,True,8,active,False,0,49,0,10,True,49,0,2020-08-13 04:30:45+00:00,True,2020-08-13 05:38:40,2020
42,True,0,active,True,0,50,0,15,True,50,0,2020-08-13 03:25:11+00:00,True,2020-08-13 05:38:40,2020
43,True,4,active,False,0,51,0,11,True,51,0,2020-08-13 05:25:41+00:00,True,2020-08-13 05:38:40,2020
44,True,22,active,True,0,52,0,1,True,52,0,2020-08-13 04:48:38+00:00,True,2020-08-13 05:38:40,2020
45,True,9,active,False,0,53,1,9,True,53,0,2020-08-13 05:06:18+00:00,True,2020-08-13 05:38:40,2020
46,True,6,active,False,0,54,0,9,True,54,0,2020-08-13 04:02:05+00:00,True,2020-08-13 05:38:40,2020
47,True,7,active,False,0,55,0,8,True,55,0,2020-08-13 05:36:06+00:00,True,2020-08-13 05:38:40,2020
48,True,6,active,True,0,56,1,11,True,56,0,2020-08-13 03:17:02+00:00,True,2020-08-13 05:38:40,2020
49,True,13,active,True,0,57,1,0,True,57,0,2020-08-13 03:16:33+00:00,True,2020-08-13 05:38:40,2020
50,True,6,active,True,0,58,1,12,True,58,0,2020-08-13 04:01:30+00:00,True,2020-08-13 05:38:40,2020
51,True,1,active,True,0,59,0,18,True,59,0,2020-08-13 04:39:51+00:00,True,2020-08-13 05:38:40,2020
52,True,9,active,False,0,60,0,10,True,60,0,2020-08-13 04:07:00+00:00,True,2020-08-13 05:38:40,2020
53,True,4,active,False,0,61,0,15,True,61,0,2020-08-13 05:32:01+00:00,True,2020-08-13 05:38:40,2020
54,True,4,active,False,0,63,0,11,True,63,0,2020-08-13 03:22:10+00:00,True,2020-08-13 05:38:40,2020
55,True,13,active,False,0,64,0,6,True,64,0,2020-08-13 04:04:08+00:00,True,2020-08-13 05:38:40,2020
56,True,1,active,False,0,65,0,22,True,65,0,2020-08-13 03:15:46+00:00,True,2020-08-13 05:38:40,2020
57,True,14,active,False,0,66,1,0,True,66,0,2020-08-13 03:15:13+00:00,True,2020-08-13 05:38:40,2020
58,True,1,active,True,0,67,0,26,True,67,0,2020-08-13 05:37:16+00:00,True,2020-08-13 05:38:40,2020
59,True,12,active,True,0,68,2,5,True,68,0,2020-08-13 05:24:10+00:00,True,2020-08-13 05:38:40,2020
60,True,12,active,True,0,69,0,7,True,69,0,2020-08-13 04:33:36+00:00,True,2020-08-13 05:38:40,2020
61,True,9,active,False,0,70,2,12,True,70,0,2020-08-13 04:13:08+00:00,True,2020-08-13 05:38:40,2020
62,True,22,active,False,0,71,0,1,True,71,0,2020-08-13 05:00:53+00:00,True,2020-08-13 05:38:40,2020
63,True,2,active,False,0,72,0,21,True,72,0,2020-08-13 04:00:37+00:00,True,2020-08-13 05:38:40,2020
64,True,0,active,False,0,73,1,14,True,73,0,2020-08-13 03:32:01+00:00,True,2020-08-13 05:38:40,2020
65,True,4,active,True,0,74,3,12,True,74,0,2020-08-13 04:53:55+00:00,True,2020-08-13 05:38:40,2020
66,True,12,active,False,0,75,0,3,True,75,0,2020-08-13 03:39:40+00:00,True,2020-08-13 05:38:40,2020
67,True,17,active,False,0,76,0,0,True,76,0,2020-08-13 04:23:47+00:00,True,2020-08-13 05:38:40,2020
68,True,13,active,False,0,77,1,1,True,77,0,2020-08-13 03:15:35+00:00,True,2020-08-13 05:38:40,2020
69,True,16,active,False,0,78,0,3,True,78,0,2020-08-13 03:48:18+00:00,True,2020-08-13 05:38:40,2020
70,True,11,active,False,0,79,2,6,True,79,0,2020-08-13 03:17:14+00:00,True,2020-08-13 05:38:40,2020
71,True,1,active,False,0,80,0,34,True,80,0,2020-08-13 03:59:19+00:00,True,2020-08-13 05:38:40,2020
72,True,13,active,False,0,81,1,5,True,81,0,2020-08-13 03:22:08+00:00,True,2020-08-13 05:38:40,2020
73,True,0,active,False,0,82,0,15,True,82,0,2020-08-13 03:17:02+00:00,True,2020-08-13 05:38:40,2020
74,True,3,active,False,0,84,0,12,True,84,0,2020-08-13 05:34:39+00:00,True,2020-08-13 05:38:40,2020
75,True,0,active,False,0,85,0,19,True,85,0,2020-08-13 00:20:27+00:00,True,2020-08-13 05:38:40,2020
76,True,2,active,False,0,86,0,17,True,86,0,2020-08-13 04:34:57+00:00,True,2020-08-13 05:38:40,2020
77,True,15,active,False,0,87,0,0,True,87,0,2020-08-13 04:24:36+00:00,True,2020-08-13 05:38:40,2020
78,True,11,active,False,0,89,1,7,True,89,0,2020-08-13 03:50:02+00:00,True,2020-08-13 05:38:40,2020
79,True,12,active,False,0,90,0,7,True,90,0,2020-08-13 04:08:59+00:00,True,2020-08-13 05:38:40,2020
80,True,2,active,False,0,91,1,16,True,91,0,2020-08-13 05:33:03+00:00,True,2020-08-13 05:38:40,2020
81,True,8,active,False,0,92,1,10,True,92,0,2020-08-13 03:16:38+00:00,True,2020-08-13 05:38:40,2020
82,True,13,active,False,0,93,2,0,True,93,0,2020-08-13 03:15:19+00:00,True,2020-08-13 05:38:40,2020
83,True,4,active,False,0,94,0,7,True,94,0,2020-08-13 04:47:36+00:00,True,2020-08-13 05:38:40,2020
84,True,6,active,False,0,95,0,9,True,95,0,2020-08-13 04:38:06+00:00,True,2020-08-13 05:38:40,2020
85,True,14,active,False,0,96,0,5,True,96,0,2020-08-13 04:20:25+00:00,True,2020-08-13 05:38:40,2020
86,True,13,active,False,0,97,1,5,True,97,0,2020-08-13 03:39:34+00:00,True,2020-08-13 05:38:40,2020
87,True,9,active,False,0,98,1,13,True,98,0,2020-08-13 03:15:45+00:00,True,2020-08-13 05:38:40,2020
88,True,8,active,False,0,99,1,6,True,99,0,2020-08-13 03:15:37+00:00,True,2020-08-13 05:38:40,2020
89,True,22,active,True,0,100,0,3,True,100,0,2020-08-13 03:16:30+00:00,True,2020-08-13 05:38:40,2020
90,True,13,active,False,0,101,0,2,True,101,0,2020-08-13 03:17:09+00:00,True,2020-08-13 05:38:40,2020
91,True,9,active,False,0,102,0,6,True,102,0,2020-08-13 03:37:27+00:00,True,2020-08-13 05:38:40,2020
92,True,15,active,False,0,103,0,0,True,103,0,2020-08-13 03:15:49+00:00,True,2020-08-13 05:38:40,2020
93,True,7,active,False,0,104,0,12,True,104,0,2020-08-13 03:39:02+00:00,True,2020-08-13 05:38:40,2020
94,True,18,active,False,0,105,1,0,True,105,0,2020-08-13 03:16:18+00:00,True,2020-08-13 05:38:40,2020
95,True,2,active,False,0,106,1,12,True,106,0,2020-08-13 04:03:18+00:00,True,2020-08-13 05:38:40,2020
96,True,1,active,False,0,107,0,18,True,107,0,2020-08-13 05:38:18+00:00,True,2020-08-13 05:38:40,2020
97,True,0,active,False,0,108,0,17,True,108,0,2020-08-13 04:18:32+00:00,True,2020-08-13 05:38:40,2020
98,True,3,active,False,0,109,0,32,True,109,0,2020-08-13 04:29:09+00:00,True,2020-08-13 05:38:40,2020
99,True,2,active,False,0,110,0,13,True,110,0,2020-08-13 04:49:10+00:00,True,2020-08-13 05:38:40,2020
100,True,6,active,False,0,111,0,9,True,111,0,2020-08-13 03:15:19+00:00,True,2020-08-13 05:38:40,2020
101,True,15,active,False,0,112,0,0,True,112,0,2020-08-13 03:15:20+00:00,True,2020-08-13 05:38:40,2020
102,True,13,active,False,0,113,0,2,True,113,0,2020-08-13 03:26:00+00:00,True,2020-08-13 05:38:40,2020
103,True,7,active,False,0,114,1,7,True,114,0,2020-08-13 03:24:42+00:00,True,2020-08-13 05:38:40,2020
104,True,12,active,False,0,115,4,3,True,115,0,2020-08-13 05:14:26+00:00,True,2020-08-13 05:38:40,2020
105,True,20,active,False,0,116,0,3,True,116,0,2020-08-13 04:05:41+00:00,True,2020-08-13 05:38:40,2020
106,True,8,active,False,0,117,0,11,True,117,0,2020-08-13 03:34:49+00:00,True,2020-08-13 05:38:40,2020
107,True,10,active,False,0,118,1,8,True,118,0,2020-08-13 05:35:18+00:00,True,2020-08-13 05:38:40,2020
108,True,15,active,False,0,119,0,0,True,119,0,2020-08-13 03:21:13+00:00,True,2020-08-13 05:38:40,2020
109,True,1,active,False,0,120,1,13,True,120,0,2020-08-13 03:49:02+00:00,True,2020-08-13 05:38:40,2020
110,True,3,active,False,0,121,0,14,True,121,0,2020-08-13 03:21:09+00:00,True,2020-08-13 05:38:40,2020
111,True,1,active,False,0,122,0,14,True,122,0,2020-08-13 03:26:18+00:00,True,2020-08-13 05:38:40,2020
112,True,6,active,False,0,124,1,8,True,124,0,2020-08-13 03:16:16+00:00,True,2020-08-13 05:38:40,2020
113,True,13,active,False,0,125,0,2,True,125,0,2020-08-13 04:02:17+00:00,True,2020-08-13 05:38:40,2020
114,True,7,active,False,0,126,1,7,True,126,0,2020-08-13 03:35:17+00:00,True,2020-08-13 05:38:40,2020
115,True,5,active,False,0,128,1,13,True,128,0,2020-08-13 04:03:53+00:00,True,2020-08-13 05:38:40,2020
116,True,14,active,False,0,129,0,5,True,129,0,2020-08-13 03:28:06+00:00,True,2020-08-13 05:38:40,2020
117,True,12,active,False,0,130,0,3,True,130,0,2020-08-13 04:03:05+00:00,True,2020-08-13 05:38:40,2020
118,True,15,active,False,0,131,0,3,True,131,0,2020-08-13 04:12:34+00:00,True,2020-08-13 05:38:40,2020
119,True,12,active,False,0,133,1,10,True,133,0,2020-08-13 03:29:58+00:00,True,2020-08-13 05:38:40,2020
120,True,2,active,False,0,135,0,15,True,135,0,2020-08-13 03:23:50+00:00,True,2020-08-13 05:38:40,2020
121,True,4,active,False,0,136,1,14,True,136,0,2020-08-13 03:24:14+00:00,True,2020-08-13 05:38:40,2020
122,True,11,active,False,0,137,0,4,True,137,0,2020-08-13 03:23:15+00:00,True,2020-08-13 05:38:40,2020
123,True,12,active,False,0,138,1,2,True,138,0,2020-08-13 03:34:24+00:00,True,2020-08-13 05:38:40,2020
124,True,17,active,False,0,139,0,2,True,139,0,2020-08-13 05:13:58+00:00,True,2020-08-13 05:38:40,2020
125,True,14,active,False,0,140,0,3,True,140,0,2020-08-13 03:23:54+00:00,True,2020-08-13 05:38:40,2020
126,True,6,active,False,0,141,0,9,True,141,0,2020-08-13 05:38:12+00:00,True,2020-08-13 05:38:40,2020
127,True,11,active,False,0,142,1,11,True,142,0,2020-08-13 03:23:31+00:00,True,2020-08-13 05:38:40,2020
128,True,14,active,False,0,143,4,5,True,143,0,2020-08-13 05:16:34+00:00,True,2020-08-13 05:38:40,2020
129,True,10,active,False,0,144,1,8,True,144,0,2020-08-13 03:23:40+00:00,True,2020-08-13 05:38:40,2020
130,True,18,active,False,0,145,0,1,True,145,0,2020-08-13 03:40:14+00:00,True,2020-08-13 05:38:40,2020
131,True,12,active,False,0,146,1,6,True,146,0,2020-08-13 03:24:37+00:00,True,2020-08-13 05:38:40,2020
132,True,11,active,True,0,149,0,7,True,149,0,2020-08-13 05:25:12+00:00,True,2020-08-13 05:38:40,2020
133,True,15,active,False,0,150,0,4,True,150,0,2020-08-13 03:24:08+00:00,True,2020-08-13 05:38:40,2020
134,True,5,active,False,0,151,0,14,True,151,0,2020-08-13 03:53:22+00:00,True,2020-08-13 05:38:40,2020
135,True,5,active,True,0,152,0,10,True,152,0,2020-08-13 03:54:15+00:00,True,2020-08-13 05:38:40,2020
136,True,6,active,False,0,156,0,9,True,156,0,2020-08-13 04:36:52+00:00,True,2020-08-13 05:38:40,2020
137,True,1,active,False,0,157,1,13,True,157,0,2020-08-13 05:22:27+00:00,True,2020-08-13 05:38:40,2020
138,True,15,active,False,0,159,0,0,True,159,0,2020-08-13 04:31:04+00:00,True,2020-08-13 05:38:40,2020
139,True,7,active,True,0,160,0,7,True,160,0,2020-08-13 05:13:52+00:00,True,2020-08-13 05:38:40,2020
140,True,20,active,True,0,161,2,1,True,161,0,2020-08-13 05:25:55+00:00,True,2020-08-13 05:38:40,2020
141,True,4,active,False,0,162,0,11,True,162,0,2020-08-13 03:24:31+00:00,True,2020-08-13 05:38:40,2020
142,True,8,active,True,0,163,0,11,True,163,0,2020-08-13 03:23:49+00:00,True,2020-08-13 05:38:40,2020
143,True,5,active,False,0,167,0,10,True,167,0,2020-08-13 04:04:32+00:00,True,2020-08-13 05:38:40,2020
144,True,14,active,False,0,169,0,5,True,169,0,2020-08-13 02:45:56+00:00,True,2020-08-13 05:38:40,2020
