,num_docks_disabled,last_reported,num_ebikes_available,station_status,num_docks_available,is_installed,num_bikes_disabled,eightd_has_available_keys,num_bikes_available,legacy_id,is_returning,station_id,is_renting,timestamp_of_data_read_request,year_station_last_reported
45,0,2020-08-15 23:35:30+00:00,0,active,6,True,0,False,13,53,True,53,True,2020-08-15 23:41:55,2020
46,0,2020-08-15 23:28:29+00:00,0,active,5,True,1,False,9,54,True,54,True,2020-08-15 23:41:55,2020
47,0,2020-08-15 23:36:57+00:00,0,active,11,True,0,False,4,55,True,55,True,2020-08-15 23:41:55,2020
48,0,2020-08-15 20:51:19+00:00,0,active,1,True,0,False,17,56,True,56,True,2020-08-15 23:41:55,2020
49,0,2020-08-15 23:33:32+00:00,0,active,10,True,0,True,4,57,True,57,True,2020-08-15 23:41:55,2020
50,0,2020-08-15 23:39:38+00:00,0,active,5,True,4,True,10,58,True,58,True,2020-08-15 23:41:55,2020
51,0,2020-08-15 23:24:22+00:00,0,active,14,True,0,True,5,59,True,59,True,2020-08-15 23:41:55,2020
52,0,2020-08-15 23:40:28+00:00,0,active,16,True,2,False,1,60,True,60,True,2020-08-15 23:41:55,2020
53,0,2020-08-15 23:41:34+00:00,0,active,12,True,0,False,7,61,True,61,True,2020-08-15 23:41:55,2020
54,0,2020-08-15 23:17:41+00:00,0,active,4,True,0,False,11,63,True,63,True,2020-08-15 23:41:55,2020
55,0,2020-08-15 23:29:07+00:00,0,active,8,True,1,False,10,64,True,64,True,2020-08-15 23:41:55,2020
56,0,2020-08-15 23:31:58+00:00,0,active,22,True,1,False,0,65,True,65,True,2020-08-15 23:41:55,2020
57,0,2020-08-15 23:38:53+00:00,0,active,13,True,0,False,2,66,True,66,True,2020-08-15 23:41:55,2020
58,0,2020-08-15 23:21:03+00:00,0,active,27,True,0,True,0,67,True,67,True,2020-08-15 23:41:55,2020
59,0,2020-08-15 23:38:52+00:00,0,active,10,True,0,True,9,68,True,68,True,2020-08-15 23:41:55,2020
60,0,2020-08-15 23:39:34+00:00,0,active,9,True,2,True,8,69,True,69,True,2020-08-15 23:41:55,2020
61,0,2020-08-15 23:40:32+00:00,0,active,1,True,0,False,22,70,True,70,True,2020-08-15 23:41:55,2020
62,0,2020-08-15 23:34:26+00:00,0,active,15,True,0,False,8,71,True,71,True,2020-08-15 23:41:55,2020
63,0,2020-08-15 23:40:15+00:00,0,active,22,True,1,False,0,72,True,72,True,2020-08-15 23:41:55,2020
64,0,2020-08-15 23:41:26+00:00,0,active,12,True,1,False,2,73,True,73,True,2020-08-15 23:41:55,2020
65,0,2020-08-15 23:38:44+00:00,0,active,15,True,0,True,4,74,True,74,True,2020-08-15 23:41:55,2020
66,0,2020-08-15 23:39:25+00:00,0,active,1,True,1,False,13,75,True,75,True,2020-08-15 23:41:55,2020
67,0,2020-08-15 23:40:35+00:00,0,active,0,True,2,False,15,76,True,76,True,2020-08-15 23:41:55,2020
68,0,2020-08-15 23:22:08+00:00,0,active,9,True,0,False,6,77,True,77,True,2020-08-15 23:41:55,2020
69,0,2020-08-15 23:28:04+00:00,0,active,1,True,2,False,16,78,True,78,True,2020-08-15 23:41:55,2020
70,0,2020-08-15 23:32:02+00:00,0,active,6,True,0,False,13,79,True,79,True,2020-08-15 23:41:55,2020
71,0,2020-08-15 23:40:22+00:00,0,active,27,True,0,False,8,80,True,80,True,2020-08-15 23:41:55,2020
72,0,2020-08-15 23:31:17+00:00,0,active,18,True,0,False,1,81,True,81,True,2020-08-15 23:41:55,2020
