,eightd_has_available_keys,num_bikes_available,station_status,last_reported,num_docks_disabled,is_renting,is_returning,legacy_id,num_bikes_disabled,station_id,num_docks_available,is_installed,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,False,9,active,2020-08-08 15:57:30+00:00,0,True,True,3,0,3,6,True,0,,,2020-08-08 16:09:20,2020
1,False,4,active,2020-08-08 16:03:47+00:00,0,True,True,4,0,4,15,True,0,,,2020-08-08 16:09:20,2020
2,False,5,active,2020-08-08 15:44:09+00:00,0,True,True,5,0,5,10,True,0,,,2020-08-08 16:09:20,2020
3,False,0,active,2020-08-08 16:02:08+00:00,0,True,True,6,1,6,14,True,0,,,2020-08-08 16:09:20,2020
4,False,3,active,2020-08-08 16:07:44+00:00,0,True,True,7,0,7,12,True,0,,,2020-08-08 16:09:20,2020
5,False,5,active,2020-08-08 16:08:07+00:00,0,True,True,8,0,8,14,True,0,,,2020-08-08 16:09:20,2020
6,False,12,active,2020-08-08 15:30:49+00:00,0,True,True,9,2,9,1,True,0,,,2020-08-08 16:09:20,2020
7,False,2,active,2020-08-08 15:20:44+00:00,0,True,True,10,1,10,8,True,0,,,2020-08-08 16:09:20,2020
8,False,12,active,2020-08-08 16:09:11+00:00,0,True,True,11,2,11,1,True,0,"{'off_dock_capacity': 50, 'dock_blocked_count': 0, 'region': 'BOS', 'active': True, 'valet_revision': 81, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 2}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-08 16:09:20,2020
9,True,7,active,2020-08-08 16:02:12+00:00,0,True,True,12,0,12,11,True,0,,,2020-08-08 16:09:20,2020
10,False,10,active,2020-08-08 15:45:20+00:00,0,True,True,13,0,13,9,True,0,,,2020-08-08 16:09:20,2020
11,False,17,active,2020-08-08 15:51:28+00:00,0,True,True,14,0,14,8,True,0,,,2020-08-08 16:09:20,2020
12,False,12,active,2020-08-08 15:39:56+00:00,0,True,True,15,0,15,3,True,0,,,2020-08-08 16:09:20,2020
13,True,17,active,2020-08-08 15:40:01+00:00,0,True,True,16,0,16,2,True,0,,,2020-08-08 16:09:20,2020
14,False,0,active,2020-08-08 15:48:20+00:00,0,True,True,17,1,17,14,True,0,,,2020-08-08 16:09:20,2020
15,False,10,active,2020-08-08 16:00:44+00:00,0,True,True,19,0,19,5,True,0,,,2020-08-08 16:09:20,2020
16,True,22,active,2020-08-08 16:00:33+00:00,0,True,True,20,0,20,1,True,0,,,2020-08-08 16:09:20,2020
17,True,11,active,2020-08-08 15:41:36+00:00,0,True,True,21,1,21,6,True,0,,,2020-08-08 16:09:20,2020
18,True,16,active,2020-08-08 16:08:25+00:00,0,True,True,22,1,22,30,True,0,,,2020-08-08 16:09:20,2020
19,False,1,active,2020-08-08 16:01:00+00:00,0,True,True,23,0,23,20,True,0,,,2020-08-08 16:09:20,2020
20,False,1,active,2020-08-08 16:03:29+00:00,0,True,True,24,0,24,18,True,0,,,2020-08-08 16:09:20,2020
21,False,11,active,2020-08-08 16:05:46+00:00,0,True,True,25,0,25,4,True,0,,,2020-08-08 16:09:20,2020
22,False,8,active,2020-08-08 16:02:58+00:00,0,True,True,26,1,26,6,True,0,,,2020-08-08 16:09:20,2020
23,False,15,active,2020-08-08 16:08:57+00:00,0,True,True,27,0,27,8,True,0,,,2020-08-08 16:09:20,2020
24,False,3,active,2020-08-08 15:17:43+00:00,0,True,True,29,2,29,10,True,0,,,2020-08-08 16:09:20,2020
25,False,3,active,2020-08-08 16:01:01+00:00,0,True,True,30,0,30,12,True,0,,,2020-08-08 16:09:20,2020
26,True,15,active,2020-08-08 15:46:30+00:00,0,True,True,31,0,31,4,True,0,,,2020-08-08 16:09:20,2020
27,False,9,active,2020-08-08 16:08:06+00:00,0,True,True,32,2,32,4,True,0,,,2020-08-08 16:09:20,2020
28,False,5,active,2020-08-08 16:09:14+00:00,0,True,True,33,0,33,22,True,0,,,2020-08-08 16:09:20,2020
29,False,7,active,2020-08-08 16:06:19+00:00,0,True,True,35,0,35,16,True,0,,,2020-08-08 16:09:20,2020
30,True,25,active,2020-08-08 16:05:59+00:00,0,True,True,36,0,36,8,True,0,,,2020-08-08 16:09:20,2020
31,True,0,active,2020-08-08 15:19:23+00:00,0,True,True,37,0,37,15,True,0,,,2020-08-08 16:09:20,2020
32,False,0,active,2020-08-08 15:41:42+00:00,0,True,True,39,0,39,23,True,0,,,2020-08-08 16:09:20,2020
33,False,11,active,2020-08-08 16:06:49+00:00,0,True,True,40,1,40,7,True,0,,,2020-08-08 16:09:20,2020
34,True,10,active,2020-08-08 16:06:05+00:00,0,True,True,41,1,41,16,True,0,,,2020-08-08 16:09:20,2020
35,False,20,active,2020-08-08 16:07:03+00:00,0,True,True,42,1,42,2,True,0,,,2020-08-08 16:09:20,2020
36,True,1,active,2020-08-08 15:50:37+00:00,0,True,True,43,0,43,14,True,0,,,2020-08-08 16:09:20,2020
37,False,13,active,2020-08-08 16:08:49+00:00,0,True,True,44,1,44,9,True,0,,,2020-08-08 16:09:20,2020
38,False,7,active,2020-08-08 16:08:03+00:00,0,True,True,46,1,46,11,True,0,,,2020-08-08 16:09:20,2020
39,True,3,active,2020-08-08 16:05:33+00:00,0,True,True,47,1,47,15,True,0,,,2020-08-08 16:09:20,2020
40,False,12,active,2020-08-08 15:58:26+00:00,0,True,True,48,0,48,7,True,0,,,2020-08-08 16:09:20,2020
41,False,8,active,2020-08-08 16:04:38+00:00,0,True,True,49,0,49,10,True,0,,,2020-08-08 16:09:20,2020
42,True,13,active,2020-08-08 16:09:16+00:00,0,True,True,50,0,50,2,True,0,,,2020-08-08 16:09:20,2020
