,is_renting,num_bikes_disabled,num_docks_disabled,station_id,is_installed,num_bikes_available,legacy_id,last_reported,num_docks_available,is_returning,station_status,num_ebikes_available,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
0,True,0,0,3,True,6,3,2020-08-09 19:05:12+00:00,9,True,active,0,False,2020-08-09 19:54:40,2020
1,True,0,0,4,True,1,4,2020-08-09 19:15:31+00:00,18,True,active,0,False,2020-08-09 19:54:40,2020
2,True,1,0,5,True,7,5,2020-08-09 19:52:40+00:00,7,True,active,0,False,2020-08-09 19:54:40,2020
3,True,2,0,6,True,9,6,2020-08-09 19:52:05+00:00,4,True,active,0,False,2020-08-09 19:54:40,2020
4,True,0,0,7,True,0,7,2020-08-09 16:30:25+00:00,15,True,active,0,False,2020-08-09 19:54:40,2020
5,True,2,0,8,True,6,8,2020-08-09 19:52:49+00:00,11,True,active,0,False,2020-08-09 19:54:40,2020
6,True,2,0,9,True,3,9,2020-08-09 19:53:33+00:00,10,True,active,0,False,2020-08-09 19:54:40,2020
7,True,1,0,10,True,2,10,2020-08-09 19:52:25+00:00,8,True,active,0,False,2020-08-09 19:54:40,2020
8,True,1,0,11,True,10,11,2020-08-09 19:49:38+00:00,4,True,active,0,False,2020-08-09 19:54:40,2020
9,True,0,0,12,True,11,12,2020-08-09 19:38:02+00:00,7,True,active,0,True,2020-08-09 19:54:40,2020
10,True,0,0,13,True,11,13,2020-08-09 19:48:10+00:00,8,True,active,0,False,2020-08-09 19:54:40,2020
11,True,2,0,14,True,21,14,2020-08-09 19:02:11+00:00,2,True,active,0,False,2020-08-09 19:54:40,2020
12,True,0,0,15,True,11,15,2020-08-09 19:43:57+00:00,4,True,active,0,False,2020-08-09 19:54:40,2020
13,True,0,0,16,True,1,16,2020-08-09 19:38:46+00:00,18,True,active,0,True,2020-08-09 19:54:40,2020
14,True,1,0,17,True,4,17,2020-08-09 19:45:15+00:00,10,True,active,0,False,2020-08-09 19:54:40,2020
15,True,0,0,19,True,0,19,2020-08-09 19:05:06+00:00,15,True,active,0,False,2020-08-09 19:54:40,2020
16,True,1,0,20,True,3,20,2020-08-09 19:51:47+00:00,19,True,active,0,True,2020-08-09 19:54:40,2020
17,True,0,0,21,True,15,21,2020-08-09 19:53:28+00:00,3,True,active,0,True,2020-08-09 19:54:40,2020
18,True,0,0,22,True,14,22,2020-08-09 19:36:33+00:00,33,True,active,0,True,2020-08-09 19:54:40,2020
19,True,0,0,23,True,6,23,2020-08-09 19:49:30+00:00,15,True,active,0,False,2020-08-09 19:54:40,2020
20,True,0,0,24,True,6,24,2020-08-09 19:52:45+00:00,13,True,active,0,False,2020-08-09 19:54:40,2020
21,True,1,0,25,True,2,25,2020-08-09 19:48:19+00:00,12,True,active,0,False,2020-08-09 19:54:40,2020
22,True,1,0,26,True,14,26,2020-08-09 19:43:36+00:00,0,True,active,0,False,2020-08-09 19:54:40,2020
23,True,0,0,27,True,4,27,2020-08-09 19:41:44+00:00,19,True,active,0,False,2020-08-09 19:54:40,2020
24,True,2,0,29,True,7,29,2020-08-09 10:13:15+00:00,6,True,active,0,False,2020-08-09 19:54:40,2020
25,True,0,0,30,True,7,30,2020-08-09 19:37:49+00:00,8,True,active,0,False,2020-08-09 19:54:40,2020
26,True,0,0,31,True,5,31,2020-08-09 19:12:12+00:00,14,True,active,0,True,2020-08-09 19:54:40,2020
